# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.271
metadata : {}


# id : NWRW1800000048.271.1.1
노인·출산가정도 공무원이 직접 찾아간다

노인·출산가정도	노인/NNG+·/SP+출산/NNG+가정/NNG+도/JX
복지	복지/NNG
서비스	서비스/NNG
대상에는	대상/NNG+에/JKB+는/JX
기존	기존/NNG
대상이었던	대상/NNG+이/VCP+었/EP+던/ETM
빈곤·위기가정	빈곤/NNG+·/SP+위기/NNG+가정/NNG
외에	외/NNB+에/JKB
65살	65/SN+살/NNB
이상	이상/NNG
노인과	노인/NNG+과/JC
출산	출산/NNG
가정도	가정/NNG+도/JX
새로	새로/MAG
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.271.7.2
이들에게는 사회복지담당 공무원과 방문간호사가 방문해 건강 점검 등을 해준다.

이들에게는	이/NP+들/XSN+에게/JKB+는/JX
사회복지담당	사회/NNG+복지/NNG+담당/NNG
공무원과	공무원/NNG+과/JC
방문간호사가	방문/NNG+간호사/NNG+가/JKS
방문해	방문/NNG+하/XSV+아/EC
건강	건강/NNG
점검	점검/NNG
등을	등/NNB+을/JKO
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.271.8.1
동주민센터 직원은 ‘우리 동네 주무관’이 돼, 통·반장과 동네 상인, 민간 복지관, 마을 변호사, 세무사 등을 연계해 주민들의 활동을 지원한다.

동주민센터	동/NNG+주민/NNG+센터/NNG
직원은	직원/NNG+은/JX
‘우리	‘/SS+우리/NP
동네	동네/NNG
주무관’이	주무관/NNG+’/SS+이/JKC
돼,	되/VV+어/EC+,/SP
통·반장과	통·반장/NNG+과/JC
상인,	상인/NNG+,/SP
민간	민간/NNG
복지관,	복지관/NNG+,/SP
마을	마을/NNG
변호사,	변호사/NNG+,/SP
세무사	세무사/NNG
등을	등/NNB+을/JKO
연계해	연계/NNG+하/XSV+아/EC
주민들의	주민/NNG+들/XSN+의/JKG
활동을	활동/NNG+을/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.271.8.2
동주민센터는 주민들의 활동을 돕는 거점 역할도 하게 된다.

동주민센터는	동/NNG+주민/NNG+센터/NNG+는/JX
주민들의	주민/NNG+들/XSN+의/JKG
활동을	활동/NNG+을/JKO
돕는	돕/VV+는/ETM
거점	거점/NNG
역할도	역할/NNG+도/JX
하게	하/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.271.8.3
시는 주민센터의 기능 변화에 따라 사회복지담당 공무원 500명과 방문간호사 106명을 충원했다.

시는	시/NNG+는/JX
주민센터의	주민/NNG+센터/NNG+의/JKG
기능	기능/NNG
변화에	변화/NNG+에/JKB
따라	따르/VV+아/EC
사회복지담당	사회/NNG+복지/NNG+담당/NNG
공무원	공무원/NNG
500명과	500/SN+명/NNB+과/JC
방문간호사	방문/NNG+간호사/NNG
106명을	106/SN+명/NNB+을/JKO
충원했다.	충원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.271.8.4
앞으로 3년간 2450명을 추가로 늘려 찾아가는 동주민센터를 2018년까지 25개 자치구 전체로 확산시킬 예정이다.

앞으로	앞/NNG+으로/JKB
3년간	3/SN+년/NNB+간/XSN
2450명을	2450/SN+명/NNB+을/JKO
추가로	추가/NNG+로/JKB
늘려	늘리/VV+어/EC
찾아가는	찾아가/VV+는/ETM
동주민센터를	동/NNG+주민/NNG+센터/NNG+를/JKO
2018년까지	2018/SN+년/NNB+까지/JX
25개	25/SN+개/NNB
자치구	자치구/NNG
전체로	전체/NNG+로/JKB
확산시킬	확산/NNG+시키/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


