# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.15
metadata : {}


# id : NWRW1800000056.15.1.1
부동산대책 이후 서울 아파트 첫 분양 나온다

부동산대책	부동산/NNG+대책/NNG
강화한	강화/NNG+하/XSV+ㄴ/ETM
정부의	정부/NNG+의/JKG
‘6·19	‘/SS+6/SN+·/SP+19/SN
부동산	부동산/NNG
대책’	대책/NNG+’/SS
이후	이후/NNG
서울에서	서울/NNP+에서/JKB
처음	처음/NNG
분양되는	분양/NNG+되/XSV+는/ETM
신규	신규/NNG
아파트	아파트/NNG
단지	단지/NNG
두	두/MMN
곳에	곳/NNG+에/JKB
눈길이	눈길/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.15.6.2
강화된 분양권 전매제한은 대책 발표일이었던 19일부터 곧바로 적용받지만 대출 규제는 오는 7월3일 이전 입주자모집을 공고한 단지에는 적용하지 않도록 돼 있어, 수요자들의 반응과 청약 결과가 주목된다.

강화된	강화/NNG+되/XSV+ㄴ/ETM
분양권	분양/NNG+권/XSN
전매제한은	전매/NNG+제한/NNG+은/JX
대책	대책/NNG
발표일이었던	발표일/NNG+이/VCP+었/EP+던/ETM
19일부터	19/SN+일/NNB+부터/JX
곧바로	곧바로/MAG
적용받지만	적용/NNG+받/XSV+지만/EC
대출	대출/NNG
규제는	규제/NNG+는/JX
오는	오/VV+는/ETM
7월3일	7/SN+월/NNB+3/SN+일/NNB
이전	이전/NNG
입주자모집을	입주자/NNG+모집/NNG+을/JKO
공고한	공고/NNG+하/XSV+ㄴ/ETM
단지에는	단지/NNG+에/JKB+는/JX
적용하지	적용/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
돼	되/VV+어/EC
있어,	있/VX+어/EC+,/SP
수요자들의	수요자/NNG+들/XSN+의/JKG
반응과	반응/NNG+과/JC
청약	청약/NNG
결과가	결과/NNG+가/JKS
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.15.7.1
21일 부동산 업계에 따르면, 대우건설은 강동구 고덕동에 짓는 ‘고덕 센트럴 푸르지오'의 본보기집을 오는 23일 열고 아파트와 오피스텔 공급에 나선다.

21일	21/SN+일/NNB
부동산	부동산/NNG
업계에	업계/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
대우건설은	대우건설/NNP+은/JX
강동구	강동구/NNP
고덕동에	고덕동/NNP+에/JKB
짓는	짓/VV+는/ETM
‘고덕	‘/SS+고덕/NNP
센트럴	센트럴/NNP
푸르지오'의	푸르지오/NNP+'/SS+의/JKG
본보기집을	본보기집/NNG+을/JKO
오는	오/VV+는/ETM
23일	23/SN+일/NNB
열고	열/VV+고/EC
아파트와	아파트/NNG+와/JC
오피스텔	오피스텔/NNG
공급에	공급/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.15.7.2
주상복합인 이 단지는 아파트 656가구(전용면적 40~59㎡), 오피스텔 127실(전용 19~44㎡)로 이뤄진다.

주상복합인	주상/NNG+복합/NNG+이/VCP+ㄴ/ETM
이	이/MMD
단지는	단지/NNG+는/JX
아파트	아파트/NNG
656가구(전용면적	656/SN+가구/NNG+(/SS+전용/NNG+면적/NNG
40~59㎡),	40/SN+~/SO+59/SN+㎡/SW+)/SS+,/SP
오피스텔	오피스텔/NNG
127실(전용	127/SN+실/NNB+(/SS+전용/NNG
19~44㎡)로	19/SN+~/SO+44/SN+㎡/SW+)/SS+로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.15.7.3
또 롯데건설은 은평구 수색동에 짓는 ‘디엠시(DMC) 롯데캐슬 더 퍼스트’의 본보기집을 역시 23일 개관하고 분양에 들어간다.

또	또/MAG
롯데건설은	롯데건설/NNP+은/JX
은평구	은평구/NNP
수색동에	수색동/NNP+에/JKB
짓는	짓/VV+는/ETM
‘디엠시(DMC)	‘/SS+디엠시/NNP+(/SS+DMC/SL+)/SS
롯데캐슬	롯데캐슬/NNP
더	더/NNP
퍼스트’의	퍼스트/NNP+’/SS+의/JKG
본보기집을	본보기집/NNG+을/JKO
역시	역시/MAG
23일	23/SN+일/NNB
개관하고	개관/NNG+하/XSV+고/EC
분양에	분양/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.15.7.4
수색·증산 재정비촉진지구에 들어서는 이 단지는 전용 39~114㎡ 1192가구 중 454가구가 일반에 분양된다.

수색·증산	수색/NNP+·/SP+증산/NNP
재정비촉진지구에	재/XPN+정비/NNG+촉진/NNG+지구/NNG+에/JKB
들어서는	들어서/VV+는/ETM
이	이/MMD
단지는	단지/NNG+는/JX
전용	전용/NNG
39~114㎡	39/SN+~/SO+114/SN+㎡/SW
1192가구	1192/SN+가구/NNG
중	중/NNB
454가구가	454/SN+가구/NNG+가/JKS
일반에	일반/NNG+에/JKB
분양된다.	분양/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.15.8.1
정부는 지난 19일 ‘6·19 대책’을 발표하면서 이날 입주자모집 공고분부터 서울 전역의 분양권 전매제한 기간을 계약일로부터 입주(소유권 이전등기일) 때까지로 늘렸다.

정부는	정부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
‘6·19	‘/SS+6/SN+·/SP+19/SN
대책’을	대책/NNG+’/SS+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
이날	이날/NNG
입주자모집	입주자/NNG+모집/NNG
공고분부터	공고/NNG+분/XSN+부터/JX
서울	서울/NNP
전역의	전역/NNG+의/JKG
분양권	분양/NNG+권/XSN
전매제한	전매/NNG+제한/NNG
기간을	기간/NNG+을/JKO
계약일로부터	계약일/NNG+로부터/JKB
입주(소유권	입주/NNG+(/SS+소유/NNG+권/XSN
이전등기일)	이전/NNG+등기일/NNG+)/SS
때까지로	때/NNG+까지/JX+로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.15.8.2
종전에는 강남 4개구(강남·서초·송파·강동구)에만 이 규정을 적용했고 나머지 지역은 전매금지 기간이 1년6개월이었으나 투기과열을 막기 위해 25개구 전역으로 확대한 것이다.

종전에는	종전/NNG+에/JKB+는/JX
강남	강남/NNP
4개구(강남·서초·송파·강동구)에만	4/SN+개/NNB+구/NNG+(/SS+강남/NNP+·/SP+서초/NNP+·/SP+송파/NNP+·/SP+강동구/NNP+)/SS+에/JKB+만/JX
이	이/MMD
규정을	규정/NNG+을/JKO
적용했고	적용/NNG+하/XSV+았/EP+고/EC
나머지	나머지/NNG
지역은	지역/NNG+은/JX
전매금지	전매/NNG+금지/NNG
기간이	기간/NNG+이/JKS
1년6개월이었으나	1/SN+년/NNB+6/SN+개월/NNB+이/VCP+었/EP+으나/EC
투기과열을	투기/NNG+과열/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
25개구	25/SN+개/NNB+구/NNG
전역으로	전역/NNG+으로/JKB
확대한	확대/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.15.8.3
이에 따라 ‘고덕 센트럴 푸르지오’는 전매제한 기간에 변동이 없지만 ‘디엠시 롯데캐슬 퍼스트’는 강화된 전매제한 규정을 받게 된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
‘고덕	‘/SS+고덕/NNP
센트럴	센트럴/NNG
푸르지오’는	푸르지오/NNP+’/SS+는/JX
전매제한	전매/NNG+제한/NNG
기간에	기간/NNG+에/JKB
변동이	변동/NNG+이/JKS
없지만	없/VA+지만/EC
‘디엠시	‘/SS+디엠시/NNP
롯데캐슬	롯데캐슬/NNP
퍼스트’는	퍼스트/NNP+’/SS+는/JX
강화된	강화/NNG+되/XSV+ㄴ/ETM
규정을	규정/NNG+을/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.15.8.4
이와 달리 아파트 중도금 대출의 엘티브이 강화(70%→ 60%)와 잔금대출 디티아이(50%) 신규 적용은 금융당국의 행정지도 예고를 거쳐 7월3일 이후 입주자모집 공고분부터 적용하기로 해, 이번 두 단지는 모두 적용받지 않게 된다.

이와	이/NP+와/JKB
달리	달리/MAG
아파트	아파트/NNG
중도금	중도금/NNG
대출의	대출/NNG+의/JKG
엘티브이	엘티브이/NNG
강화(70%→	강화/NNG+(/SS+70/SN+%/SW+→/SW
60%)와	60/SN+%/SW+)/SS+와/JC
잔금대출	잔금/NNG+대출/NNG
디티아이(50%)	디티아이/NNG+(/SS+50/SN+%/SW+)/SS
신규	신규/NNG
적용은	적용/NNG+은/JX
금융당국의	금융/NNG+당국/NNG+의/JKG
행정지도	행정/NNG+지도/NNG
예고를	예고/NNG+를/JKO
거쳐	거치/VV+어/EC
7월3일	7/SN+월/NNB+3/SN+일/NNB
이후	이후/NNG
입주자모집	입주자/NNG+모집/NNG
공고분부터	공고/NNG+분/XSN+부터/JX
적용하기로	적용/NNG+하/XSV+기/ETN+로/JKB
해,	하/VV+아/EC+,/SP
이번	이번/NNG
두	두/MMN
단지는	단지/NNG+는/JX
모두	모두/MAG
적용받지	적용/NNG+받/XSV+지/EC
않게	않/VX+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.15.9.1
한편 금융당국은 ‘6·19 대책’ 시행을 코앞에 두고 대출규제가 강화되기 전에 미리 대출을 받으려는 선수요를 잡기 위해 일선 창구지도에 나섰다.

한편	한편/MAG
금융당국은	금융/NNG+당국/NNG+은/JX
‘6·19	‘/SS+6/SN+·/SP+19/SN
대책’	대책/NNG+’/SS
시행을	시행/NNG+을/JKO
코앞에	코앞/NNG+에/JKB
두고	두/VV+고/EC
대출규제가	대출/NNG+규제/NNG+가/JKS
강화되기	강화/NNG+되/XSV+기/ETN
전에	전/NNG+에/JKB
미리	미리/MAG
대출을	대출/NNG+을/JKO
받으려는	받/VV+으려는/ETM
선수요를	선수요/NNG+를/JKO
잡기	잡/VV+기/ETN
위해	위하/VV+아/EC
일선	일선/NNG
창구지도에	창구/NNG+지도/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.15.9.2
김영기 금융감독원 은행담당 부원장보는 이날 “주요 은행들에 대출규제를 피하기 위해 미리 돈을 빌려주는 일이 없도록 요청했다”고 말했다.

김영기	김영기/NNP
금융감독원	금융/NNG+감독원/NNG
은행담당	은행/NNG+담당/NNG
부원장보는	부원장보/NNG+는/JX
이날	이날/NNG
“주요	“/SS+주요/NNG
은행들에	은행/NNG+들/XSN+에/JKB
대출규제를	대출/NNG+규제/NNG+를/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
미리	미리/MAG
돈을	돈/NNG+을/JKO
빌려주는	빌려주/VV+는/ETM
일이	일/NNG+이/JKS
없도록	없/VA+도록/EC
요청했다”고	요청/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.15.9.3
금감원은 부동산 대책 발표 사흘째인 이날까지 각 금융회사의 대출 창구는 아직 이상징후가 보이지 않는다고 밝혔다.

금감원은	금감원/NNG+은/JX
부동산	부동산/NNG
대책	대책/NNG
발표	발표/NNG
사흘째인	사흘/NNG+째/XSN+이/VCP+ㄴ/ETM
이날까지	이날/NNG+까지/JX
각	각/MMD
금융회사의	금융/NNG+회사/NNG+의/JKG
대출	대출/NNG
창구는	창구/NNG+는/JX
아직	아직/MAG
이상징후가	이상/NNG+징후/NNG+가/JKS
보이지	보이/VV+지/EC
않는다고	않/VX+는다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.15.9.4
금융당국은 주택담보대출을 받는 게 종전보다 까다로워지면 자영업자 대출로 우회하는 ‘풍선효과’가 제2금융권을 중심으로 나타날 가능성이 있다고 보고 8월 발표 예정인 가계부채 종합대책에 관련 대책을 마련할 방침이다.

금융당국은	금융/NNG+당국/NNG+은/JX
주택담보대출을	주택/NNG+담보/NNG+대출/NNG+을/JKO
받는	받/VV+는/ETM
게	거/NNB+이/JKS
종전보다	종전/NNG+보다/JKB
까다로워지면	까다롭/VA+어/EC+지/VX+면/EC
자영업자	자영업자/NNG
대출로	대출/NNG+로/JKB
우회하는	우회/NNG+하/XSV+는/ETM
‘풍선효과’가	‘/SS+풍선/NNG+효과/NNG+’/SS+가/JKS
제2금융권을	제/XPN+2/SN+금융/NNG+권/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
나타날	나타나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
보고	보/VV+고/EC
8월	8/SN+월/NNB
발표	발표/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
가계부채	가계/NNG+부채/NNG
종합대책에	종합/NNG+대책/NNG+에/JKB
관련	관련/NNG
대책을	대책/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


