# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.283
metadata : {}


# id : NWRW1800000038.283.1.1
[태평로] 공짜 티켓과 프로 스포츠

[태평로]	[/SS+태평로/NNP+]/SS
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.283.3.2
오히려 공연 예술 분야에선 그 폐해가 심각해졌다.

오히려	오히려/MAG
공연	공연/NNG
예술	예술/NNG
분야에선	분야/NNG+에서/JKB+ㄴ/JX
그	그/MMD
폐해가	폐해/NNG+가/JKS
심각해졌다.	심각하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.283.3.3
급기야 지난 2006년에는 국내 중견 공연 예술 단체들이 자체 제작하는 작품에 대해선 초대권을 발행하지 않겠다고 선언하기에 이르렀다.

급기야	급기야/MAG
지난	지나/VV+ㄴ/ETM
2006년에는	2006/SN+년/NNB+에/JKB+는/JX
국내	국내/NNG
중견	중견/NNG
공연	공연/NNG
예술	예술/NNG
단체들이	단체/NNG+들/XSN+이/JKS
자체	자체/NNG
제작하는	제작/NNG+하/XSV+는/ETM
작품에	작품/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
초대권을	초대/NNG+권/XSN+을/JKO
발행하지	발행/NNG+하/XSV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
선언하기에	선언/NNG+하/XSV+기에/EC
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.283.3.4
전년도 조사에서 국내 공연 예술을 관람한 1167만명 가운데 3분의 2가 넘는 790만명이 '공짜 관객'이었다는 조사가 나온 게 계기였다.

전년도	전년도/NNG
조사에서	조사/NNG+에서/JKB
국내	국내/NNG
공연	공연/NNG
예술을	예술/NNG+을/JKO
관람한	관람/NNG+하/XSV+ㄴ/ETM
1167만명	1167/SN+만/NR+명/NNB
가운데	가운데/NNG
3분의	3/SN+분/XSN+의/JKG
2가	2/SN+가/JKS
넘는	넘/VV+는/ETM
790만명이	790/SN+만/NR+명/NNB+이/JKS
'공짜	'/SS+공짜/NNG
관객'이었다는	관객/NNG+'/SS+이/VCP+었/EP+다는/ETM
조사가	조사/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
게	거/NNB+이/JKS
계기였다.	계기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.283.4.1
국내 스포츠 상황은 어떨까.

국내	국내/NNG
스포츠	스포츠/NNG
상황은	상황/NNG+은/JX
어떨까.	어떻/VA+ㄹ까/EF+./SF


# id : NWRW1800000038.283.4.2
1982년 프로야구가 출범한 데 이어 이듬해 프로축구가 막을 올리면서 국내 스포츠 이벤트는 이전과 비교할 수 없을 만큼 풍성해졌다.

1982년	1982/SN+년/NNB
프로야구가	프로/NNG+야구/NNG+가/JKS
출범한	출범/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
이듬해	이듬해/NNG
프로축구가	프로/NNG+축구/NNG+가/JKS
막을	막/NNG+을/JKO
올리면서	올리/VV+면서/EC
국내	국내/NNG
스포츠	스포츠/NNG
이벤트는	이벤트/NNG+는/JX
이전과	이전/NNG+과/JKB
비교할	비교/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
만큼	만큼/NNB
풍성해졌다.	풍성/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.283.4.3
프로농구에 프로배구까지 가세하며 대한민국은 프로 스포츠의 천국이 됐다.

프로농구에	프로/NNG+농구/NNG+에/JKB
프로배구까지	프로/NNG+배구/NNG+까지/JX
가세하며	가세/NNG+하/XSV+며/EC
대한민국은	대한민국/NNP+은/JX
프로	프로/NNG
스포츠의	스포츠/NNG+의/JKG
천국이	천국/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.283.4.4
하지만 일선 구단들의 재정(財政) 자립도는 형편없다.

하지만	하지만/MAJ
일선	일선/NNG
구단들의	구단/NNG+들/XSN+의/JKG
재정(財政)	재정/NNG+(/SS+財政/SH+)/SS
자립도는	자립/NNG+도/NNG+는/JX
형편없다.	형편없/VA+다/EF+./SF


# id : NWRW1800000038.283.4.5
모기업 등 외부 지원금이 끊기면 손가락 빠는 신세가 될 구단이 수두룩하다.

모기업	모기업/NNG
등	등/NNB
외부	외부/NNG
지원금이	지원금/NNG+이/JKS
끊기면	끊기/VV+면/EC
손가락	손가락/NNG
빠는	빨/VV+는/ETM
신세가	신세/NNG+가/JKC
될	되/VV+ㄹ/ETM
구단이	구단/NNG+이/JKS
수두룩하다.	수두룩하/VA+다/EF+./SF


# id : NWRW1800000038.283.5.1
올해 'K리그 클래식'으로 이름을 바꾼 프로축구 1부 리그는 아직도 시즌권이 헐값에 팔리고 있다.

올해	올해/NNG
'K리그	'/SS+K/SL+리그/NNG
클래식'으로	클래식/NNG+'/SS+으로/JKB
이름을	이름/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
프로축구	프로/NNG+축구/NNG
1부	1부/NNG
리그는	리그/NNG+는/JX
아직도	아직/MAG+도/JX
시즌권이	시즌/NNG+권/XSN+이/JKS
헐값에	헐값/NNG+에/JKB
팔리고	팔리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.283.5.2
'클래식'이라는 단어가 낯뜨거울 지경이다.

'클래식'이라는	'/SS+클래식/NNG+'/SS+이/VCP+라는/ETM
단어가	단어/NNG+가/JKS
낯뜨거울	낯/NNG+뜨겁/VA+ㄹ/ETM
지경이다.	지경/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.283.5.3
올해 프로축구 팬들이 홈에서 열리는 19경기를 전부 볼 수 있는 시즌권 값이 4만~8만원 수준이다.

올해	올해/NNG
프로축구	프로/NNG+축구/NNG
팬들이	팬/NNG+들/XSN+이/JKS
홈에서	홈/NNG+에서/JKB
열리는	열리/VV+는/ETM
19경기를	19/SN+경기/NNG+를/JKO
전부	전부/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시즌권	시즌/NNG+권/XSN
값이	값/NNG+이/JKS
4만~8만원	4/SN+만/NR+~/SO+8/SN+만/NR+원/NNB
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.283.5.4
한 경기를 보는 데 커피 한 잔 값도 안 들어간다는 얘기다.

한	한/MMN
경기를	경기/NNG+를/JKO
보는	보/VV+는/ETM
데	데/NNB
커피	커피/NNG
잔	잔/NNG
값도	값/NNG+도/JX
안	안/MAG
들어간다는	들어가/VV+ㄴ다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.283.5.5
그나마도 잘 안 팔려서 구단이 관련 기업에 '반강매'하다시피 떠넘기는 일이 비일비재하다.

그나마도	그나마/MAG+도/JX
잘	잘/MAG
안	안/MAG
팔려서	팔리/VV+어서/EC
구단이	구단/NNG+이/JKS
관련	관련/NNG
기업에	기업/NNG+에/JKB
'반강매'하다시피	'/SS+반강매/NNG+'/SS+하/XSV+다시피/EC
떠넘기는	떠넘기/VV+는/ETM
일이	일/NNG+이/JKS
비일비재하다.	비일비재/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.283.6.1
MLS(미국프로축구리그) 밴쿠버 화이트캡스에서 뛰고 있는 축구 선수 이영표는 지난달 자기 트위터에 "인구 12만명의 이곳 작은 마을에 있는 아마추어 대학 축구팀 시즌 티켓이 한국 돈으로 4만3천원이네요"라고 적었다.

MLS(미국프로축구리그)	MLS/SL+(/SS+미국/NNP+프로/NNG+축구/NNG+리그/NNG+)/SS
밴쿠버	밴쿠버/NNP
화이트캡스에서	화이트캡스/NNP+에서/JKB
뛰고	뛰/VV+고/EC
있는	있/VA+는/ETM
축구	축구/NNG
선수	선수/NNG
이영표는	이영표/NNP+는/JX
지난달	지난달/NNG
자기	자기/NP
트위터에	트위터/NNP+에/JKB
"인구	"/SS+인구/NNG
12만명의	12/SN+만/NR+명/NNB+의/JKG
이곳	이곳/NP
작은	작/VA+은/ETM
마을에	마을/NNG+에/JKB
아마추어	아마추어/NNG
대학	대학/NNG
축구팀	축구팀/NNG
시즌	시즌/NNG
티켓이	티켓/NNG+이/JKS
한국	한국/NNP
돈으로	돈/NNG+으로/JKB
4만3천원이네요"라고	4/SN+만/NR+3/SN+천/NR+원/NNB+이/VCP+네/EF+요/JX+"/SS+라고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.283.6.2
그는 월드컵 4강까지 오른 한국 축구가 아직도 후진적인 시스템으로 운영되고 있는 현실을 안타까워했다.

그는	그/NP+는/JX
월드컵	월드컵/NNG
4강까지	4/SN+강/NNB+까지/JX
오른	오르/VV+ㄴ/ETM
한국	한국/NNP
축구가	축구/NNG+가/JKS
아직도	아직/MAG+도/JX
후진적인	후진/NNG+적/XSN+이/VCP+ㄴ/ETM
시스템으로	시스템/NNG+으로/JKB
운영되고	운영/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
현실을	현실/NNG+을/JKO
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.283.7.1
그런 와중에 지난 주말 모처럼 반가운 소식이 들렸다.

그런	그런/MMD
와중에	와중/NNG+에/JKB
지난	지나/VV+ㄴ/ETM
주말	주말/NNG
모처럼	모처럼/MAG
반가운	반갑/VA+ㄴ/ETM
소식이	소식/NNG+이/JKS
들렸다.	들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.283.7.2
성남과 수원의 프로축구 경기를 관전하려고 성남 탄천종합운동장을 찾은 권오갑 한국프로축구연맹 총재가 팬들과 함께 매표소 앞에 줄을 서서 직접 티켓을 구매해 입장한 것이다.

성남과	성남/NNP+과/JC
수원의	수원/NNP+의/JKG
프로축구	프로/NNG+축구/NNG
경기를	경기/NNG+를/JKO
관전하려고	관전/NNG+하/XSV+려고/EC
성남	성남/NNP
탄천종합운동장을	탄천종합운동장/NNP+을/JKO
찾은	찾/VV+은/ETM
권오갑	권오갑/NNP
한국프로축구연맹	한국프로축구연맹/NNP
총재가	총재/NNG+가/JKS
팬들과	팬/NNG+들/XSN+과/JKB
함께	함께/MAG
매표소	매표소/NNG
앞에	앞/NNG+에/JKB
줄을	줄/NNG+을/JKO
서서	서/VV+어서/EC
직접	직접/MAG
티켓을	티켓/NNG+을/JKO
구매해	구매/NNG+하/XSV+아/EC
입장한	입장/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.283.7.3
권 총재는 "프로 스포츠의 최고 가치는 관중이 경기장을 많이 찾아주는 것"이라며 "축구 표는 공짜라는 이미지를 불식하기 위해 앞으로 방문하는 모든 경기장에서 직접 티켓을 사서 입장하겠다"고 밝혔다.

권	권/NNP
총재는	총재/NNG+는/JX
"프로	"/SS+프로/NNG
스포츠의	스포츠/NNG+의/JKG
최고	최고/NNG
가치는	가치/NNG+는/JX
관중이	관중/NNG+이/JKS
경기장을	경기장/NNG+을/JKO
많이	많이/MAG
찾아주는	찾/VV+아/EC+주/VX+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"축구	"/SS+축구/NNG
표는	표/NNG+는/JX
공짜라는	공짜/NNG+이/VCP+라는/ETM
이미지를	이미지/NNG+를/JKO
불식하기	불식/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
앞으로	앞/NNG+으로/JKB
방문하는	방문/NNG+하/XSV+는/ETM
모든	모든/MMN
경기장에서	경기장/NNG+에서/JKB
직접	직접/MAG
티켓을	티켓/NNG+을/JKO
사서	사/VV+아서/EC
입장하겠다"고	입장/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.283.8.1
공짜 티켓을 무조건 없애자는 게 아니다.

공짜	공짜/NNG
티켓을	티켓/NNG+을/JKO
무조건	무/XPN+조건/NNG
없애자는	없애/VV+자는/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.283.8.2
미국 메이저리그 야구에서도 군인 등 특정 직업의 팬들에게 무료입장 혜택을 주는 경우가 많다.

미국	미국/NNP
메이저리그	메이저리그/NNG
야구에서도	야구/NNG+에서/JKB+도/JX
군인	군인/NNG
등	등/NNB
특정	특정/NNG
직업의	직업/NNG+의/JKG
팬들에게	팬/NNG+들/XSN+에게/JKB
무료입장	무료입장/NNG
혜택을	혜택/NNG+을/JKO
주는	주/VV+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.283.8.3
우리도 소년·소녀 가장 등을 위한 '의미 있는 공짜 표'는 유지하거나 더 확대해 나가야 한다.

우리도	우리/NP+도/JX
소년·소녀	소년/NNG+·/SP+소녀/NNG
가장	가장/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
'의미	'/SS+의미/NNG
있는	있/VA+는/ETM
공짜	공짜/NNG
표'는	표/NNG+'/SS+는/JX
유지하거나	유지/NNG+하/XSV+거나/EC
더	더/MAG
확대해	확대/NNG+하/XSV+아/EC
나가야	나가/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.283.9.1
하지만 프로 스포츠의 존립 기반을 갉아먹는 무분별한 공짜 티켓은 없애야 한다.

하지만	하지만/MAJ
프로	프로/NNG
스포츠의	스포츠/NNG+의/JKG
존립	존립/NNG
기반을	기반/NNG+을/JKO
갉아먹는	갉아먹/VV+는/ETM
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
공짜	공짜/NNG
티켓은	티켓/NNG+은/JX
없애야	없애/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.283.9.2
그러려면 인프라와 콘텐츠부터 바꿔야 한다.

그러려면	그러/VV+려면/EC
인프라와	인프라/NNG+와/JC
콘텐츠부터	콘텐츠/NNG+부터/JX
바꿔야	바꾸/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.283.9.3
거품만 가득한 선수들에게 1년에 수억원씩 퍼주고 그 내역을 공개하지 않는 축구판의 악습(惡習)은 뜯어고칠 때가 됐다.

거품만	거품/NNG+만/JX
가득한	가득/MAG+하/XSA+ㄴ/ETM
선수들에게	선수/NNG+들/XSN+에게/JKB
1년에	1/SN+년/NNB+에/JKB
수억원씩	수억/NR+원/NNB+씩/XSN
퍼주고	푸/VV+어/EC+주/VX+고/EC
그	그/MMD
내역을	내역/NNG+을/JKO
공개하지	공개/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
축구판의	축구/NNG+판/NNG+의/JKG
악습(惡習)은	악습/NNG+(/SS+惡習/SH+)/SS+은/JX
뜯어고칠	뜯어고치/VV+ㄹ/ETM
때가	때/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.283.9.4
승부 조작이라는 검은 유혹을 원천적으로 차단할 수 있는 시스템도 마련해야 한다.

승부	승부/NNG
조작이라는	조작/NNG+이/VCP+라는/ETM
검은	검/VA+은/ETM
유혹을	유혹/NNG+을/JKO
원천적으로	원천/NNG+적/XSN+으로/JKB
차단할	차단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시스템도	시스템/NNG+도/JX
마련해야	마련/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.283.9.5
팬들이 쾌적하게 경기를 즐길 수 있도록 경기장 시설을 업그레이드하는 것도 시급한 과제다.

팬들이	팬/NNG+들/XSN+이/JKS
쾌적하게	쾌적하/VA+게/EC
경기를	경기/NNG+를/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
경기장	경기장/NNG
시설을	시설/NNG+을/JKO
업그레이드하는	업그레이드/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
시급한	시급하/VA+ㄴ/ETM
과제다.	과제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.283.9.6
그런 체질 개선을 통해 스포츠 현장에 프로다운 멋진 플레이와 화려한 볼거리, 재미난 이벤트가 넘쳐난다면 팬들은 기꺼이 제값을 치르고 경기장을 찾게 될 것이다.

그런	그런/MMD
체질	체질/NNG
개선을	개선/NNG+을/JKO
통해	통하/VV+아/EC
스포츠	스포츠/NNG
현장에	현장/NNG+에/JKB
프로다운	프로/NNG+답/XSA+ㄴ/ETM
멋진	멋지/VA+ㄴ/ETM
플레이와	플레이/NNG+와/JC
화려한	화려하/VA+ㄴ/ETM
볼거리,	볼거리/NNG+,/SP
재미난	재미나/VV+ㄴ/ETM
이벤트가	이벤트/NNG+가/JKS
넘쳐난다면	넘치/VV+어/EC+나/VX+ㄴ다면/EC
팬들은	팬/NNG+들/XSN+은/JX
기꺼이	기꺼이/MAG
제값을	제값/NNG+을/JKO
치르고	치르/VV+고/EC
경기장을	경기장/NNG+을/JKO
찾게	찾/VV+게/EC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.283.9.7
그게 바로 프로 스포츠가 살 길이다.

그게	그거/NP+이/JKS
바로	바로/MAG
프로	프로/NNG
스포츠가	스포츠/NNG+가/JKS
살	살/VV+ㄹ/ETM
길이다.	길/NNG+이/VCP+다/EF+./SF


