# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.19
metadata : {}


# id : NWRW1800000053.19.1.1
[상생경영]넥슨, 청소년 코딩대회 ‘NYPC’로 프로그래밍 관심 높여

[상생경영]넥슨,	[/SS+상생/NNG+경영/NNG+]/SS+넥슨/NNP+,/SP
지난해 처음 개최된 NYPC에는 약 2500명이 온라인 예선 기간인 2주 동안 총 1만8000여 건의 문제 해결에 참여하는 등 호응이 좋았다.

지난해	지난해/NNG
처음	처음/NNG
개최된	개최/NNG+되/XSV+ㄴ/ETM
NYPC에는	NYPC/SL+에/JKB+는/JX
약	약/MMA
2500명이	2500/SN+명/NNB+이/JKS
온라인	온라인/NNG
예선	예선/NNG
기간인	기간/NNG+이/VCP+ㄴ/ETM
2주	2/SN+주/NNB
동안	동안/NNG
총	총/MMA
1만8000여	1/SN+만/NR+8000/SN+여/XSN
건의	건/NNB+의/JKG
문제	문제/NNG
해결에	해결/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
등	등/NNB
호응이	호응/NNG+이/JKS
좋았다.	좋/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.19.5.1
넥슨은 지난해 대회에 힘입어 올해 ‘제2회 NYPC’ 대회의 규모를 확대해 개최한다.

넥슨은	넥슨/NNP+은/JX
지난해	지난해/NNG
대회에	대회/NNG+에/JKB
힘입어	힘입/VV+어/EC
올해	올해/NNG
‘제2회	‘/SS+제/XPN+2/SN+회/NNB
NYPC’	NYPC/SL+’/SS
대회의	대회/NNG+의/JKG
규모를	규모/NNG+를/JKO
확대해	확대/NNG+하/XSV+아/EC
개최한다.	개최/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.19.5.2
본선 진출자 규모를 지난해 54명에서 올해 70명으로 늘렸다.

본선	본선/NNG
진출자	진출자/NNG
규모를	규모/NNG+를/JKO
지난해	지난해/NNG
54명에서	54/SN+명/NNB+에서/JKB
올해	올해/NNG
70명으로	70/SN+명/NNB+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.19.6.1
특히 어린 연령대의 학생들이 활발하게 참여할 수 있게 본선을 12∼14세(20명)와 15∼19세(50명) 부문으로 나눠 진행한다.

특히	특히/MAG
어린	어리/VA+ㄴ/ETM
연령대의	연령대/NNG+의/JKG
학생들이	학생/NNG+들/XSN+이/JKS
활발하게	활발하/VA+게/EC
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
본선을	본선/NNG+을/JKO
12∼14세(20명)와	12/SN+∼/SO+14/SN+세/NNB+(/SS+20/SN+명/NNB+)/SS+와/JC
15∼19세(50명)	15/SN+∼/SO+19/SN+세/NNB+(/SS+50/SN+명/NNB+)/SS
부문으로	부문/NNG+으로/JKB
나눠	나누/VV+어/EC
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.19.6.2
각 부분별로 맞춤형 문제가 출제되며 시상도 별도로 한다.

각	각/MMD
부분별로	부분/NNG+별/XSN+로/JKB
맞춤형	맞춤/NNG+형/XSN
문제가	문제/NNG+가/JKS
출제되며	출제/NNG+되/XSV+며/EC
시상도	시상/NNG+도/JX
별도로	별도/NNG+로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.19.6.3
10월 28일 넥슨 판교사옥에서 본선대회가 열린다.

10월	10/SN+월/NNB
28일	28/SN+일/NNB
넥슨	넥슨/NNP
판교사옥에서	판교/NNP+사옥/NNG+에서/JKB
본선대회가	본선/NNG+대회/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.19.6.4
온라인 예선 참가자는 이달 16일 기준으로 약 3400명을 넘어섰다.

온라인	온라인/NNG
예선	예선/NNG
참가자는	참가자/NNG+는/JX
이달	이달/NNG
16일	16/SN+일/NNB
기준으로	기준/NNG+으로/JKB
약	약/MMA
3400명을	3400/SN+명/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.19.7.1
올해도 넥슨 내 유수 개발자 및 외부 교수진을 초빙해 문제출제위원단(TFT)을 구성했다.

올해도	올해/NNG+도/JX
넥슨	넥슨/NNP
내	나/NP+의/JKG
유수	유수/NNG
개발자	개발자/NNG
및	및/MAG
외부	외부/NNG
교수진을	교수진/NNG+을/JKO
초빙해	초빙/NNG+하/XSV+아/EC
문제출제위원단(TFT)을	문제/NNG+출제/NNG+위원단/NNG+(/SS+TFT/SL+)/SS+을/JKO
구성했다.	구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.19.8.1
이번 대회는 창의적인 문제들을 다양하게 출제해 참가자들이 문제 풀이 과정 자체를 즐길 수 있게 할 예정이다.

이번	이번/NNG
대회는	대회/NNG+는/JX
창의적인	창의/NNG+적/XSN+이/VCP+ㄴ/ETM
문제들을	문제/NNG+들/XSN+을/JKO
다양하게	다양/NNG+하/XSA+게/EC
출제해	출제/NNG+하/XSV+아/EC
참가자들이	참가자/NNG+들/XSN+이/JKS
문제	문제/NNG
풀이	풀이/NNG
과정	과정/NNG
자체를	자체/NNG+를/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
할	하/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.19.9.1
무엇보다도 청소년들의 자발적인 참여를 이끌어내고 대회를 즐길 수 있게 분위기를 조성해 한국의 과학기술의 미래를 책임질 우수 인재를 발굴·육성해 나갈 계획이다.

무엇보다도	무엇/NP+보다/JKB+도/JX
청소년들의	청소년/NNG+들/XSN+의/JKG
자발적인	자발/NNG+적/XSN+이/VCP+ㄴ/ETM
참여를	참여/NNG+를/JKO
이끌어내고	이끌/VV+어/EC+내/VX+고/EC
대회를	대회/NNG+를/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
분위기를	분위기/NNG+를/JKO
조성해	조성/NNG+하/XSV+아/EC
한국의	한국/NNP+의/JKG
과학기술의	과학/NNG+기술/NNG+의/JKG
미래를	미래/NNG+를/JKO
책임질	책임지/VV+ㄹ/ETM
우수	우수/NNG
인재를	인재/NNG+를/JKO
발굴·육성해	발굴/NNG+·/SP+육성/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


