# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.334
metadata : {}


# id : NWRW1800000045.334.1.1
지역주민 등 조문객 첫날에만 2000여명… “오해 살라” 정치인은 드물어

지역주민	지역/NNG+주민/NNG
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.334.4.3
정진석 전 국회 사무총장은 전날 서울에서 조문하고 이날도 빈소를 찾아왔다.

정진석	정진석/NNP
전	전/MMD
국회	국회/NNG
사무총장은	사무총장/NNG+은/JX
전날	전날/NNG
서울에서	서울/NNP+에서/JKB
조문하고	조문/NNG+하/XSV+고/EC
이날도	이날/NNG+도/JX
빈소를	빈소/NNG+를/JKO
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.334.4.4
홍 의원은 “가깝게 지낸 동료의 죽음이 비통하다”고 말했다.

홍	홍/NNP
의원은	의원/NNG+은/JX
“가깝게	“/SS+가깝/VA+게/EC
지낸	지내/VV+ㄴ/ETM
동료의	동료/NNG+의/JKG
죽음이	죽음/NNG+이/JKS
비통하다”고	비통/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.334.4.5
박 대변인은 “개인 자격으로 찾아왔다”고 말했다.

박	박/NNP
대변인은	대변인/NNG+은/JX
“개인	“/SS+개인/NNG
자격으로	자격/NNG+으로/JKB
찾아왔다”고	찾아오/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.334.4.6
빈소에는 수십 개의 조화가 밀려들었지만 대부분 장학회나 지역 단체에서 보낸 것이었다.

빈소에는	빈소/NNG+에/JKB+는/JX
수십	수십/NR
개의	개/NNB+의/JKG
조화가	조화/NNG+가/JKS
밀려들었지만	밀려들/VV+었/EP+지만/EC
대부분	대/XPN+부분/NNG
장학회나	장학회/NNG+나/JC
지역	지역/NNG
단체에서	단체/NNG+에서/JKB
보낸	보내/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.334.4.7
정치인 중에는 정의화 국회의장과 유승민 원내대표가 조화를 보냈다.

정치인	정치인/NNG
중에는	중/NNB+에/JKB+는/JX
정의화	정의화/NNP
국회의장과	국회/NNG+의장/NNG+과/JC
유승민	유승민/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
조화를	조화/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.334.5.1
조문객들은 성 회장이 표적 사정을 당해 억울하고 불행한 죽음을 당했다고 입을 모았다.

조문객들은	조문객/NNG+들/XSN+은/JX
성	성/NNP
회장이	회장/NNG+이/JKS
표적	표적/NNG
사정을	사정/NNG+을/JKO
당해	당하/VV+아/EC
억울하고	억울/NNG+하/XSA+고/EC
불행한	불행/NNG+하/XSA+ㄴ/ETM
죽음을	죽음/NNG+을/JKO
당했다고	당하/VV+았/EP+다고/EC
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.334.5.2
오전 11시 20분경 취재진이 경남기업 관계자의 안내로 빈소 표정을 취재하는 순간 박성호 장례위원장이 격한 발언을 쏟아냈다.

오전	오전/NNG
11시	11/SN+시/NNB
20분경	20/SN+분/NNB+경/XSN
취재진이	취재진/NNG+이/JKS
경남기업	경남기업/NNP
관계자의	관계자/NNG+의/JKG
안내로	안내/NNG+로/JKB
빈소	빈소/NNG
표정을	표정/NNG+을/JKO
취재하는	취재/NNG+하/XSV+는/ETM
순간	순간/NNG
박성호	박성호/NNP
장례위원장이	장례/NNG+위원장/NNG+이/JKS
격한	격하/VA+ㄴ/ETM
발언을	발언/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.334.6.1
그는 이완구 총리의 실명을 거론하며 “충청도인의 가슴을 이렇게 멍들게 해놓고 국무총리라고 뭘 하겠다는 건가.

그는	그/NP+는/JX
이완구	이완구/NNP
총리의	총리/NNG+의/JKG
실명을	실명/NNG+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
“충청도인의	“/SS+충청도인/NNG+의/JKG
가슴을	가슴/NNG+을/JKO
이렇게	이렇/VA+게/EC
멍들게	멍들/VV+게/EC
해놓고	하/VX+아/EC+놓/VX+고/EC
국무총리라고	국무총리/NNG+이/VCP+라고/EC
뭘	뭐/NP+ㄹ/JKO
하겠다는	하/VV+겠/EP+다는/ETM
건가.	거/NNB+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000045.334.6.2
비리 회사가 80여 개나 되는데 왜 성완종 회사만 잡는 거냐”며 “나 같으면 이렇게 안 죽는다.

비리	비리/NNG
회사가	회사/NNG+가/JKS
80여	80/SN+여/XSN
개나	개/NNB+나/JX
되는데	되/VV+는데/EC
왜	왜/MAG
성완종	성완종/NNP
회사만	회사/NNG+만/JX
잡는	잡/VV+는/ETM
거냐”며	거/NNB+이/VCP+냐/EF+”/SS+며/EC
“나	“/SS+나/NP
같으면	같/VA+으면/EC
이렇게	이렇/VA+게/EC
안	안/MAG
죽는다.	죽/VV+는다/EF+./SF


# id : NWRW1800000045.334.6.3
굴비 엮듯 너도나도 다 엮어서 같이 갔을 거다”라고 말했다.

굴비	굴비/NNG
엮듯	엮/VV+듯/EC
너도나도	너도나도/MAG
다	다/MAG
엮어서	엮/VV+어서/EC
같이	같이/MAG
갔을	가/VV+았/EP+을/ETM
거다”라고	거/NNB+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.334.7.1
성 회장의 고향인 서산을 중심으로 충청권에서는 그가 어려운 환경을 딛고 자수성가한 지역의 대표적인 기업인으로 서산장학회를 통해 형편이 어려운 학생을 도왔던 점을 기억하며 그를 추모하는 분위기였다.

성	성/NNP
회장의	회장/NNG+의/JKG
고향인	고향/NNG+이/VCP+ㄴ/ETM
서산을	서산/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
충청권에서는	충청/NNP+권/XSN+에서/JKB+는/JX
그가	그/NP+가/JKS
어려운	어렵/VA+ㄴ/ETM
환경을	환경/NNG+을/JKO
딛고	딛/VV+고/EC
자수성가한	자수성가/NNG+하/XSV+ㄴ/ETM
지역의	지역/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
기업인으로	기업인/NNG+으로/JKB
서산장학회를	서산장학회/NNP+를/JKO
통해	통하/VV+아/EC
형편이	형편/NNG+이/JKS
학생을	학생/NNG+을/JKO
도왔던	돕/VV+았/EP+던/ETM
점을	점/NNG+을/JKO
기억하며	기억/NNG+하/XSV+며/EC
그를	그/NP+를/JKO
추모하는	추모/NNG+하/XSV+는/ETM
분위기였다.	분위기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.334.8.1
성 회장과 경쟁자였던 지역의 정치인이 “고인의 명복을 빈다”는 문자를 보내자 서산장학회 회원들이 “파렴치하다”며 비난 메시지를 쏟아낸 것으로 알려졌다.

성	성/NNP
회장과	회장/NNG+과/JC
경쟁자였던	경쟁자/NNG+이/VCP+었/EP+던/ETM
지역의	지역/NNG+의/JKG
정치인이	정치인/NNG+이/JKS
“고인의	“/SS+고인/NNG+의/JKG
명복을	명복/NNG+을/JKO
빈다”는	빌/VV+ㄴ다/EF+”/SS+는/ETM
문자를	문자/NNG+를/JKO
보내자	보내/VV+자/EC
서산장학회	서산장학회/NNP
회원들이	회원/NNG+들/XSN+이/JKS
“파렴치하다”며	“/SS+파렴치/NNG+하/XSA+다/EF+”/SS+며/EC
비난	비난/NNG
메시지를	메시지/NNG+를/JKO
쏟아낸	쏟/VV+아/EC+내/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.334.8.2
하지만 한 30대 지역 주민은 한 식당의 TV에서 성 회장의 뉴스가 나오자 “그가 잘못을 저지르지 않았으면 그런 궁지에 몰릴 이유도 없었을 것 아니냐”는 반응을 보이기도 했다.

하지만	하지만/MAJ
한	한/MMN
30대	30/SN+대/NNB
지역	지역/NNG
주민은	주민/NNG+은/JX
식당의	식당/NNG+의/JKG
TV에서	TV/SL+에서/JKB
성	성/NNP
회장의	회장/NNG+의/JKG
뉴스가	뉴스/NNG+가/JKS
나오자	나오/VV+자/EC
“그가	“/SS+그/NP+가/JKS
잘못을	잘못/NNG+을/JKO
저지르지	저지르/VV+지/EC
않았으면	않/VX+았/EP+으면/EC
그런	그런/MMD
궁지에	궁지/NNG+에/JKB
몰릴	몰리/VV+ㄹ/ETM
이유도	이유/NNG+도/JX
없었을	없/VA+었/EP+을/ETM
것	것/NNB
아니냐”는	아니/VCN+냐/EF+”/SS+는/ETM
반응을	반응/NNG+을/JKO
보이기도	보이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.334.9.1
이날 오후 박준호 전 경남기업 홍보담당 상무는 “유언장은 9일 아침 확인됐고, 가족 외에 두 명이 같이 열람했다.

이날	이날/NNG
오후	오후/NNG
박준호	박준호/NNP
전	전/MMD
경남기업	경남기업/NNP
홍보담당	홍보/NNG+담당/NNG
상무는	상무/NNG+는/JX
“유언장은	“/SS+유언장/NNG+은/JX
9일	9/SN+일/NNB
아침	아침/NNG
확인됐고,	확인/NNG+되/XSV+었/EP+고/EC+,/SP
가족	가족/NNG
외에	외/NNB+에/JKB
두	두/MMN
명이	명/NNB+이/JKS
같이	같이/MAG
열람했다.	열람/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.334.9.2
분량은 A4용지 한 페이지다.

분량은	분량/NNG+은/JX
A4용지	A/SL+4/SN+용지/NNG
한	한/MMN
페이지다.	페이지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.334.9.3
거기에는 주로 가족에게 남기는 메시지가 담겨 있다.

거기에는	거기/NP+에/JKB+는/JX
주로	주로/MAG
가족에게	가족/NNG+에게/JKB
남기는	남기/VV+는/ETM
메시지가	메시지/NNG+가/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.334.9.4
다른 내용(정관계 인사 로비 리스트)은 없다.

다른	다른/MMD
내용(정관계	내용/NNG+(/SS+정관계/NNG
인사	인사/NNG
로비	로비/NNG
리스트)은	리스트/NNG+)/SS+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.334.9.5
그리고 25년 동안 운영했던 장학사업을 계속 이어가길 바란다는 내용이 있다”고 말했다.

그리고	그리고/MAJ
25년	25/SN+년/NNB
동안	동안/NNG
운영했던	운영/NNG+하/XSV+았/EP+던/ETM
장학사업을	장학/NNG+사업/NNG+을/JKO
계속	계속/MAG
이어가길	잇/VV+어/EC+가/VX+기/ETN+ㄹ/JKO
바란다는	바라/VV+ㄴ다는/ETM
내용이	내용/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.334.10.1
박 전 상무는 성 회장의 메모에 등장하는 유력 인사들의 수사와 관련해 ‘검찰에서 자료를 요청하면 제출할 의향이 있느냐’는 질문에는 “필요하다면 제공하겠다”고 말했다.

박	박/NNP
전	전/MMD
상무는	상무/NNG+는/JX
성	성/NNP
회장의	회장/NNG+의/JKG
메모에	메모/NNG+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
유력	유력/NNG
인사들의	인사/NNG+들/XSN+의/JKG
수사와	수사/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
‘검찰에서	‘/SS+검찰/NNG+에서/JKB
자료를	자료/NNG+를/JKO
요청하면	요청/NNG+하/XSV+면/EC
제출할	제출/NNG+하/XSV+ㄹ/ETM
의향이	의향/NNG+이/JKS
있느냐’는	있/VA+느냐/EF+’/SS+는/ETM
질문에는	질문/NNG+에/JKB+는/JX
“필요하다면	“/SS+필요/NNG+하/XSA+다면/EC
제공하겠다”고	제공/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.334.10.2
하지만 성 회장의 동선과 스케줄을 수년 전 것도 정리해 둔 게 있느냐는 질문에는 “(그런 자료를) 그렇게 오랫동안 보관하지 않는다”고 답했다.

하지만	하지만/MAJ
성	성/NNP
회장의	회장/NNG+의/JKG
동선과	동선/NNG+과/JKB
스케줄을	스케줄/NNG+을/JKO
수년	수년/NNG
전	전/NNG
것도	것/NNB+도/JX
정리해	정리/NNG+하/XSV+아/EC
둔	두/VX+ㄴ/ETM
게	거/NNB+이/JKS
있느냐는	있/VA+느냐는/ETM
질문에는	질문/NNG+에/JKB+는/JX
“(그런	“/SS+(/SS+그런/MMD
자료를)	자료/NNG+를/JKO+)/SS
그렇게	그렇/VA+게/EC
오랫동안	오랫동안/NNG
보관하지	보관/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


