# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.12
metadata : {}


# id : NWRW1800000040.12.1.1
혼돈의 이탈리아…미국발 악재…국제 금융시장 ‘출렁’

혼돈의	혼돈/NNG+의/JKG
# id : NWRW1800000040.12.6.1
이탈리아 정부 공백 위기에 유로존 ‘충격’

이탈리아	이탈리아/NNP
정부	정부/NNG
공백	공백/NNG
위기에	위기/NNG+에/JKB
유로존	유로존/NNG
‘충격’	‘/SS+충격/NNG+’/SS


# id : NWRW1800000040.12.7.1
민주당, 상원서 과반에 못미쳐

민주당,	민주당/NNP+,/SP
상원서	상원/NNG+서/JKB
과반에	과반/NNG+에/JKB
못미쳐	못/MAG+미치/VV+어/EF


# id : NWRW1800000040.12.8.1
연정도 만만찮아…재선거 목소리

연정도	연정/NNG+도/JX
만만찮아…재선거	만만찮/VA+아/EC+…/SE+재/XPN+선거/NNG
목소리	목소리/NNG


# id : NWRW1800000040.12.9.1
긴축재정 약속 이행 ‘가시밭길’

긴축재정	긴축/NNG+재정/NNG
약속	약속/NNG
이행	이행/NNG
‘가시밭길’	‘/SS+가시밭길/NNG+’/SS


# id : NWRW1800000040.12.10.1
유로존 3대 경제대국 이탈리아의 총선 결과가 한동안 잠잠했던 유로존을 다시 혼란에 빠트리고 있다.

유로존	유로존/NNG
3대	3/SN+대/NNG
경제대국	경제/NNG+대국/NNG
이탈리아의	이탈리아/NNP+의/JKG
총선	총선/NNG
결과가	결과/NNG+가/JKS
한동안	한/XPN+동안/NNG
잠잠했던	잠잠하/VA+았/EP+던/ETM
유로존을	유로존/NNG+을/JKO
다시	다시/MAG
혼란에	혼란/NNG+에/JKB
빠트리고	빠트리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.12.10.2
성장정책 추가를 조건으로 경제개혁과 긴축재정 이행을 약속했던 민주당의 중도좌파 연합이 상원에서 과반 의석 확보에 실패하면서 재선거 전망이 나오고 있다.

성장정책	성장/NNG+정책/NNG
추가를	추가/NNG+를/JKO
조건으로	조건/NNG+으로/JKB
경제개혁과	경제/NNG+개혁/NNG+과/JC
긴축재정	긴축/NNG+재정/NNG
이행을	이행/NNG+을/JKO
약속했던	약속/NNG+하/XSV+았/EP+던/ETM
민주당의	민주당/NNP+의/JKG
중도좌파	중도/NNG+좌파/NNG
연합이	연합/NNG+이/JKS
상원에서	상원/NNG+에서/JKB
과반	과반/NNG
의석	의석/NNG
확보에	확보/NNG+에/JKB
실패하면서	실패/NNG+하/XSV+면서/EC
재선거	재/XPN+선거/NNG
전망이	전망/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.12.10.3
특히 긴축반대와 유로존 탈퇴를 주장하는 반체제 포퓰리즘 정당 오성운동이 제 3당으로 치고 올라오면서, 지난해 5월 그리스의 연정 구성 위기를 경험한 유로존 회원국과 시장의 불안감이 커지고 있다.

특히	특히/MAG
긴축반대와	긴축/NNG+반대/NNG+와/JC
유로존	유로존/NNG
탈퇴를	탈퇴/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
반체제	반/XPN+체제/NNG
포퓰리즘	포퓰리즘/NNG
정당	정당/NNG
오성운동이	오성/NNG+운동/NNG+이/JKS
제	제/XPN
3당으로	3/SN+당/NNG+으로/JKB
치고	치/VV+고/EC
올라오면서,	올라오/VV+면서/EC+,/SP
지난해	지난해/NNG
5월	5/SN+월/NNB
그리스의	그리스/NNP+의/JKG
연정	연정/NNG
구성	구성/NNG
위기를	위기/NNG+를/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
회원국과	회원국/NNG+과/JC
시장의	시장/NNG+의/JKG
불안감이	불안감/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.12.11.1
<에이피>(AP) 통신 등 외신은 25일(현지시각) 피에르 루이지 베르사니의 민주당이 전국단위 비례대표제가 적용되는 하원에서 1위를 차지했다고 보도했다.

<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신	통신/NNG
등	등/NNB
외신은	외신/NNG+은/JX
25일(현지시각)	25/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
피에르	피에르/NNP
루이지	루이지/NNP
베르사니의	베르사니/NNP+의/JKG
민주당이	민주당/NNP+이/JKS
전국단위	전국/NNG+단위/NNG
비례대표제가	비례/NNG+대표/NNG+제/XSN+가/JKS
적용되는	적용/NNG+되/XSV+는/ETM
하원에서	하원/NNG+에서/JKB
1위를	1/SN+위/NNB+를/JKO
차지했다고	차지/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.12.11.2
이에 따라 총 640석 가운데 제 1당에 배정되는 의석 55%(340석)를 확보할 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
총	총/MMA
640석	640/SN+석/NNB
가운데	가운데/NNG
제	제/XPN
1당에	1/SN+당/NNG+에/JKB
배정되는	배정/NNG+되/XSV+는/ETM
의석	의석/NNG
55%(340석)를	55/SN+%/SW+(/SS+340/SN+석/NNB+)/SS+를/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.12.11.3
개표율 99.9% 현재 하원에서 민주당은 29.55%, 실비오 베를루스코니의 자유국민당은 29.18%를 득표한 것으로 집계됐다.

개표율	개표/NNG+율/XSN
99.9%	99/SN+./SP+9/SN+%/SW
현재	현재/MAG
하원에서	하원/NNG+에서/JKB
민주당은	민주당/NNP+은/JX
29.55%,	29/SN+./SP+55/SN+%/SW+,/SP
실비오	실비오/NNP
베를루스코니의	베를루스코니/NNP+의/JKG
자유국민당은	자유국민당/NNP+은/JX
29.18%를	29/SN+./SP+18/SN+%/SW+를/JKO
득표한	득표/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.12.11.4
개그맨 베페 그릴로의 오성운동은 25.55%를 득표해 돌풍을 확인시켰고, 기술 관료 마리오 몬티 총리의 중도연합은 10.56%로 최대 패자가 됐다.

개그맨	개그맨/NNG
베페	베페/NNP
그릴로의	그릴로/NNP+의/JKG
오성운동은	오성/NNG+운동/NNG+은/JX
25.55%를	25/SN+./SP+55/SN+%/SW+를/JKO
득표해	득표/NNG+하/XSV+아/EC
돌풍을	돌풍/NNG+을/JKO
확인시켰고,	확인/NNG+시키/XSV+었/EP+고/EC+,/SP
기술	기술/NNG
관료	관료/NNG
마리오	마리오/NNP
몬티	몬티/NNP
총리의	총리/NNG+의/JKG
중도연합은	중도/NNG+연합/NNG+은/JX
10.56%로	10/SN+./SP+56/SN+%/SW+로/JKB
최대	최대/NNG
패자가	패자/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.12.11.5
하지만 결과발표 직후 자유국민당은 표차가 12만5000표에 불과하다며 재검표를 요구해 한동안 혼란이 불가피할 전망이다.

하지만	하지만/MAJ
결과발표	결과/NNG+발표/NNG
직후	직후/NNG
자유국민당은	자유국민당/NNP+은/JX
표차가	표/NNG+차/NNG+가/JKS
12만5000표에	12/SN+만/NR+5000/SN+표/NNG+에/JKB
불과하다며	불과/MAG+하/XSA+다며/EC
재검표를	재/XPN+검표/NNG+를/JKO
요구해	요구/NNG+하/XSV+아/EC
한동안	한/XPN+동안/NNG
혼란이	혼란/NNG+이/JKS
불가피할	불가피하/VA+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.12.12.1
지역 단위로 비례대표가 적용되는 상원의 선거 결과는 더욱 복잡하다.

지역	지역/NNG
단위로	단위/NNG+로/JKB
비례대표가	비례/NNG+대표/NNG+가/JKS
적용되는	적용/NNG+되/XSV+는/ETM
상원의	상원/NNG+의/JKG
선거	선거/NNG
결과는	결과/NNG+는/JX
더욱	더욱/MAG
복잡하다.	복잡하/VA+다/EF+./SF


# id : NWRW1800000040.12.12.2
지역별로 최다득표 정당이 과반 의석을 차지하는 구조다.

지역별로	지역/NNG+별/XSN+로/JKB
최다득표	최다/NNG+득표/NNG
정당이	정당/NNG+이/JKS
과반	과반/NNG
의석을	의석/NNG+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
구조다.	구조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.12.12.3
민주당은 상원 전체 득표율에서 31.64%로 자유국민당의 30.73%를 앞섰지만 과반인 158석 확보엔 실패했다.

민주당은	민주당/NNP+은/JX
상원	상원/NNG
전체	전체/NNG
득표율에서	득표/NNG+율/XSN+에서/JKB
31.64%로	31/SN+./SP+64/SN+%/SW+로/JKB
자유국민당의	자유국민당/NNP+의/JKG
30.73%를	30/SN+./SP+73/SN+%/SW+를/JKO
앞섰지만	앞서/VV+었/EP+지만/EC
과반인	과반/NNG+이/VCP+ㄴ/ETM
158석	158/SN+석/NNB
확보엔	확보/NNG+에/JKB+ㄴ/JX
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.12.12.4
민주당은 총 315석 가운데 120여석 남짓 확보할 전망인데, 중도연합과 연정을 구성해도 140여석에 불과하다.

민주당은	민주당/NNP+은/JX
총	총/MMA
315석	315/SN+석/NNB
가운데	가운데/NNG
120여석	120/SN+여/XSN+석/NNB
남짓	남짓/NNB
확보할	확보/NNG+하/XSV+ㄹ/ETM
전망인데,	전망/NNG+이/VCP+ㄴ데/EC+,/SP
중도연합과	중도/NNG+연합/NNG+과/JKB
연정을	연정/NNG+을/JKO
구성해도	구성/NNG+하/XSV+아도/EC
140여석에	140/SN+여/XSN+석/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000040.12.12.5
자유국민당은 120석 미만, 오성운동은 50여석을 확보할 것으로 예상된다.

자유국민당은	자유국민당/NNP+은/JX
120석	120/SN+석/NNB
미만,	미만/NNG+,/SP
오성운동은	오성/NNG+운동/NNG+은/JX
50여석을	50/SN+여/XSN+석/NNB+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.12.13.1
이탈리아는 상·하원 모두에서 과반을 차지해야 정부를 꾸릴 수 있다.

이탈리아는	이탈리아/NNP+는/JX
상·하원	상·하원/NNG
모두에서	모두/NNG+에서/JKB
과반을	과반/NNG+을/JKO
차지해야	차지/NNG+하/XSV+아야/EC
정부를	정부/NNG+를/JKO
꾸릴	꾸리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.12.13.2
민주당은 중도연합, 오성운동과 연정을 시도할 것으로 예상된다.

민주당은	민주당/NNP+은/JX
중도연합,	중도/NNG+연합/NNG+,/SP
오성운동과	오성/NNG+운동/NNG+과/JKB
연정을	연정/NNG+을/JKO
시도할	시도/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.12.13.3
하지만 오성운동은 기존 정당의 정책과 정실인사 문화를 비판하며 “어떤 정당과도 손잡지 않겠다”고 밝힌 바 있다.

하지만	하지만/MAJ
오성운동은	오성/NNG+운동/NNG+은/JX
기존	기존/NNG
정당의	정당/NNG+의/JKG
정책과	정책/NNG+과/JC
정실인사	정실/NNG+인사/NNG
문화를	문화/NNG+를/JKO
비판하며	비판/NNG+하/XSV+며/EC
“어떤	“/SS+어떤/MMD
정당과도	정당/NNG+과/JKB+도/JX
손잡지	손잡/VV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.12.13.4
중도연합도 연정 참여 확답을 피하고 있다.

중도연합도	중도/NNG+연합/NNG+도/JX
연정	연정/NNG
참여	참여/NNG
확답을	확답/NNG+을/JKO
피하고	피하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.12.13.5
좌·우 대연정 가능성도 제기된다.

좌·우	좌·우/NNG
대연정	대/XPN+연정/NNG
가능성도	가능/NNG+성/XSN+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.12.13.6
하지만 민주당 내부에서조차 정책이 상반된 정당들이 연정을 구성해 옥신각신하느니 재선거를 치르는 게 낫다는 목소리가 나오고 있다.

하지만	하지만/MAJ
민주당	민주당/NNP
내부에서조차	내부/NNG+에서/JKB+조차/JX
정책이	정책/NNG+이/JKS
상반된	상반/NNG+되/XSV+ㄴ/ETM
정당들이	정당/NNG+들/XSN+이/JKS
연정을	연정/NNG+을/JKO
구성해	구성/NNG+하/XSV+아/EC
옥신각신하느니	옥신각신/NNG+하/XSV+느니/EC
재선거를	재/XPN+선거/NNG+를/JKO
치르는	치르/VV+는/ETM
게	거/NNB+이/JKS
낫다는	낫/VA+다는/ETM
목소리가	목소리/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.12.13.7
엔리코 레타 민주당 부대표는 “새 의회는 제어가 안 될 것이다.

엔리코	엔리코/NNP
레타	레타/NNP
민주당	민주당/NNP
부대표는	부대표/NNG+는/JX
“새	“/SS+새/MMA
의회는	의회/NNG+는/JX
제어가	제어/NNG+가/JKS
안	안/MAG
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.12.13.8
다시 선거를 치르게 될 것”이라고 전망했다.

다시	다시/MAG
선거를	선거/NNG+를/JKO
치르게	치르/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.12.14.1
이탈리아가 안정적으로 경제개혁과 긴축재정을 이행하길 원하던 유로존은 긴장감이 역력하다.

이탈리아가	이탈리아/NNP+가/JKS
안정적으로	안정/NNG+적/XSN+으로/JKB
경제개혁과	경제/NNG+개혁/NNG+과/JC
긴축재정을	긴축/NNG+재정/NNG+을/JKO
이행하길	이행/NNG+하/XSV+기/ETN+ㄹ/JKO
원하던	원/NNG+하/XSV+던/ETM
유로존은	유로존/NNG+은/JX
긴장감이	긴장감/NNG+이/JKS
역력하다.	역력하/VA+다/EF+./SF


# id : NWRW1800000040.12.14.2
반긴축을 내세운 자유국민당과 오성운동의 득표율을 단순 합산하면 55%로, 강도높은 긴축재정에 대한 여론의 반감을 확인할 수 있다.

반긴축을	반/XPN+긴축/NNG+을/JKO
내세운	내세우/VV+ㄴ/ETM
자유국민당과	자유국민당/NNP+과/JC
오성운동의	오성/NNG+운동/NNG+의/JKG
득표율을	득표/NNG+율/XSN+을/JKO
단순	단순/NNG
합산하면	합산/NNG+하/XSV+면/EC
55%로,	55/SN+%/SW+로/JKB+,/SP
강도높은	강도/NNG+높/VA+은/ETM
긴축재정에	긴축/NNG+재정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
여론의	여론/NNG+의/JKG
반감을	반감/NNG+을/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.12.14.3
시장의 불안은 수치로 나타났다.

시장의	시장/NNG+의/JKG
불안은	불안/NNG+은/JX
수치로	수치/NNG+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.12.14.4
유럽의 안전자산인 10년물 독일 국채와 이탈리아 국채간 격차는 이날 258bp(1bp=0.01% 포인트)에서 293bp로 치솟았고, 유로화 가치는 달러화 대비 1% 떨어졌다.

유럽의	유럽/NNP+의/JKG
안전자산인	안전/NNG+자산/NNG+이/VCP+ㄴ/ETM
10년물	10/SN+년물/NNG
독일	독일/NNP
국채와	국채/NNG+와/JC
이탈리아	이탈리아/NNP
국채간	국채/NNG+간/NNB
격차는	격차/NNG+는/JX
이날	이날/NNG
258bp(1bp=0.01%	258/SN+bp/SW+(/SS+1/SN+bp/SW+=/SW+0/SN+./SP+01/SN+%/SW
포인트)에서	포인트/NNG+)/SS+에서/JKB
293bp로	293/SN+bp/SW+로/JKB
치솟았고,	치솟/VV+았/EP+고/EC+,/SP
유로화	유로화/NNG
가치는	가치/NNG+는/JX
달러화	달러화/NNG
대비	대비/NNG
1%	1/SN+%/SW
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


