# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.199
metadata : {}


# id : NWRW1800000026.199.1.1
[그것은 이렇습니다] 남아공월드컵 선수들의 경기당 뛴 거리는 어떻게 측정하나?

[그것은	[/SS+그것/NP+은/JX
수	수/NNB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000026.199.6.1
한국 선수들은 1차전에선 총 108.831㎞를 뛰며 빠른 역습과 강한 압박으로 그리스(105.612㎞)를 눌렀습니다.

한국	한국/NNP
선수들은	선수/NNG+들/XSN+은/JX
1차전에선	1/SN+차전/NNB+에서/JKB+ㄴ/JX
총	총/MMA
108.831㎞를	108/SN+./SP+831/SN+㎞/SW+를/JKO
뛰며	뛰/VV+며/EC
빠른	빠르/VA+ㄴ/ETM
역습과	역습/NNG+과/JC
강한	강하/VA+ㄴ/ETM
압박으로	압박/NNG+으로/JKB
그리스(105.612㎞)를	그리스/NNP+(/SS+105/SN+./SP+612/SN+㎞/SW+)/SS+를/JKO
눌렀습니다.	누르/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000026.199.6.2
2차전에서도 한국은 총 103.086㎞를 달리며 아르헨티나(97.141㎞)에 맞섰습니다.

2차전에서도	2/SN+차전/NNB+에서/JKB+도/JX
한국은	한국/NNP+은/JX
총	총/MMA
103.086㎞를	103/SN+./SP+086/SN+㎞/SW+를/JKO
달리며	달리/VV+며/EC
아르헨티나(97.141㎞)에	아르헨티나/NNP+(/SS+97/SN+./SP+141/SN+㎞/SW+)/SS+에/JKB
맞섰습니다.	맞서/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000026.199.6.3
특히 한국의 주장 박지성은 ‘두 개의 심장’이란 별명답게 1차전에서 10.844㎞, 2차전에서 10.788㎞를 뛰는 엄청난 활동력으로 팀을 이끌었습니다.

특히	특히/MAG
한국의	한국/NNP+의/JKG
주장	주장/NNG
박지성은	박지성/NNP+은/JX
‘두	‘/SS+두/MMN
개의	개/NNB+의/JKG
심장’이란	심장/NNG+’/SS+이란/JX
별명답게	별명/NNG+답/XSA+게/EC
1차전에서	1/SN+차전/NNB+에서/JKB
10.844㎞,	10/SN+./SP+844/SN+㎞/SW+,/SP
2차전에서	2/SN+차전/NNB+에서/JKB
10.788㎞를	10/SN+./SP+788/SN+㎞/SW+를/JKO
뛰는	뛰/VV+는/ETM
엄청난	엄청나/VA+ㄴ/ETM
활동력으로	활동력/NNG+으로/JKB
팀을	팀/NNG+을/JKO
이끌었습니다.	이끌/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000026.199.7.1
이러한 기록들은 FIFA와 계약을 맺은 이탈리아의 스포츠 영상분석회사 ‘델타트레(Deltatre)’가 만들어내는 결과물입니다.

이러한	이러하/VA+ㄴ/ETM
기록들은	기록/NNG+들/XSN+은/JX
FIFA와	FIFA/SL+와/JKB
계약을	계약/NNG+을/JKO
맺은	맺/VV+은/ETM
이탈리아의	이탈리아/NNP+의/JKG
스포츠	스포츠/NNG
영상분석회사	영상/NNG+분석/NNG+회사/NNG
‘델타트레(Deltatre)’가	‘/SS+델타트레/NNP+(/SS+Deltatre/SL+)/SS+’/SS+가/JKS
만들어내는	만들/VV+어/EC+내/VX+는/ETM
결과물입니다.	결과물/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.199.7.2
델타트레가 경기장에 설치한 16대의 카메라는 운동장을 16분의 1로 나눠 구역별로 선수들의 움직임을 촬영합니다.

델타트레가	델타트레/NNP+가/JKS
경기장에	경기장/NNG+에/JKB
설치한	설치/NNG+하/XSV+ㄴ/ETM
16대의	16/SN+대/NNB+의/JKG
카메라는	카메라/NNG+는/JX
운동장을	운동장/NNG+을/JKO
16분의	16/SN+분/XSN+의/JKG
1로	1/SN+로/JKB
나눠	나누/VV+어/EC
구역별로	구역/NNG+별/XSN+로/JKB
선수들의	선수/NNG+들/XSN+의/JKG
움직임을	움직임/NNG+을/JKO
촬영합니다.	촬영/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000026.199.7.3
그러면 16개의 영상이 조합돼 하나의 운동장 화면 위에 선수 22명과 공 등이 점으로 표현돼 실시간으로 움직이는 컴퓨터 그래픽이 만들어집니다.

그러면	그러면/MAJ
16개의	16/SN+개/NNB+의/JKG
영상이	영상/NNG+이/JKS
조합돼	조합/NNG+되/XSV+어/EC
하나의	하나/NR+의/JKG
운동장	운동장/NNG
화면	화면/NNG
위에	위/NNG+에/JKB
선수	선수/NNG
22명과	22/SN+명/NNB+과/JC
공	공/NNG
등이	등/NNB+이/JKS
점으로	점/NNG+으로/JKB
표현돼	표현/NNG+되/XSV+어/EC
실시간으로	실시간/NNG+으로/JKB
움직이는	움직이/VV+는/ETM
컴퓨터	컴퓨터/NNG
그래픽이	그래픽/NNG+이/JKS
만들어집니다.	만들/VV+어/EC+지/VX+ㅂ니다/EF+./SF


# id : NWRW1800000026.199.8.1
이후 움직이는 점들과 경기에서 뛰는 선수의 특징 등을 기반으로 선수 개개인에 대한 인식정보를 입력해 두면 컴퓨터 프로그램이 알아서 특정선수를 추적하며 실시간으로 개인별 데이터를 뽑아내는 것입니다.

이후	이후/NNG
움직이는	움직이/VV+는/ETM
점들과	점/NNG+들/XSN+과/JC
경기에서	경기/NNG+에서/JKB
뛰는	뛰/VV+는/ETM
선수의	선수/NNG+의/JKG
특징	특징/NNG
등을	등/NNB+을/JKO
기반으로	기반/NNG+으로/JKB
선수	선수/NNG
개개인에	개개인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식정보를	인식/NNG+정보/NNG+를/JKO
입력해	입력/NNG+하/XSV+아/EC
두면	두/VX+면/EC
컴퓨터	컴퓨터/NNG
프로그램이	프로그램/NNG+이/JKS
알아서	알/VV+아서/EC
특정선수를	특정/NNG+선수/NNG+를/JKO
추적하며	추적/NNG+하/XSV+며/EC
실시간으로	실시간/NNG+으로/JKB
개인별	개인/NNG+별/XSN
데이터를	데이터/NNG+를/JKO
뽑아내는	뽑아내/VV+는/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.199.8.2
컴퓨터는 미리 지정된 선수만 쫓기 때문에, 선수 몇 명이 순간적으로 부딪히거나 겹치더라도 계산상 착오가 나타나지 않습니다.

컴퓨터는	컴퓨터/NNG+는/JX
미리	미리/MAG
지정된	지정/NNG+되/XSV+ㄴ/ETM
선수만	선수/NNG+만/JX
쫓기	쫓/VV+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
선수	선수/NNG
몇	몇/NR
명이	명/NNB+이/JKS
순간적으로	순간/NNG+적/XSN+으로/JKB
부딪히거나	부딪히/VV+거나/EC
겹치더라도	겹치/VV+더라도/EC
계산상	계산/NNG+상/XSN
착오가	착오/NNG+가/JKS
나타나지	나타나/VV+지/EC
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000026.199.9.1
선수들이나 공의 움직임 같은 여러 가지 기록들을 실시간으로 계산하는 이러한 프로그램은 ‘트래킹(tracking·추적) 시스템’이라고 불리며, 2008년 유럽선수권대회부터 대중에 선보이기 시작했습니다.

선수들이나	선수/NNG+들/XSN+이나/JC
공의	공/NNG+의/JKG
움직임	움직임/NNG
같은	같/VA+은/ETM
여러	여러/MMN
가지	가지/NNB
기록들을	기록/NNG+들/XSN+을/JKO
실시간으로	실시간/NNG+으로/JKB
계산하는	계산/NNG+하/XSV+는/ETM
이러한	이러하/VA+ㄴ/ETM
프로그램은	프로그램/NNG+은/JX
‘트래킹(tracking·추적)	‘/SS+트래킹/NNG+(/SS+tracking/SL+·/SP+추적/NNG+)/SS
시스템’이라고	시스템/NNG+’/SS+이라고/JKQ
불리며,	불리/VV+며/EC+,/SP
2008년	2008/SN+년/NNB
유럽선수권대회부터	유럽선수권대회/NNG+부터/JX
대중에	대중/NNG+에/JKB
선보이기	선보이/VV+기/ETN
시작했습니다.	시작/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.199.10.1
한국도 남아공월드컵을 앞두고 트래킹 시스템을 활용하기 시작했습니다.

한국도	한국/NNP+도/JX
남아공월드컵을	남아공/NNP+월드컵/NNG+을/JKO
앞두고	앞두/VV+고/EC
트래킹	트래킹/NNG
시스템을	시스템/NNG+을/JKO
활용하기	활용/NNG+하/XSV+기/ETN
시작했습니다.	시작/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.199.10.2
대표팀은 파주 NFC(국가대표트레이닝센터) 운동장에 12대의 센서를 설치해 놓고, 남아공월드컵에 나설 선수들이 훈련하면서 얼마나 뛰었는지, 패스나 슈팅은 어땠는지 등을 수치화해 팀 전술에 이용했습니다.

대표팀은	대표/NNG+팀/NNG+은/JX
파주	파주/NNP
NFC(국가대표트레이닝센터)	NFC/SL+(/SS+국가대표트레이닝센터/NNP+)/SS
운동장에	운동장/NNG+에/JKB
12대의	12/SN+대/NNB+의/JKG
센서를	센서/NNG+를/JKO
설치해	설치/NNG+하/XSV+아/EC
놓고,	놓/VX+고/EC+,/SP
남아공월드컵에	남아공/NNP+월드컵/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
선수들이	선수/NNG+들/XSN+이/JKS
훈련하면서	훈련/NNG+하/XSV+면서/EC
얼마나	얼마나/MAG
뛰었는지,	뛰/VV+었/EP+는지/EC+,/SP
패스나	패스/NNG+나/JC
슈팅은	슈팅/NNG+은/JX
어땠는지	어떻/VA+었/EP+는지/EC
등을	등/NNB+을/JKO
수치화해	수치/NNG+화/XSN+하/XSV+아/EC
팀	팀/NNG
전술에	전술/NNG+에/JKB
이용했습니다.	이용/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.199.10.3
대한축구협회 관계자는 “트래킹 시스템은 체력 훈련을 담당하는 레이먼드 베르하이옌 피지컬 트레이너의 요청사항이었으며, 5000만원가량 설치비가 들었다”고 밝혔습니다.

대한축구협회	대한축구협회/NNP
관계자는	관계자/NNG+는/JX
“트래킹	“/SS+트래킹/NNG
시스템은	시스템/NNG+은/JX
체력	체력/NNG
훈련을	훈련/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
레이먼드	레이먼드/NNP
베르하이옌	베르하이옌/NNP
피지컬	피지컬/NNG
트레이너의	트레이너/NNG+의/JKG
요청사항이었으며,	요청/NNG+사항/NNG+이/VCP+었/EP+으며/EC+,/SP
5000만원가량	5000/SN+만/NR+원/NNB+가량/XSN
설치비가	설치비/NNG+가/JKS
들었다”고	들/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔습니다.	밝히/VV+었/EP+습니다/EF+./SF


