# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.318
metadata : {}


# id : NWRW1800000026.318.1.1
北, 워싱턴 향해 화해 손짓?;강석주 등 對美 외교라인 모두 승진

北,	北/SH+,/SP
개선이	개선/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.318.5.6
최근 북한의 대남 유화 공세도 "서울을 거쳐 워싱턴으로 가려는 전술"(이조원 중앙대 교수)이란 분석이 나온다.

최근	최근/NNG
북한의	북한/NNP+의/JKG
대남	대남/NNG
유화	유화/NNG
공세도	공세/NNG+도/JX
"서울을	"/SS+서울/NNP+을/JKO
거쳐	거치/VV+어/EC
워싱턴으로	워싱턴/NNP+으로/JKB
가려는	가/VV+려는/ETM
전술"(이조원	전술/NNG+"/SS+(/SS+이조원/NNP
중앙대	중앙대/NNP
교수)이란	교수/NNG+)/SS+이/VCP+란/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.318.5.7
이번 인사는 미국을 향해 대화와 화해의 손짓을 보내는 것이란 얘기다.

이번	이번/NNG
인사는	인사/NNG+는/JX
미국을	미국/NNP+을/JKO
향해	향하/VV+아/EC
대화와	대화/NNG+와/JC
화해의	화해/NNG+의/JKG
손짓을	손짓/NNG+을/JKO
보내는	보내/VV+는/ETM
것이란	것/NNB+이/VCP+란/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.318.5.8
안보부서 당국자는 "권력 세습을 앞둔 김정일로선 미국이 체제 안전을 보장해주기를 더욱 간절하게 원할 것"이라고 말했다.

안보부서	안보/NNG+부서/NNG
당국자는	당국자/NNG+는/JX
"권력	"/SS+권력/NNG
세습을	세습/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
김정일로선	김정일/NNP+로서/JKB+ㄴ/JX
미국이	미국/NNP+이/JKS
체제	체제/NNG
안전을	안전/NNG+을/JKO
보장해주기를	보장/NNG+하/XSV+아/EC+주/VX+기/ETN+를/JKO
더욱	더욱/MAG
간절하게	간절하/VA+게/EC
원할	원/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.6.1
또 북한은 이번 인사로 '김정일 이후'를 대비하는 포석도 깔았다.

또	또/MAG
북한은	북한/NNP+은/JX
이번	이번/NNG
인사로	인사/NNG+로/JKB
'김정일	'/SS+김정일/NNP
이후'를	이후/NNG+'/SS+를/JKO
대비하는	대비/NNG+하/XSV+는/ETM
포석도	포석/NNG+도/JX
깔았다.	깔/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.6.2
강석주·김계관 라인은 1990년대 이후 북한이 사활을 거는 핵 문제를 전담하고 있다.

강석주·김계관	강석주/NNP+·/SP+김계관/NNP
라인은	라인/NNG+은/JX
1990년대	1990/SN+년대/NNB
이후	이후/NNG
북한이	북한/NNP+이/JKS
사활을	사활/NNG+을/JKO
거는	걸/VV+는/ETM
핵	핵/NNG
문제를	문제/NNG+를/JKO
전담하고	전담/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.318.6.3
정부 당국자는 "후계자 김정은이 등장해도 핵과 대미 외교는 강석주·김계관·리용호 라인이 총괄하며 연속성을 가질 것이란 신호"라고 말했다.

정부	정부/NNG
당국자는	당국자/NNG+는/JX
"후계자	"/SS+후계자/NNG
김정은이	김정은/NNP+이/JKS
등장해도	등장/NNG+하/XSV+아도/EC
핵과	핵/NNG+과/JC
대미	대미/NNG
외교는	외교/NNG+는/JX
강석주·김계관·리용호	강석주/NNP+·/SP+김계관/NNP+·/SP+리용호/NNP
라인이	라인/NNG+이/JKS
총괄하며	총괄/NNG+하/XSV+며/EC
연속성을	연속/NNG+성/XSN+을/JKO
가질	가지/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
신호"라고	신호/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.7.1
◆강석주, 장관 건너뛰고 부총리 승진

◆강석주,	◆/SW+강석주/NNP+,/SP
장관	장관/NNG
건너뛰고	건너뛰/VV+고/EC
부총리	부총리/NNG
승진	승진/NNG


# id : NWRW1800000026.318.8.1
강석주 신임 부총리는 1986년부터 제1부상(수석 차관·당시는 외교부 제1부부장)만 24년을 지냈다.

강석주	강석주/NNP
신임	신임/NNG
부총리는	부총리/NNG+는/JX
1986년부터	1986/SN+년/NNB+부터/JX
제1부상(수석	제/XPN+1/SN+부상/NNG+(/SS+수석/NNG
차관·당시는	차관/NNG+·/SP+당시/NNG+는/JX
외교부	외교부/NNG
제1부부장)만	제/XPN+1/SN+부부장/NNG+)/SS+만/JX
24년을	24/SN+년/NNB+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.318.8.2
그는 이 기간 대미 외교의 실무 사령탑이었다.

그는	그/NP+는/JX
이	이/MMD
기간	기간/NNG
대미	대미/NNG
외교의	외교/NNG+의/JKG
실무	실무/NNG
사령탑이었다.	사령탑/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.318.8.3
북한 외교관 출신인 탈북자는 "강석주는 1980년 이후 김정일 '비밀 파티'에 참석하는 최측근으로 외무상(장관)도 모르는 김정일 지시문을 외무성에 전달하곤 했다"고 전했다.

북한	북한/NNP
외교관	외교관/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
탈북자는	탈북자/NNG+는/JX
"강석주는	"/SS+강석주/NNP+는/JX
1980년	1980/SN+년/NNB
이후	이후/NNG
김정일	김정일/NNP
'비밀	'/SS+비밀/NNG
파티'에	파티/NNG+'/SS+에/JKB
참석하는	참석/NNG+하/XSV+는/ETM
최측근으로	최/XPN+측근/NNG+으로/JKB
외무상(장관)도	외무상/NNG+(/SS+장관/NNG+)/SS+도/JX
모르는	모르/VV+는/ETM
지시문을	지시문/NNG+을/JKO
외무성에	외무성/NNG+에/JKB
전달하곤	전달/NNG+하/XSV+곤/EC
했다"고	하/VX+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.8.4
이번에 장관을 건너뛰고 부총리에 발탁된 것은 "장관보다 힘센 외교관이라 이상할 게 없다"(통일부 관계자)는 설명이다.

이번에	이번/NNG+에/JKB
장관을	장관/NNG+을/JKO
건너뛰고	건너뛰/VV+고/EC
부총리에	부총리/NNG+에/JKB
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
"장관보다	"/SS+장관/NNG+보다/JKB
힘센	힘세/VA+ㄴ/ETM
외교관이라	외교관/NNG+이/VCP+라/EC
이상할	이상/NNG+하/XSA+ㄹ/ETM
게	거/NNB+이/JKS
없다"(통일부	없/VA+다/EF+"/SS+(/SS+통일부/NNG
관계자)는	관계자/NNG+)/SS+는/JX
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.318.9.1
강석주는 1994년 영변 핵시설과 경수로 발전소 등을 맞바꾸는 미·북 제네바 합의를 이끌어내 '공화국 영웅' 칭호를 받았다.

강석주는	강석주/NNP+는/JX
1994년	1994/SN+년/NNB
영변	영변/NNP
핵시설과	핵/NNG+시설/NNG+과/JC
경수로	경수로/NNG
발전소	발전소/NNG
등을	등/NNB+을/JKO
맞바꾸는	맞바꾸/VV+는/ETM
미·북	미/NNP+·/SP+북/NNP
제네바	제네바/NNP
합의를	합의/NNG+를/JKO
이끌어내	이끌/VV+어/EC+내/VX+어/EC
'공화국	'/SS+공화국/NNG
영웅'	영웅/NNG+'/SS
칭호를	칭호/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.9.2
당 역사연구소장을 지낸 강석숭(2001년 사망)이 친형이다.

당	당/NNG
역사연구소장을	역사/NNG+연구소장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
강석숭(2001년	강석숭/NNP+(/SS+2001/SN+년/NNB
사망)이	사망/NNG+)/SS+이/JKS
친형이다.	친형/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.318.9.3
한 고위 탈북자는 "김일성·김정일 역사를 담당했던 강석숭이 김정은을 가르친 적이 있다"고 전했다.

한	한/MMN
고위	고위/NNG
탈북자는	탈북자/NNG+는/JX
"김일성·김정일	"/SS+김일성/NNP+·/SP+김정일/NNP
역사를	역사/NNG+를/JKO
담당했던	담당/NNG+하/XSV+았/EP+던/ETM
강석숭이	강석숭/NNP+이/JKS
김정은을	김정은/NNP+을/JKO
가르친	가르치/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.10.1
김계관 신임 제1부상도 제네바 협상 때 차석대표로 강석주를 도왔다.

김계관	김계관/NNP
신임	신임/NNG
제1부상도	제/XPN+1/SN+부상/NNG+도/JX
제네바	제네바/NNP
협상	협상/NNG
때	때/NNG
차석대표로	차석/NNG+대표/NNG+로/JKB
강석주를	강석주/NNP+를/JKO
도왔다.	돕/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.10.2
김계관은 2004년 6자회담 북측 대표로 나선 이후 '9·19 공동성명'(2005년), '2·13 합의'(2007년) 등을 이끌어냈다.

김계관은	김계관/NNP+은/JX
2004년	2004/SN+년/NNB
6자회담	6/SN+자/NNB+회담/NNG
북측	북측/NNG
대표로	대표/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
이후	이후/NNG
'9·19	'/SS+9/SN+·/SP+19/SN
공동성명'(2005년),	공동/NNG+성명/NNG+'/SS+(/SS+2005/SN+년/NNB+)/SS+,/SP
'2·13	'/SS+2/SN+·/SP+13/SN
합의'(2007년)	합의/NNG+'/SS+(/SS+2007/SN+년/NNB+)/SS
등을	등/NNB+을/JKO
이끌어냈다.	이끌/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.318.10.3
특히 2007년 10월 남북정상회담 도중 김정일은 김계관을 회담장으로 불러 노무현 대통령에게 6자회담 '10·3 합의'에 대해 직접 설명하게 한 적도 있다.

특히	특히/MAG
2007년	2007/SN+년/NNB
10월	10/SN+월/NNB
남북정상회담	남북/NNP+정상/NNG+회담/NNG
도중	도중/NNG
김정일은	김정일/NNP+은/JX
김계관을	김계관/NNP+을/JKO
회담장으로	회담장/NNG+으로/JKB
불러	부르/VV+어/EC
노무현	노무현/NNP
대통령에게	대통령/NNG+에게/JKB
6자회담	6/SN+자/NNB+회담/NNG
'10·3	'/SS+10/SN+·/SP+3/SN
합의'에	합의/NNG+'/SS+에/JKB
대해	대하/VV+아/EC
직접	직접/MAG
설명하게	설명/NNG+하/XSV+게/EC
한	하/VX+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.318.10.4
외교 소식통은 "김계관이 제1부상으로 승진한 뒤에도 6자회담 대표를 그대로 맡을지는 불분명하다"고 말했다.

외교	외교/NNG
소식통은	소식통/NNG+은/JX
"김계관이	"/SS+김계관/NNP+이/JKS
제1부상으로	제/XPN+1/SN+부상/NNG+으로/JKB
승진한	승진/NNG+하/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
6자회담	6/SN+자/NNB+회담/NNG
대표를	대표/NNG+를/JKO
그대로	그대로/MAG
맡을지는	맡/VV+을지/EF+는/JX
불분명하다"고	불분명하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.10.5
만약 김계관이 막후로 빠진다면 이번에 부상으로 승진한 리용호 차석대표가 승계할 것이란 분석이 많다.

만약	만약/MAG
김계관이	김계관/NNP+이/JKS
막후로	막후/NNG+로/JKB
빠진다면	빠지/VV+ㄴ다면/EC
이번에	이번/NNG+에/JKB
부상으로	부상/NNG+으로/JKB
승진한	승진/NNG+하/XSV+ㄴ/ETM
리용호	리용호/NNP
차석대표가	차석/NNG+대표/NNG+가/JKS
승계할	승계/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
분석이	분석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.318.10.6
평양외국어대 영어과를 졸업한 리용호는 2003년 영국 대사를 지냈다.

평양외국어대	평양외국어대/NNP
영어과를	영어과/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
리용호는	리용호/NNP+는/JX
2003년	2003/SN+년/NNB
영국	영국/NNP
대사를	대사/NNG+를/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.318.11.1
[南엔 "이산상봉 협의때 금강산 관광 논의하자"]

[南엔	[/SS+南/SH+에/JKB+ㄴ/JX
"이산상봉	"/SS+이산/NNG+상봉/NNG
협의때	협의/NNG+때/NNG
금강산	금강산/NNP
관광	관광/NNG
논의하자"]	논의/NNG+하/XSV+자/EF+"/SS+]/SS


# id : NWRW1800000026.318.12.1
정부 "별개 사안… 정치적 논의 안돼" 거부

정부	정부/NNG
"별개	"/SS+별개/NNG
사안…	사안/NNG+…/SE
정치적	정치/NNG+적/XSN
논의	논의/NNG
안돼"	안/MAG+되/XSV+어/EF+"/SS
거부	거부/NNG


# id : NWRW1800000026.318.13.1
정부가 남북 이산가족 상봉을 위한 적십자 실무접촉에서 금강산관광 문제도 함께 논의하자는 취지의 북한 제안을 사실상 거부하는 내용의 통지문을 23일 북한에 보냈다.

정부가	정부/NNG+가/JKS
남북	남북/NNP
이산가족	이산가족/NNG
상봉을	상봉/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
적십자	적십자/NNP
실무접촉에서	실무/NNG+접촉/NNG+에서/JKB
금강산관광	금강산/NNP+관광/NNG
문제도	문제/NNG+도/JX
함께	함께/MAG
논의하자는	논의/NNG+하/XSV+자는/ETM
취지의	취지/NNG+의/JKG
북한	북한/NNP
제안을	제안/NNG+을/JKO
사실상	사실/NNG+상/XSN
거부하는	거부/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
통지문을	통지문/NNG+을/JKO
23일	23/SN+일/NNB
북한에	북한/NNP+에/JKB
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.318.14.1
북한은 24일 개성에서 열리는 적십자 실무접촉 때 금강산관광 재개 협상(지난 2월)을 했던 실무자 2명을 내보낼 테니 우리측도 상응하는 관계자를 보내라고 지난 20일 요구했다.

북한은	북한/NNP+은/JX
24일	24/SN+일/NNB
개성에서	개성/NNP+에서/JKB
열리는	열리/VV+는/ETM
적십자	적십자/NNP
실무접촉	실무/NNG+접촉/NNG
때	때/NNG
금강산관광	금강산/NNP+관광/NNG
재개	재개/NNG
협상(지난	협상/NNG+(/SS+지나/VV+ㄴ/ETM
2월)을	2/SN+월/NNB+)/SS+을/JKO
했던	하/VV+았/EP+던/ETM
실무자	실무자/NNG
2명을	2/SN+명/NNB+을/JKO
내보낼	내보내/VV+ㄹ/ETM
테니	터/NNB+이/VCP+니/EC
우리측도	우리/NP+측/NNB+도/JX
상응하는	상응/NNG+하/XSV+는/ETM
관계자를	관계자/NNG+를/JKO
보내라고	보내/VV+라고/EC
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.14.2
이날 정부는 대한적십자사 총재 명의로 "이미 통보한 우리측 대표(이산가족 상봉 전담)가 당국의 위임을 받고 남북 접촉에 참가할 것"이란 답신을 보냈다.

이날	이날/NNG
정부는	정부/NNG+는/JX
대한적십자사	대한적십자사/NNP
총재	총재/NNG
명의로	명의/NNG+로/JKB
"이미	"/SS+이미/MAG
통보한	통보/NNG+하/XSV+ㄴ/ETM
우리측	우리/NP+측/NNB
대표(이산가족	대표/NNG+(/SS+이산가족/NNG
상봉	상봉/NNG
전담)가	전담/NNG+)/SS+가/JKS
당국의	당국/NNG+의/JKG
위임을	위임/NNG+을/JKO
받고	받/VV+고/EC
남북	남북/NNP
접촉에	접촉/NNG+에/JKB
참가할	참가/NNG+하/XSV+ㄹ/ETM
것"이란	것/NNB+"/SS+이/VCP+란/ETM
답신을	답신/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.318.14.3
통일부 관계자는 "금강산관광 문제를 논의할 별도의 정부 당국자를 보내지 않겠다는 의미"라며 "이산가족 상봉과 관광 재개는 완전 별개"라고 말했다.

통일부	통일부/NNG
관계자는	관계자/NNG+는/JX
"금강산관광	"/SS+금강산/NNP+관광/NNG
문제를	문제/NNG+를/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
별도의	별도/NNG+의/JKG
정부	정부/NNG
당국자를	당국자/NNG+를/JKO
보내지	보내/VV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
의미"라며	의미/NNG+"/SS+이/VCP+라며/EC
"이산가족	"/SS+이산가족/NNG
상봉과	상봉/NNG+과/JC
관광	관광/NNG
재개는	재개/NNG+는/JX
완전	완전/NNG
별개"라고	별개/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.14.4
엄종식 통일부 차관도 지난 22일 "이산가족 문제는 그 어떤 정치적 상황과 연계돼선 안 된다"고 했다.

엄종식	엄종식/NNP
통일부	통일부/NNG
차관도	차관/NNG+도/JX
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
"이산가족	"/SS+이산가족/NNG
문제는	문제/NNG+는/JX
그	그/MMD
어떤	어떤/MMD
정치적	정치/NNG+적/XSN
상황과	상황/NNG+과/JKB
연계돼선	연계/NNG+되/XSV+어서/EC+ㄴ/JX
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.15.1
남북은 지난 17일 실무 접촉에서 상봉 일정(10월 21~27일)에는 합의했지만 상봉 장소에 대해선 이견을 보였다.

남북은	남북/NNP+은/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
실무	실무/NNG
접촉에서	접촉/NNG+에서/JKB
상봉	상봉/NNG
일정(10월	일정/NNG+(/SS+10/SN+월/NNB
21~27일)에는	21/SN+~/SO+27/SN+일/NNB+)/SS+에/JKB+는/JX
합의했지만	합의/NNG+하/XSV+았/EP+지만/EC
장소에	장소/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
이견을	이견/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.318.15.2
북측은 '금강산지구 내'라고만 밝혔고 우리측은 금강산 이산가족면회소를 상봉 장소로 제안했다.

북측은	북측/NNG+은/JX
'금강산지구	'/SS+금강산지구/NNP
내'라고만	내/NNB+'/SS+라고/JKQ+만/JX
밝혔고	밝히/VV+었/EP+고/EC
우리측은	우리/NP+측/NNB+은/JX
금강산	금강산/NNP
이산가족면회소를	이산가족/NNG+면회소/NNG+를/JKO
상봉	상봉/NNG
장소로	장소/NNG+로/JKB
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.15.3
이산가족면회소는 지난 4월 북한이 '몰수' 딱지를 붙인 곳이다.

이산가족면회소는	이산가족/NNG+면회소/NNG+는/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
북한이	북한/NNP+이/JKS
'몰수'	'/SS+몰수/NNG+'/SS
딱지를	딱지/NNG+를/JKO
붙인	붙이/VV+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.318.15.4
정부 소식통은 "북한은 이번 기회에 관광 재개를 얻으려 하고, 우리측은 북한의 일방적인 '몰수' 조치가 먼저 풀리기를 원하고 있다"며 "24일 남북 실무접촉에서 신경전이 예상된다"고 말했다.

정부	정부/NNG
소식통은	소식통/NNG+은/JX
"북한은	"/SS+북한/NNP+은/JX
이번	이번/NNG
기회에	기회/NNG+에/JKB
관광	관광/NNG
재개를	재개/NNG+를/JKO
얻으려	얻/VV+으려/EC
하고,	하/VX+고/EC+,/SP
우리측은	우리/NP+측/NNB+은/JX
북한의	북한/NNP+의/JKG
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
'몰수'	'/SS+몰수/NNG+'/SS
조치가	조치/NNG+가/JKS
먼저	먼저/MAG
풀리기를	풀리/VV+기/ETN+를/JKO
원하고	원/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"24일	"/SS+24/SN+일/NNB
남북	남북/NNP
실무접촉에서	실무/NNG+접촉/NNG+에서/JKB
신경전이	신경전/NNG+이/JKS
예상된다"고	예상/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


