# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.453
metadata : {}


# id : NWRW1800000024.453.1.1
포천 군시험장 폭발사고 /국과연<국방과학연구소> 직원 등 6명 사상

포천	포천/NNP
장치다.	장치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.453.5.2
사고가 난 포탄의 제조사는 풍산이지만 신관은 한화가 만들었다.

사고가	사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
포탄의	포탄/NNG+의/JKG
제조사는	제조사/NNG+는/JX
풍산이지만	풍산/NNP+이/VCP+지만/EC
신관은	신관/NNG+은/JX
한화가	한화/NNP+가/JKS
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.453.6.1
이날 포탄 성능 시험에는 국방과학연구소, 국방기술품질원, 업체 등 관계자 15명이 참여했고, 사상자는 곡사포 근처에 있었던 것으로 알려졌다.

이날	이날/NNG
포탄	포탄/NNG
성능	성능/NNG
시험에는	시험/NNG+에/JKB+는/JX
국방과학연구소,	국방/NNG+과학/NNG+연구소/NNG+,/SP
국방기술품질원,	국방/NNG+기술/NNG+품질원/NNG+,/SP
업체	업체/NNG
등	등/NNB
관계자	관계자/NNG
15명이	15/SN+명/NNB+이/JKS
참여했고,	참여/NNG+하/XSV+았/EP+고/EC+,/SP
사상자는	사상자/NNG+는/JX
곡사포	곡사포/NNG
근처에	근처/NNG+에/JKB
있었던	있/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.453.7.1
포탄 성능 검사 안전 관련 규정에는 참가자들이 방탄복과 안전모, 안전화를 착용해야 한다고 돼 있다.

포탄	포탄/NNG
성능	성능/NNG
검사	검사/NNG
안전	안전/NNG
관련	관련/NNG
규정에는	규정/NNG+에/JKB+는/JX
참가자들이	참가자/NNG+들/XSN+이/JKS
방탄복과	방탄복/NNG+과/JC
안전모,	안전모/NNG+,/SP
안전화를	안전화/NNG+를/JKO
착용해야	착용/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.453.7.2
김 대변인은 “이날 시험 참가자들이 안전 규정을 지켰는지는 확인되지 않았다”고 말했다.

김	김/NNP
대변인은	대변인/NNG+은/JX
“이날	“/SS+이날/NNG
시험	시험/NNG
참가자들이	참가자/NNG+들/XSN+이/JKS
안전	안전/NNG
규정을	규정/NNG+을/JKO
지켰는지는	지키/VV+었/EP+는지/EF+는/JX
확인되지	확인/NNG+되/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.453.7.3
방위사업청은 신관 및 포탄 제조업체, 포탄 시험 때 사상자들의 안전 규정 준수 여부 등을 조사할 예정이다.

방위사업청은	방위/NNG+사업청/NNG+은/JX
신관	신관/NNG
및	및/MAG
포탄	포탄/NNG
제조업체,	제조업체/NNG+,/SP
시험	시험/NNG
때	때/NNG
사상자들의	사상자/NNG+들/XSN+의/JKG
안전	안전/NNG
규정	규정/NNG
준수	준수/NNG
여부	여부/NNG
등을	등/NNB+을/JKO
조사할	조사/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.453.7.4
최태인 국방과학연구소 부소장 등 13명으로 이뤄진 현장 사고대책반이 운용되고 있다.

최태인	최태인/NNP
국방과학연구소	국방/NNG+과학/NNG+연구소/NNG
부소장	부소장/NNG
등	등/NNB
13명으로	13/SN+명/NNB+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
현장	현장/NNG
사고대책반이	사고/NNG+대책반/NNG+이/JKS
운용되고	운용/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.453.8.1
군 당국은 폭발 사고가 난 포탄과 로트번호가 같은 포탄 1만6000발은 사용을 보류할 계획이다.

군	군/NNG
당국은	당국/NNG+은/JX
폭발	폭발/NNG
사고가	사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
포탄과	포탄/NNG+과/JKB
로트번호가	로트/NNG+번호/NNG+가/JKS
같은	같/VA+은/ETM
포탄	포탄/NNG
1만6000발은	1/SN+만/NR+6000/SN+발/NNB+은/JX
사용을	사용/NNG+을/JKO
보류할	보류/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.453.9.1
포천이 지역구로 국회 국방위 소속인 한나라당 김영우 의원은 이날 오후 사고 현장을 찾아 현황을 보고받은 뒤 기자들과 만나 “사고 현장은 민간인 거주지역과 멀찍이 떨어져 있어 민간인 피해는 없는 것으로 알고 있다”며 “사고 원인은 수사를 진행해봐야 알 수 있을 것 같다”고 말했다.

포천이	포천/NNP+이/JKS
지역구로	지역구/NNG+로/JKB
국회	국회/NNG
국방위	국방위/NNG
소속인	소속/NNG+이/VCP+ㄴ/ETM
한나라당	한나라당/NNP
김영우	김영우/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
사고	사고/NNG
현장을	현장/NNG+을/JKO
찾아	찾/VV+아/EC
현황을	현황/NNG+을/JKO
보고받은	보고/NNG+받/XSV+은/ETM
뒤	뒤/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“사고	“/SS+사고/NNG
현장은	현장/NNG+은/JX
민간인	민간인/NNG
거주지역과	거주/NNG+지역/NNG+과/JKB
멀찍이	멀찍이/MAG
떨어져	떨어지/VV+어/EC
있어	있/VX+어/EC
피해는	피해/NNG+는/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
원인은	원인/NNG+은/JX
수사를	수사/NNG+를/JKO
진행해봐야	진행/NNG+하/XSV+아/EC+보/VX+아야/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있을	있/VV+을/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


