# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.217
metadata : {}


# id : NWRW1800000036.217.1.1
엽기 참극 일어나도…‘119만도 못한 112센터’

엽기	엽기/NNG
뒤로	뒤/NNG+로/JKB
경찰의	경찰/NNG+의/JKG
112	112/SN
신고망에	신고/NNG+망/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
회의론이	회의/NNG+론/XSN+이/JKS
급속히	급속히/MAG
번지고	번지/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.217.7.1
경찰의 ‘112신고센터 광역화’ 정책으로, 광역도시인 서울·부산·대구·울산·인천·대전·경기에서 112로 신고전화를 걸면 통합센터로 곧바로 연결된다.

경찰의	경찰/NNG+의/JKG
‘112신고센터	‘/SS+112/SN+신고/NNG+센터/NNG
광역화’	광역/NNG+화/XSN+’/SS
정책으로,	정책/NNG+으로/JKB+,/SP
광역도시인	광역/NNG+도시/NNG+이/VCP+ㄴ/ETM
서울·부산·대구·울산·인천·대전·경기에서	서울/NNP+·/SP+부산/NNP+·/SP+대구/NNP+·/SP+울산/NNP+·/SP+인천/NNP+·/SP+대전/NNP+·/SP+경기/NNP+에서/JKB
112로	112/SN+로/JKB
신고전화를	신고/NNG+전화/NNG+를/JKO
걸면	걸/VV+면/EC
통합센터로	통합/NNG+센터/NNG+로/JKB
곧바로	곧바로/MAG
연결된다.	연결/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.217.7.2
경기경찰청은 지난해 3월 14억원을 들여 경기 남부지역 30개 경찰서가 개별적으로 운영하던 112신고센터를 하나로 모았다.

경기경찰청은	경기경찰청/NNP+은/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
14억원을	14/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
경기	경기/NNP
남부지역	남부/NNG+지역/NNG
30개	30/SN+개/NNB
경찰서가	경찰서/NNG+가/JKS
개별적으로	개별/NNG+적/XSN+으로/JKB
운영하던	운영/NNG+하/XSV+던/ETM
112신고센터를	112/SN+신고/NNG+센터/NNG+를/JKO
하나로	하나/NR+로/JKB
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.217.7.3
경찰서 관할구역을 넘나드는 피의자를 더 신속하게 추적하려는 취지에서다.

경찰서	경찰서/NNG
관할구역을	관할/NNG+구역/NNG+을/JKO
넘나드는	넘나들/VV+는/ETM
피의자를	피의자/NNG+를/JKO
더	더/MAG
신속하게	신속/NNG+하/XSA+게/EC
추적하려는	추적/NNG+하/XSV+려는/ETM
취지에서다.	취지/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000036.217.7.4
하지만 허점이 적지 않다는 사실이 이번에 드러났다.

하지만	하지만/MAJ
허점이	허점/NNG+이/JKS
적지	적/VA+지/EC
않다는	않/VX+다는/ETM
사실이	사실/NNG+이/JKS
이번에	이번/NNG+에/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.217.8.1
이번 사건만 봐도 관할구역 지리 사정 등에 밝은 수원중부경찰서 직원이 112 전화를 받았다면 상황이 달라졌을 수 있다는 지적이 나온다.

이번	이번/NNG
사건만	사건/NNG+만/JX
봐도	보/VV+아도/EC
관할구역	관할/NNG+구역/NNG
지리	지리/NNG
사정	사정/NNG
등에	등/NNB+에/JKB
밝은	밝/VA+은/ETM
수원중부경찰서	수원중부경찰서/NNP
직원이	직원/NNG+이/JKS
112	112/SN
전화를	전화/NNG+를/JKO
받았다면	받/VV+았/EP+다면/EC
상황이	상황/NNG+이/JKS
달라졌을	달라지/VV+었/EP+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.217.8.2
피해 여성의 112 신고 내용 녹취록을 보면, ‘지동초등학교 좀 지나서 못골놀이터 가는 길쯤’이라며 애타게 구조를 요청하는 대목이 나온다.

피해	피해/NNG
여성의	여성/NNG+의/JKG
112	112/SN
신고	신고/NNG
내용	내용/NNG
녹취록을	녹취록/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
‘지동초등학교	‘/SS+지동초등학교/NNP
좀	좀/MAG
지나서	지나/VV+아서/EC
못골놀이터	못골놀이터/NNP
가는	가/VV+는/ETM
길쯤’이라며	길/NNG+쯤/XSN+’/SS+이/VCP+라며/EC
애타게	애타/VV+게/EC
구조를	구조/NNG+를/JKO
요청하는	요청/NNG+하/XSV+는/ETM
대목이	대목/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.217.8.3
하지만 112 근무자는 오히려 주소를 대라고 여러 차례 되묻는 답답한 장면이 빚어졌다.

하지만	하지만/MAJ
112	112/SN
근무자는	근무자/NNG+는/JX
오히려	오히려/MAG
주소를	주소/NNG+를/JKO
대라고	대/VV+라고/EC
여러	여러/MMN
차례	차례/NNG
되묻는	되묻/VV+는/ETM
답답한	답답하/VA+ㄴ/ETM
장면이	장면/NNG+이/JKS
빚어졌다.	빚어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.217.9.1
112신고센터 근무자들의 전문성도 도마에 오르고 있다.

112신고센터	112/SN+신고/NNG+센터/NNG
근무자들의	근무자/NNG+들/XSN+의/JKG
전문성도	전문/NNG+성/XSN+도/JX
도마에	도마/NNG+에/JKB
오르고	오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.217.9.2
112센터에는 2주 교육과정만 마치면 근무에 투입된다.

112센터에는	112/SN+센터/NNG+에/JKB+는/JX
2주	2/SN+주/NNB
교육과정만	교육/NNG+과정/NNG+만/JX
마치면	마치/VV+면/EC
근무에	근무/NNG+에/JKB
투입된다.	투입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.217.9.3
기피 부서여서 희망자 신청을 받은 뒤, 매뉴얼에 대한 시험문제를 이용한 직무능력 평가와 인성평가 등만 거쳐 배치한다.

기피	기피/NNG
부서여서	부서/NNG+이/VCP+어서/EC
희망자	희망자/NNG
신청을	신청/NNG+을/JKO
받은	받/VV+은/ETM
뒤,	뒤/NNG+,/SP
매뉴얼에	매뉴얼/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시험문제를	시험/NNG+문제/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
직무능력	직무/NNG+능력/NNG
평가와	평가/NNG+와/JC
인성평가	인성/NNG+평가/NNG
등만	등/NNB+만/JX
거쳐	거치/VV+어/EC
배치한다.	배치/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.217.9.4
이번 사건에서 피해 여성의 신고전화를 받은 근무자는 경찰 경력은 13년이지만, 112센터에서 근무한 지는 두 달밖에 안 된 ‘초보자’였다.

이번	이번/NNG
사건에서	사건/NNG+에서/JKB
피해	피해/NNG
여성의	여성/NNG+의/JKG
신고전화를	신고/NNG+전화/NNG+를/JKO
받은	받/VV+은/ETM
근무자는	근무자/NNG+는/JX
경찰	경찰/NNG
경력은	경력/NNG+은/JX
13년이지만,	13/SN+년/NNB+이/VCP+지만/EC+,/SP
112센터에서	112/SN+센터/NNG+에서/JKB
근무한	근무/NNG+하/XSV+ㄴ/ETM
지는	지/NNB+는/JX
두	두/MMN
달밖에	달/NNB+밖에/JX
안	안/MAG
된	되/VV+ㄴ/ETM
‘초보자’였다.	‘/SS+초보자/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.217.10.1
경찰은 “112의 발신자 추적 등은 119보다 제한돼 있다”며, 피해 여성의 가족들에게 직접 119에 위치추적을 신청하도록 안내했던 이유를 설명한다.

경찰은	경찰/NNG+은/JX
“112의	“/SS+112/SN+의/JKG
발신자	발신자/NNG
추적	추적/NNG
등은	등/NNB+은/JX
119보다	119/SN+보다/JKB
제한돼	제한/NNG+되/XSV+어/EC
있다”며,	있/VX+다/EF+”/SS+며/EC+,/SP
피해	피해/NNG
여성의	여성/NNG+의/JKG
가족들에게	가족/NNG+들/XSN+에게/JKB
직접	직접/MAG
119에	119/SN+에/JKB
위치추적을	위치/NNG+추적/NNG+을/JKO
신청하도록	신청/NNG+하/XSV+도록/EC
안내했던	안내/NNG+하/XSV+았/EP+던/ETM
이유를	이유/NNG+를/JKO
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.217.10.2
112로 신고를 받으면, 인권침해 우려 등 때문에 신고자의 동의를 얻어야 소방방재청이나 통신사를 통해 휴대전화의 위치추적이 가능하다고 했다.

112로	112/SN+로/JKB
신고를	신고/NNG+를/JKO
받으면,	받/VV+으면/EC+,/SP
인권침해	인권/NNG+침해/NNG
우려	우려/NNG
등	등/NNB
때문에	때문/NNB+에/JKB
신고자의	신고자/NNG+의/JKG
동의를	동의/NNG+를/JKO
얻어야	얻/VV+어야/EC
소방방재청이나	소방/NNG+방재청/NNG+이나/JC
통신사를	통신사/NNG+를/JKO
통해	통하/VV+아/EC
휴대전화의	휴대/NNG+전화/NNG+의/JKG
위치추적이	위치/NNG+추적/NNG+이/JKS
가능하다고	가능/NNG+하/XSA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.217.10.3
그러나 지난해 3월 개정된 개인정보보호법은 ‘급박한 생명, 신체, 재산의 이익을 위해 필요하다고 인정되는 경우 목적에 맞게 정보를 제공할 수 있다’고 규정하고 있다.

그러나	그러나/MAJ
지난해	지난해/NNG
3월	3/SN+월/NNB
개정된	개정/NNG+되/XSV+ㄴ/ETM
개인정보보호법은	개인/NNG+정보/NNG+보호법/NNG+은/JX
‘급박한	‘/SS+급박/NNG+하/XSA+ㄴ/ETM
생명,	생명/NNG+,/SP
신체,	신체/NNG+,/SP
재산의	재산/NNG+의/JKG
이익을	이익/NNG+을/JKO
위해	위하/VV+아/EC
필요하다고	필요/NNG+하/XSA+다고/EC
인정되는	인정/NNG+되/XSV+는/ETM
경우	경우/NNG
목적에	목적/NNG+에/JKB
맞게	맞/VV+게/EC
정보를	정보/NNG+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다’고	있/VA+다/EF+’/SS+고/JKQ
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.217.10.4
당시 이런 법 조항을 적용하지 않았던 점도 미흡한 대응으로 꼽힌다.

당시	당시/NNG
이런	이런/MMD
법	법/NNG
조항을	조항/NNG+을/JKO
적용하지	적용/NNG+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
점도	점/NNG+도/JX
미흡한	미흡/NNG+하/XSA+ㄴ/ETM
대응으로	대응/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


