# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.266
metadata : {}


# id : NWRW1800000053.266.1.1
[홍수용의 다른 경제]비정규직 자녀를 둔 장관 있는가

[홍수용의	[/SS+홍수용/NNP+의/JKG
것은	것/NNB+은/JX
일자리	일자리/NNG
문제의	문제/NNG+의/JKG
핵심을	핵심/NNG+을/JKO
놓치고	놓치/VV+고/EC
변죽만	변죽/NNG+만/JX
울리기	울리/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.266.5.1
2012년 초 당시 이순우 우리은행장은 청원경찰이던 정민혁 씨를 정규직으로 채용했다.

2012년	2012/SN+년/NNB
초	초/NNB
당시	당시/NNG
이순우	이순우/NNP
우리은행장은	우리은행장/NNG+은/JX
청원경찰이던	청원/NNG+경찰/NNG+이/VCP+던/ETM
정민혁	정민혁/NNP
씨를	씨/NNB+를/JKO
정규직으로	정규직/NNG+으로/JKB
채용했다.	채용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.266.5.2
문재인 정부가 공약으로 내건 기간제 근로자까지 포함한 비정규직의 정규직화를 5년 전 시중은행이 먼저 해냈다.

문재인	문재인/NNP
정부가	정부/NNG+가/JKS
공약으로	공약/NNG+으로/JKB
내건	내걸/VV+ㄴ/ETM
기간제	기간/NNG+제/XSN
근로자까지	근로자/NNG+까지/JX
포함한	포함/NNG+하/XSV+ㄴ/ETM
비정규직의	비/XPN+정규직/NNG+의/JKG
정규직화를	정규직/NNG+화/XSN+를/JKO
5년	5/SN+년/NNB
전	전/NNG
시중은행이	시중/NNG+은행/NNG+이/JKS
먼저	먼저/MAG
해냈다.	해내/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.266.5.3
은행으로서는 고졸 채용을 장려한 이명박 정부에 잘 보이려는 계산이 있었겠지만 어쨌든 동전자루 짊어지고 기계 고치고 진상 손님에게도 늘 웃었던 노력파 흙수저 한 명을 발굴했다.

은행으로서는	은행/NNG+으로서/JKB+는/JX
고졸	고졸/NNG
채용을	채용/NNG+을/JKO
장려한	장려/NNG+하/XSV+ㄴ/ETM
이명박	이명박/NNP
정부에	정부/NNG+에/JKB
잘	잘/MAG
보이려는	보이/VV+려는/ETM
계산이	계산/NNG+이/JKS
있었겠지만	있/VA+었/EP+겠/EP+지만/EC
어쨌든	어쨌든/MAG
동전자루	동전/NNG+자루/NNG
짊어지고	짊어지/VV+고/EC
기계	기계/NNG
고치고	고치/VV+고/EC
진상	진상/NNG
손님에게도	손/NNG+님/XSN+에게/JKB+도/JX
늘	늘/MAG
웃었던	웃/VV+었/EP+던/ETM
노력파	노력파/NNG
흙수저	흙수저/NNG
한	한/MMN
명을	명/NNB+을/JKO
발굴했다.	발굴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.266.6.1
정 씨가 어떻게 지내는지 궁금해 찾아봤다.

정	정/NNP
씨가	씨/NNB+가/JKS
어떻게	어떻/VA+게/EC
지내는지	지내/VV+는지/EC
궁금해	궁금하/VA+아/EC
찾아봤다.	찾아보/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.266.6.2
서울 상암동 수신업무센터에 있는 그는 정규직이 되니 급여나 복지 혜택이 늘었느냐는 상투적인 질문에 “그보다 기회가 늘었다”고 했다.

서울	서울/NNP
상암동	상암동/NNP
수신업무센터에	수신/NNG+업무/NNG+센터/NNG+에/JKB
있는	있/VA+는/ETM
그는	그/NP+는/JX
정규직이	정규직/NNG+이/JKC
되니	되/VV+니/EC
급여나	급여/NNG+나/JC
복지	복지/NNG
혜택이	혜택/NNG+이/JKS
늘었느냐는	늘/VV+었/EP+느냐는/ETM
상투적인	상투/NNG+적/XSN+이/VCP+ㄴ/ETM
질문에	질문/NNG+에/JKB
“그보다	“/SS+그/NP+보다/JKB
기회가	기회/NNG+가/JKS
늘었다”고	늘/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.266.6.3
우리은행은 업무 성격에 따라 사무직군, 개인서비스직군, 개인금융직군으로 일자리를 나눈 뒤 직군별 급여를 달리한다.

우리은행은	우리은행/NNP+은/JX
업무	업무/NNG
성격에	성격/NNG+에/JKB
따라	따르/VV+아/EC
사무직군,	사무직군/NNG+,/SP
개인서비스직군,	개인/NNG+서비스/NNG+직군/NNG+,/SP
개인금융직군으로	개인/NNG+금융/NNG+직군/NNG+으로/JKB
일자리를	일자리/NNG+를/JKO
나눈	나누/VV+ㄴ/ETM
뒤	뒤/NNG
직군별	직군/NNG+별/XSN
급여를	급여/NNG+를/JKO
달리한다.	달리/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.266.6.4
정 씨는 특채로 입사한 덕분에 가장 높은 개인금융직군 사다리에 발을 올렸고 이제 더 올라갈 꿈을 꾸고 있다.

정	정/NNP
씨는	씨/NNB+는/JX
특채로	특채/NNG+로/JKB
입사한	입사/NNG+하/XSV+ㄴ/ETM
덕분에	덕분/NNG+에/JKB
가장	가장/MAG
높은	높/VA+은/ETM
개인금융직군	개인/NNG+금융/NNG+직군/NNG
사다리에	사다리/NNG+에/JKB
발을	발/NNG+을/JKO
올렸고	올리/VV+었/EP+고/EC
이제	이제/MAG
더	더/MAG
올라갈	올라가/VV+ㄹ/ETM
꿈을	꿈/NNG+을/JKO
꾸고	꾸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.266.6.5
비정규직 때는 몰랐던 기회가 주는 희망이 즐겁다고 했다.

비정규직	비/XPN+정규직/NNG
때는	때/NNG+는/JX
몰랐던	모르/VV+았/EP+던/ETM
기회가	기회/NNG+가/JKS
주는	주/VV+는/ETM
희망이	희망/NNG+이/JKS
즐겁다고	즐겁/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.266.7.1
정부가 일자리정책을 추진하면서 급여와 복지뿐 아니라 기회의 의미도 생각해 봤는지 의문이다.

정부가	정부/NNG+가/JKS
일자리정책을	일자리/NNG+정책/NNG+을/JKO
추진하면서	추진/NNG+하/XSV+면서/EC
급여와	급여/NNG+와/JC
복지뿐	복지/NNG+뿐/JX
아니라	아니/VCN+라/EC
기회의	기회/NNG+의/JKG
의미도	의미/NNG+도/JX
생각해	생각/NNG+하/XSV+아/EC
봤는지	보/VX+았/EP+는지/EC
의문이다.	의문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.266.7.2
좋은 일자리가 부족한 것은 기회를 독점하고 있는 기득권 때문이기도 하다.

좋은	좋/VA+은/ETM
일자리가	일자리/NNG+가/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
기회를	기회/NNG+를/JKO
독점하고	독점/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
기득권	기득/NNG+권/XSN
때문이기도	때문/NNB+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000053.266.7.3
새로운 형태의 일자리가 생길 때 유사 직종에 종사하던 사람들이 반발하는 풍토가 있다.

새로운	새롭/VA+ㄴ/ETM
형태의	형태/NNG+의/JKG
일자리가	일자리/NNG+가/JKS
생길	생기/VV+ㄹ/ETM
때	때/NNG
유사	유사/NNG
직종에	직종/NNG+에/JKB
종사하던	종사/NNG+하/XSV+던/ETM
사람들이	사람/NNG+들/XSN+이/JKS
반발하는	반발/NNG+하/XSV+는/ETM
풍토가	풍토/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.266.7.4
척추치료사 스포츠재활의사 독립금융상담사 등 좋은 서비스 일자리가 외국에만 있고 우리나라에는 없는 것은 기득권의 저항이 거세서다.

척추치료사	척추/NNG+치료사/NNG
스포츠재활의사	스포츠/NNG+재활/NNG+의사/NNG
독립금융상담사	독립/NNG+금융/NNG+상담사/NNG
등	등/NNB
좋은	좋/VA+은/ETM
서비스	서비스/NNG
일자리가	일자리/NNG+가/JKS
외국에만	외국/NNG+에/JKB+만/JX
있고	있/VA+고/EC
우리나라에는	우리나라/NNG+에/JKB+는/JX
없는	없/VA+는/ETM
것은	것/NNB+은/JX
기득권의	기득/NNG+권/XSN+의/JKG
저항이	저항/NNG+이/JKS
거세서다.	거세/VA+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000053.266.7.5
(정대영 송현경제연구소장)

(정대영	(/SS+정대영/NNP
송현경제연구소장)	송현/NNG+경제/NNG+연구소장/NNG+)/SS


# id : NWRW1800000053.266.8.1
비정규직과 정규직의 급여 수준을 맞추는 데 초점을 두면 미로에서 빠져나올 수 없다.

비정규직과	비/XPN+정규직/NNG+과/JC
정규직의	정규직/NNG+의/JKG
급여	급여/NNG
수준을	수준/NNG+을/JKO
맞추는	맞추/VV+는/ETM
데	데/NNB
초점을	초점/NNG+을/JKO
두면	두/VV+면/EC
미로에서	미로/NNG+에서/JKB
빠져나올	빠져나오/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.266.8.2
기존에 있는 정규직군과 다른 정규직군을 따로 만들어 비정규직을 여기에 편입시키는 아이디어가 있다.

기존에	기존/NNG+에/JKB
있는	있/VA+는/ETM
정규직군과	정규직군/NNG+과/JC
다른	다른/MMD
정규직군을	정규직군/NNG+을/JKO
따로	따로/MAG
만들어	만들/VV+어/EC
비정규직을	비/XPN+정규직/NNG+을/JKO
여기에	여기/NP+에/JKB
편입시키는	편입/NNG+시키/XSV+는/ETM
아이디어가	아이디어/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.266.8.3
임금 차별이 생기지 않느냐고 하겠지만 직군 간 이동이 가능하게 하면 비정규직에 기회의 문이 열린다.

임금	임금/NNG
차별이	차별/NNG+이/JKS
생기지	생기/VV+지/EC
않느냐고	않/VX+느냐고/EC
하겠지만	하/VX+겠/EP+지만/EC
직군	직군/NNG
간	간/NNB
이동이	이동/NNG+이/JKS
가능하게	가능/NNG+하/XSA+게/EC
하면	하/VX+면/EC
비정규직에	비/XPN+정규직/NNG+에/JKB
기회의	기회/NNG+의/JKG
문이	문/NNG+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.266.9.1
정치인과 관료들이 이런 기회의 문제를 거의 언급하지 않는 것은 잘 모르기 때문이다.

정치인과	정치인/NNG+과/JC
관료들이	관료/NNG+들/XSN+이/JKS
이런	이런/MMD
기회의	기회/NNG+의/JKG
문제를	문제/NNG+를/JKO
거의	거의/MAG
언급하지	언급/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
잘	잘/MAG
모르기	모르/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.266.9.2
스스로 기회가 간절했던 적이 별로 없다.

스스로	스스로/MAG
기회가	기회/NNG+가/JKS
간절했던	간절하/VA+았/EP+던/ETM
적이	적/NNB+이/JKS
별로	별로/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.266.9.3
장관이나 국회의원 중에 자녀가 비정규직으로 일하는 사람이 몇이나 되겠나.

장관이나	장관/NNG+이나/JC
국회의원	국회/NNG+의원/NNG
중에	중/NNB+에/JKB
자녀가	자녀/NNG+가/JKS
비정규직으로	비/XPN+정규직/NNG+으로/JKB
일하는	일/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
몇이나	몇/NR+이나/JX
되겠나.	되/VV+겠/EP+나/EF+./SF


# id : NWRW1800000053.266.10.1
장관 연금부터 깎으시라

장관	장관/NNG
연금부터	연금/NNG+부터/JX
깎으시라	깎/VV+으시/EP+라/EF


# id : NWRW1800000053.266.11.1
대통령 직속 일자리위원회에 참여하는 정부, 기업, 노조는 모두 크고 작은 기득권 위에 있다.

대통령	대통령/NNG
직속	직속/NNG
일자리위원회에	일자리/NNG+위원회/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
정부,	정부/NNG+,/SP
기업,	기업/NNG+,/SP
노조는	노조/NNG+는/JX
모두	모두/MAG
크고	크/VA+고/EC
작은	작/VA+은/ETM
기득권	기득/NNG+권/XSN
위에	위/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.266.11.2
먹고사느라 바쁜 하위 10%는 ‘헬조선’ 논쟁 자체를 모른다.

먹고사느라	먹고살/VV+느라/EC
바쁜	바쁘/VA+ㄴ/ETM
하위	하위/NNG
10%는	10/SN+%/SW+는/JX
‘헬조선’	‘/SS+헬조선/NNG+’/SS
논쟁	논쟁/NNG
자체를	자체/NNG+를/JKO
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.266.11.3
이대로 시간이 흐르면 호리병을 거꾸로 세워둔 것처럼 정규직 기득권이 뚱뚱하게 윗부분을 차지하고, 소외된 일부 비정규직이 병 아래에 머무는 기형적 사회가 될 것이다.

이대로	이대로/MAG
시간이	시간/NNG+이/JKS
흐르면	흐르/VV+면/EC
호리병을	호리병/NNG+을/JKO
거꾸로	거꾸로/MAG
세워둔	세우/VV+어/EC+두/VX+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
정규직	정규직/NNG
기득권이	기득/NNG+권/XSN+이/JKS
뚱뚱하게	뚱뚱/MAG+하/XSA+게/EC
윗부분을	윗부분/NNG+을/JKO
차지하고,	차지/NNG+하/XSV+고/EC+,/SP
소외된	소외/NNG+되/XSV+ㄴ/ETM
일부	일부/NNG
비정규직이	비/XPN+정규직/NNG+이/JKS
병	병/NNG
아래에	아래/NNG+에/JKB
머무는	머물/VV+는/ETM
기형적	기형/NNG+적/XSN
사회가	사회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.266.12.1
호리병을 흔들어 병 안의 물을 섞으며 기회가 늘어나도록 해야 한다.

호리병을	호리병/NNG+을/JKO
흔들어	흔들/VV+어/EC
병	병/NNG
안의	안/NNG+의/JKG
물을	물/NNG+을/JKO
섞으며	섞/VV+으며/EC
기회가	기회/NNG+가/JKS
늘어나도록	늘어나/VV+도록/EC
해야	하/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.266.12.2
정부가 공공 부문 정규직을 늘리려면 장관 연금과 공기업 임원의 급여부터 깎으라.

정부가	정부/NNG+가/JKS
공공	공공/NNG
부문	부문/NNG
정규직을	정규직/NNG+을/JKO
늘리려면	늘리/VV+려면/EC
장관	장관/NNG
연금과	연금/NNG+과/JC
공기업	공기업/NNG
임원의	임원/NNG+의/JKG
급여부터	급여/NNG+부터/JX
깎으라.	깎/VV+으라/EF+./SF


# id : NWRW1800000053.266.12.3
그래야 아래에서 위로 올라갈 여지가 생긴다.

그래야	그렇/VA+어야/EC
아래에서	아래/NNG+에서/JKB
위로	위/NNG+로/JKB
올라갈	올라가/VV+ㄹ/ETM
여지가	여지/NNB+가/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


