# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.34
metadata : {}


# id : NWRW1800000037.34.1.1
친미 3개국 ‘JIBs’는 지구촌 트러블메이커

친미	친미/NNG
# id : NWRW1800000037.34.4.3
영국의 EU 탈퇴는 봉합 국면에 들어가던 유럽 재정위기에 악영향을 미칠 가능성이 높다.

영국의	영국/NNP+의/JKG
EU	EU/SL
탈퇴는	탈퇴/NNG+는/JX
봉합	봉합/NNG
국면에	국면/NNG+에/JKB
들어가던	들어가/VV+던/ETM
유럽	유럽/NNP
재정위기에	재정/NNG+위기/NNG+에/JKB
악영향을	악영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000037.34.4.4
버락 오바마 미국 대통령은 캐머린 총리에게 전화해 “우리는 강한 EU의 일원으로서 강한 영국을 평가하고 있다”고 충고했다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
캐머린	캐머린/NNP
총리에게	총리/NNG+에게/JKB
전화해	전화/NNG+하/XSV+아/EC
“우리는	“/SS+우리/NP+는/JX
강한	강하/VA+ㄴ/ETM
EU의	EU/SL+의/JKG
일원으로서	일원/NNG+으로서/JKB
영국을	영국/NNP+을/JKO
평가하고	평가/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
충고했다.	충고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.34.5.1
이스라엘은 베냐민 네타냐후 정권이 아랍 세계와 대립을 계속해 지역 분쟁을 격화시키고 있다.

이스라엘은	이스라엘/NNP+은/JX
베냐민	베냐민/NNP
네타냐후	네타냐후/NNP
정권이	정권/NNG+이/JKS
아랍	아랍/NNP
세계와	세계/NNG+와/JKB
대립을	대립/NNG+을/JKO
계속해	계속/NNG+하/XSV+아/EC
지역	지역/NNG
분쟁을	분쟁/NNG+을/JKO
격화시키고	격화/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.34.5.2
핵무기 개발을 계속하는 이란에 대한 공격 의지를 거듭 밝히고 지난해 11월에는 가자지구를 공격했다.

핵무기	핵무기/NNG
개발을	개발/NNG+을/JKO
계속하는	계속/NNG+하/XSV+는/ETM
이란에	이란/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
공격	공격/NNG
의지를	의지/NNG+를/JKO
거듭	거듭/MAG
밝히고	밝히/VV+고/EC
지난해	지난해/NNG
11월에는	11/SN+월/NNB+에/JKB+는/JX
가자지구를	가자지구/NNP+를/JKO
공격했다.	공격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.34.5.3
급기야 오바마 대통령은 “이스라엘은 뭐가 자신에 가장 좋은 것인지 모르고 있다”고 네타냐후 정권의 강경 노선을 비판했다.

급기야	급기야/MAG
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
“이스라엘은	“/SS+이스라엘/NNP+은/JX
뭐가	뭐/NP+가/JKS
자신에	자신/NNG+에/JKB
가장	가장/MAG
좋은	좋/VA+은/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
모르고	모르/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
네타냐후	네타냐후/NNP
정권의	정권/NNG+의/JKG
강경	강경/NNG
노선을	노선/NNG+을/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.34.5.4
하지만 네타냐후 총리는 22일 총선에서 재집권에 성공했다.

하지만	하지만/MAJ
네타냐후	네타냐후/NNP
총리는	총리/NNG+는/JX
22일	22/SN+일/NNB
총선에서	총선/NNG+에서/JKB
재집권에	재/XPN+집권/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.34.6.1
일본은 아베 신조(安倍晋三) 정권 출범 이후 중국과 한국 등 아시아 주변국과 긴장 관계가 이어지고 있다.

일본은	일본/NNP+은/JX
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
정권	정권/NNG
출범	출범/NNG
이후	이후/NNG
중국과	중국/NNP+과/JC
한국	한국/NNP
등	등/NNB
아시아	아시아/NNP
주변국과	주변국/NNG+과/JKB
긴장	긴장/NNG
관계가	관계/NNG+가/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.34.6.2
미국과 유럽에서 볼 때 일본은 아시아 지역의 긴장을 높이는 존재로 비친다는 게 니혼게이자이신문의 우려다.

미국과	미국/NNP+과/JC
유럽에서	유럽/NNP+에서/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
일본은	일본/NNP+은/JX
아시아	아시아/NNP
지역의	지역/NNG+의/JKG
긴장을	긴장/NNG+을/JKO
높이는	높이/VV+는/ETM
존재로	존재/NNG+로/JKB
비친다는	비치/VV+ㄴ다는/ETM
게	거/NNB+이/JKS
니혼게이자이신문의	니혼게이자이신문/NNP+의/JKG
우려다.	우려/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.34.6.3
이코노미스트지는 최근 ‘전쟁의 발소리’라는 제목으로 일본과 중국의 영토분쟁을 전하기도 했다.

이코노미스트지는	이코노미스트지/NNG+는/JX
최근	최근/MAG
‘전쟁의	‘/SS+전쟁/NNG+의/JKG
발소리’라는	발소리/NNG+’/SS+이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
일본과	일본/NNP+과/JC
중국의	중국/NNP+의/JKG
영토분쟁을	영토/NNG+분쟁/NNG+을/JKO
전하기도	전하/VV+기/ETN+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.34.7.1
브레머 회장은 올 초 월스트리트저널에 기고한 칼럼에서 “일본과 이스라엘, 영국이 미국과의 동맹에 의지하는 것만으로는 자신의 문제를 해결할 수 없다”며 “이는 미국 외교정책에도 좋지 않은 소식”이라고 분석했다.

브레머	브레머/NNP
회장은	회장/NNG+은/JX
올	올/NNG
초	초/NNB
월스트리트저널에	월스트리트저널/NNP+에/JKB
기고한	기고/NNG+하/XSV+ㄴ/ETM
칼럼에서	칼럼/NNG+에서/JKB
“일본과	“/SS+일본/NNP+과/JC
이스라엘,	이스라엘/NNP+,/SP
영국이	영국/NNP+이/JKS
미국과의	미국/NNP+과/JKB+의/JKG
동맹에	동맹/NNG+에/JKB
의지하는	의지/NNG+하/XSV+는/ETM
것만으로는	것/NNB+만/JX+으로/JKB+는/JX
자신의	자신/NNG+의/JKG
문제를	문제/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“이는	“/SS+이/NP+는/JX
미국	미국/NNP
외교정책에도	외교/NNG+정책/NNG+에/JKB+도/JX
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
소식”이라고	소식/NNG+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.34.7.2
그는 이어 “미국은 일본이 중국과 정면충돌을 피해 원만하게 지내고, 이스라엘은 중동과 세력균형을 이루며, 영국은 EU의 틀 안에서 영향력을 행사해 주기를 바라지만 어느 것도 쉽지 않을 것”이라고 전망했다.

그는	그/NP+는/JX
이어	이어/MAG
“미국은	“/SS+미국/NNP+은/JX
일본이	일본/NNP+이/JKS
중국과	중국/NNP+과/JKB
정면충돌을	정면충돌/NNG+을/JKO
피해	피하/VV+아/EC
원만하게	원만하/VA+게/EC
지내고,	지내/VV+고/EC+,/SP
이스라엘은	이스라엘/NNP+은/JX
중동과	중동/NNP+과/JKB
세력균형을	세력/NNG+균형/NNG+을/JKO
이루며,	이루/VV+며/EC+,/SP
영국은	영국/NNP+은/JX
EU의	EU/SL+의/JKG
틀	틀/NNG
안에서	안/NNG+에서/JKB
영향력을	영향력/NNG+을/JKO
행사해	행사/NNG+하/XSV+아/EC
주기를	주/VX+기/ETN+를/JKO
바라지만	바라/VV+지만/EC
어느	어느/MMD
것도	것/NNB+도/JX
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.34.8.1
스위스 다보스에서 열리는 세계경제포럼(WEF·다보스포럼)에 참석한 글로벌 컨설팅업체인 액센추어의 마크 스펠먼 매니징 디렉터는 “지금 세계 최대의 난제는 경제위기가 아니라 지정학적 리스크”라고 말했다.

스위스	스위스/NNP
다보스에서	다보스/NNP+에서/JKB
열리는	열리/VV+는/ETM
세계경제포럼(WEF·다보스포럼)에	세계경제포럼/NNP+(/SS+WEF/SL+·/SP+다보스/NNP+포럼/NNG+)/SS+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
글로벌	글로벌/NNG
컨설팅업체인	컨설팅/NNG+업체/NNG+이/VCP+ㄴ/ETM
액센추어의	액센추어/NNP+의/JKG
마크	마크/NNP
스펠먼	스펠먼/NNP
매니징	매니징/NNG
디렉터는	디렉터/NNG+는/JX
“지금	“/SS+지금/MAG
세계	세계/NNG
최대의	최대/NNG+의/JKG
난제는	난제/NNG+는/JX
경제위기가	경제/NNG+위기/NNG+가/JKS
아니라	아니/VCN+라/EC
지정학적	지정학/NNG+적/XSN
리스크”라고	리스크/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.34.8.2
주요 국가들 간의 알력과 갈등이 더 큰 위기를 초래할 수 있다는 의미다.

주요	주요/NNG
국가들	국가/NNG+들/XSN
간의	간/NNB+의/JKG
알력과	알력/NNG+과/JC
갈등이	갈등/NNG+이/JKS
더	더/MAG
큰	크/VA+ㄴ/ETM
위기를	위기/NNG+를/JKO
초래할	초래/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


