# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.153
metadata : {}


# id : NWRW1800000041.153.1.1
캔버스 대신 그래픽 디스플레이… 조각상 대신 로봇… 예술과 과학, 경계선상의 실험

캔버스	캔버스/NNG
5개의	5/SN+개/NNB+의/JKG
석고	석고/NNG
영사막에	영사막/NNG+에/JKB
눈,	눈/NNG+,/SP
입술,	입술/NNG+,/SP
목젖	목젖/NNG
등	등/NNB
신체	신체/NNG
여러	여러/MMN
부위를	부위/NNG+를/JKO
근접	근접/NNG
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
비춰	비추/VV+어/EC
배경으로	배경/NNG+으로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.153.6.3
그 인체 이미지의 섬 사이사이를 로봇 5대가 저마다의 행동양식에 따라 배회한다.

그	그/MMD
인체	인체/NNG
이미지의	이미지/NNG+의/JKG
섬	섬/NNG
사이사이를	사이사이/NNG+를/JKO
로봇	로봇/NNG
5대가	5/SN+대/NNB+가/JKS
저마다의	저마다/NNG+의/JKG
행동양식에	행동/NNG+양식/NNG+에/JKB
따라	따르/VV+아/EC
배회한다.	배회/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.153.6.4
포스텍(포항공대)에서 기계공학을 전공한 뒤 유학길에 미디어아트로 옮겨간 김 씨는 “차츰 인간을 닮아가는 기계가 어떻게 인류와의 공생을 모색하는지 보여주고 싶다”고 말했다.

포스텍(포항공대)에서	포스텍/NNP+(/SS+포항공대/NNP+)/SS+에서/JKB
기계공학을	기계/NNG+공학/NNG+을/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
유학길에	유학길/NNG+에/JKB
미디어아트로	미디어아트/NNG+로/JKB
옮겨간	옮기/VV+어/EC+가/VX+ㄴ/ETM
김	김/NNP
씨는	씨/NNB+는/JX
“차츰	“/SS+차츰/MAG
인간을	인간/NNG+을/JKO
닮아가는	닮/VV+아/EC+가/VX+는/ETM
기계가	기계/NNG+가/JKS
어떻게	어떻/VA+게/EC
인류와의	인류/NNG+와/JKB+의/JKG
공생을	공생/NNG+을/JKO
모색하는지	모색/NNG+하/XSV+는지/EF
보여주고	보이/VV+어/EC+주/VX+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.153.7.1
배재혁 씨의 ‘인사이드 아웃’은 입력 변수에 따라 다채로운 구성의 움직이는 톱니 조각을 디자인할 수 있는 컴퓨터 프로그램을 뼈대로 삼았다.

배재혁	배재혁/NNP
씨의	씨/NNB+의/JKG
‘인사이드	‘/SS+인사이드/NNP
아웃’은	아웃/NNP+’/SS+은/JX
입력	입력/NNG
변수에	변수/NNG+에/JKB
따라	따르/VV+아/EC
다채로운	다채롭/VA+ㄴ/ETM
구성의	구성/NNG+의/JKG
움직이는	움직이/VV+는/ETM
톱니	톱니/NNG
조각을	조각/NNG+을/JKO
디자인할	디자인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
컴퓨터	컴퓨터/NNG
프로그램을	프로그램/NNG+을/JKO
뼈대로	뼈대/NNG+로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.153.7.2
전시장에는 선택한 결과물을 레이저로 재단한 투명 아크릴 톱니바퀴가 돌아간다.

전시장에는	전시장/NNG+에/JKB+는/JX
선택한	선택/NNG+하/XSV+ㄴ/ETM
결과물을	결과물/NNG+을/JKO
레이저로	레이저/NNG+로/JKB
재단한	재단/NNG+하/XSV+ㄴ/ETM
투명	투명/NNG
아크릴	아크릴/NNG
톱니바퀴가	톱니바퀴/NNG+가/JKS
돌아간다.	돌아가/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.153.7.3
작가는 움직이는 조각마다 조명을 비춰 벽면에 커다란 톱니 그림자를 엮었다.

작가는	작가/NNG+는/JX
움직이는	움직이/VV+는/ETM
조각마다	조각/NNG+마다/JX
조명을	조명/NNG+을/JKO
비춰	비추/VV+어/EC
벽면에	벽면/NNG+에/JKB
커다란	커다랗/VA+ㄴ/ETM
톱니	톱니/NNG
그림자를	그림자/NNG+를/JKO
엮었다.	엮/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.153.7.4
작가가 내놓은 작업의 고갱이는 관람객 눈앞에 놓인 움직이는 그림자일까, 아니면 컴퓨터 디자인 프로그램일까.

작가가	작가/NNG+가/JKS
내놓은	내놓/VV+은/ETM
작업의	작업/NNG+의/JKG
고갱이는	고갱이/NNG+는/JX
관람객	관람객/NNG
눈앞에	눈앞/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
움직이는	움직이/VV+는/ETM
그림자일까,	그림자/NNG+이/VCP+ㄹ까/EF+,/SP
아니면	아니/VCN+면/EC
컴퓨터	컴퓨터/NNG
디자인	디자인/NNG
프로그램일까.	프로그램/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000041.153.7.5
배 씨는 서울대 기계항공공학부 석사과정을 마친 뒤 역시 유학 중 진로를 바꿨다.

배	배/NNP
씨는	씨/NNB+는/JX
서울대	서울대/NNP
기계항공공학부	기계/NNG+항공/NNG+공학부/NNG
석사과정을	석사/NNG+과정/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
역시	역시/MAG
유학	유학/NNG
중	중/NNB
진로를	진로/NNG+를/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.153.8.1
바로 옆 전시실에는 마음대로 조작할 수 있는 아이패드 10여 대를 늘어놓았다.

바로	바로/MAG
옆	옆/NNG
전시실에는	전시실/NNG+에/JKB+는/JX
마음대로	마음대로/MAG
조작할	조작/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
아이패드	아이패드/NNP
10여	10/SN+여/XSN
대를	대/NNB+를/JKO
늘어놓았다.	늘어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.153.8.2
게임프로그래머 10개 팀이 예술과의 접점 찾기를 시도한 신작을 체험하도록 했다.

게임프로그래머	게임/NNG+프로그래머/NNG
10개	10/SN+개/NNB
팀이	팀/NNG+이/JKS
예술과의	예술/NNG+과/JKB+의/JKG
접점	접점/NNG
찾기를	찾/VV+기/ETN+를/JKO
시도한	시도/NNG+하/XSV+ㄴ/ETM
신작을	신작/NNG+을/JKO
체험하도록	체험/NNG+하/XSV+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.153.8.3
터틀 크림(박선용 박영민 씨)의 ‘The Watcher’는 ‘게임은 손으로 조작하는 것’이라는 고정관념을 거스른다.

터틀	터틀/NNP
크림(박선용	크림/NNG+(/SS+박선용/NNP
박영민	박영민/NNP
씨)의	씨/NNB+)/SS+의/JKG
‘The	‘/SS+The/SL
Watcher’는	Watcher/SL+’/SS+는/JX
‘게임은	‘/SS+게임/NNG+은/JX
손으로	손/NNG+으로/JKB
조작하는	조작/NNG+하/XSV+는/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
고정관념을	고정/NNG+관념/NNG+을/JKO
거스른다.	거스르/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.153.8.4
스크린에 자그마한 외계생명체가 나타나 오물조물 우주선을 만들기 시작한다.

스크린에	스크린/NNG+에/JKB
자그마한	자그마하/VA+ㄴ/ETM
외계생명체가	외계/NNG+생명체/NNG+가/JKS
나타나	나타나/VV+아/EC
오물조물	오물조물/MAG
우주선을	우주선/NNG+을/JKO
만들기	만들/VV+기/ETN
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.153.8.5
습관대로 화면을 만지는 순간 게임이 끝나 첫 화면으로 돌아간다.

습관대로	습관/NNG+대로/JX
화면을	화면/NNG+을/JKO
만지는	만지/VV+는/ETM
순간	순간/NNG
게임이	게임/NNG+이/JKS
끝나	끝나/VV+아/EC
첫	첫/MMN
화면으로	화면/NNG+으로/JKB
돌아간다.	돌아가/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.153.8.6
개발자는 “손을 뻗고픈 충동을 억제하며 지켜봐야 끝나는 게임이다. 컴퓨터게임의 주체가 어느 쪽인지 돌아보려는 의도”라고 했다.

개발자는	개발자/NNG+는/JX
“손을	“/SS+손/NNG+을/JKO
뻗고픈	뻗/VV+고/EC+프/VX+ㄴ/ETM
충동을	충동/NNG+을/JKO
억제하며	억제/NNG+하/XSV+며/EC
지켜봐야	지켜보/VV+아야/EC
끝나는	끝나/VV+는/ETM
게임이다.	게임/NNG+이/VCP+다/EF+./SF
컴퓨터게임의	컴퓨터/NNG+게임/NNG+의/JKG
주체가	주체/NNG+가/JKS
어느	어느/MMD
쪽인지	쪽/NNB+이/VCP+ㄴ지/EF
돌아보려는	돌아보/VV+려는/ETM
의도”라고	의도/NNG+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.153.9.1
노정민 학예연구사는 “38명의 참여 작가는 각자의 방식으로 예술과 과학의 기존 가치관과 관념에 도전했다”며 “우연성으로 빚어진 모호한 비합리적 요소가 어떻게 새로운 영역을 확장시키는지 확인할 수 있을 것”이라고 말했다.

노정민	노정민/NNP
학예연구사는	학예/NNG+연구사/NNG+는/JX
“38명의	“/SS+38/SN+명/NNB+의/JKG
참여	참여/NNG
작가는	작가/NNG+는/JX
각자의	각자/NNG+의/JKG
방식으로	방식/NNG+으로/JKB
예술과	예술/NNG+과/JC
과학의	과학/NNG+의/JKG
기존	기존/NNG
가치관과	가치관/NNG+과/JC
관념에	관념/NNG+에/JKB
도전했다”며	도전/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“우연성으로	“/SS+우연/NNG+성/XSN+으로/JKB
빚어진	빚어지/VV+ㄴ/ETM
모호한	모호하/VA+ㄴ/ETM
비합리적	비/XPN+합리/NNG+적/XSN
요소가	요소/NNG+가/JKS
어떻게	어떻/VA+게/EC
새로운	새롭/VA+ㄴ/ETM
영역을	영역/NNG+을/JKO
확장시키는지	확장/NNG+시키/XSV+는지/EF
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.153.9.2
11일과 11월 8, 15일에는 ‘과학에서의 신경미학’ ‘융합하는 문화’ 등을 주제로 한 이노베이션 포럼이 열린다.

11일과	11/SN+일/NNB+과/JC
11월	11/SN+월/NNB
8,	8/SN+,/SP
15일에는	15/SN+일/NNB+에/JKB+는/JX
‘과학에서의	‘/SS+과학/NNG+에서/JKB+의/JKG
신경미학’	신경/NNG+미학/NNG+’/SS
‘융합하는	‘/SS+융합/NNG+하/XSV+는/ETM
문화’	문화/NNG+’/SS
등을	등/NNB+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
이노베이션	이노베이션/NNG
포럼이	포럼/NNG+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


