# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.246
metadata : {}


# id : NWRW1800000046.246.1.1
[경제포커스] 政治 없는 '經濟 대통령'은 환상

[경제포커스]	[/SS+경제/NNG+포커스/NNG+]/SS
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.246.2.5
그러나 국민의 귀에는 그 내용이 좀처럼 들어오지 않았다.

그러나	그러나/MAJ
국민의	국민/NNG+의/JKG
귀에는	귀/NNG+에/JKB+는/JX
그	그/MMD
내용이	내용/NNG+이/JKS
좀처럼	좀처럼/MAG
들어오지	들어오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.246.2.6
대통령의 연설은 무감한 청중 앞에서 재미없는 강연을 마쳐야 하는 연사처럼 외롭고 곤혹스럽게 느껴지기도 했다.

대통령의	대통령/NNG+의/JKG
연설은	연설/NNG+은/JX
무감한	무감하/VA+ㄴ/ETM
청중	청중/NNG
앞에서	앞/NNG+에서/JKB
재미없는	재미없/VA+는/ETM
강연을	강연/NNG+을/JKO
마쳐야	마치/VV+어야/EC
하는	하/VX+는/ETM
연사처럼	연사/NNG+처럼/JKB
외롭고	외롭/VA+고/EC
곤혹스럽게	곤혹/NNG+스럽/XSA+게/EC
느껴지기도	느끼/VV+어/EC+지/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.246.2.7
대통령은 경제에 대해서 많은 얘기를 했지만 뭐가 기억나는지 묻는다면 답할 수 있는 사람은 많지 않을 것이다.

대통령은	대통령/NNG+은/JX
경제에	경제/NNG+에/JKB
대해서	대하/VV+아서/EC
많은	많/VA+은/ETM
얘기를	얘기/NNG+를/JKO
했지만	하/VV+았/EP+지만/EC
뭐가	뭐/NP+가/JKS
기억나는지	기억나/VV+는지/EC
묻는다면	묻/VV+는다면/EC
답할	답/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사람은	사람/NNG+은/JX
많지	많/VA+지/EC
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.246.3.1
이런 점에서 이날 대통령의 경제 세일즈는 실패했다.

이런	이런/MMD
점에서	점/NNG+에서/JKB
이날	이날/NNG
대통령의	대통령/NNG+의/JKG
경제	경제/NNG
세일즈는	세일즈/NNG+는/JX
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.246.3.2
물건이 안 팔리는 이유는 소비자가 원하는 물건 대신 판매자가 팔고 싶은 것을 내놓기 때문인 경우가 많다.

물건이	물건/NNG+이/JKS
안	안/MAG
팔리는	팔리/VV+는/ETM
이유는	이유/NNG+는/JX
소비자가	소비자/NNG+가/JKS
원하는	원/NNG+하/XSV+는/ETM
물건	물건/NNG
대신	대신/NNG
판매자가	판매자/NNG+가/JKS
팔고	팔/VV+고/EC
싶은	싶/VX+은/ETM
것을	것/NNB+을/JKO
내놓기	내놓/VV+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.246.3.3
국민은 정윤회 문건 파동과 이를 낳은 폐쇄적 청와대 운영 구조에 대한 대통령의 정치적 개혁 조치를 듣고자 잔뜩 귀를 기울이고 있는데 대통령은 줄곧 팔아왔던 경제 혁신 3개년 계획만 외니까 고개를 돌린 것이다.

국민은	국민/NNG+은/JX
정윤회	정윤회/NNP
문건	문건/NNG
파동과	파동/NNG+과/JC
이를	이/NP+를/JKO
낳은	낳/VV+은/ETM
폐쇄적	폐쇄/NNG+적/XSN
청와대	청와대/NNP
운영	운영/NNG
구조에	구조/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대통령의	대통령/NNG+의/JKG
정치적	정치/NNG+적/XSN
개혁	개혁/NNG
조치를	조치/NNG+를/JKO
듣고자	듣/VV+고자/EC
잔뜩	잔뜩/MAG
귀를	귀/NNG+를/JKO
기울이고	기울이/VV+고/EC
있는데	있/VX+는데/EC
대통령은	대통령/NNG+은/JX
줄곧	줄곧/MAG
팔아왔던	팔/VV+아/EC+오/VX+았/EP+던/ETM
경제	경제/NNG
혁신	혁신/NNG
3개년	3/SN+개년/NNB
계획만	계획/NNG+만/JX
외니까	외/VV+니까/EC
고개를	고개/NNG+를/JKO
돌린	돌리/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.246.4.1
대통령은 변하지 않았고 어떤 점에서 한결같다고 볼 수도 있다.

대통령은	대통령/NNG+은/JX
변하지	변하/VV+지/EC
않았고	않/VX+았/EP+고/EC
어떤	어떤/MMD
점에서	점/NNG+에서/JKB
한결같다고	한결같/VA+다고/EC
볼	보/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.246.4.2
그런데 국민이 변했다.

그런데	그런데/MAJ
국민이	국민/NNG+이/JKS
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.246.4.3
취임 초기 '제2의 한강의 기적'을 이루자고 말할 때 대통령의 결기를 사주었던 국민이 달라진 것이다.

취임	취임/NNG
초기	초기/NNG
'제2의	'/SS+제/XPN+2/SN+의/JKG
한강의	한강/NNP+의/JKG
기적'을	기적/NNG+'/SS+을/JKO
이루자고	이루/VV+자고/EC
말할	말/NNG+하/XSV+ㄹ/ETM
때	때/NNG
대통령의	대통령/NNG+의/JKG
결기를	결기/NNG+를/JKO
사주었던	사/VV+아/EC+주/VX+었/EP+던/ETM
국민이	국민/NNG+이/JKS
달라진	달라지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.246.4.4
변덕스러운 소비자의 마음을 잘 읽어야 성공한 비즈니스맨이 되고, 민심의 변화를 예민하게 읽어야 실패하지 않는 정치인이 된다.

변덕스러운	변덕/NNG+스럽/XSA+ㄴ/ETM
소비자의	소비자/NNG+의/JKG
마음을	마음/NNG+을/JKO
잘	잘/MAG
읽어야	읽/VV+어야/EC
성공한	성공/NNG+하/XSV+ㄴ/ETM
비즈니스맨이	비즈니스맨/NNG+이/JKC
되고,	되/VV+고/EC+,/SP
민심의	민심/NNG+의/JKG
변화를	변화/NNG+를/JKO
예민하게	예민하/VA+게/EC
실패하지	실패/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
정치인이	정치인/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.246.4.5
국민의 변화된 수요를 맞추지 못하고 계속 같은 물건을 같은 방식으로 판매하려고 하면 점점 재고만 쌓일 것이다.

국민의	국민/NNG+의/JKG
변화된	변화/NNG+되/XSV+ㄴ/ETM
수요를	수요/NNG+를/JKO
맞추지	맞추/VV+지/EC
못하고	못하/VX+고/EC
계속	계속/MAG
같은	같/VA+은/ETM
물건을	물건/NNG+을/JKO
방식으로	방식/NNG+으로/JKB
판매하려고	판매/NNG+하/XSV+려고/EC
하면	하/VX+면/EC
점점	점점/MAG
재고만	재고/NNG+만/JX
쌓일	쌓이/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.246.5.1
경제를 강조하는 대통령들은 경제가 잘되면 정치는 따라올 것이라는 '경제 일방주의'의 오류에 빠지곤 한다.

경제를	경제/NNG+를/JKO
강조하는	강조/NNG+하/XSV+는/ETM
대통령들은	대통령/NNG+들/XSN+은/JX
경제가	경제/NNG+가/JKS
잘되면	잘/MAG+되/XSV+면/EC
정치는	정치/NNG+는/JX
따라올	따라오/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
'경제	'/SS+경제/NNG
일방주의'의	일방주의/NNG+'/SS+의/JKG
오류에	오류/NNG+에/JKB
빠지곤	빠지/VV+곤/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.246.5.2
하지만 그것은 허기진 배를 채우려는 국민의 열망이 너무 커서 정치를 틀어막아도 견딜 수 있었던 개발독재 시대에 유효했던 논리다.

하지만	하지만/MAJ
그것은	그것/NP+은/JX
허기진	허기지/VV+ㄴ/ETM
배를	배/NNG+를/JKO
채우려는	채우/VV+려는/ETM
국민의	국민/NNG+의/JKG
열망이	열망/NNG+이/JKS
너무	너무/MAG
커서	크/VA+어서/EC
정치를	정치/NNG+를/JKO
틀어막아도	틀어막/VV+아도/EC
견딜	견디/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
개발독재	개발/NNG+독재/NNG
시대에	시대/NNG+에/JKB
유효했던	유효/NNG+하/XSA+았/EP+던/ETM
논리다.	논리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.246.5.3
민주 시대에 정치를 무시하고 경제 일방주의를 추구하다가 실패하는 사례를 우리는 종종 목격한다.

민주	민주/NNG
시대에	시대/NNG+에/JKB
정치를	정치/NNG+를/JKO
무시하고	무시/NNG+하/XSV+고/EC
경제	경제/NNG
일방주의를	일방주의/NNG+를/JKO
추구하다가	추구/NNG+하/XSV+다가/EC
실패하는	실패/NNG+하/XSV+는/ETM
사례를	사례/NNG+를/JKO
우리는	우리/NP+는/JX
종종	종종/MAG
목격한다.	목격/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.246.6.1
이명박 전 대통령이 대표적이다.

이명박	이명박/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.246.6.2
그는 집권 마지막 해에 찐 옥수수를 먹으며 10시간 동안 경제 활성화 끝장 토론을 벌였지만 국회를 피하려다 보니 아무 실효성 있는 대책도 내놓지 못했다.

그는	그/NP+는/JX
집권	집권/NNG
마지막	마지막/NNG
해에	해/NNG+에/JKB
찐	찌/VV+ㄴ/ETM
옥수수를	옥수수/NNG+를/JKO
먹으며	먹/VV+으며/EC
10시간	10/SN+시간/NNB
동안	동안/NNG
경제	경제/NNG
활성화	활성/NNG+화/XSN
끝장	끝장/NNG
토론을	토론/NNG+을/JKO
벌였지만	벌이/VV+었/EP+지만/EC
국회를	국회/NNG+를/JKO
피하려다	피하/VV+려다/EC
보니	보/VX+니/EC
아무	아무/MMD
실효성	실효/NNG+성/XSN
있는	있/VA+는/ETM
대책도	대책/NNG+도/JX
내놓지	내놓/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.246.6.3
이번 연말정산에서 부메랑을 맞은 간이소득세제 조정을 통한 경기부양책도 MB 마지막 해에 시행령만 바꾸는 꼼수를 부렸던 것이 탈이 난 것이다.

이번	이번/NNG
연말정산에서	연말/NNG+정산/NNG+에서/JKB
부메랑을	부메랑/NNG+을/JKO
맞은	맞/VV+은/ETM
간이소득세제	간이/NNG+소득/NNG+세제/NNG
조정을	조정/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
경기부양책도	경기/NNG+부양책/NNG+도/JX
MB	MB/SL
마지막	마지막/NNG
해에	해/NNG+에/JKB
시행령만	시행령/NNG+만/JX
바꾸는	바꾸/VV+는/ETM
꼼수를	꼼수/NNG+를/JKO
부렸던	부리/VV+었/EP+던/ETM
것이	것/NNB+이/JKS
탈이	탈/NNG+이/JKS
난	나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.246.6.4
경제정책은 선택의 문제이고, 이해관계자들을 조정하고 설득하는 정치적 과정이다.

경제정책은	경제/NNG+정책/NNG+은/JX
선택의	선택/NNG+의/JKG
문제이고,	문제/NNG+이/VCP+고/EC+,/SP
이해관계자들을	이해관계자/NNG+들/XSN+을/JKO
조정하고	조정/NNG+하/XSV+고/EC
설득하는	설득/NNG+하/XSV+는/ETM
정치적	정치/NNG+적/XSN
과정이다.	과정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.246.6.5
그래서 성공한 경제 대통령 가운데는 레이건이나 클린턴 전 미국 대통령처럼 뛰어난 정치적 자산을 활용해 경제 문제를 풀었던, 소통에 능한 사람이 많다.

그래서	그래서/MAJ
성공한	성공/NNG+하/XSV+ㄴ/ETM
경제	경제/NNG
대통령	대통령/NNG
가운데는	가운데/NNG+는/JX
레이건이나	레이건/NNP+이나/JC
클린턴	클린턴/NNP
전	전/MMD
미국	미국/NNP
대통령처럼	대통령/NNG+처럼/JKB
뛰어난	뛰어나/VA+ㄴ/ETM
정치적	정치/NNG+적/XSN
자산을	자산/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
문제를	문제/NNG+를/JKO
풀었던,	풀/VV+었/EP+던/ETM+,/SP
소통에	소통/NNG+에/JKB
능한	능하/VA+ㄴ/ETM
사람이	사람/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.246.7.1
대통령이 신년 회견에서 읍참마속(泣斬馬謖)의 심정으로 청와대 개혁을 약속해 국민의 마음을 사고, 그 정치적 동력으로 4대 구조개혁을 역설했다면 경제정책은 훨씬 더 탄력을 받았을 것이다.

대통령이	대통령/NNG+이/JKS
신년	신년/NNG
회견에서	회견/NNG+에서/JKB
읍참마속(泣斬馬謖)의	읍참마속/NNG+(/SS+泣斬馬謖/SH+)/SS+의/JKG
심정으로	심정/NNG+으로/JKB
청와대	청와대/NNP
개혁을	개혁/NNG+을/JKO
약속해	약속/NNG+하/XSV+아/EC
국민의	국민/NNG+의/JKG
마음을	마음/NNG+을/JKO
사고,	사/VV+고/EC+,/SP
그	그/MMD
정치적	정치/NNG+적/XSN
동력으로	동력/NNG+으로/JKB
4대	4/SN+대/NNG
구조개혁을	구조/NNG+개혁/NNG+을/JKO
역설했다면	역설/NNG+하/XSV+았/EP+다면/EC
경제정책은	경제/NNG+정책/NNG+은/JX
훨씬	훨씬/MAG
더	더/MAG
탄력을	탄력/NNG+을/JKO
받았을	받/VV+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.246.7.2
경제 일방주의와 "역사와 대화하겠다"는 마이웨이 리더십으론 성공한 경제 대통령이 되기 어렵다.

경제	경제/NNG
일방주의와	일방주의/NNG+와/JC
"역사와	"/SS+역사/NNG+와/JKB
대화하겠다"는	대화/NNG+하/XSV+겠/EP+다/EF+"/SS+는/ETM
마이웨이	마이웨이/NNG
리더십으론	리더십/NNG+으로/JKB+ㄴ/JX
성공한	성공/NNG+하/XSV+ㄴ/ETM
대통령이	대통령/NNG+이/JKC
되기	되/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000046.246.7.3
천막당사에서 손에 붕대를 감고 유세했던 정치 감각은 지금이 더 필요한지 모른다.

천막당사에서	천막/NNG+당사/NNG+에서/JKB
손에	손/NNG+에/JKB
붕대를	붕대/NNG+를/JKO
감고	감/VV+고/EC
유세했던	유세/NNG+하/XSV+았/EP+던/ETM
정치	정치/NNG
감각은	감각/NNG+은/JX
지금이	지금/NNG+이/JKS
더	더/MAG
필요한지	필요/NNG+하/XSA+ㄴ지/EC
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.246.7.4
성공한 경제 대통령으로 남을 수 있는 골든타임이 너무 빨리 흘러가고 있다.

성공한	성공/NNG+하/XSV+ㄴ/ETM
경제	경제/NNG
대통령으로	대통령/NNG+으로/JKB
남을	남/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
골든타임이	골든타임/NNG+이/JKS
너무	너무/MAG
빨리	빨리/MAG
흘러가고	흘러가/VV+고/EC
있다.	있/VX+다/EF+./SF


