# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.72
metadata : {}


# id : NWRW1800000056.72.1.1
마크롱 누구?

마크롱	마크롱/NNP
주자였던	주자/NNG+이/VCP+었/EP+던/ETM
중도	중도/NNG
우파	우파/NNG
프랑수아	프랑수아/NNP
피용	피용/NNP
후보가	후보/NNG+가/JKS
세비	세비/NNG
횡령	횡령/NNG
스캔들로	스캔들/NNG+로/JKB
무너지며	무너지/VV+며/EC
마크롱에게	마크롱/NNP+에게/JKB
시선이	시선/NNG+이/JKS
쏠렸다.	쏠리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.72.8.3
안에서는 극우 후보 마린 르펜, 밖에서는 예측 불가능한 도널드 트럼프 미국 대통령 등 ‘극단’이 횡행하는 상황도 중도를 표방하는 마크롱에게 유리한 상황이었다.

안에서는	안/NNG+에서/JKB+는/JX
극우	극우/NNG
후보	후보/NNG
마린	마린/NNP
르펜,	르펜/NNP+,/SP
밖에서는	밖/NNG+에서/JKB+는/JX
예측	예측/NNG
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령	대통령/NNG
등	등/NNB
‘극단’이	‘/SS+극단/NNG+’/SS+이/JKS
횡행하는	횡행/NNG+하/XSV+는/ETM
상황도	상황/NNG+도/JX
중도를	중도/NNG+를/JKO
표방하는	표방/NNG+하/XSV+는/ETM
마크롱에게	마크롱/NNP+에게/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.72.8.4
최근 3년간 평균 성장률이 0.9%에 그치고, 4년 연속 10%대 실업률이 지속되는 등 더딘 경제성장은 기존 정당이 무능하다는 인식에 기름을 부었다.

최근	최근/MAG
3년간	3/SN+년/NNB+간/XSN
평균	평균/NNG
성장률이	성장/NNG+률/XSN+이/JKS
0.9%에	0/SN+./SP+9/SN+%/SW+에/JKB
그치고,	그치/VV+고/EC+,/SP
4년	4/SN+년/NNB
연속	연속/NNG
10%대	10/SN+%/SW+대/XSN
실업률이	실업/NNG+률/XSN+이/JKS
지속되는	지속/NNG+되/XSV+는/ETM
등	등/NNB
더딘	더디/VA+ㄴ/ETM
경제성장은	경제/NNG+성장/NNG+은/JX
기존	기존/NNG
정당이	정당/NNG+이/JKS
무능하다는	무능/NNG+하/XSA+다는/ETM
인식에	인식/NNG+에/JKB
기름을	기름/NNG+을/JKO
부었다.	붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.72.9.1
마크롱은 의사 집안에서 태어나 엘리트 학교인 프랑스국립행정학교에 다녔지만 ‘인간적 매력’ 또한 갖췄다.

마크롱은	마크롱/NNP+은/JX
의사	의사/NNG
집안에서	집안/NNG+에서/JKB
태어나	태어나/VV+아/EC
엘리트	엘리트/NNG
학교인	학교/NNG+이/VCP+ㄴ/ETM
프랑스국립행정학교에	프랑스국립행정학교/NNP+에/JKB
다녔지만	다니/VV+었/EP+지만/EC
‘인간적	‘/SS+인간/NNG+적/XSN
매력’	매력/NNG+’/SS
또한	또한/MAG
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.72.9.2
그가 16살 때 만난 24살 연상 교사에 대한 순정을 지켜 집안의 반대를 무릅쓰고 30살 때 결국 결혼에 성공한 이야기는 프랑스인들의 마음을 울렸다.

그가	그/NP+가/JKS
16살	16/SN+살/NNB
때	때/NNG
만난	만나/VV+ㄴ/ETM
24살	24/SN+살/NNB
연상	연상/NNG
교사에	교사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
순정을	순정/NNG+을/JKO
지켜	지키/VV+어/EC
집안의	집안/NNG+의/JKG
반대를	반대/NNG+를/JKO
무릅쓰고	무릅쓰/VV+고/EC
30살	30/SN+살/NNB
결국	결국/MAG
결혼에	결혼/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
이야기는	이야기/NNG+는/JX
프랑스인들의	프랑스인/NNG+들/XSN+의/JKG
마음을	마음/NNG+을/JKO
울렸다.	울리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.72.10.1
마크롱은 경제장관으로 재임하던 2016년 정당 ‘앙 마르슈!’(전진!)를 창당했다.

마크롱은	마크롱/NNP+은/JX
경제장관으로	경제/NNG+장관/NNG+으로/JKB
재임하던	재임/NNG+하/XSV+던/ETM
2016년	2016/SN+년/NNB
정당	정당/NNG
‘앙	‘/SS+앙/NNP
마르슈!’(전진!)를	마르슈/NNP+!/SF+’/SS+(/SS+전진/NNG+!/SF+)/SS+를/JKO
창당했다.	창당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.72.10.2
중도 후보라 불리지만, 경제 분야에서는 친기업적 성향이 강하고, 사회문제에서는 개방적 태도를 보여왔다.

중도	중도/NNG
후보라	후보/NNG+이/VCP+라/EC
불리지만,	불리/VV+지만/EC+,/SP
경제	경제/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
친기업적	친/XPN+기업/NNG+적/XSN
성향이	성향/NNG+이/JKS
강하고,	강하/VA+고/EC+,/SP
사회문제에서는	사회/NNG+문제/NNG+에서/JKB+는/JX
개방적	개방/NNG+적/XSN
태도를	태도/NNG+를/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.72.10.3
그는 노동 유연성 강화, 법인세 등 기업의 세 부담 경감을 주장한다.

그는	그/NP+는/JX
노동	노동/NNG
유연성	유연성/NNG
강화,	강화/NNG+,/SP
법인세	법인세/NNG
등	등/NNB
기업의	기업/NNG+의/JKG
세	세/NNG
부담	부담/NNG
경감을	경감/NNG+을/JKO
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.72.10.4
불평등과 빈곤 문제에 대한 접근도 ‘재분배’보다 ‘공평한 기회’를 중시하는 자유주의 방식에 가깝다.

불평등과	불/XPN+평등/NNG+과/JC
빈곤	빈곤/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
접근도	접근/NNG+도/JX
‘재분배’보다	‘/SS+재/XPN+분배/NNG+’/SS+보다/JKB
‘공평한	‘/SS+공평/NNG+하/XSA+ㄴ/ETM
기회’를	기회/NNG+’/SS+를/JKO
중시하는	중시/NNG+하/XSV+는/ETM
자유주의	자유주의/NNG
방식에	방식/NNG+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000056.72.10.5
자유와 개방을 중시하는 마크롱은 유럽연합(EU) 체제를 지지하며 이민자를 배척하지 않는 정부를 표방한다.

자유와	자유/NNG+와/JC
개방을	개방/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
마크롱은	마크롱/NNP+은/JX
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
체제를	체제/NNG+를/JKO
지지하며	지지/NNG+하/XSV+며/EC
이민자를	이민자/NNG+를/JKO
배척하지	배척/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
정부를	정부/NNG+를/JKO
표방한다.	표방/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.72.10.6
점진적 핵에너지 축소를 지향하고 자발적 임신 중단(낙태)을 여성의 권리로 본다.

점진적	점진/NNG+적/XSN
핵에너지	핵에너지/NNG
축소를	축소/NNG+를/JKO
지향하고	지향/NNG+하/XSV+고/EC
자발적	자발/NNG+적/XSN
임신	임신/NNG
중단(낙태)을	중단/NNG+(/SS+낙태/NNG+)/SS+을/JKO
여성의	여성/NNG+의/JKG
권리로	권리/NNG+로/JKB
본다.	보/VV+ㄴ다/EF+./SF


