# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.328
metadata : {}


# id : NWRW1800000052.328.1.1
새누리 선진화법 개정안 11일 발의

새누리	새누리/NNP
수정할	수정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
하는	하/VX+는/ETM
규정도	규정/NNG+도/JX
개정안에	개정안/NNG+에/JKB
넣겠다고	넣/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.328.11.2
이 외에 쟁점법안을 빨리 처리하기 위해 도입된 ‘안건신속처리제도’를 적극 활용하기 위해 시행 조건인 재적 의원 5분의 3 동의 규정을 ‘과반수 동의’로 낮추는 방안도 함께 추진하기로 했다.

이	이/MMD
외에	외/NNB+에/JKB
쟁점법안을	쟁점/NNG+법안/NNG+을/JKO
빨리	빨리/MAG
처리하기	처리/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
도입된	도입/NNG+되/XSV+ㄴ/ETM
‘안건신속처리제도’를	‘/SS+안건/NNG+신속/NNG+처리/NNG+제도/NNG+’/SS+를/JKO
적극	적극/NNG
활용하기	활용/NNG+하/XSV+기/ETN
시행	시행/NNG
조건인	조건/NNG+이/VCP+ㄴ/ETM
재적	재적/NNG
의원	의원/NNG
5분의	5/SN+분/XSN+의/JKG
3	3/SN
동의	동의/NNG
규정을	규정/NNG+을/JKO
‘과반수	‘/SS+과반수/NNG
동의’로	동의/NNG+’/SS+로/JKB
낮추는	낮추/VV+는/ETM
방안도	방안/NNG+도/JX
함께	함께/MAG
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.328.11.3
새누리당은 이르면 11일 이런 내용이 담긴 국회법 개정안을 발의하고 야당이 합의하지 않으면 정의화 국회의장에게 직권상정을 요구할 계획이다.

새누리당은	새누리당/NNP+은/JX
이르면	이르/VA+면/EC
11일	11/SN+일/NNB
이런	이런/MMD
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
국회법	국회법/NNG
개정안을	개정안/NNG+을/JKO
발의하고	발의/NNG+하/XSV+고/EC
야당이	야당/NNG+이/JKS
합의하지	합의/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
정의화	정의화/NNP
국회의장에게	국회/NNG+의장/NNG+에게/JKB
직권상정을	직권/NNG+상정/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.328.11.4
정 의장은 “검토해보겠다.

정	정/NNP
의장은	의장/NNG+은/JX
“검토해보겠다.	“/SS+검토/NNG+하/XSV+아/EC+보/VX+겠/EP+다/EF+./SF


# id : NWRW1800000052.328.11.5
20대 국회를 위해서 19대 국회가 마지막으로 해줘야죠”라면서도 “상임위에서 결정해 본회의로 가는 게 맞다”며 다소 부정적으로 말했다.

20대	20/SN+대/NNB
국회를	국회/NNG+를/JKO
위해서	위하/VV+아서/EC
19대	19/SN+대/NNB
국회가	국회/NNG+가/JKS
마지막으로	마지막/NNG+으로/JKB
해줘야죠”라면서도	하/VV+아/EC+주/VX+어야/EC+죠/EF+”/SS+이/VCP+라면서/EC+도/JX
“상임위에서	“/SS+상임위/NNG+에서/JKB
결정해	결정/NNG+하/XSV+아/EC
본회의로	본회의/NNG+로/JKB
가는	가/VV+는/ETM
게	거/NNB+이/JKS
맞다”며	맞/VV+다/EF+”/SS+며/EC
다소	다소/MAG
부정적으로	부정/NNG+적/XSN+으로/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.328.11.6
정 의장의 한 핵심 측근은 “국회법은 여야가 상임위 절차를 거쳐서 처리해야지, 의장이 직권상정할 수 있는 대상이 아니다”라고 했다.

정	정/NNP
의장의	의장/NNG+의/JKG
한	한/MMN
핵심	핵심/NNG
측근은	측근/NNG+은/JX
“국회법은	“/SS+국회법/NNG+은/JX
여야가	여야/NNG+가/JKS
상임위	상임위/NNG
절차를	절차/NNG+를/JKO
거쳐서	거치/VV+어서/EC
처리해야지,	처리/NNG+하/XSV+아야지/EC+,/SP
의장이	의장/NNG+이/JKS
직권상정할	직권/NNG+상정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VV+는/ETM
대상이	대상/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.328.12.1
더불어민주당 김성수 대변인은 이날 “새누리당의 속내는 청와대의 지시에 따라 노동관계법안을 강행 처리하는 데 국회선진화법이 걸림돌이 되고 있다는 것이 아니냐.

더불어민주당	더불어민주당/NNP
김성수	김성수/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
“새누리당의	“/SS+새누리당/NNP+의/JKG
속내는	속내/NNG+는/JX
청와대의	청와대/NNP+의/JKG
지시에	지시/NNG+에/JKB
따라	따르/VV+아/EC
노동관계법안을	노동관계/NNG+법안/NNG+을/JKO
강행	강행/NNG
처리하는	처리/NNG+하/XSV+는/ETM
데	데/NNB
국회선진화법이	국회/NNG+선진/NNG+화/XSN+법/NNG+이/JKS
걸림돌이	걸림돌/NNG+이/JKC
되고	되/VV+고/EC
있다는	있/VX+다는/ETM
것이	것/NNB+이/JKC
아니냐.	아니/VCN+냐/EF+./SF


# id : NWRW1800000052.328.12.2
민의를 대변해야 할 헌법기관으로서 본분을 망각하고 대통령의 지시에 복종하는 통법부가 되기를 자처하는 것”이라고 말했다.

민의를	민의/NNG+를/JKO
대변해야	대변/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
헌법기관으로서	헌법/NNG+기관/NNG+으로서/JKB
본분을	본분/NNG+을/JKO
망각하고	망각/NNG+하/XSV+고/EC
대통령의	대통령/NNG+의/JKG
지시에	지시/NNG+에/JKB
복종하는	복종/NNG+하/XSV+는/ETM
통법부가	통법부/NNG+가/JKC
되기를	되/VV+기/ETN+를/JKO
자처하는	자처/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.328.13.1
여당에서도 반대 목소리가 나왔다.

여당에서도	여당/NNG+에서/JKB+도/JX
반대	반대/NNG
목소리가	목소리/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.328.13.2
국회선진화법 제정을 주도했던 김세연 새누리당 의원은 “국회 폭력의 뇌관 역할을 했던 직권상정을 부활하겠다는 것인데 이는 국회 폭력을 되살리는 것과 같다”며 “직권상정 부활로 국회가 퇴행할 일이 아니라 상임위원장 여야 나눠먹기 방지, 의장 및 상임위원장 권한 강화 등 제도 개혁을 해야 한다”고 말했다.

국회선진화법	국회/NNG+선진/NNG+화/XSN+법/NNG
제정을	제정/NNG+을/JKO
주도했던	주도/NNG+하/XSV+았/EP+던/ETM
김세연	김세연/NNP
새누리당	새누리당/NNP
의원은	의원/NNG+은/JX
“국회	“/SS+국회/NNG
폭력의	폭력/NNG+의/JKG
뇌관	뇌관/NNG
역할을	역할/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
직권상정을	직권/NNG+상정/NNG+을/JKO
부활하겠다는	부활/NNG+하/XSV+겠/EP+다는/ETM
것인데	것/NNB+이/VCP+ㄴ데/EC
이는	이/NP+는/JX
국회	국회/NNG
폭력을	폭력/NNG+을/JKO
되살리는	되살리/VV+는/ETM
것과	것/NNB+과/JKB
같다”며	같/VA+다/EF+”/SS+며/EC
“직권상정	“/SS+직권/NNG+상정/NNG
부활로	부활/NNG+로/JKB
국회가	국회/NNG+가/JKS
퇴행할	퇴행/NNG+하/XSV+ㄹ/ETM
일이	일/NNG+이/JKC
아니라	아니/VCN+라/EC
상임위원장	상임/NNG+위원장/NNG
여야	여야/NNG
나눠먹기	나누/VV+어/EC+먹/VV+기/ETN
방지,	방지/NNG+,/SP
의장	의장/NNG
및	및/MAG
권한	권한/NNG
강화	강화/NNG
등	등/NNB
제도	제도/NNG
개혁을	개혁/NNG+을/JKO
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


