# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.32
metadata : {}


# id : NWRW1800000030.32.1.1
역대 유엔 사무총장들은… 부트로스-갈리 빼곤 7명 모두 연임

역대	역대/NNG
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.32.3.1
초대 사무총장인 노르웨이 출신의 트뤼그베 할브단 리(1946~52)는 이스라엘 건국을 지지했다.

초대	초대/NNG
사무총장인	사무총장/NNG+이/VCP+ㄴ/ETM
노르웨이	노르웨이/NNP
출신의	출신/NNG+의/JKG
트뤼그베	트뤼그베/NNP
할브단	할브단/NNP
리(1946~52)는	리/NNP+(/SS+1946/SN+~/SO+52/SN+)/SS+는/JX
이스라엘	이스라엘/NNP
건국을	건국/NNG+을/JKO
지지했다.	지지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.32.3.2
또 1950년 유엔의 6·25 전쟁 개입을 지지했다.

또	또/MAG
1950년	1950/SN+년/NNB
유엔의	유엔/NNP+의/JKG
6·25	6/SN+·/SP+25/SN
전쟁	전쟁/NNG
개입을	개입/NNG+을/JKO
지지했다.	지지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.32.3.3
소련이 이를 문제 삼아 연임을 반대하는 바람에 재선에 어려움을 겪기도 했지만 결국 유엔총회의 결의로 임기를 연장했다.

소련이	소련/NNP+이/JKS
이를	이/NP+를/JKO
문제	문제/NNG
삼아	삼/VV+아/EC
연임을	연임/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
재선에	재선/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪기도	겪/VV+기/ETN+도/JX
했지만	하/VX+았/EP+지만/EC
결국	결국/NNG
유엔총회의	유엔/NNP+총회/NNG+의/JKG
결의로	결의/NNG+로/JKB
임기를	임기/NNG+를/JKO
연장했다.	연장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.32.4.1
2대 총장이었던 스웨덴 출신의 다그 함마르셸드(1953~61)는 유엔에 평화유지군(PKF)을 도입, 유엔의 역할이 무엇인지를 각인시켰다는 평가를 받는다.

2대	2/SN+대/NNB
총장이었던	총장/NNG+이/VCP+었/EP+던/ETM
스웨덴	스웨덴/NNP
출신의	출신/NNG+의/JKG
다그	다그/NNP
함마르셸드(1953~61)는	함마르셸드/NNP+(/SS+1953/SN+~/SO+61/SN+)/SS+는/JX
유엔에	유엔/NNP+에/JKB
평화유지군(PKF)을	평화유지군/NNP+(/SS+PKF/SL+)/SS+을/JKO
도입,	도입/NNG+,/SP
유엔의	유엔/NNP+의/JKG
역할이	역할/NNG+이/JKS
무엇인지를	무엇/NP+이/VCP+ㄴ지/EF+를/JKO
각인시켰다는	각인/NNG+시키/XSV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000030.32.4.2
1961년 잠비아 분쟁 해소를 위한 평화유지 활동을 하다 비행기 사고로 순직했다.

1961년	1961/SN+년/NNB
잠비아	잠비아/NNP
분쟁	분쟁/NNG
해소를	해소/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
평화유지	평화/NNG+유지/NNG
활동을	활동/NNG+을/JKO
하다	하/VV+다/EC
비행기	비행기/NNG
사고로	사고/NNG+로/JKB
순직했다.	순직/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.32.4.3
사후(死後) 노벨평화상을 받은 유일한 인물이다.

사후(死後)	사후/NNG+(/SS+死後/SH+)/SS
노벨평화상을	노벨/NNP+평화상/NNG+을/JKO
받은	받/VV+은/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.32.4.4
존 F.

존	존/NNP
F.	F/SL+./SP


# id : NWRW1800000030.32.4.5
케네디 당시 미 대통령은 함마르셸드를 "20세기 가장 위대한 정치인"이라고 추모했다.

케네디	케네디/NNP
당시	당시/NNG
미	미/NNP
대통령은	대통령/NNG+은/JX
함마르셸드를	함마르셸드/NNP+를/JKO
"20세기	"/SS+20/SN+세기/NNG
가장	가장/MAG
위대한	위대하/VA+ㄴ/ETM
정치인"이라고	정치인/NNG+"/SS+이라고/JKQ
추모했다.	추모/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.32.5.1
부트로스-갈리 대신 미국의 지지를 등에 업은 코피 아난 7대 사무총장(1997~2006)은 2기(期)에선 미국 주도의 유엔 이라크 제재결의안에 우려를 표명하는 등 '미국을 위한 총장'이 아닌, '유엔을 위한 총장' 이미지 구축에 주력했다.

부트로스-갈리	부트로스/NNP+-/SO+갈리/NNP
대신	대신/NNG
미국의	미국/NNP+의/JKG
지지를	지지/NNG+를/JKO
등에	등/NNG+에/JKB
업은	업/VV+은/ETM
코피	코피/NNP
아난	아난/NNP
7대	7/SN+대/NNB
사무총장(1997~2006)은	사무총장/NNG+(/SS+1997/SN+~/SO+2006/SN+)/SS+은/JX
2기(期)에선	2/SN+기/NNG+(/SS+期/SH+)/SS+에서/JKB+ㄴ/JX
미국	미국/NNP
주도의	주도/NNG+의/JKG
유엔	유엔/NNP
이라크	이라크/NNP
제재결의안에	제재/NNG+결의안/NNG+에/JKB
우려를	우려/NNG+를/JKO
표명하는	표명/NNG+하/XSV+는/ETM
등	등/NNB
'미국을	'/SS+미국/NNP+을/JKO
위한	위하/VV+ㄴ/ETM
총장'이	총장/NNG+'/SS+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
'유엔을	'/SS+유엔/NNP+을/JKO
총장'	총장/NNG+'/SS
이미지	이미지/NNG
구축에	구축/NNG+에/JKB
주력했다.	주력/NNG+하/XSV+았/EP+다/EF+./SF


