# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.203
metadata : {}


# id : NWRW1800000052.203.1.1
욕설·엉만튀…사진 찍어두세요

욕설·엉만튀…사진	욕설/NNG+·/SP+엉만튀/NNG+…/SE+사진/NNG
돌아보자	돌아보/VV+자/EC
금세	금세/MAG
발걸음을	발걸음/NNG+을/JKO
옮겼다.	옮기/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.203.4.4
여성 ㄴ씨는 지난해 친구와 길을 걷고 있는데 갑자기 오토바이를 탄 남성이 뒤에서 빠른 속도로 접근하더니 자신의 엉덩이를 만지고 달아나는 일을 경험했다.

여성	여성/NNG
ㄴ씨는	ㄴ/NNG+씨/NNB+는/JX
지난해	지난해/NNG
친구와	친구/NNG+와/JKB
길을	길/NNG+을/JKO
걷고	걷/VV+고/EC
있는데	있/VX+는데/EC
갑자기	갑자기/MAG
오토바이를	오토바이/NNG+를/JKO
탄	타/VV+ㄴ/ETM
남성이	남성/NNG+이/JKS
뒤에서	뒤/NNG+에서/JKB
빠른	빠르/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
접근하더니	접근/NNG+하/XSV+더니/EC
자신의	자신/NNG+의/JKG
엉덩이를	엉덩이/NNG+를/JKO
만지고	만지/VV+고/EC
달아나는	달아나/VV+는/ETM
일을	일/NNG+을/JKO
경험했다.	경험/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.203.4.5
오토바이를 타고 재빠르게 달아난 범인의 얼굴을 확인할 수도, 쫓아가 잡을 수도 없었다.

오토바이를	오토바이/NNG+를/JKO
타고	타/VV+고/EC
재빠르게	재빠르/VA+게/EC
달아난	달아나/VV+ㄴ/ETM
범인의	범인/NNG+의/JKG
얼굴을	얼굴/NNG+을/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수도,	수/NNB+도/JX+,/SP
쫓아가	쫓아가/VV+아/EC
잡을	잡/VV+을/ETM
수도	수/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.203.5.1
한국성폭력상담소는 “길거리와 대중교통, 공원·승강기 등 공공장소에서 벌어지는 상대적으로 가벼운 성적 괴롭힘을 ‘길거리 괴롭힘’이라 정하고, 지난해 4월부터 최근까지 관련 사례를 수집해보니 모두 177건(130명이 복수 참여)이 접수됐다”고 18일 밝혔다.

한국성폭력상담소는	한국성폭력상담소/NNP+는/JX
“길거리와	“/SS+길거리/NNG+와/JC
대중교통,	대중교통/NNG+,/SP
공원·승강기	공원/NNG+·/SP+승강기/NNG
등	등/NNB
공공장소에서	공공장소/NNG+에서/JKB
벌어지는	벌어지/VV+는/ETM
상대적으로	상대/NNG+적/XSN+으로/JKB
가벼운	가볍/VA+ㄴ/ETM
성적	성/NNG+적/XSN
괴롭힘을	괴롭힘/NNG+을/JKO
‘길거리	‘/SS+길거리/NNG
괴롭힘’이라	괴롭힘/NNG+’/SS+이/VCP+라/EC
정하고,	정하/VV+고/EC+,/SP
지난해	지난해/NNG
4월부터	4/SN+월/NNB+부터/JX
최근까지	최근/NNG+까지/JX
관련	관련/NNG
사례를	사례/NNG+를/JKO
수집해보니	수집/NNG+하/XSV+아/EC+보/VX+니/EC
모두	모두/MAG
177건(130명이	177/SN+건/NNB+(/SS+130/SN+명/NNB+이/JKS
복수	복수/NNG
참여)이	참여/NNG+)/SS+이/JKS
접수됐다”고	접수/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
18일	18/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.203.5.2
가장 빈번한 사례는 여성 비하성 욕설·놀림 등 ‘언어적 괴롭힘’이 49건(27%)으로 가장 많았고, ‘엉덩이 만지고 달아나기’(엉만튀), ‘가슴 만지고 달아나기’(슴만튀)와 같은 신체적 추행이 29건(16%)으로 뒤를 이었다.

가장	가장/MAG
빈번한	빈번하/VA+ㄴ/ETM
사례는	사례/NNG+는/JX
여성	여성/NNG
비하성	비하/NNG+성/XSN
욕설·놀림	욕설/NNG+·/SP+놀림/NNG
등	등/NNB
‘언어적	‘/SS+언어/NNG+적/XSN
괴롭힘’이	괴롭힘/NNG+’/SS+이/JKS
49건(27%)으로	49/SN+건/NNB+(/SS+27/SN+%/SW+)/SS+으로/JKB
많았고,	많/VA+았/EP+고/EC+,/SP
‘엉덩이	‘/SS+엉덩이/NNG
만지고	만지/VV+고/EC
달아나기’(엉만튀),	달아나/VV+기/ETN+’/SS+(/SS+엉만튀/NNG+)/SS+,/SP
‘가슴	‘/SS+가슴/NNG
달아나기’(슴만튀)와	달아나/VV+기/ETN+’/SS+(/SS+슴만튀/NNG+)/SS+와/JKB
같은	같/VA+은/ETM
신체적	신체/NNG+적/XSN
추행이	추행/NNG+이/JKS
29건(16%)으로	29/SN+건/NNB+(/SS+16/SN+%/SW+)/SS+으로/JKB
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.203.5.3
직접적인 신체접촉은 아니지만 몸을 위아래로 훑어보거나(10%) 이유없이 뒤를 쫓아오는 사례(8%)도 적지 않았다.

직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
신체접촉은	신체/NNG+접촉/NNG+은/JX
아니지만	아니/VCN+지만/EC
몸을	몸/NNG+을/JKO
위아래로	위아래/NNG+로/JKB
훑어보거나(10%)	훑어보/VV+거나/EC+(/SS+10/SN+%/SW+)/SS
이유없이	이유/NNG+없이/MAG
뒤를	뒤/NNG+를/JKO
쫓아오는	쫓아오/VV+는/ETM
사례(8%)도	사례/NNG+(/SS+8/SN+%/SW+)/SS+도/JX
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.203.5.4
이밖에 성기 노출이나 성소수자에 대한 노골적 혐오 현수막 설치, 몰래카메라 등의 다양한 사례가 접수됐다.

이밖에	이/NP+밖/NNG+에/JKB
성기	성기/NNG
노출이나	노출/NNG+이나/JC
성소수자에	성/NNG+소수자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
노골적	노골/NNG+적/XSN
혐오	혐오/NNG
현수막	현수막/NNG
설치,	설치/NNG+,/SP
몰래카메라	몰래카메라/NNG
등의	등/NNB+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
사례가	사례/NNG+가/JKS
접수됐다.	접수/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.203.6.1
‘길거리 괴롭힘’은 주변에 도움을 요청하거나 가해자를 파악하기 어려워 그냥 지나칠 수밖에 없는 경우가 많다.

‘길거리	‘/SS+길거리/NNG
괴롭힘’은	괴롭힘/NNG+’/SS+은/JX
주변에	주변/NNG+에/JKB
도움을	도움/NNG+을/JKO
요청하거나	요청/NNG+하/XSV+거나/EC
가해자를	가해자/NNG+를/JKO
파악하기	파악/NNG+하/XSV+기/ETN
어려워	어렵/VA+어/EC
그냥	그냥/MAG
지나칠	지나치/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000052.203.6.2
성폭력 사건을 전문으로 다루는 이은의 변호사는 “길거리 괴롭힘도 처벌할 수 있는 법조항은 있지만, 가해자를 특정하지 못해 처벌하기 어려운 경우가 많다. 피해를 당하면 바로 휴대폰을 꺼내 가해자를 찍어두거나 ‘저기 봐’ 하며 인근 폐회로티브이(CCTV)를 바라보게 해서 가해자를 특정할 수 있는 증거를 남겨두는 게 좋다”고 조언했다.

성폭력	성폭력/NNG
사건을	사건/NNG+을/JKO
전문으로	전문/NNG+으로/JKB
다루는	다루/VV+는/ETM
이은의	이은의/NNP
변호사는	변호사/NNG+는/JX
“길거리	“/SS+길거리/NNG
괴롭힘도	괴롭힘/NNG+도/JX
처벌할	처벌/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
법조항은	법/NNG+조항/NNG+은/JX
있지만,	있/VA+지만/EC+,/SP
가해자를	가해자/NNG+를/JKO
특정하지	특정/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
처벌하기	처벌/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF
피해를	피해/NNG+를/JKO
당하면	당하/VV+면/EC
바로	바로/MAG
휴대폰을	휴대폰/NNG+을/JKO
꺼내	꺼내/VV+어/EC
찍어두거나	찍/VV+어/EC+두/VX+거나/EC
‘저기	‘/SS+저기/NP
봐’	보/VV+아/EF+’/SS
하며	하/VV+며/EC
인근	인근/NNG
폐회로티브이(CCTV)를	폐회로/NNG+티브이/NNG+(/SS+CCTV/SL+)/SS+를/JKO
바라보게	바라보/VV+게/EC
해서	하/VX+아서/EC
특정할	특정/NNG+하/XSV+ㄹ/ETM
증거를	증거/NNG+를/JKO
남겨두는	남기/VV+어/EC+두/VX+는/ETM
게	거/NNB+이/JKS
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.203.6.3
방이슬 한국성폭력상담소 성문화운동팀 활동가는 “수집된 사례 177건 가운데 주변인이 도움을 준 사례는 단 1건으로 주변인들이 목격하고도 방관하는 경우가 많았다. 주변인들의 대처도 중요하다”고 지적했다.

방이슬	방이슬/NNP
한국성폭력상담소	한국성폭력상담소/NNP
성문화운동팀	성/NNG+문화/NNG+운동/NNG+팀/NNG
활동가는	활동가/NNG+는/JX
“수집된	“/SS+수집/NNG+되/XSV+ㄴ/ETM
사례	사례/NNG
177건	177/SN+건/NNB
가운데	가운데/NNG
주변인이	주변인/NNG+이/JKS
도움을	도움/NNG+을/JKO
준	주/VV+ㄴ/ETM
사례는	사례/NNG+는/JX
단	단/MMA
1건으로	1/SN+건/NNB+으로/JKB
주변인들이	주변인/NNG+들/XSN+이/JKS
목격하고도	목격/NNG+하/XSV+고/EC+도/JX
방관하는	방관/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF
주변인들의	주변인/NNG+들/XSN+의/JKG
대처도	대처/NNG+도/JX
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.203.6.4
이를 위해 한국성폭력상담소는 최근 ‘노상의 진상을 고발하는 일상툰’이란 이름으로 10개의 웹툰을 제작해 누리집(jinsangroad.org)에 공개하는 등 길거리 괴롭힘의 정의와 문제점, 주변인 행동 지침 등을 알리는 활동을 벌이고 있다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
한국성폭력상담소는	한국성폭력상담소/NNP+는/JX
최근	최근/MAG
‘노상의	‘/SS+노상/NNG+의/JKG
진상을	진상/NNG+을/JKO
고발하는	고발/NNG+하/XSV+는/ETM
일상툰’이란	일상/NNG+툰/NNG+’/SS+이/VCP+란/ETM
이름으로	이름/NNG+으로/JKB
10개의	10/SN+개/NNB+의/JKG
웹툰을	웹툰/NNG+을/JKO
제작해	제작/NNG+하/XSV+아/EC
누리집(jinsangroad.org)에	누리집/NNG+(/SS+jinsangroad/SL+./SP+org/SL+)/SS+에/JKB
공개하는	공개/NNG+하/XSV+는/ETM
등	등/NNB
길거리	길거리/NNG
괴롭힘의	괴롭힘/NNG+의/JKG
정의와	정의/NNG+와/JC
문제점,	문제점/NNG+,/SP
주변인	주변인/NNG
행동	행동/NNG
지침	지침/NNG
등을	등/NNB+을/JKO
알리는	알리/VV+는/ETM
활동을	활동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


