# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.107
metadata : {}


# id : NWRW1800000056.107.1.1
누운 배

누운	눕/VV+ㄴ/ETM
박근혜 정권 때 사상과 표현의 자유는커녕 출판이 ‘내부자’의 손아귀에 놀아난 꼴이 되면서 책 생태계가 다양성을 회복할 기회를 놓친 게 아닌가 싶기도 했습니다.

박근혜	박근혜/NNP
정권	정권/NNG
때	때/NNG
사상과	사상/NNG+과/JC
표현의	표현/NNG+의/JKG
자유는커녕	자유/NNG+는커녕/JX
출판이	출판/NNG+이/JKS
‘내부자’의	‘/SS+내부자/NNG+’/SS+의/JKG
손아귀에	손아귀/NNG+에/JKB
놀아난	놀아나/VV+ㄴ/ETM
꼴이	꼴/NNG+이/JKC
되면서	되/VV+면서/EC
책	책/NNG
생태계가	생태/NNG+계/XSN+가/JKS
다양성을	다양/NNG+성/XSN+을/JKO
회복할	회복/NNG+하/XSV+ㄹ/ETM
기회를	기회/NNG+를/JKO
놓친	놓치/VV+ㄴ/ETM
게	거/NNB+이/JKC
아닌가	아니/VCN+ㄴ가/EF
싶기도	싶/VX+기/ETN+도/JX
했습니다.	하/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000056.107.5.1
지난해 5월 21회 한겨레문학상을 받은 작가 이혁진은 당선작 <누운 배>에서 ‘회사가 무엇일까’라는 질문을 던졌습니다.

지난해	지난해/NNG
5월	5/SN+월/NNB
21회	21/SN+회/NNB
한겨레문학상을	한겨레/NNP+문학상/NNG+을/JKO
받은	받/VV+은/ETM
작가	작가/NNG
이혁진은	이혁진/NNP+은/JX
당선작	당선작/NNG
<누운	</SS+눕/VV+ㄴ/ETM
배>에서	배/NNG+>/SS+에서/JKB
‘회사가	‘/SS+회사/NNG+가/JKS
무엇일까’라는	무엇/NP+이/VCP+ㄹ까/EF+’/SS+이/VCP+라는/ETM
질문을	질문/NNG+을/JKO
던졌습니다.	던지/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000056.107.5.2
‘누운 배’는 회사이자 나라이자 광장에서 자신이 ‘주변인, 외부자, 타자’임을 인식하게 된 서민들, 시민 각자가 아닐까요.

‘누운	‘/SS+눕/VV+ㄴ/ETM
배’는	배/NNG+’/SS+는/JX
회사이자	회사/NNG+이/VCP+자/EC
나라이자	나라/NNG+이/VCP+자/EC
광장에서	광장/NNG+에서/JKB
자신이	자신/NNG+이/JKS
‘주변인,	‘/SS+주변인/NNG+,/SP
외부자,	외부자/NNG+,/SP
타자’임을	타자/NNG+’/SS+이/VCP+ㅁ/ETN+을/JKO
인식하게	인식/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
서민들,	서민/NNG+들/XSN+,/SP
시민	시민/NNG
각자가	각자/NNG+가/JKS
아닐까요.	아니/VCN+ㄹ까/EF+요/JX+./SF


# id : NWRW1800000056.107.6.1
박 전 대통령이 구속되었고, 사람들의 눈앞에 나타난 ‘누운 배’는 아직 그 무거운 몸을 일으키지 못했습니다.

박	박/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
구속되었고,	구속/NNG+되/XSV+었/EP+고/EC+,/SP
사람들의	사람/NNG+들/XSN+의/JKG
눈앞에	눈앞/NNG+에/JKB
나타난	나타나/VV+ㄴ/ETM
‘누운	‘/SS+눕/VV+ㄴ/ETM
배’는	배/NNG+’/SS+는/JX
아직	아직/MAG
그	그/MMD
무거운	무겁/VA+ㄴ/ETM
몸을	몸/NNG+을/JKO
일으키지	일으키/VV+지/EC
못했습니다.	못하/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000056.107.6.2
세월호 참사 3주기가 모레입니다만 아직은 탈상도, 힐링도 할 도리가 없습니다.

세월호	세월호/NNP
참사	참사/NNG
3주기가	3/SN+주기/NNG+가/JKS
모레입니다만	모레/NNG+이/VCP+ㅂ니다/EF+만/JX
아직은	아직/MAG+은/JX
탈상도,	탈상/NNG+도/JX+,/SP
힐링도	힐링/NNG+도/JX
할	하/VV+ㄹ/ETM
도리가	도리/NNG+가/JKS
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000056.107.6.3
아마 앞으로도 한동안은 ‘가만있지 않는’ 실천과 정치의 재구성이 계속되겠지요.

아마	아마/MAG
앞으로도	앞/NNG+으로/JKB+도/JX
한동안은	한/XPN+동안/NNG+은/JX
‘가만있지	‘/SS+가만있/VV+지/EC
않는’	않/VX+는/ETM+’/SS
실천과	실천/NNG+과/JC
정치의	정치/NNG+의/JKG
재구성이	재/XPN+구성/NNG+이/JKS
계속되겠지요.	계속/NNG+되/XSV+겠/EP+지요/EF+./SF


# id : NWRW1800000056.107.6.4
‘세월호’를 읽고 쓰고 말하는 일도 그런 치유의 연장선상에 있는 것 같습니다.

‘세월호’를	‘/SS+세월호/NNP+’/SS+를/JKO
읽고	읽/VV+고/EC
쓰고	쓰/VV+고/EC
말하는	말/NNG+하/XSV+는/ETM
일도	일/NNG+도/JX
그런	그런/MMD
치유의	치유/NNG+의/JKG
연장선상에	연장선/NNG+상/XSN+에/JKB
있는	있/VA+는/ETM
것	것/NNB
같습니다.	같/VA+습니다/EF+./SF


