# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.242
metadata : {}


# id : NWRW1800000044.242.1.1
경찰 “김수창 5번 음란행위”…김씨, 혐의 인정

경찰	경찰/NNG
음란행위	음란/NNG+행위/NNG
여부를	여부/NNG+를/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
범행	범행/NNG
현장	현장/NNG
주변	주변/NNG
8곳	8/SN+곳/NNG
등	등/NNB
모두	모두/MAG
10곳에서	10/SN+곳/NNG+에서/JKB
폐회로텔레비전	폐회로/NNG+텔레비전/NNG
영상을	영상/NNG+을/JKO
확보해	확보/NNG+하/XSV+아/EC
국과수에	국과수/NNP+에/JKB
분석을	분석/NNG+을/JKO
맡겼으며,	맡기/VV+었/EP+으며/EC+,/SP
이날	이날/NNG
동일인으로	동일인/NNG+으로/JKB
확인됐다는	확인/NNG+되/XSV+었/EP+다는/ETM
감정	감정/NNG
결과를	결과/NNG+를/JKO
통보받았다.	통보/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.242.9.1
김 전 지검장은 13일 새벽 경찰에 현행범으로 체포될 당시 자신과 비슷한 옷차림을 한 남성이 범행 장소 인근에 앉아 휴대전화를 들여다보는 듯하다가 가버렸는데, 경찰이 그 남성을 자신과 착각하는 것 같다면서 범행사실을 부인해왔다.

김	김/NNP
전	전/MMD
지검장은	지검장/NNG+은/JX
13일	13/SN+일/NNB
새벽	새벽/NNG
경찰에	경찰/NNG+에/JKB
현행범으로	현행범/NNG+으로/JKB
체포될	체포/NNG+되/XSV+ㄹ/ETM
당시	당시/NNG
자신과	자신/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
옷차림을	옷차림/NNG+을/JKO
한	하/VV+ㄴ/ETM
남성이	남성/NNG+이/JKS
범행	범행/NNG
장소	장소/NNG
인근에	인근/NNG+에/JKB
앉아	앉/VV+아/EC
휴대전화를	휴대/NNG+전화/NNG+를/JKO
들여다보는	들여다보/VV+는/ETM
듯하다가	듯/NNB+하/XSA+다가/EC
가버렸는데,	가/VV+아/EC+버리/VX+었/EP+는데/EC+,/SP
경찰이	경찰/NNG+이/JKS
그	그/MMD
남성을	남성/NNG+을/JKO
착각하는	착각/NNG+하/XSV+는/ETM
것	것/NNB
같다면서	같/VA+다면서/EC
범행사실을	범행/NNG+사실/NNG+을/JKO
부인해왔다.	부인/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.242.10.1
국과수 분석 결과, 폐회로텔레비전에 찍힌 남성의 소지품, 옷차림, 얼굴형 및 신체적 특징, 걸음걸이 등이 김 전 지검장과 비슷한 것으로 나타났고, 음란행위 장면이 여러차례 폐회로텔레비전 영상에 잡혔다고 경찰은 설명했다.

국과수	국과수/NNP
분석	분석/NNG
결과,	결과/NNG+,/SP
폐회로텔레비전에	폐회로/NNG+텔레비전/NNG+에/JKB
찍힌	찍히/VV+ㄴ/ETM
남성의	남성/NNG+의/JKG
소지품,	소지품/NNG+,/SP
옷차림,	옷차림/NNG+,/SP
얼굴형	얼굴/NNG+형/XSN
및	및/MAG
신체적	신체/NNG+적/XSN
특징,	특징/NNG+,/SP
걸음걸이	걸음걸이/NNG
등이	등/NNB+이/JKS
김	김/NNP
전	전/MMD
지검장과	지검장/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났고,	나타나/VV+았/EP+고/EC+,/SP
음란행위	음란/NNG+행위/NNG
장면이	장면/NNG+이/JKS
여러차례	여러/MMN+차례/NNG
폐회로텔레비전	폐회로/NNG+텔레비전/NNG
영상에	영상/NNG+에/JKB
잡혔다고	잡히/VV+었/EP+다고/EC
경찰은	경찰/NNG+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.242.10.2
또 김 전 지검장이 이동한 장소에서 다른 인물은 관찰되지 않았다.

또	또/MAG
김	김/NNP
전	전/MMD
지검장이	지검장/NNG+이/JKS
이동한	이동/NNG+하/XSV+ㄴ/ETM
장소에서	장소/NNG+에서/JKB
다른	다른/MMD
인물은	인물/NNG+은/JX
관찰되지	관찰/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.242.11.1
이와 함께 경찰은 신고를 받고 현장에 출동한 경찰관에게서 ‘신고 내용과 인상착의가 같은 김 전 지검장이 순찰차를 보고 바지 지퍼를 올리듯 옷을 추스르면서 현장에서 벗어나려 해 현행범으로 체포했다’는 진술을 받았다고 밝혔다.

이와	이/NP+와/JKB
함께	함께/MAG
경찰은	경찰/NNG+은/JX
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
현장에	현장/NNG+에/JKB
출동한	출동/NNG+하/XSV+ㄴ/ETM
경찰관에게서	경찰관/NNG+에게서/JKB
‘신고	‘/SS+신고/NNG
내용과	내용/NNG+과/JC
인상착의가	인상착의/NNG+가/JKS
같은	같/VA+은/ETM
김	김/NNP
전	전/MMD
지검장이	지검장/NNG+이/JKS
순찰차를	순찰차/NNG+를/JKO
보고	보/VV+고/EC
바지	바지/NNG
지퍼를	지퍼/NNG+를/JKO
올리듯	올리/VV+듯/EC
옷을	옷/NNG+을/JKO
추스르면서	추스르/VV+면서/EC
현장에서	현장/NNG+에서/JKB
벗어나려	벗어나/VV+려/EC
해	하/VX+아/EC
현행범으로	현행범/NNG+으로/JKB
체포했다’는	체포/NNG+하/XSV+았/EP+다/EF+’/SS+는/ETM
진술을	진술/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.242.12.1
경찰은 이날 김 전 지검장에 대해 공연음란 혐의가 인정된다며 기소 의견으로 검찰에 송치했다.

경찰은	경찰/NNG+은/JX
이날	이날/NNG
김	김/NNP
전	전/MMD
지검장에	지검장/NNG+에/JKB
대해	대하/VV+아/EC
공연음란	공연/NNG+음란/NNG
혐의가	혐의/NNG+가/JKS
인정된다며	인정/NNG+되/XSV+ㄴ다며/EC
기소	기소/NNG
의견으로	의견/NNG+으로/JKB
검찰에	검찰/NNG+에/JKB
송치했다.	송치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.242.12.2
검찰은 “엄정하고 철저하게 수사해 법과 원칙에 따라 처리하겠다”고 밝혔다.

검찰은	검찰/NNG+은/JX
“엄정하고	“/SS+엄정/NNG+하/XSA+고/EC
철저하게	철저/NNG+하/XSA+게/EC
수사해	수사/NNG+하/XSV+아/EC
법과	법/NNG+과/JC
원칙에	원칙/NNG+에/JKB
따라	따르/VV+아/EC
처리하겠다”고	처리/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.242.13.1
김 전 지검장은 이날 변호인인 문성윤 변호사를 통해 “충격과 크나큰 실망을 드린 점 깊이 사죄드리고 본인도 극도의 수치심으로 죽고 싶은 심정이나 가족들을 생각하여 앞으로의 사법 절차도 성실히 따르겠다”며 “정신적 문제에 대해서도 전문가와 상의해 적극적으로 치유하도록 하겠다”고 밝혔다.

김	김/NNP
전	전/MMD
지검장은	지검장/NNG+은/JX
이날	이날/NNG
변호인인	변호인/NNG+이/VCP+ㄴ/ETM
문성윤	문성윤/NNP
변호사를	변호사/NNG+를/JKO
통해	통하/VV+아/EC
“충격과	“/SS+충격/NNG+과/JC
크나큰	크나크/VA+ㄴ/ETM
실망을	실망/NNG+을/JKO
드린	드리/VV+ㄴ/ETM
점	점/NNG
깊이	깊이/MAG
사죄드리고	사죄/NNG+드리/VV+고/EC
본인도	본인/NNG+도/JX
극도의	극도/NNG+의/JKG
수치심으로	수치심/NNG+으로/JKB
죽고	죽/VV+고/EC
싶은	싶/VX+은/ETM
심정이나	심정/NNG+이나/JC
가족들을	가족/NNG+들/XSN+을/JKO
생각하여	생각/NNG+하/XSV+아/EC
앞으로의	앞/NNG+으로/JKB+의/JKG
사법	사법/NNG
절차도	절차/NNG+도/JX
성실히	성실히/MAG
따르겠다”며	따르/VV+겠/EP+다/EF+”/SS+며/EC
“정신적	“/SS+정신/NNG+적/XSN
문제에	문제/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
전문가와	전문가/NNG+와/JKB
상의해	상의/NNG+하/XSV+아/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
치유하도록	치유/NNG+하/XSV+도록/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.242.14.1
김 전 지검장 송치 소식을 접한 검찰은 충격과 함께 착잡한 분위기가 뒤섞인 반응을 보였다.

김	김/NNP
전	전/MMD
지검장	지검장/NNG
송치	송치/NNG
소식을	소식/NNG+을/JKO
접한	접하/VV+ㄴ/ETM
검찰은	검찰/NNG+은/JX
충격과	충격/NNG+과/JKB
함께	함께/MAG
착잡한	착잡/NNG+하/XSA+ㄴ/ETM
분위기가	분위기/NNG+가/JKS
뒤섞인	뒤섞이/VV+ㄴ/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.242.14.2
한 검사장은 “(검찰 조직에) 수많은 사건들이 있었지만 이번 사건은 생각조차 하고 싶지 않다”고 말했다.

한	한/MMN
검사장은	검사장/NNG+은/JX
“(검찰	“/SS+(/SS+검찰/NNG
조직에)	조직/NNG+에/JKB+)/SS
수많은	수많/VA+은/ETM
사건들이	사건/NNG+들/XSN+이/JKS
있었지만	있/VA+었/EP+지만/EC
이번	이번/NNG
사건은	사건/NNG+은/JX
생각조차	생각/NNG+조차/JX
하고	하/VV+고/EC
싶지	싶/VX+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.242.14.3
한 부장검사는 “아내가 ‘당신 회사의 끝은 어디냐’고 묻는데 정말 부끄러웠다”고 했다.

한	한/MMN
부장검사는	부장/NNG+검사/NNG+는/JX
“아내가	“/SS+아내/NNG+가/JKS
‘당신	‘/SS+당신/NP
회사의	회사/NNG+의/JKG
끝은	끝/NNG+은/JX
어디냐’고	어디/NP+이/VCP+냐/EF+’/SS+고/JKQ
묻는데	묻/VV+는데/EC
정말	정말/MAG
부끄러웠다”고	부끄럽/VA+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.242.14.4
김 전 지검장과 함께 근무했던 대검의 한 중간 간부는 “김 전 지검장이 그런 행동을 했다는 게 믿기지 않는다.

김	김/NNP
전	전/MMD
지검장과	지검장/NNG+과/JKB
함께	함께/MAG
근무했던	근무/NNG+하/XSV+았/EP+던/ETM
대검의	대검/NNG+의/JKG
한	한/MMN
중간	중간/NNG
간부는	간부/NNG+는/JX
“김	“/SS+김/NNP
지검장이	지검장/NNG+이/JKS
그런	그런/MMD
행동을	행동/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
게	거/NNB+이/JKS
믿기지	믿기/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000044.242.14.5
심약한 김 전 지검장이 다른 마음이라도 먹는 것 아닌지 걱정된다”고 말했다.

심약한	심약하/VA+ㄴ/ETM
김	김/NNP
전	전/MMD
지검장이	지검장/NNG+이/JKS
다른	다른/MMD
마음이라도	마음/NNG+이/VCP+라도/EC
먹는	먹/VV+는/ETM
것	것/NNB
아닌지	아니/VCN+ㄴ지/EC
걱정된다”고	걱정/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.242.14.6
한 부장검사는 “검찰에서 추문을 일으킬 수 있는 사람을 순서대로 꼽으면 마지막에 놓을 정도로 점잖은 사람이었는데, 머릿속에 뭔가가 망가졌던 게 아닐까 싶다.

한	한/MMN
부장검사는	부장/NNG+검사/NNG+는/JX
“검찰에서	“/SS+검찰/NNG+에서/JKB
추문을	추문/NNG+을/JKO
일으킬	일으키/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사람을	사람/NNG+을/JKO
순서대로	순서/NNG+대로/JX
꼽으면	꼽/VV+으면/EC
마지막에	마지막/NNG+에/JKB
놓을	놓/VV+을/ETM
정도로	정도/NNG+로/JKB
점잖은	점잖/VA+은/ETM
사람이었는데,	사람/NNG+이/VCP+었/EP+는데/EC+,/SP
머릿속에	머릿속/NNG+에/JKB
뭔가가	뭐/NP+이/VCP+ㄴ가/EF+가/JKS
망가졌던	망가지/VV+었/EP+던/ETM
게	거/NNB+이/JKC
아닐까	아니/VCN+ㄹ까/EF
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000044.242.14.7
망신도 당할 만큼 당했고 공직도 그만뒀으니 앞으로 잘 치료받고 가정생활이라도 할 수 있었으면 좋겠다”고 했다.

망신도	망신/NNG+도/JX
당할	당하/VV+ㄹ/ETM
만큼	만큼/NNB
당했고	당하/VV+았/EP+고/EC
공직도	공직/NNG+도/JX
그만뒀으니	그만두/VV+었/EP+으니/EC
앞으로	앞/NNG+으로/JKB
잘	잘/MAG
치료받고	치료/NNG+받/XSV+고/EC
가정생활이라도	가정생활/NNG+이/VCP+라도/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있었으면	있/VA+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.242.15.1
한편 법무부는 김 전 지검장의 사직으로 공석이 된 제주지검장 직무대리에 박정식(53·사법연수원 20기) 부산고검 차장검사를 발령했다고 이날 밝혔다.

한편	한편/MAG
법무부는	법무부/NNG+는/JX
김	김/NNP
전	전/MMD
지검장의	지검장/NNG+의/JKG
사직으로	사직/NNG+으로/JKB
공석이	공석/NNG+이/JKC
된	되/VV+ㄴ/ETM
제주지검장	제주지검장/NNG
직무대리에	직무/NNG+대리/NNG+에/JKB
박정식(53·사법연수원	박정식/NNP+(/SS+53/SN+·/SP+사법/NNG+연수원/NNG
20기)	20/SN+기/NNG+)/SS
부산고검	부산고검/NNP
차장검사를	차장/NNG+검사/NNG+를/JKO
발령했다고	발령/NNG+하/XSV+았/EP+다고/EC
이날	이날/NNG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


