# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.182
metadata : {}


# id : NWRW1800000021.182.1.1
“한국 위한 마지막 충고는 이것”

“한국	“/SS+한국/NNP
상공회의소에서	상공/NNG+회의소/NNG+에서/JKB
아시아	아시아/NNP
담당	담당/NNG
부회장으로	부회장/NNG+으로/JKB
일하게	일/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
오버비	오버비/NNP
대표	대표/NNG
환송	환송/NNG
기자간담회가	기자/NNG+간담회/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.182.5.1
오버비 대표는 이날 간담회에서 한국의 발전을 위해 조언해 달라는 기자의 요청에 미리 준비해 온 A4 크기의 흑백 프린트물 두 장을 꺼내보였다.

오버비	오버비/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
간담회에서	간담회/NNG+에서/JKB
한국의	한국/NNP+의/JKG
발전을	발전/NNG+을/JKO
위해	위하/VV+아/EC
조언해	조언/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
기자의	기자/NNG+의/JKG
요청에	요청/NNG+에/JKB
미리	미리/MAG
준비해	준비/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
A4	A/SL+4/SN
크기의	크기/NNG+의/JKG
흑백	흑백/NNG
프린트물	프린트물/NNG
두	두/MMN
장을	장/NNB+을/JKO
꺼내보였다.	꺼내/VV+어/EC+보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.182.5.2
최근 발행된 영자신문 1면을 축소 인쇄한 프린트였다.

최근	최근/MAG
발행된	발행/NNG+되/XSV+ㄴ/ETM
영자신문	영자/NNG+신문/NNG
1면을	1/SN+면/NNG+을/JKO
축소	축소/NNG
인쇄한	인쇄/NNG+하/XSV+ㄴ/ETM
프린트였다.	프린트/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.182.5.3
그가 “지난여름 (광우병 시위 때) 발행된 것”이라며 들어 보인 외신 1면에는 긴 막대를 든 시위대가 전경들을 포위한 채 때리는 모습이 톱 사진으로 큼지막하게 실려 있었다.

그가	그/NP+가/JKS
“지난여름	“/SS+지난여름/NNG
(광우병	(/SS+광우병/NNG
시위	시위/NNG
때)	때/NNG+)/SS
발행된	발행/NNG+되/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
들어	들/VV+어/EC
보인	보이/VV+ㄴ/ETM
외신	외신/NNG
1면에는	1/SN+면/NNG+에/JKB+는/JX
긴	길/VA+ㄴ/ETM
막대를	막대/NNG+를/JKO
든	들/VV+ㄴ/ETM
시위대가	시위대/NNG+가/JKS
전경들을	전경/NNG+들/XSN+을/JKO
포위한	포위/NNG+하/XSV+ㄴ/ETM
채	채/NNB
때리는	때리/VV+는/ETM
모습이	모습/NNG+이/JKS
톱	톱/NNG
사진으로	사진/NNG+으로/JKB
큼지막하게	큼지막하/VA+게/EC
실려	실리/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.182.5.4
또 다른 1면 사진에서는 빨간 띠를 머리에 두른 노동자들이 주먹을 쥐고 투쟁을 외치고 있었다.

또	또/MAG
다른	다른/MMD
1면	1/SN+면/NNG
사진에서는	사진/NNG+에서/JKB+는/JX
빨간	빨갛/VA+ㄴ/ETM
띠를	띠/NNG+를/JKO
머리에	머리/NNG+에/JKB
두른	두르/VV+ㄴ/ETM
노동자들이	노동자/NNG+들/XSN+이/JKS
주먹을	주먹/NNG+을/JKO
쥐고	쥐/VV+고/EC
투쟁을	투쟁/NNG+을/JKO
외치고	외치/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.182.6.1
오버비 대표는 “이런 모습들이 외국인 투자가들에게 진짜 한국의 모습을 왜곡시킨다”고 말했다.

오버비	오버비/NNP
대표는	대표/NNG+는/JX
“이런	“/SS+이런/MMD
모습들이	모습/NNG+들/XSN+이/JKS
외국인	외국인/NNG
투자가들에게	투자가/NNG+들/XSN+에게/JKB
진짜	진짜/NNG
한국의	한국/NNP+의/JKG
모습을	모습/NNG+을/JKO
왜곡시킨다”고	왜곡/NNG+시키/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.182.6.2
그는 “‘경영진 타도(Crush the management)’ ‘회사를 죽이자(Kill the company)’ 같은 구호가 한국의 시위 문화에서는 익숙하지만, 이러한 투쟁문화를 처음 보는 외국인 투자가들에게는 굉장한 두려움을 낳는다”고 설명했다.

그는	그/NP+는/JX
“‘경영진	“/SS+‘/SS+경영진/NNG
타도(Crush	타도/NNG+(/SS+Crush/SL
the	the/SL
management)’	management/SL+)/SS+’/SS
‘회사를	‘/SS+회사/NNG+를/JKO
죽이자(Kill	죽이/VV+자/EF+(/SS+Kill/SL
company)’	company/SL+)/SS+’/SS
같은	같/VA+은/ETM
구호가	구호/NNG+가/JKS
한국의	한국/NNP+의/JKG
시위	시위/NNG
문화에서는	문화/NNG+에서/JKB+는/JX
익숙하지만,	익숙하/VA+지만/EC+,/SP
이러한	이러하/VA+ㄴ/ETM
투쟁문화를	투쟁/NNG+문화/NNG+를/JKO
처음	처음/NNG
보는	보/VV+는/ETM
외국인	외국인/NNG
투자가들에게는	투자가/NNG+들/XSN+에게/JKB+는/JX
굉장한	굉장하/VA+ㄴ/ETM
두려움을	두려움/NNG+을/JKO
낳는다”고	낳/VV+는다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.182.7.1
그는 “외국 기업들이 꼽는 한국의 가장 큰 투자 매력은 인재들의 우수성과 투철한 직업정신”이라며 “그러나 아이러니하게도 동시에 노동(사람) 문제가 가장 큰 투자 걸림돌이 되고 있는 만큼 이 문제만 극복된다면 한국의 투자 매력도는 굉장히 올라갈 것”이라고 덧붙였다.

그는	그/NP+는/JX
“외국	“/SS+외국/NNG
기업들이	기업/NNG+들/XSN+이/JKS
꼽는	꼽/VV+는/ETM
한국의	한국/NNP+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
투자	투자/NNG
매력은	매력/NNG+은/JX
인재들의	인재/NNG+들/XSN+의/JKG
우수성과	우수/NNG+성/XSN+과/JC
투철한	투철하/VA+ㄴ/ETM
직업정신”이라며	직업/NNG+정신/NNG+”/SS+이/VCP+라며/EC
“그러나	“/SS+그러나/MAJ
아이러니하게도	아이러니/NNG+하/XSA+게/EC+도/JX
동시에	동시/NNG+에/JKB
노동(사람)	노동/NNG+(/SS+사람/NNG+)/SS
문제가	문제/NNG+가/JKS
걸림돌이	걸림돌/NNG+이/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
이	이/MMD
문제만	문제/NNG+만/JX
극복된다면	극복/NNG+되/XSV+ㄴ다면/EC
매력도는	매력도/NNG+는/JX
굉장히	굉장히/MAG
올라갈	올라가/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.182.8.1
오버비 대표는 “처음 한국에 올 때만 해도 한국이란 나라를 잘 몰랐지만 1988년 서울 올림픽의 열정과 경제발전 가능성을 보고 한국에 매료돼 21년을 살았다”며 “외환위기 당시 진행된 금 모으기 운동, 월드컵의 열기 등 한국과 함께한 순간들을 잊지 못할 것”이라고 말했다.

오버비	오버비/NNP
대표는	대표/NNG+는/JX
“처음	“/SS+처음/NNG
한국에	한국/NNP+에/JKB
올	오/VV+ㄹ/ETM
때만	때/NNG+만/JX
해도	하/VV+아도/EC
한국이란	한국/NNP+이/VCP+란/ETM
나라를	나라/NNG+를/JKO
잘	잘/MAG
몰랐지만	모르/VV+았/EP+지만/EC
1988년	1988/SN+년/NNB
서울	서울/NNP
올림픽의	올림픽/NNG+의/JKG
열정과	열정/NNG+과/JC
경제발전	경제/NNG+발전/NNG
가능성을	가능/NNG+성/XSN+을/JKO
보고	보/VV+고/EC
매료돼	매료/NNG+되/XSV+어/EC
21년을	21/SN+년/NNB+을/JKO
살았다”며	살/VV+았/EP+다/EF+”/SS+며/EC
“외환위기	“/SS+외환/NNG+위기/NNG
당시	당시/NNG
진행된	진행/NNG+되/XSV+ㄴ/ETM
금	금/NNG
모으기	모으/VV+기/ETN
운동,	운동/NNG+,/SP
월드컵의	월드컵/NNG+의/JKG
열기	열기/NNG
등	등/NNB
한국과	한국/NNP+과/JKB
함께한	함께/MAG+하/XSV+ㄴ/ETM
순간들을	순간/NNG+들/XSN+을/JKO
잊지	잊/VV+지/EC
못할	못하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.182.8.2
또 “한국은 외환위기를 거치며 힘든 일들을 훌륭하게 해냈고 그 덕분에 지금도 경제협력개발기구(OECD) 회원국 중 가장 빨리 경제위기를 극복해내고 있다”고 칭송했다.

또	또/MAG
“한국은	“/SS+한국/NNP+은/JX
외환위기를	외환/NNG+위기/NNG+를/JKO
거치며	거치/VV+며/EC
힘든	힘들/VA+ㄴ/ETM
일들을	일/NNG+들/XSN+을/JKO
훌륭하게	훌륭하/VA+게/EC
해냈고	해내/VV+었/EP+고/EC
그	그/MMD
덕분에	덕분/NNG+에/JKB
지금도	지금/NNG+도/JX
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
회원국	회원국/NNG
중	중/NNB
가장	가장/MAG
빨리	빨리/MAG
경제위기를	경제/NNG+위기/NNG+를/JKO
극복해내고	극복/NNG+하/XSV+아/EC+내/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
칭송했다.	칭송/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.182.9.1
그는 “미국에 가서도 한국에 대한 ‘특별한 감정’을 잊지 않고 워싱턴 사람들(정계 인사들)에게 한국을 알리고 한국 기업의 제3국 진출을 돕기 위해 노력할 것”이라며 “한국은 아무리 어려운 위기를 맞아도 극복해낼 나라라고 믿는다.

그는	그/NP+는/JX
“미국에	“/SS+미국/NNP+에/JKB
가서도	가/VV+아서/EC+도/JX
한국에	한국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
‘특별한	‘/SS+특별/NNG+하/XSA+ㄴ/ETM
감정’을	감정/NNG+’/SS+을/JKO
잊지	잊/VV+지/EC
않고	않/VX+고/EC
워싱턴	워싱턴/NNP
사람들(정계	사람/NNG+들/XSN+(/SS+정계/NNG
인사들)에게	인사/NNG+들/XSN+)/SS+에게/JKB
한국을	한국/NNP+을/JKO
알리고	알리/VV+고/EC
한국	한국/NNP
기업의	기업/NNG+의/JKG
제3국	제3국/NNG
진출을	진출/NNG+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
노력할	노력/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“한국은	“/SS+한국/NNP+은/JX
아무리	아무리/MAG
어려운	어렵/VA+ㄴ/ETM
위기를	위기/NNG+를/JKO
맞아도	맞/VV+아도/EC
극복해낼	극복/NNG+하/XSV+아/EC+내/VX+ㄹ/ETM
나라라고	나라/NNG+이/VCP+라고/EC
믿는다.	믿/VV+는다/EF+./SF


# id : NWRW1800000021.182.9.2
이 모든 과정을 가까이에서 지켜볼 수 있었던 것은 나의 영광이었다”는 말로 마지막 인사를 했다.

이	이/MMD
모든	모든/MMN
과정을	과정/NNG+을/JKO
가까이에서	가까이/NNG+에서/JKB
지켜볼	지켜보/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
나의	나/NP+의/JKG
영광이었다”는	영광/NNG+이/VCP+었/EP+다/EF+”/SS+는/ETM
말로	말/NNG+로/JKB
마지막	마지막/NNG
인사를	인사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


