# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.397
metadata : {}


# id : NWRW1800000045.397.1.1
‘만능통장’ 비과세 250만원으로 확대

‘만능통장’	‘/SS+만능/NNG+통장/NNG+’/SS
보기	보/VV+기/ETN
어렵고	어렵/VA+고/EC
세제	세제/NNG
혜택의	혜택/NNG+의/JKG
규모도	규모/NNG+도/JX
지나치게	지나치/VA+게/EC
작다는	작/VA+다는/ETM
지적이	지적/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.397.6.1
이에 따라 여야는 ISA 가입 대상에 농어민을 추가하기로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
여야는	여야/NNG+는/JX
ISA	ISA/SL
가입	가입/NNG
대상에	대상/NNG+에/JKB
농어민을	농어민/NNG+을/JKO
추가하기로	추가/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.397.6.2
또 연간 소득 5000만 원 이하인 중산층 가입자에 대해 비과세 혜택을 250만 원으로 늘려주기로 했다.

또	또/MAG
연간	연간/NNG
소득	소득/NNG
5000만	5000/SN+만/NR
원	원/NNB
이하인	이하/NNG+이/VCP+ㄴ/ETM
중산층	중산/NNG+층/XSN
가입자에	가입자/NNG+에/JKB
대해	대하/VV+아/EC
비과세	비/XPN+과세/NNG
혜택을	혜택/NNG+을/JKO
250만	250/SN+만/NR
원으로	원/NNB+으로/JKB
늘려주기로	늘리/VV+어/EC+주/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.397.6.3
의무 가입 기간도 3년으로 단축한다.

의무	의무/NNG
가입	가입/NNG
기간도	기간/NNG+도/JX
3년으로	3/SN+년/NNB+으로/JKB
단축한다.	단축/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.397.6.4
다만 연간 소득이 5000만 원을 초과하는 근로자는 당초 원안대로 의무 가입 기간이 5년이며 비과세 혜택은 200만 원까지다.

다만	다만/MAG
연간	연간/NNG
소득이	소득/NNG+이/JKS
5000만	5000/SN+만/NR
원을	원/NNB+을/JKO
초과하는	초과/NNG+하/XSV+는/ETM
근로자는	근로자/NNG+는/JX
당초	당초/NNG
원안대로	원안/NNG+대로/JX
의무	의무/NNG
가입	가입/NNG
기간이	기간/NNG+이/JKS
5년이며	5/SN+년/NNB+이/VCP+며/EC
비과세	비/XPN+과세/NNG
혜택은	혜택/NNG+은/JX
200만	200/SN+만/NR
원까지다.	원/NNB+까지/JX+이/VCP+다/EF+./SF


# id : NWRW1800000045.397.6.5
금융소득종합과세 대상자는 제외된다.

금융소득종합과세	금융/NNG+소득/NNG+종합/NNG+과세/NNG
대상자는	대상자/NNG+는/JX
제외된다.	제외/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.397.7.1
한편 여야는 무주택인 성인 자녀가 10년 이상(성인이 된 이후 동거기간 기준) 부모와 함께 살던 집 한 채를 상속받을 때 5억 원 한도 내에서 상속세를 80%까지만 면제받을 수 있게 했다.

한편	한편/MAG
여야는	여야/NNG+는/JX
무주택인	무/XPN+주택/NNG+이/VCP+ㄴ/ETM
성인	성인/NNG
자녀가	자녀/NNG+가/JKS
10년	10/SN+년/NNB
이상(성인이	이상/NNG+(/SS+성인/NNG+이/JKC
된	되/VV+ㄴ/ETM
이후	이후/NNG
동거기간	동거/NNG+기간/NNG
기준)	기준/NNG+)/SS
부모와	부모/NNG+와/JKB
함께	함께/MAG
살던	살/VV+던/ETM
집	집/NNG
한	한/MMN
채를	채/NNG+를/JKO
상속받을	상속/NNG+받/XSV+을/ETM
때	때/NNG
5억	5/SN+억/NR
원	원/NNB
한도	한도/NNG
내에서	내/NNB+에서/JKB
상속세를	상속세/NNG+를/JKO
80%까지만	80/SN+%/SW+까지/JX+만/JX
면제받을	면제/NNG+받/XSV+을/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.397.7.2
당초 기재위 조세소위는 부모를 모시고 사는 것을 장려하기 위해 공제 폭을 현행 40%에서 100%까지 높이려고 했으나 일부 사람에게 지나친 혜택을 주는 정책이라는 지적을 반영해 하향 조정했다.

당초	당초/NNG
기재위	기재위/NNG
조세소위는	조세/NNG+소위/NNG+는/JX
부모를	부모/NNG+를/JKO
모시고	모시/VV+고/EC
사는	살/VV+는/ETM
것을	것/NNB+을/JKO
장려하기	장려/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
공제	공제/NNG
폭을	폭/NNG+을/JKO
현행	현행/NNG
40%에서	40/SN+%/SW+에서/JKB
100%까지	100/SN+%/SW+까지/JX
높이려고	높이/VV+려고/EC
했으나	하/VX+았/EP+으나/EC
일부	일부/NNG
사람에게	사람/NNG+에게/JKB
지나친	지나치/VA+ㄴ/ETM
혜택을	혜택/NNG+을/JKO
주는	주/VV+는/ETM
정책이라는	정책/NNG+이/VCP+라는/ETM
지적을	지적/NNG+을/JKO
반영해	반영/NNG+하/XSV+아/EC
하향	하향/NNG
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


