# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.283
metadata : {}


# id : NWRW1800000052.283.1.1
레오나르도 전북 현대 살렸다

레오나르도	레오나르도/NNP
프리킥	프리킥/NNG
동점골을	동점/NNG+골/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
데	데/NNB
힘입어	힘입/VV+어/EC
1-1로	1/SN+-/SO+1/SN+로/JKB
비겼다.	비기/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.283.6.2
레오나르도는 아크 부근에서 얻은 프리킥 상황에서 절묘한 킥으로 수원 골문 오른쪽 구석 상단을 갈랐다.

레오나르도는	레오나르도/NNP+는/JX
아크	아크/NNG
부근에서	부근/NNG+에서/JKB
얻은	얻/VV+은/ETM
프리킥	프리킥/NNG
상황에서	상황/NNG+에서/JKB
절묘한	절묘하/VA+ㄴ/ETM
킥으로	킥/NNG+으로/JKB
수원	수원/NNP
골문	골문/NNG
오른쪽	오른쪽/NNG
구석	구석/NNG
상단을	상단/NNG+을/JKO
갈랐다.	가르/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.283.6.3
이 동점골로 기세를 올린 전북은 후반 추가시간 7분까지 수원을 몰아붙였으나 추가 득점에는 실패했다.

이	이/MMD
동점골로	동점/NNG+골/NNG+로/JKB
기세를	기세/NNG+를/JKO
올린	올리/VV+ㄴ/ETM
전북은	전북/NNP+은/JX
후반	후반/NNG
추가시간	추가/NNG+시간/NNG
7분까지	7/SN+분/NNB+까지/JX
수원을	수원/NNP+을/JKO
몰아붙였으나	몰아붙이/VV+었/EP+으나/EC
추가	추가/NNG
득점에는	득점/NNG+에/JKB+는/JX
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.283.6.4
그러나 이번 시즌 개막 이후 무패행진을 30경기(17승13무)로 늘렸다.

그러나	그러나/MAJ
이번	이번/NNG
시즌	시즌/NNG
개막	개막/NNG
이후	이후/NNG
무패행진을	무패/NNG+행진/NNG+을/JKO
30경기(17승13무)로	30/SN+경기/NNG+(/SS+17/SN+승/NNB+13/SN+무/NNB+)/SS+로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.283.7.1
전북은 후반 6분 조성환이 경고 누적으로 퇴장 당해 수적 열세에 몰렸지만, 수원도 이종성이 후반 중반 경고누적으로 레드카드를 받으면서 기회를 잡았다.

전북은	전북/NNP+은/JX
후반	후반/NNG
6분	6/SN+분/NNB
조성환이	조성환/NNP+이/JKS
경고	경고/NNG
누적으로	누적/NNG+으로/JKB
퇴장	퇴장/NNG
당해	당하/VV+아/EC
수적	수/NNG+적/XSN
열세에	열세/NNG+에/JKB
몰렸지만,	몰리/VV+었/EP+지만/EC+,/SP
수원도	수원/NNP+도/JX
이종성이	이종성/NNP+이/JKS
중반	중반/NNG
경고누적으로	경고/NNG+누적/NNG+으로/JKB
레드카드를	레드카드/NNG+를/JKO
받으면서	받/VV+으면서/EC
기회를	기회/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.283.7.2
수원은 전반 44분 터진 조나탄의 선제골을 지켜내지 못했다.

수원은	수원/NNP+은/JX
전반	전반/NNG
44분	44/SN+분/NNB
터진	터지/VV+ㄴ/ETM
조나탄의	조나탄/NNP+의/JKG
선제골을	선제골/NNG+을/JKO
지켜내지	지키/VV+어/EC+내/VX+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.283.8.1
울산 현대 골키퍼 김병지(46)가 하프타임 때 은퇴식을 한 울산 경기에서는 울산 현대가 포항 스틸러스를 1-0으로 눌렀다.

울산	울산/NNP
현대	현대/NNP
골키퍼	골키퍼/NNG
김병지(46)가	김병지/NNP+(/SS+46/SN+)/SS+가/JKS
하프타임	하프타임/NNG
때	때/NNG
은퇴식을	은퇴식/NNG+을/JKO
한	하/VV+ㄴ/ETM
경기에서는	경기/NNG+에서/JKB+는/JX
현대가	현대/NNP+가/JKS
포항	포항/NNP
스틸러스를	스틸러스/NNP+를/JKO
1-0으로	1/SN+-/SO+0/SN+으로/JKB
눌렀다.	누르/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.283.8.2
전날 경기에서는 김학범 감독 사퇴 이후 성남FC를 이끌게 된 구상범(52) 감독대행이 첫 경기에서 승리의 기쁨을 맛봤다.

전날	전날/NNG
경기에서는	경기/NNG+에서/JKB+는/JX
김학범	김학범/NNP
감독	감독/NNG
사퇴	사퇴/NNG
이후	이후/NNG
성남FC를	성남FC/NNP+를/JKO
이끌게	이끌/VV+게/EC
된	되/VV+ㄴ/ETM
구상범(52)	구상범/NNP+(/SS+52/SN+)/SS
감독대행이	감독/NNG+대행/NNG+이/JKS
첫	첫/MMN
경기에서	경기/NNG+에서/JKB
승리의	승리/NNG+의/JKG
기쁨을	기쁨/NNG+을/JKO
맛봤다.	맛보/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.283.8.3
성남FC는 이날 탄천종합운동장에서 열린 수원FC와의 경기에서 2골을 기록한 김현의 맹활약을 앞세워 2-1로 역전승을 거두고 최근 3연패 뒤 귀중한 승리를 챙겼다.

성남FC는	성남FC/NNP+는/JX
이날	이날/NNG
탄천종합운동장에서	탄천종합운동장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
수원FC와의	수원FC/NNP+와/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
2골을	2/SN+골/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
김현의	김현/NNP+의/JKG
맹활약을	맹활약/NNG+을/JKO
앞세워	앞세우/VV+어/EC
2-1로	2/SN+-/SO+1/SN+로/JKB
역전승을	역전승/NNG+을/JKO
거두고	거두/VV+고/EC
최근	최근/MAG
3연패	3/SN+연패/NNG
뒤	뒤/NNG
귀중한	귀중하/VA+ㄴ/ETM
승리를	승리/NNG+를/JKO
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.283.9.1
구상범 감독대행은 1994 미국월드컵 본선 무대에서 왼쪽 풀백으로 활약했던 국가대표 출신.

구상범	구상범/NNP
감독대행은	감독/NNG+대행/NNG+은/JX
1994	1994/SN
미국월드컵	미국/NNP+월드컵/NNG
본선	본선/NNG
무대에서	무대/NNG+에서/JKB
왼쪽	왼쪽/NNG
풀백으로	풀백/NNG+으로/JKB
활약했던	활약/NNG+하/XSV+았/EP+던/ETM
국가대표	국가/NNG+대표/NNG
출신.	출신/NNG+./SF


# id : NWRW1800000052.283.9.2
지난 12일 김학범 감독이 성적 부진을 이유로 자진 사퇴한 뒤 급작스럽게 지휘봉을 잡았다.

지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
김학범	김학범/NNP
감독이	감독/NNG+이/JKS
성적	성적/NNG
부진을	부진/NNG+을/JKO
이유로	이유/NNG+로/JKB
자진	자진/NNG
사퇴한	사퇴/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
급작스럽게	급작스럽/VA+게/EC
지휘봉을	지휘봉/NNG+을/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.283.9.3
성남FC 18살 이하(U-18) 감독을 맡고 있던 그는 변성환·남궁도 성남 유소년팀 감독들도 불러들여 코치진을 새롭게 짰고 첫 관문을 승리로 장식했다.

성남FC	성남FC/NNP
18살	18/SN+살/NNB
이하(U-18)	이하/NNG+(/SS+U/SL+-/SO+18/SN+)/SS
감독을	감독/NNG+을/JKO
맡고	맡/VV+고/EC
있던	있/VX+던/ETM
그는	그/NP+는/JX
변성환·남궁도	변성환/NNP+·/SP+남궁도/NNP
성남	성남/NNP
유소년팀	유소년/NNG+팀/NNG
감독들도	감독/NNG+들/XSN+도/JX
불러들여	불러들이/VV+어/EC
코치진을	코치진/NNG+을/JKO
새롭게	새롭/VA+게/EC
짰고	짜/VV+았/EP+고/EC
첫	첫/MMN
관문을	관문/NNG+을/JKO
승리로	승리/NNG+로/JKB
장식했다.	장식/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.283.9.4
경기에 앞서 구상범 감독대행은 “공수 간격을 좁히고 더욱 공격적인 플레이를 펼칠 것”이라고 했는데 지휘봉을 잡은 지 5일 만에 기분 좋은 승리를 맛봤다.

경기에	경기/NNG+에/JKB
앞서	앞서/VV+어/EC
구상범	구상범/NNP
감독대행은	감독/NNG+대행/NNG+은/JX
“공수	“/SS+공수/NNG
간격을	간격/NNG+을/JKO
좁히고	좁히/VV+고/EC
더욱	더욱/MAG
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
플레이를	플레이/NNG+를/JKO
펼칠	펼치/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했는데	하/VV+았/EP+는데/EC
지휘봉을	지휘봉/NNG+을/JKO
잡은	잡/VV+은/ETM
지	지/NNB
5일	5/SN+일/NNB
만에	만/NNB+에/JKB
기분	기분/NNG
좋은	좋/VA+은/ETM
승리를	승리/NNG+를/JKO
맛봤다.	맛보/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.283.9.5
그는 경기 뒤 공식 기자회견에서 “김학범 감독을 지도자로 존경한다”며 “팀을 맡은 이상 그분 이상 하고 싶었고, 해야 한다”고 밝혔다.

그는	그/NP+는/JX
경기	경기/NNG
뒤	뒤/NNG
공식	공식/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“김학범	“/SS+김학범/NNP
감독을	감독/NNG+을/JKO
지도자로	지도자/NNG+로/JKB
존경한다”며	존경/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“팀을	“/SS+팀/NNG+을/JKO
맡은	맡/VV+은/ETM
이상	이상/NNG
그분	그분/NP
하고	하/VV+고/EC
싶었고,	싶/VX+었/EP+고/EC+,/SP
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.283.10.1
18일 전적

18일	18/SN+일/NNB
전적	전적/NNG


# id : NWRW1800000052.283.11.1
FC서울 0-0 제주 유나이티드, 전북 현대 1-1 수원 삼성, 울산 현대 1-0 포항 스틸러스, 인천 유나이티드 0-0 상주 상무

FC서울	FC서울/NNP
0-0	0/SN+-/SO+0/SN
제주	제주/NNP
유나이티드,	유나이티드/NNP+,/SP
전북	전북/NNP
현대	현대/NNP
1-1	1/SN+-/SO+1/SN
수원	수원/NNP
삼성,	삼성/NNP+,/SP
울산	울산/NNP
1-0	1/SN+-/SO+0/SN
포항	포항/NNP
스틸러스,	스틸러스/NNP+,/SP
인천	인천/NNP
유나이티드	유나이티드/NNP
상주	상주/NNP
상무	상무/NNP


# id : NWRW1800000052.283.12.1
17일 전적

17일	17/SN+일/NNB
전적	전적/NNG


# id : NWRW1800000052.283.13.1
성남FC 2-1 수원FC, 전남 드래곤즈 2-0 광주FC

성남FC	성남FC/NNP
2-1	2/SN+-/SO+1/SN
수원FC,	수원FC/NNP+,/SP
전남	전남/NNP
드래곤즈	드래곤즈/NNP
2-0	2/SN+-/SO+0/SN
광주FC	광주FC/NNP


