# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.407
metadata : {}


# id : NWRW1800000038.407.1.1
憲裁·大法 대립에… 법조계 일각 "두 기관 합쳐 갈등소지 없애자"

憲裁·大法	憲裁/SH+·/SP+大法/SH
헌법재판소가	헌법/NNG+재판소/NNG+가/JKS
대법원과	대/XPN+법원/NNG+과/JKB
분리되어	분리/NNG+되/XSV+어/EC
있는	있/VA+는/ETM
나라가	나라/NNG+가/JKS
많지	많/VA+지/EC
않다는	않/VX+다는/ETM
점도	점/NNG+도/JX
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.407.4.6
미국은 연방대법원에서 헌법 재판도 겸하고 있다.

미국은	미국/NNP+은/JX
연방대법원에서	연방/NNG+대/XPN+법원/NNG+에서/JKB
헌법	헌법/NNG
재판도	재판/NNG+도/JX
겸하고	겸/NNB+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.407.5.1
대법관 출신의 이회창 전 선진당 대표는 "헌재의 업적과 역할을 높이 평가하지만 헌재의 기능을 대법원의 기능과 합쳐 하나의 최고 법원으로 통합하는 것이 정도(正道)"라고 강조해왔다.

대법관	대/XPN+법관/NNG
출신의	출신/NNG+의/JKG
이회창	이회창/NNP
전	전/MMD
선진당	선진당/NNP
대표는	대표/NNG+는/JX
"헌재의	"/SS+헌재/NNG+의/JKG
업적과	업적/NNG+과/JC
역할을	역할/NNG+을/JKO
높이	높이/MAG
평가하지만	평가/NNG+하/XSV+지만/EC
헌재의	헌재/NNG+의/JKG
기능을	기능/NNG+을/JKO
대법원의	대/XPN+법원/NNG+의/JKG
기능과	기능/NNG+과/JKB
합쳐	합치/VV+어/EC
하나의	하나/NR+의/JKG
최고	최고/NNG
법원으로	법원/NNG+으로/JKB
통합하는	통합/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
정도(正道)"라고	정도/NNG+(/SS+正道/SH+)/SS+"/SS+라고/JKQ
강조해왔다.	강조/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.407.6.1
대법원은 '대법원장이 추천한 3인은 민주적 정당성이 떨어진다'는 지적에 대해서도 "국회 인사청문회와 표결을 거치면서 국민의사가 반영되기 때문에 문제가 없다"는 입장이다.

대법원은	대/XPN+법원/NNG+은/JX
'대법원장이	'/SS+대법원장/NNG+이/JKS
추천한	추천/NNG+하/XSV+ㄴ/ETM
3인은	3/SN+인/NNG+은/JX
민주적	민주/NNG+적/XSN
정당성이	정당성/NNG+이/JKS
떨어진다'는	떨어지/VV+ㄴ다/EF+'/SS+는/ETM
지적에	지적/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
"국회	"/SS+국회/NNG
인사청문회와	인사/NNG+청문회/NNG+와/JKB
표결을	표결/NNG+을/JKO
거치면서	거치/VV+면서/EC
국민의사가	국민/NNG+의사/NNG+가/JKS
반영되기	반영/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
문제가	문제/NNG+가/JKS
없다"는	없/VA+다/EF+"/SS+는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.407.7.1
헌재의 결정이 너무 늦는다는 지적도 있다.

헌재의	헌재/NNG+의/JKG
결정이	결정/NNG+이/JKS
너무	너무/MAG
늦는다는	늦/VA+는다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VV+다/EF+./SF


# id : NWRW1800000038.407.7.2
예를 들어 전자발찌법 소급적용에 대한 위헌 여부 결정이 늦어져 법원의 판사들과 일선 공무원들에게 혼란을 주었다는 비판도 있었다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
전자발찌법	전자/NNG+발찌법/NNG
소급적용에	소급/NNG+적용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
위헌	위헌/NNG
여부	여부/NNG
결정이	결정/NNG+이/JKS
늦어져	늦어지/VV+어/EC
법원의	법원/NNG+의/JKG
판사들과	판사/NNG+들/XSN+과/JC
일선	일선/NNG
공무원들에게	공무원/NNG+들/XSN+에게/JKB
혼란을	혼란/NNG+을/JKO
주었다는	주/VV+었/EP+다는/ETM
비판도	비판/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.407.7.3
일부 재판 당사자가 가능성이 작은 사건을 헌재로 끌고 가 법원 재판을 지연시키는 방편으로 악용하기도 한다는 지적도 있다.

일부	일부/NNG
재판	재판/NNG
당사자가	당사자/NNG+가/JKS
가능성이	가능/NNG+성/XSN+이/JKS
작은	작/VA+은/ETM
사건을	사건/NNG+을/JKO
헌재로	헌재/NNG+로/JKB
끌고	끌/VV+고/EC
가	가/VV+아/EC
법원	법원/NNG
재판을	재판/NNG+을/JKO
지연시키는	지연/NNG+시키/XSV+는/ETM
방편으로	방편/NNG+으로/JKB
악용하기도	악용/NNG+하/XSV+기/ETN+도/JX
한다는	하/VX+ㄴ다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


