# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.72
metadata : {}


# id : NWRW1800000028.72.1.1
니들이 ‘자유민주주의’를 알아?

니들이	니/NP+들/XSN+이/JKS
벗겨낸다.	벗기/VV+어/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.72.3.10
그는 “헌법에 보장된 자유와 평등의 권리, 그리고 민주성이 충만해야 하고, 시민은 그것을 지키기 위해 저항하고 투쟁해야 한다”고 주장한다.

그는	그/NP+는/JX
“헌법에	“/SS+헌법/NNG+에/JKB
보장된	보장/NNG+되/XSV+ㄴ/ETM
자유와	자유/NNG+와/JC
평등의	평등/NNG+의/JKG
권리,	권리/NNG+,/SP
그리고	그리고/MAJ
민주성이	민주/NNG+성/XSN+이/JKS
충만해야	충만/NNG+하/XSA+아야/EC
하고,	하/VX+고/EC+,/SP
시민은	시민/NNG+은/JX
그것을	그것/NP+을/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
저항하고	저항/NNG+하/XSV+고/EC
투쟁해야	투쟁/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.4.1
과거 독재와 권위주의 정권은 국민을 속이기 위한 수단으로 ‘엉터리’ 자유민주주의를 활용했다.

과거	과거/NNG
독재와	독재/NNG+와/JC
권위주의	권위주의/NNG
정권은	정권/NNG+은/JX
국민을	국민/NNG+을/JKO
속이기	속이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
수단으로	수단/NNG+으로/JKB
‘엉터리’	‘/SS+엉터리/NNG+’/SS
자유민주주의를	자유/NNG+민주주의/NNG+를/JKO
활용했다.	활용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.72.4.2
이들은 반공만이 자유주의라고 강변했다.

이들은	이/NP+들/XSN+은/JX
반공만이	반공/NNG+만/JX+이/JKS
자유주의라고	자유주의/NNG+이/VCP+라고/EC
강변했다.	강변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.72.4.3
우리나라 사람들은 자기 의견과 다르면 상대방을 일종의 악으로 보는 경향이 있다.

우리나라	우리나라/NNG
사람들은	사람/NNG+들/XSN+은/JX
자기	자기/NP
의견과	의견/NNG+과/JKB
다르면	다르/VA+면/EC
상대방을	상대방/NNG+을/JKO
일종의	일종/NNG+의/JKG
악으로	악/NNG+으로/JKB
보는	보/VV+는/ETM
경향이	경향/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.72.4.4
‘반공은 선’이고 ‘공산주의는 악’이라는 식이다.

‘반공은	‘/SS+반공/NNG+은/JX
선’이고	선/NNG+’/SS+이/VCP+고/EC
‘공산주의는	‘/SS+공산주의/NNG+는/JX
악’이라는	악/NNG+’/SS+이/VCP+라는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.72.4.5
정치학에서는 이런 시각을 권위주의적이라고 한다.

정치학에서는	정치학/NNG+에서/JKB+는/JX
이런	이런/MMD
시각을	시각/NNG+을/JKO
권위주의적이라고	권위주의/NNG+적/XSN+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.4.6
따라서 반공만 자유주의라고 고집하는 것은 권위주의적 시각이다.

따라서	따라서/MAJ
반공만	반공/NNG+만/JX
자유주의라고	자유주의/NNG+이/VCP+라고/EC
고집하는	고집/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
권위주의적	권위주의/NNG+적/XSN
시각이다.	시각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.72.5.1
이 책에서 제시하는 설명과 주장 대부분이 세 곳의 인터넷 동호회나 게시판에서 나왔다.

이	이/MMD
책에서	책/NNG+에서/JKB
제시하는	제시/NNG+하/XSV+는/ETM
설명과	설명/NNG+과/JC
주장	주장/NNG
대부분이	대/XPN+부분/NNG+이/JKS
세	세/MMN
곳의	곳/NNG+의/JKG
인터넷	인터넷/NNG
동호회나	동호회/NNG+나/JC
게시판에서	게시판/NNG+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.72.5.2
지은이는 자유와 민주를 설명하면서 인터넷사회를 예로 든다.

지은이는	지은이/NNG+는/JX
자유와	자유/NNG+와/JC
민주를	민주/NNG+를/JKO
설명하면서	설명/NNG+하/XSV+면서/EC
인터넷사회를	인터넷/NNG+사회/NNG+를/JKO
예로	예/NNG+로/JKB
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.5.3
인터넷게시판을 이용하는 누리꾼 ‘우석’과 ‘도준’은 합리적이다.

인터넷게시판을	인터넷/NNG+게시판/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
누리꾼	누리/NNG+꾼/XSN
‘우석’과	‘/SS+우석/NNP+’/SS+과/JC
‘도준’은	‘/SS+도준/NNP+’/SS+은/JX
합리적이다.	합리/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000028.72.5.4
여기서 합리적이라는 것은 도덕적이고 사전적 정의가 아닌 이기적 개인주의자들을 뜻한다.

여기서	여기/NP+서/JKB
합리적이라는	합리/NNG+적/XSN+이/VCP+라는/ETM
것은	것/NNB+은/JX
도덕적이고	도덕/NNG+적/XSN+이/VCP+고/EC
사전적	사전/NNG+적/XSN
정의가	정의/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
이기적	이기/NNG+적/XSN
개인주의자들을	개인주의자/NNG+들/XSN+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.5.5
이들을 각각 욕쟁이와 범생이로 가정한다.

이들을	이/NP+들/XSN+을/JKO
각각	각각/MAG
욕쟁이와	욕/NNG+쟁이/XSN+와/JC
범생이로	범생이/NNG+로/JKB
가정한다.	가정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.5.6
이들이 게시판에 글을 올리는 과정에서 자유와 방종, 자유와 자유가 ‘박치기’하는 상황이 벌어진다.

이들이	이/NP+들/XSN+이/JKS
게시판에	게시판/NNG+에/JKB
글을	글/NNG+을/JKO
올리는	올리/VV+는/ETM
과정에서	과정/NNG+에서/JKB
자유와	자유/NNG+와/JC
방종,	방종/NNG+,/SP
자유가	자유/NNG+가/JKS
‘박치기’하는	‘/SS+박치기/NNG+’/SS+하/VV+는/ETM
상황이	상황/NNG+이/JKS
벌어진다.	벌어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.5.7
자유와 자유가 박치기하는 상황에서는 민주주의를, 자유와 방종이 박치기하는 상황에서는 저항이라는 핵심 원리를 끄집어 낸다.

자유와	자유/NNG+와/JC
자유가	자유/NNG+가/JKS
박치기하는	박치기/NNG+하/XSV+는/ETM
상황에서는	상황/NNG+에서/JKB+는/JX
민주주의를,	민주주의/NNG+를/JKO+,/SP
방종이	방종/NNG+이/JKS
저항이라는	저항/NNG+이/VCP+라는/ETM
핵심	핵심/NNG
원리를	원리/NNG+를/JKO
끄집어	끄집/VV+어/EC
낸다.	내/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.72.6.1
현실도 인터넷사회와 마찬가지다.

현실도	현실/NNG+도/JX
인터넷사회와	인터넷/NNG+사회/NNG+와/JKB
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.72.6.2
4대강 사업, 쇠고기 협상이 왜 자유민주주의 원칙에 어긋나는지 조목조목 짚는다.

4대강	4/SN+대/NNG+강/NNG
사업,	사업/NNG+,/SP
쇠고기	쇠고기/NNG
협상이	협상/NNG+이/JKS
왜	왜/MAG
자유민주주의	자유/NNG+민주주의/NNG
원칙에	원칙/NNG+에/JKB
어긋나는지	어긋나/VV+는지/EC
조목조목	조목조목/MAG
짚는다.	짚/VV+는다/EF+./SF


# id : NWRW1800000028.72.6.3
단순과반수 원칙을 제대로 지키지 못하고 있는 대통령 선거 제도도 결선투표제로 바꾸자고 제안한다.

단순과반수	단순/NNG+과반수/NNG
원칙을	원칙/NNG+을/JKO
제대로	제대로/MAG
지키지	지키/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
대통령	대통령/NNG
선거	선거/NNG
제도도	제도/NNG+도/JX
결선투표제로	결선/NNG+투표/NNG+제/XSN+로/JKB
바꾸자고	바꾸/VV+자고/EC
제안한다.	제안/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.6.4
또 지역주의를 극복할 수 있는 국회의원 선거제도 개선 방법도 제시한다.

또	또/MAG
지역주의를	지역주의/NNG+를/JKO
극복할	극복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
국회의원	국회/NNG+의원/NNG
선거제도	선거/NNG+제도/NNG
개선	개선/NNG
방법도	방법/NNG+도/JX
제시한다.	제시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.7.1
제대로 된 자유민주주의에 대한 이해와 참여가 부족하면, 국가나 일부 시민의 방종이 자유의 가면을 쓰고 함부로 날뛰게 된다.

제대로	제대로/MAG
된	되/VV+ㄴ/ETM
자유민주주의에	자유/NNG+민주주의/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해와	이해/NNG+와/JC
참여가	참여/NNG+가/JKS
부족하면,	부족/NNG+하/XSA+면/EC+,/SP
국가나	국가/NNG+나/JC
일부	일부/NNG
시민의	시민/NNG+의/JKG
방종이	방종/NNG+이/JKS
자유의	자유/NNG+의/JKG
가면을	가면/NNG+을/JKO
쓰고	쓰/VV+고/EC
함부로	함부로/MAG
날뛰게	날뛰/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.7.2
그렇게 되면 시민의 자유와 권리가 훼손되는, 민주주의의 후퇴를 겪는다.

그렇게	그렇/VA+게/EC
되면	되/VV+면/EC
시민의	시민/NNG+의/JKG
자유와	자유/NNG+와/JC
권리가	권리/NNG+가/JKS
훼손되는,	훼손/NNG+되/XSV+는/ETM+,/SP
민주주의의	민주주의/NNG+의/JKG
후퇴를	후퇴/NNG+를/JKO
겪는다.	겪/VV+는다/EF+./SF


# id : NWRW1800000028.72.7.3
지은이는 약자가 강자에 맞서 이길 수 있는 방법이 ‘자유민주주의’ 안에 있다고 말한다.

지은이는	지은이/NNG+는/JX
약자가	약자/NNG+가/JKS
강자에	강자/NNG+에/JKB
맞서	맞서/VV+어/EC
이길	이기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법이	방법/NNG+이/JKS
‘자유민주주의’	‘/SS+자유/NNG+민주주의/NNG+’/SS
안에	안/NNG+에/JKB
있다고	있/VA+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.7.4
강자가 권위주의로 사회적 약자를 짓누르는 후퇴한 민주주의 시대.

강자가	강자/NNG+가/JKS
권위주의로	권위주의/NNG+로/JKB
사회적	사회/NNG+적/XSN
약자를	약자/NNG+를/JKO
짓누르는	짓누르/VV+는/ETM
후퇴한	후퇴/NNG+하/XSV+ㄴ/ETM
민주주의	민주주의/NNG
시대.	시대/NNG+./SF


# id : NWRW1800000028.72.7.5
가정, 직장, 사회, 정치의 영역에서 약자가 어떻게 강자를 이길 수 있는지 ‘자유민주주의’가 그 해답을 알려주고 있다.

가정,	가정/NNG+,/SP
직장,	직장/NNG+,/SP
사회,	사회/NNG+,/SP
정치의	정치/NNG+의/JKG
영역에서	영역/NNG+에서/JKB
약자가	약자/NNG+가/JKS
어떻게	어떻/VA+게/EC
강자를	강자/NNG+를/JKO
이길	이기/VV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EC
‘자유민주주의’가	‘/SS+자유/NNG+민주주의/NNG+’/SS+가/JKS
그	그/MMD
해답을	해답/NNG+을/JKO
알려주고	알리/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


