# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.159
metadata : {}


# id : NWRW1800000046.159.1.1
[메르스와의 전쟁] 메르스 고의로 퍼뜨리고 다니면 상해罪에 해당

[메르스와의	[/SS+메르스/NNG+와/JKB+의/JKG
뛰쳐나왔다.	뛰쳐나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.159.4.2
재진료 권유도 거부했던 A씨는 결국 이튿날 병원에서 확진 판정을 받았다.

재진료	재/XPN+진료/NNG
권유도	권유/NNG+도/JX
거부했던	거부/NNG+하/XSV+았/EP+던/ETM
A씨는	A/SL+씨/NNB+는/JX
결국	결국/MAG
이튿날	이튿날/NNG
병원에서	병원/NNG+에서/JKB
확진	확진/NNG
판정을	판정/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.159.4.3
다행히 A씨가 병원과 집 외에 다른 곳을 돌아다니지는 않은 것으로 조사됐지만, 만약 A씨가 공공장소를 돌아다녔다면 불특정 다수가 메르스에 노출될 수 있는 상황이었다.

다행히	다행히/MAG
A씨가	A/SL+씨/NNB+가/JKS
병원과	병원/NNG+과/JC
집	집/NNG
외에	외/NNB+에/JKB
다른	다른/MMD
곳을	곳/NNG+을/JKO
돌아다니지는	돌아다니/VV+지/EC+는/JX
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
조사됐지만,	조사/NNG+되/XSV+었/EP+지만/EC+,/SP
만약	만약/MAG
공공장소를	공공장소/NNG+를/JKO
돌아다녔다면	돌아다니/VV+었/EP+다면/EC
불특정	불/XPN+특정/NNG
다수가	다수/NNG+가/JKS
메르스에	메르스/NNG+에/JKB
노출될	노출/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.159.4.4
삼성서울병원의 한 이송요원은 발열 등 메르스 증세가 나타난 상태에서 9일 동안 병원 곳곳을 돌아다닌 것으로 확인됐다.

삼성서울병원의	삼성서울병원/NNP+의/JKG
한	한/MMN
이송요원은	이송/NNG+요원/NNG+은/JX
발열	발열/NNG
등	등/NNB
메르스	메르스/NNG
증세가	증세/NNG+가/JKS
나타난	나타나/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
9일	9/SN+일/NNB
동안	동안/NNG
병원	병원/NNG
곳곳을	곳곳/NNG+을/JKO
돌아다닌	돌아다니/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.159.5.1
법조인들은 "만약 메르스 감염자들이 고의로 치료 및 격리를 회피하고 일반인에게 메르스를 퍼뜨렸다면 심한 경우 상해죄로 처벌받을 수 있다"고 설명했다.

법조인들은	법조인/NNG+들/XSN+은/JX
"만약	"/SS+만약/MAG
메르스	메르스/NNG
감염자들이	감염자/NNG+들/XSN+이/JKS
고의로	고의/NNG+로/JKB
치료	치료/NNG
및	및/MAG
격리를	격리/NNG+를/JKO
회피하고	회피/NNG+하/XSV+고/EC
일반인에게	일반인/NNG+에게/JKB
메르스를	메르스/NNG+를/JKO
퍼뜨렸다면	퍼뜨리/VV+었/EP+다면/EC
심한	심하/VA+ㄴ/ETM
경우	경우/NNG
상해죄로	상해죄/NNG+로/JKB
처벌받을	처벌/NNG+받/XSV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.159.5.2
다른 사람에게 전파될 수 있다는 점을 알면서도 일부러 돌아다니고, 이로 인해 실제 다른 사람들이 신체적 피해를 본다면 형사책임도 물릴 수 있다는 것이다.

다른	다른/MMD
사람에게	사람/NNG+에게/JKB
전파될	전파/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
알면서도	알/VV+면서/EC+도/JX
일부러	일부러/MAG
돌아다니고,	돌아다니/VV+고/EC+,/SP
이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
실제	실제/NNG
사람들이	사람/NNG+들/XSN+이/JKS
신체적	신체/NNG+적/XSN
피해를	피해/NNG+를/JKO
본다면	보/VV+ㄴ다면/EC
형사책임도	형사/NNG+책임/NNG+도/JX
물릴	물리/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.159.5.3
대검 관계자는 "상황이 심각해져 여러 사람이 치명적 상태에 놓인다면 징역 1~10년형에 해당하는 중(重)상해죄도 적용할 수 있다"며 "감염자가 자신의 감염 사실, 메르스의 심각성, 전파력 등을 어느 정도로 인지(認知)하고 있었는지가 가장 중요한 요소이고 이로 인해 다른 사람이 어떤 심각한 피해를 입었는지도 중요한 판단 기준"이라 했다.

대검	대검/NNG
관계자는	관계자/NNG+는/JX
"상황이	"/SS+상황/NNG+이/JKS
심각해져	심각하/VA+아/EC+지/VX+어/EC
여러	여러/MMN
사람이	사람/NNG+이/JKS
치명적	치명/NNG+적/XSN
상태에	상태/NNG+에/JKB
놓인다면	놓이/VV+ㄴ다면/EC
징역	징역/NNG
1~10년형에	1/SN+~/SO+10/SN+년/NNB+형/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
중(重)상해죄도	중/NA+(/SS+重/SH+)/SS+상해죄/NNG+도/JX
적용할	적용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"감염자가	"/SS+감염자/NNG+가/JKS
자신의	자신/NNG+의/JKG
감염	감염/NNG
사실,	사실/NNG+,/SP
메르스의	메르스/NNG+의/JKG
심각성,	심각성/NNG+,/SP
전파력	전파력/NNG
등을	등/NNB+을/JKO
어느	어느/MMD
정도로	정도/NNG+로/JKB
인지(認知)하고	인지/NNG+(/SS+認知/SH+)/SS+하/XSV+고/EC
있었는지가	있/VA+었/EP+는지/EF+가/JKS
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
요소이고	요소/NNG+이/VCP+고/EC
이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
다른	다른/MMD
어떤	어떤/MMD
심각한	심각하/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
입었는지도	입/VV+었/EP+는지/EF+도/JX
판단	판단/NNG
기준"이라	기준/NNG+"/SS+이라/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.159.5.4
재경지법의 한 판사는 "꼭 남에게 퍼뜨리겠다는 생각까지는 아니었다고 하더라도 퍼뜨릴 가능성이 있다는 점을 알면서도 공공장소를 활보했다면 '미필적 고의'를 인정해 과실치상 혐의를 적용할 수도 있다"고 말했다.

재경지법의	재경/NNG+지법/NNG+의/JKG
한	한/MMN
판사는	판사/NNG+는/JX
"꼭	"/SS+꼭/MAG
남에게	남/NNG+에게/JKB
퍼뜨리겠다는	퍼뜨리/VV+겠/EP+다는/ETM
생각까지는	생각/NNG+까지/JX+는/JX
아니었다고	아니/VCN+었/EP+다고/EC
하더라도	하/VV+더라도/EC
퍼뜨릴	퍼뜨리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
알면서도	알/VV+면서/EC+도/JX
공공장소를	공공장소/NNG+를/JKO
활보했다면	활보/NNG+하/XSV+았/EP+다면/EC
'미필적	'/SS+미필/NNG+적/XSN
고의'를	고의/NNG+'/SS+를/JKO
인정해	인정/NNG+하/XSV+아/EC
과실치상	과실/NNG+치상/NNG
혐의를	혐의/NNG+를/JKO
적용할	적용/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.159.5.5
법조인들은 형사처벌뿐 아니라 경우에 따라선 거액의 손해배상도 물릴 수 있다고 설명했다.

법조인들은	법조인/NNG+들/XSN+은/JX
형사처벌뿐	형사/NNG+처벌/NNG+뿐/JX
아니라	아니/VCN+라/EC
경우에	경우/NNG+에/JKB
따라선	따르/VV+아서/EC+ㄴ/JX
거액의	거액/NNG+의/JKG
손해배상도	손해/NNG+배상/NNG+도/JX
물릴	물리/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.159.6.1
메르스 감염자가 단순히 입원이나 치료, 역학조사 등에 협조하지 않을 경우에도 '감염병의 예방 및 관리에 관한 법률(감염병 예방법)' 위반 혐의로 300만원 이하 벌금형이 가능하다.

메르스	메르스/NNG
감염자가	감염자/NNG+가/JKS
단순히	단순히/MAG
입원이나	입원/NNG+이나/JC
치료,	치료/NNG+,/SP
역학조사	역학/NNG+조사/NNG
등에	등/NNB+에/JKB
협조하지	협조/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
경우에도	경우/NNG+에/JKB+도/JX
'감염병의	'/SS+감염병/NNG+의/JKG
예방	예방/NNG
및	및/MAG
관리에	관리/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률(감염병	법률/NNG+(/SS+감염병/NNG
예방법)'	예방법/NNG+)/SS+'/SS
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
300만원	300/SN+만/NR+원/NNB
이하	이하/NNG
벌금형이	벌금형/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.159.6.2
실제로 이날까지 자가(自家)격리 대상자 중 4명이 자택을 무단으로 이탈한 혐의(감염병 예방법 위반)로 고발당했다.

실제로	실제로/MAG
이날까지	이날/NNG+까지/JX
자가(自家)격리	자가/NNG+(/SS+自家/SH+)/SS+격리/NNG
대상자	대상자/NNG
중	중/NNB
4명이	4/SN+명/NNB+이/JKS
자택을	자택/NNG+을/JKO
무단으로	무단/NNG+으로/JKB
이탈한	이탈/NNG+하/XSV+ㄴ/ETM
혐의(감염병	혐의/NNG+(/SS+감염병/NNG
예방법	예방법/NNG
위반)로	위반/NNG+)/SS+로/JKB
고발당했다.	고발/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.159.6.3
서울 강남구 1명, 송파구 2명, 대전 1명 등 4명이다.

서울	서울/NNP
강남구	강남구/NNP
1명,	1/SN+명/NNB+,/SP
송파구	송파구/NNP
2명,	2/SN+명/NNB+,/SP
대전	대전/NNP
1명	1/SN+명/NNB
등	등/NNB
4명이다.	4/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.159.6.4
서울 강남구보건소는 메르스 확진자와 접촉해 자가 격리 대상자가 됐다가 격리 장소를 이탈해 이틀간 보건소 연락을 받지 않은 혐의로 51세 여성을 강남경찰서에 고발했다.

서울	서울/NNP
강남구보건소는	강남구보건소/NNP+는/JX
메르스	메르스/NNG
확진자와	확진자/NNG+와/JKB
접촉해	접촉/NNG+하/XSV+아/EC
자가	자가/NNG
격리	격리/NNG
대상자가	대상자/NNG+가/JKC
됐다가	되/VV+었/EP+다가/EC
장소를	장소/NNG+를/JKO
이탈해	이탈/NNG+하/XSV+아/EC
이틀간	이틀/NNG+간/XSN
보건소	보건소/NNG
연락을	연락/NNG+을/JKO
받지	받/VV+지/EC
않은	않/VX+은/ETM
혐의로	혐의/NNG+로/JKB
51세	51/SN+세/NNB
여성을	여성/NNG+을/JKO
강남경찰서에	강남경찰서/NNP+에/JKB
고발했다.	고발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.159.6.5
이 여성은 지난 5~6일 강동경희대병원에서 76번 확진자와 접촉한 것으로 확인돼 6일부터 19일까지 자가 격리해야 한다는 내용의 통지서를 받았으나 14일 오후 1시쯤부터 연락이 두절됐다.

이	이/MMD
여성은	여성/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5~6일	5/SN+~/SO+6/SN+일/NNB
강동경희대병원에서	강동경희대병원/NNP+에서/JKB
76번	76/SN+번/NNB
확진자와	확진자/NNG+와/JKB
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인돼	확인/NNG+되/XSV+어/EC
6일부터	6/SN+일/NNB+부터/JX
19일까지	19/SN+일/NNB+까지/JX
자가	자가/NNG
격리해야	격리/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
내용의	내용/NNG+의/JKG
통지서를	통지서/NNG+를/JKO
받았으나	받/VV+았/EP+으나/EC
14일	14/SN+일/NNB
오후	오후/NNG
1시쯤부터	1/SN+시/NNB+쯤/XSN+부터/JX
연락이	연락/NNG+이/JKS
두절됐다.	두절/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.159.6.6
이 여성은 서울 양천구 목동 친정집에 머물다 위치가 드러나 16일 오전 11시쯤 삼성동 집으로 이송됐고 경찰에 고발됐다.

이	이/MMD
여성은	여성/NNG+은/JX
서울	서울/NNP
양천구	양천구/NNP
목동	목동/NNP
친정집에	친정집/NNG+에/JKB
머물다	머물/VV+다/EC
위치가	위치/NNG+가/JKS
드러나	드러나/VV+아/EC
16일	16/SN+일/NNB
오전	오전/NNG
11시쯤	11/SN+시/NNB+쯤/XSN
삼성동	삼성동/NNP
집으로	집/NNG+으로/JKB
이송됐고	이송/NNG+되/XSV+었/EP+고/EC
경찰에	경찰/NNG+에/JKB
고발됐다.	고발/NNG+되/XSV+었/EP+다/EF+./SF


