# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.311
metadata : {}


# id : NWRW1800000046.311.1.1
金실장 '한시적 유임'… 세 비서관(이재만·정호성·안봉근) 교체 없다

金실장	金/SH+실장/NNG
지적을	지적/NNG+을/JKO
수용하는	수용/NNG+하/XSV+는/ETM
차원에서	차원/NNG+에서/JKB
"특보단을	"/SS+특보단/NNG+을/JKO
구성해서	구성/NNG+하/XSV+아서/EC
국회나	국회/NNG+나/JC
당·청	당·청/NNG
간에	간/NNB+에/JKB
좀	좀/MAG
더	더/MAG
긴밀하게	긴밀하/VA+게/EC
소통하면서	소통/NNG+하/XSV+면서/EC
정책도	정책/NNG+도/JX
협의해	협의/NNG+하/XSV+아/EC
나가는	나가/VX+는/ETM
그런	그런/MMD
구도를	구도/NNG+를/JKO
만들고,	만들/VV+고/EC+,/SP
청와대에서	청와대/NNP+에서/JKB
뭘	뭐/NP+ㄹ/JKO
알리는	알리/VV+는/ETM
부분에	부분/NNG+에/JKB
있어	있/VA+어/EC
부족한	부족/NNG+하/XSA+ㄴ/ETM
부분을	부분/NNG+을/JKO
조직	조직/NNG
개편으로	개편/NNG+으로/JKB
(보완)해야	(/SS+보완/NNG+)/SS+하/VV+아야/EC
되지	되/VV+지/EC
않을까"라면서	않/VX+을까/EF+"/SS+이/VCP+라면서/EC
"그러다	"/SS+그러/VV+다/EC
보면	보/VX+면/EC
인사이동도	인사이동/NNG+도/JX
될	되/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.311.5.1
박 대통령은 집권 2주년을 맞는 오는 2월 말 청와대 조직을 개편하면서 김 비서실장과 일부 수석을 교체, 청와대 참모진을 일신할 가능성이 높은 것으로 전해졌다.

박	박/NNP
대통령은	대통령/NNG+은/JX
집권	집권/NNG
2주년을	2/SN+주년/NNB+을/JKO
맞는	맞/VV+는/ETM
오는	오/VV+는/ETM
2월	2/SN+월/NNB
말	말/NNB
청와대	청와대/NNP
조직을	조직/NNG+을/JKO
개편하면서	개편/NNG+하/XSV+면서/EC
김	김/NNP
비서실장과	비서실장/NNG+과/JC
일부	일부/NNG
수석을	수석/NNG+을/JKO
교체,	교체/NNG+,/SP
참모진을	참모진/NNG+을/JKO
일신할	일신/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.311.6.1
한편 박 대통령은 이날 '청와대 문건 유출 사건'에 대해 "국민 여러분께 허탈함을 드린 데 대해 마음이 무겁고 송구스럽다"고 했다.

한편	한편/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
'청와대	'/SS+청와대/NNP
문건	문건/NNG
유출	유출/NNG
사건'에	사건/NNG+'/SS+에/JKB
대해	대하/VV+아/EC
"국민	"/SS+국민/NNG
여러분께	여러분/NP+께/JKB
허탈함을	허탈/NNG+하/XSA+ㅁ/ETN+을/JKO
드린	드리/VV+ㄴ/ETM
데	데/NNB
마음이	마음/NNG+이/JKS
무겁고	무겁/VA+고/EC
송구스럽다"고	송구스럽/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.311.6.2
김영한 전 민정수석 사퇴에 대해선 "항명 파동으로 생각하지 않는다"면서도 "(국회 불출석은) 유감스럽게 생각한다"고 했다.

김영한	김영한/NNP
전	전/MMD
민정수석	민정/NNG+수석/NNG
사퇴에	사퇴/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"항명	"/SS+항명/NNG
파동으로	파동/NNG+으로/JKB
생각하지	생각/NNG+하/XSV+지/EC
않는다"면서도	않/VX+는다/EF+"/SS+이/VCP+면서/EC+도/JX
"(국회	"/SS+(/SS+국회/NNG
불출석은)	불/XPN+출석/NNG+은/JX+)/SS
유감스럽게	유감/NNG+스럽/XSA+게/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.311.7.1
또한 야당의 '문건 유출 사건' 특검 요구에 대해 "문건이 허위로 밝혀졌고 돈을 주고받았다든지 이런 게 전혀 없는데 그것이 특검에 해당하는 사안이냐, 의구심을 갖고 있다"고 했다.

또한	또한/MAG
야당의	야당/NNG+의/JKG
'문건	'/SS+문건/NNG
유출	유출/NNG
사건'	사건/NNG+'/SS
특검	특검/NNG
요구에	요구/NNG+에/JKB
대해	대하/VV+아/EC
"문건이	"/SS+문건/NNG+이/JKS
허위로	허위/NNG+로/JKB
밝혀졌고	밝혀지/VV+었/EP+고/EC
돈을	돈/NNG+을/JKO
주고받았다든지	주고받/VV+았/EP+다든지/EC
이런	이런/MMD
게	거/NNB+이/JKS
전혀	전혀/MAG
없는데	없/VA+는데/EC
그것이	그것/NP+이/JKS
특검에	특검/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
사안이냐,	사안/NNG+이/VCP+냐/EF+,/SP
의구심을	의구심/NNG+을/JKO
갖고	갖/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.311.7.2
박 대통령은 개각과 관련, "해수부라든지, 꼭 개각을 해야 할 필요성이 있는 데를 중심으로 해서 검토해 나가겠다"고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
개각과	개각/NNG+과/JKB
관련,	관련/NNG+,/SP
"해수부라든지,	"/SS+해수부/NNG+라든지/JX+,/SP
꼭	꼭/MAG
개각을	개각/NNG+을/JKO
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
필요성이	필요/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
데를	데/NNB+를/JKO
중심으로	중심/NNG+으로/JKB
해서	하/VV+아서/EC
검토해	검토/NNG+하/XSV+아/EC
나가겠다"고	나가/VX+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.311.8.1
박 대통령은 남북 정상회담에 대해 "평화통일의 길을 열기 위해 필요하다면 누구라도 만날 수 있다. 전제조건은 없다"고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
남북	남북/NNP
정상회담에	정상/NNG+회담/NNG+에/JKB
대해	대하/VV+아/EC
"평화통일의	"/SS+평화/NNG+통일/NNG+의/JKG
길을	길/NNG+을/JKO
열기	열/VV+기/ETN
위해	위하/VV+아/EC
필요하다면	필요/NNG+하/XSA+다면/EC
누구라도	누구/NP+이/VCP+라도/EC
만날	만나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF
전제조건은	전제/NNG+조건/NNG+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.311.8.2
그는 이날 "올해 광복절 70주년을 기념하는 여러 가지 공동 행사를 남북이 함께 만들어가길 바란다"며 북한에 설맞이 이산가족 상봉을 제안했다.

그는	그/NP+는/JX
이날	이날/NNG
"올해	"/SS+올해/NNG
광복절	광복절/NNG
70주년을	70/SN+주년/NNB+을/JKO
기념하는	기념/NNG+하/XSV+는/ETM
여러	여러/MMN
가지	가지/NNB
공동	공동/NNG
행사를	행사/NNG+를/JKO
남북이	남북/NNP+이/JKS
함께	함께/MAG
만들어가길	만들/VV+어/EC+가/VX+기/ETN+ㄹ/JKO
바란다"며	바라/VV+ㄴ다/EF+"/SS+며/EC
북한에	북한/NNP+에/JKB
설맞이	설맞이/NNG
이산가족	이산가족/NNG
상봉을	상봉/NNG+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.311.8.3
박 대통령은 소니픽처스 해킹에 따른 미국의 대북 추가 제재에 대해 "적절한 대응 조치"라면서도 "그쪽(북·미 관계)이 긴장됐다고 해서 남북 대화가 어떻게 되는 것은 아니다"고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
소니픽처스	소니픽처스/NNP
해킹에	해킹/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
대북	대북/NNG
추가	추가/NNG
제재에	제재/NNG+에/JKB
대해	대하/VV+아/EC
"적절한	"/SS+적절하/VA+ㄴ/ETM
대응	대응/NNG
조치"라면서도	조치/NNG+"/SS+이/VCP+라면서/EC+도/JX
"그쪽(북·미	"/SS+그쪽/NP+(/SS+북/NNP+·/SP+미/NNP
관계)이	관계/NNG+)/SS+이/JKS
긴장됐다고	긴장/NNG+되/XSV+었/EP+다고/EC
해서	하/VV+아서/EC
남북	남북/NNP
대화가	대화/NNG+가/JKS
어떻게	어떻/VA+게/EC
되는	되/VV+는/ETM
것은	것/NNB+은/JX
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


