# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.221
metadata : {}


# id : NWRW1800000053.221.1.1
류현진 ‘3승-복수’ 기회 오나

류현진	류현진/NNP
이 세 명을 제외하면 다저스 선발진에는 류현진을 비롯해 앨릭스 우드(26), 브랜던 매카시(34)가 남는다.

이	이/MMD
세	세/MMN
명을	명/NNB+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
다저스	다저스/NNP
선발진에는	선발진/NNG+에/JKB+는/JX
류현진을	류현진/NNP+을/JKO
비롯해	비롯하/VV+아/EC
앨릭스	앨릭스/NNP
우드(26),	우드/NNP+(/SS+26/SN+)/SS+,/SP
브랜던	브랜던/NNP
매카시(34)가	매카시/NNP+(/SS+34/SN+)/SS+가/JKS
남는다.	남/VV+는다/EF+./SF


# id : NWRW1800000053.221.4.4
따라서 이들이 컵스를 상대로 선발 마운드를 차지할 확률이 높지만 아직 어떤 순서로 등판할지는 확정되지 않은 상태다.

따라서	따라서/MAJ
이들이	이/NP+들/XSN+이/JKS
컵스를	컵스/NNP+를/JKO
상대로	상대/NNG+로/JKB
선발	선발/NNG
마운드를	마운드/NNG+를/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
확률이	확률/NNG+이/JKS
높지만	높/VA+지만/EC
아직	아직/MAG
어떤	어떤/MMD
순서로	순서/NNG+로/JKB
등판할지는	등판/NNG+하/XSV+ㄹ지/EF+는/JX
확정되지	확정/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.221.5.1
스포츠 전문 채널 ESPN은 류현진이 28일 마운드에 올라 존 래키(39)와 선발 맞대결을 벌인다고 예상했다.

스포츠	스포츠/NNG
전문	전문/NNG
채널	채널/NNG
ESPN은	ESPN/SL+은/JX
류현진이	류현진/NNP+이/JKS
28일	28/SN+일/NNB
마운드에	마운드/NNG+에/JKB
올라	오르/VV+아/EC
존	존/NNP
래키(39)와	래키/NNP+(/SS+39/SN+)/SS+와/JKB
선발	선발/NNG
맞대결을	맞대결/NNG+을/JKO
벌인다고	벌이/VV+ㄴ다고/EC
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.221.5.2
래키는 현재 4승 4패, 평균자책점 4.82를 기록 중인 14년 차 오른손 투수다.

래키는	래키/NNP+는/JX
현재	현재/MAG
4승	4/SN+승/NNB
4패,	4/SN+패/NNB+,/SP
평균자책점	평균/NNG+자책점/NNG
4.82를	4/SN+./SP+82/SN+를/JKO
기록	기록/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
14년	14/SN+년/NNB
차	차/NNG
오른손	오른손/NNG
투수다.	투수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.221.6.1
류현진이 이날 마운드에 오른다면 19일 시즌 2승을 거둔 뒤 9일 만에 마운드에 오르는 것이다.

류현진이	류현진/NNP+이/JKS
이날	이날/NNG
마운드에	마운드/NNG+에/JKB
오른다면	오르/VV+ㄴ다면/EC
19일	19/SN+일/NNB
시즌	시즌/NNG
2승을	2/SN+승/NNB+을/JKO
거둔	거두/VV+ㄴ/ETM
뒤	뒤/NNG
9일	9/SN+일/NNB
만에	만/NNB+에/JKB
오르는	오르/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.221.6.2
선발 등판 간격이 이렇게 길다는 건 다저스에서 어깨 부상에 시달렸던 류현진을 ‘관리’하고 있다는 뜻이기도 하지만 그만큼 선발 투수로서 입지가 좁다는 뜻이기도 하다.

선발	선발/NNG
등판	등판/NNG
간격이	간격/NNG+이/JKS
이렇게	이렇/VA+게/EC
길다는	길/VA+다는/ETM
건	거/NNB+ㄴ/JX
다저스에서	다저스/NNP+에서/JKB
어깨	어깨/NNG
부상에	부상/NNG+에/JKB
시달렸던	시달리/VV+었/EP+던/ETM
류현진을	류현진/NNP+을/JKO
‘관리’하고	‘/SS+관리/NNG+’/SS+하/XSV+고/EC
있다는	있/VX+다는/ETM
뜻이기도	뜻/NNG+이/VCP+기/ETN+도/JX
하지만	하/VX+지만/EC
그만큼	그만큼/MAG
투수로서	투수/NNG+로서/JKB
입지가	입지/NNG+가/JKS
좁다는	좁/VA+다는/ETM
하다.	하/VX+다/EF+./SF


# id : NWRW1800000053.221.6.3
류현진이 이 경기에서 호투해야 하는 이유다.

류현진이	류현진/NNP+이/JKS
이	이/MMD
경기에서	경기/NNG+에서/JKB
호투해야	호투/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.221.6.4
이전까지 류현진이 6일 이상 휴식을 취한 뒤 마운드에 오른 건 모두 17번.

이전까지	이전/NNG+까지/JX
류현진이	류현진/NNP+이/JKS
6일	6/SN+일/NNB
이상	이상/NNG
휴식을	휴식/NNG+을/JKO
취한	취하/VV+ㄴ/ETM
뒤	뒤/NNG
마운드에	마운드/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
모두	모두/MAG
17번.	17/SN+번/NNB+./SF


# id : NWRW1800000053.221.6.5
류현진은 이 17경기에서 8승 6패, 평균자책점 3.35를 기록했다.

류현진은	류현진/NNP+은/JX
이	이/MMD
17경기에서	17/SN+경기/NNG+에서/JKB
8승	8/SN+승/NNB
6패,	6/SN+패/NNB+,/SP
평균자책점	평균/NNG+자책점/NNG
3.35를	3/SN+./SP+35/SN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.221.7.1
류현진이 컵스를 상대로 선발 등판하는 건 이번이 네 번째다.

류현진이	류현진/NNP+이/JKS
컵스를	컵스/NNP+를/JKO
상대로	상대/NNG+로/JKB
선발	선발/NNG
등판하는	등판/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
이번이	이번/NNG+이/JKS
네	네/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000053.221.7.2
류현진은 컵스를 상대로 1승 1패, 평균자책점 4.24를 기록하고 있다.

류현진은	류현진/NNP+은/JX
컵스를	컵스/NNP+를/JKO
상대로	상대/NNG+로/JKB
1승	1/SN+승/NNB
1패,	1/SN+패/NNB+,/SP
평균자책점	평균/NNG+자책점/NNG
4.24를	4/SN+./SP+24/SN+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.221.7.3
1패는 올해 4월 14일 당했다.

1패는	1/SN+패/NNB+는/JX
올해	올해/NNG
4월	4/SN+월/NNB
14일	14/SN+일/NNB
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.221.7.4
류현진은 당시 4와 3분의 2이닝 동안 홈런 2개를 포함해 6안타를 얻어맞으면서 4점을 내줬다.

류현진은	류현진/NNP+은/JX
당시	당시/NNG
4와	4/SN+와/JC
3분의	3/SN+분/XSN+의/JKG
2이닝	2/SN+이닝/NNG
동안	동안/NNG
홈런	홈런/NNG
2개를	2/SN+개/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
6안타를	6/SN+안타/NNG+를/JKO
얻어맞으면서	얻어맞/VV+으면서/EC
4점을	4/SN+점/NNB+을/JKO
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.221.7.5
류현진은 이 경기에서 1회부터 앤서니 리조(28)에게 1점 홈런을 맞으며 불안하게 경기를 시작했다.

류현진은	류현진/NNP+은/JX
이	이/MMD
경기에서	경기/NNG+에서/JKB
1회부터	1/SN+회/NNB+부터/JX
앤서니	앤서니/NNP
리조(28)에게	리조/NNP+(/SS+28/SN+)/SS+에게/JKB
1점	1/SN+점/NNB
홈런을	홈런/NNG+을/JKO
맞으며	맞/VV+으며/EC
불안하게	불안/NNG+하/XSA+게/EC
경기를	경기/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.221.7.6
이번에도 관건은 1회다.

이번에도	이번/NNG+에/JKB+도/JX
관건은	관건/NNG+은/JX
1회다.	1/SN+회/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.221.7.7
류현진은 메이저리그 데뷔 이후 64차례 선발 등판했는데 1회에 평균자책점 5.20으로 가장 약했다.

류현진은	류현진/NNP+은/JX
메이저리그	메이저리그/NNG
데뷔	데뷔/NNG
이후	이후/NNG
64차례	64/SN+차례/NNG
선발	선발/NNG
등판했는데	등판/NNG+하/XSV+았/EP+는데/EC
1회에	1/SN+회/NNB+에/JKB
평균자책점	평균/NNG+자책점/NNG
5.20으로	5/SN+./SP+20/SN+으로/JKB
가장	가장/MAG
약했다.	약하/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.221.7.8
피안타율도 1회에 0.302로 가장 높았다.

피안타율도	피/XPN+안타/NNG+율/XSN+도/JX
1회에	1/SN+회/NNB+에/JKB
0.302로	0/SN+./SP+302/SN+로/JKB
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


