# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.93
metadata : {}


# id : NWRW1800000056.93.1.1
거액 거래 챙긴 트럼프 “중국 비난 안한다”

거액	거액/NNG
평가가	평가/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000056.93.9.2
트럼프 대통령이 개인적으로 시진핑 주석을 치켜세우는 발언을 거듭했지만, 시 주석은 개인적인 발언은 전혀 하지 않았다고 <워싱턴 포스트>는 짚었다.

트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
개인적으로	개인/NNG+적/XSN+으로/JKB
시진핑	시진핑/NNP
주석을	주석/NNG+을/JKO
치켜세우는	치켜세우/VV+는/ETM
발언을	발언/NNG+을/JKO
거듭했지만,	거듭/MAG+하/XSV+았/EP+지만/EC+,/SP
시	시/NNP
주석은	주석/NNG+은/JX
개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
발언은	발언/NNG+은/JX
전혀	전혀/MAG
하지	하/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
<워싱턴	</SS+워싱턴/NNP
포스트>는	포스트/NNP+>/SS+는/JX
짚었다.	짚/VV+었/EP+다/EF+./SF


