# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.417
metadata : {}


# id : NWRW1800000048.417.1.1
청와대·친박, 유승민 업무 배제…2단계 작전 나선 듯

청와대·친박,	청와대/NNP+·/SP+친/XPN+박/NNP+,/SP
관한	관하/VV+ㄴ/ETM
당정	당정/NNG
협의에	협의/NNG+에/JKB
애초	애초/NNG
참석할	참석/NNG+하/XSV+ㄹ/ETM
예정이었으나,	예정/NNG+이/VCP+었/EP+으나/EC+,/SP
원유철	원유철/NNP
정책위의장에게	정책위/NNG+의장/NNG+에게/JKB
맡기고	맡기/VV+고/EC
불참했다.	불참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.417.6.2
정부 대표로 이 회의에 참석한 최경환 경제부총리가 전날 한 친박계 의원을 통해 “유 원내대표가 참석하지 않게 해달라”고 요청한 결과로 알려졌다.

정부	정부/NNG
대표로	대표/NNG+로/JKB
이	이/MMD
회의에	회의/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
최경환	최경환/NNP
경제부총리가	경제/NNG+부총리/NNG+가/JKS
전날	전날/NNG
한	한/MMN
친박계	친/XPN+박/NNP+계/XSN
의원을	의원/NNG+을/JKO
통해	통하/VV+아/EC
“유	“/SS+유/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
참석하지	참석/NNG+하/XSV+지/EC
않게	않/VX+게/EC
해달라”고	하/VX+아/EC+달/VX+라/EF+”/SS+고/JKQ
요청한	요청/NNG+하/XSV+ㄴ/ETM
결과로	결과/NNG+로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.417.6.3
최 부총리는 친박계 핵심으로 통한다.

최	최/NNP
부총리는	부총리/NNG+는/JX
친박계	친/XPN+박/NNP+계/XSN
핵심으로	핵심/NNG+으로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.417.7.1
이병기 청와대 비서실장 등이 출석한 가운데 2일 열기로 여야가 지난달 합의한 국회 운영위원회도 무산됐다.

이병기	이병기/NNP
청와대	청와대/NNP
비서실장	비서실장/NNG
등이	등/NNB+이/JKS
출석한	출석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
2일	2/SN+일/NNB
열기로	열/VV+기/ETN+로/JKB
여야가	여야/NNG+가/JKS
지난달	지난달/NNG
합의한	합의/NNG+하/XSV+ㄴ/ETM
국회	국회/NNG
운영위원회도	운영/NNG+위원회/NNG+도/JX
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.417.7.2
청와대는 운영위 여당 간사이기도 한 조해진 새누리당 원내수석부대표에게 지난 30일 전화로 “2일 운영위에 불참하겠다”고 통보했다고 당 관계자들이 전했다.

청와대는	청와대/NNP+는/JX
운영위	운영위/NNG
여당	여당/NNG
간사이기도	간사/NNG+이/VCP+기/ETN+도/JX
한	하/VX+ㄴ/ETM
조해진	조해진/NNP
새누리당	새누리당/NNP
원내수석부대표에게	원내/NNG+수석/NNG+부대표/NNG+에게/JKB
지난	지나/VV+ㄴ/ETM
30일	30/SN+일/NNB
전화로	전화/NNG+로/JKB
“2일	“/SS+2/SN+일/NNB
운영위에	운영위/NNG+에/JKB
불참하겠다”고	불참/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
통보했다고	통보/NNG+하/XSV+았/EP+다고/EC
당	당/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.417.7.3
이번 운영위는 청와대 업무보고와 결산을 위한 것으로, 경호실에서는 관련 자료까지 국회에 보내온 상황이었으나 사실상 청와대 요구로 취소된 것이다.

이번	이번/NNG
운영위는	운영위/NNG+는/JX
청와대	청와대/NNP
업무보고와	업무/NNG+보고/NNG+와/JC
결산을	결산/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
경호실에서는	경호실/NNG+에서/JKB+는/JX
관련	관련/NNG
자료까지	자료/NNG+까지/JX
국회에	국회/NNG+에/JKB
보내온	보내/VV+어/EC+오/VX+ㄴ/ETM
상황이었으나	상황/NNG+이/VCP+었/EP+으나/EC
사실상	사실/NNG+상/XSN
요구로	요구/NNG+로/JKB
취소된	취소/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.417.7.4
국회 운영위는 여당 원내대표가 위원장을 맡는 상임위로, 청와대가 ‘유 원내대표를 인정하지 않겠다’는 뜻을 구체적인 행동으로 보인 셈이다.

국회	국회/NNG
운영위는	운영위/NNG+는/JX
여당	여당/NNG
원내대표가	원내/NNG+대표/NNG+가/JKS
위원장을	위원장/NNG+을/JKO
맡는	맡/VV+는/ETM
상임위로,	상임위/NNG+로/JKB+,/SP
청와대가	청와대/NNP+가/JKS
‘유	‘/SS+유/NNP
원내대표를	원내/NNG+대표/NNG+를/JKO
인정하지	인정/NNG+하/XSV+지/EC
않겠다’는	않/VX+겠/EP+다/EF+’/SS+는/ETM
뜻을	뜻/NNG+을/JKO
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
행동으로	행동/NNG+으로/JKB
보인	보이/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.417.7.5
김무성 대표도 기자들에게 “운영위는 내가 연기하라고 요구했다”고 말해, 청와대와 같은 견해임을 밝혔다.

김무성	김무성/NNP
대표도	대표/NNG+도/JX
기자들에게	기자/NNG+들/XSN+에게/JKB
“운영위는	“/SS+운영위/NNG+는/JX
내가	내/NP+가/JKS
연기하라고	연기/NNG+하/XSV+라고/EC
요구했다”고	요구/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말해,	말/NNG+하/XSV+아/EC+,/SP
청와대와	청와대/NNP+와/JKB
같은	같/VA+은/ETM
견해임을	견해/NNG+이/VCP+ㅁ/ETN+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.417.8.1
원내대표 소관인 국회 운영위 일정에 김 대표가 개입한 것은 사실상 ‘월권’으로, 유 원내대표는 기자들과 만나 “김 대표가 왜 그랬는지 모르겠다.

원내대표	원내/NNG+대표/NNG
소관인	소관/NNG+이/VCP+ㄴ/ETM
국회	국회/NNG
운영위	운영위/NNG
일정에	일정/NNG+에/JKB
김	김/NNP
대표가	대표/NNG+가/JKS
개입한	개입/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
사실상	사실/NNG+상/XSN
‘월권’으로,	‘/SS+월권/NNG+’/SS+으로/JKB+,/SP
유	유/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“김	“/SS+김/NNP
왜	왜/MAG
그랬는지	그렇/VA+었/EP+는지/EF
모르겠다.	모르/VV+겠/EP+다/EF+./SF


# id : NWRW1800000048.417.8.2
이해가 안 된다”고 강한 불만을 표시했다.

이해가	이해/NNG+가/JKC
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
강한	강하/VA+ㄴ/ETM
불만을	불만/NNG+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.417.8.3
유 원내대표는 그러나 ‘청와대와 정부가 업무 배제로 사퇴를 압박하는 것 아니냐’는 기자들의 질문에 “전혀 압박을 느끼지 않는다”며 “상황이 변한 게 없고, 드릴 말씀이 없다”고 사퇴 뜻이 없음을 거듭 밝혔다.

유	유/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
그러나	그러나/MAJ
‘청와대와	‘/SS+청와대/NNP+와/JC
정부가	정부/NNG+가/JKS
업무	업무/NNG
배제로	배제/NNG+로/JKB
사퇴를	사퇴/NNG+를/JKO
압박하는	압박/NNG+하/XSV+는/ETM
것	것/NNB
아니냐’는	아니/VCN+냐/EF+’/SS+는/ETM
기자들의	기자/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
“전혀	“/SS+전혀/MAG
압박을	압박/NNG+을/JKO
느끼지	느끼/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“상황이	“/SS+상황/NNG+이/JKS
변한	변하/VV+ㄴ/ETM
게	거/NNB+이/JKS
없고,	없/VA+고/EC+,/SP
드릴	드리/VV+ㄹ/ETM
말씀이	말씀/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
사퇴	사퇴/NNG
뜻이	뜻/NNG+이/JKS
없음을	없/VA+음/ETN+을/JKO
거듭	거듭/MAG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


