# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.373
metadata : {}


# id : NWRW1800000053.373.1.1
[단독]국토부, 朴정부때 ‘한반도 통합철도망 마스터플랜’ 마련

[단독]국토부,	[/SS+단독/NNG+]/SS+국토부/NNG+,/SP
등으로	등/NNB+으로/JKB
실현	실현/NNG
가능성은	가능/NNG+성/XSN+은/JX
미지수	미지수/NNG


# id : NWRW1800000053.373.12.1
국토부는 이 계획이 통일 이후 사회간접자본(SOC)의 핵심인 철도망에 대한 근본 구상이 될 것으로 평가한다.

국토부는	국토부/NNG+는/JX
이	이/MMD
계획이	계획/NNG+이/JKS
통일	통일/NNG
이후	이후/NNG
사회간접자본(SOC)의	사회/NNG+간접/NNG+자본/NNG+(/SS+SOC/SL+)/SS+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
철도망에	철도망/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
근본	근본/NNG
구상이	구상/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.373.12.2
그러나 북한 인프라 사업의 중요한 변수인 한반도 정세 변화 등이 거의 고려되지 않아 실현 가능성이 요원하다는 비판도 만만치 않다.

그러나	그러나/MAJ
북한	북한/NNP
인프라	인프라/NNG
사업의	사업/NNG+의/JKG
중요한	중요/NNG+하/XSA+ㄴ/ETM
변수인	변수/NNG+이/VCP+ㄴ/ETM
한반도	한반도/NNP
정세	정세/NNG
변화	변화/NNG
등이	등/NNB+이/JKS
거의	거의/MAG
고려되지	고려/NNG+되/XSV+지/EC
않아	않/VX+아/EC
실현	실현/NNG
가능성이	가능/NNG+성/XSN+이/JKS
요원하다는	요원하/VA+다는/ETM
비판도	비판/NNG+도/JX
만만치	만만하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000053.373.12.3
마스터플랜은 막대한 사업비를 충당하기 위한 방안으로 △국공채(통일채) 발행 △세계은행(WB) 등의 자금 차입 △민자 유치 등을 들었지만 지금과 같은 남북 대치 상황이 계속되는 한 실현 가능성이 낮다.

마스터플랜은	마스터플랜/NNG+은/JX
막대한	막대하/VA+ㄴ/ETM
사업비를	사업비/NNG+를/JKO
충당하기	충당/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
방안으로	방안/NNG+으로/JKB
△국공채(통일채)	△/SW+국공채/NNG+(/SS+통일채/NNG+)/SS
발행	발행/NNG
△세계은행(WB)	△/SW+세계은행/NNP+(/SS+WB/SL+)/SS
등의	등/NNB+의/JKG
자금	자금/NNG
차입	차입/NNG
△민자	△/SW+민자/NNG
유치	유치/NNG
등을	등/NNB+을/JKO
들었지만	들/VV+었/EP+지만/EC
지금과	지금/NNG+과/JKB
같은	같/VA+은/ETM
남북	남북/NNP
대치	대치/NNG
상황이	상황/NNG+이/JKS
계속되는	계속/NNG+되/XSV+는/ETM
한	한/NNG
실현	실현/NNG
가능성이	가능/NNG+성/XSN+이/JKS
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000053.373.13.1
지형에 대한 실측 없이 노선을 설계한 것도 한계로 지적된다.

지형에	지형/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실측	실측/NNG
없이	없이/MAG
노선을	노선/NNG+을/JKO
설계한	설계/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
한계로	한계/NNG+로/JKB
지적된다.	지적/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.373.13.2
정부 당국은 기존 선로의 경사도 등이 표시된 자료조차 구하지 못해 평면도만으로 노선을 구상한 것으로 알려졌다.

정부	정부/NNG
당국은	당국/NNG+은/JX
기존	기존/NNG
선로의	선로/NNG+의/JKG
경사도	경사도/NNG
등이	등/NNB+이/JKS
표시된	표시/NNG+되/XSV+ㄴ/ETM
자료조차	자료/NNG+조차/JX
구하지	구하/VV+지/EC
못해	못하/VX+아/EC
평면도만으로	평면도/NNG+만/JX+으로/JKB
노선을	노선/NNG+을/JKO
구상한	구상/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.373.13.3
시공이 어려운 산악구간 등에서는 사업비가 더욱 불어날 수 있다.

시공이	시공/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
산악구간	산악/NNG+구간/NNG
등에서는	등/NNB+에서/JKB+는/JX
사업비가	사업비/NNG+가/JKS
더욱	더욱/MAG
불어날	불어나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.373.14.1
정부 주변에선 ‘통일 대박론’ 등 지난 정권의 정치적인 의제를 의식한 국토부가 지나치게 성급하게 계획을 짰다는 비판도 나온다.

정부	정부/NNG
주변에선	주변/NNG+에서/JKB+ㄴ/JX
‘통일	‘/SS+통일/NNG
대박론’	대/XPN+박/NNG+론/XSN+’/SS
등	등/NNB
지난	지나/VV+ㄴ/ETM
정권의	정권/NNG+의/JKG
정치적인	정치/NNG+적/XSN+이/VCP+ㄴ/ETM
의제를	의제/NNG+를/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
국토부가	국토부/NNG+가/JKS
지나치게	지나치/VA+게/EC
성급하게	성급하/VA+게/EC
계획을	계획/NNG+을/JKO
짰다는	짜/VV+았/EP+다는/ETM
비판도	비판/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.373.14.2
국토부가 160조 원 규모 마스터플랜이 담긴 이 보고서 작성에 들인 용역 비용 등 예산은 4억8000만 원인 것으로 전해졌다.

국토부가	국토부/NNG+가/JKS
160조	160/SN+조/NR
원	원/NNB
규모	규모/NNG
마스터플랜이	마스터플랜/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
이	이/MMD
보고서	보고서/NNG
작성에	작성/NNG+에/JKB
들인	들이/VV+ㄴ/ETM
용역	용역/NNG
비용	비용/NNG
등	등/NNB
예산은	예산/NNG+은/JX
4억8000만	4/SN+억/NR+8000/SN+만/NR
원인	원/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.373.14.3
전현희 의원은 “통일에 대비한 철도정책은 남북한 당국뿐 아니라 전문가, 주변국이 참여한 협의체 등을 통해 투명하고 신중하게 추진해야 한다”고 말했다.

전현희	전현희/NNP
의원은	의원/NNG+은/JX
“통일에	“/SS+통일/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
철도정책은	철도/NNG+정책/NNG+은/JX
남북한	남북한/NNP
당국뿐	당국/NNG+뿐/JX
아니라	아니/VCN+라/EC
전문가,	전문가/NNG+,/SP
주변국이	주변국/NNG+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
협의체	협의체/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
투명하고	투명/NNG+하/XSA+고/EC
신중하게	신중/NNG+하/XSA+게/EC
추진해야	추진/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


