# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.106
metadata : {}


# id : NWRW1800000038.106.1.1
"北의료진 결핵퇴치 의지 강해… 끝까지 함께할 것"

"北의료진	"/SS+北/SH+의료진/NNG
결핵퇴치	결핵/NNG+퇴치/NNG
# id : NWRW1800000038.106.5.3
스탠퍼드대는 2010년 북한 최초의 현대식 국가결핵검사소를 평양에 설립했고, 잉글랜드 교수는 지난해 5월부터 스탠퍼드대의 북한 프로젝트를 전임하고 있다.

스탠퍼드대는	스탠퍼드대/NNP+는/JX
2010년	2010/SN+년/NNB
북한	북한/NNP
최초의	최초/NNG+의/JKG
현대식	현대식/NNG
국가결핵검사소를	국가/NNG+결핵/NNG+검사소/NNG+를/JKO
평양에	평양/NNP+에/JKB
설립했고,	설립/NNG+하/XSV+았/EP+고/EC+,/SP
잉글랜드	잉글랜드/NNP
교수는	교수/NNG+는/JX
지난해	지난해/NNG
5월부터	5/SN+월/NNB+부터/JX
스탠퍼드대의	스탠퍼드대/NNP+의/JKG
프로젝트를	프로젝트/NNG+를/JKO
전임하고	전임/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.106.6.1
잉글랜드 교수는 "주민들의 영양 상태가 나쁘고 위생 상황도 열악한 북한에선 결핵 퇴치에 어려움을 겪고 있다"고 설명했다.

잉글랜드	잉글랜드/NNP
교수는	교수/NNG+는/JX
"주민들의	"/SS+주민/NNG+들/XSN+의/JKG
영양	영양/NNG
상태가	상태/NNG+가/JKS
나쁘고	나쁘/VA+고/EC
위생	위생/NNG
상황도	상황/NNG+도/JX
열악한	열악하/VA+ㄴ/ETM
북한에선	북한/NNP+에서/JKB+ㄴ/JX
결핵	결핵/NNG
퇴치에	퇴치/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.106.6.2
면역 체계가 제대로 작동하는 건강한 사람은 결핵균이 침투해도 90% 이상 병을 이겨낸다.

면역	면역/NNG
체계가	체계/NNG+가/JKS
제대로	제대로/MAG
작동하는	작동/NNG+하/XSV+는/ETM
건강한	건강/NNG+하/XSA+ㄴ/ETM
사람은	사람/NNG+은/JX
결핵균이	결핵균/NNG+이/JKS
침투해도	침투/NNG+하/XSV+아도/EC
90%	90/SN+%/SW
이상	이상/NNG
병을	병/NNG+을/JKO
이겨낸다.	이기/VV+어/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.106.6.3
그러나 영양 부족과 비위생적 환경 때문에 면역이 약해지면 발병도 쉽고 치료도 어려워진다.

그러나	그러나/MAJ
영양	영양/NNG
부족과	부족/NNG+과/JC
비위생적	비/XPN+위생/NNG+적/XSN
환경	환경/NNG
때문에	때문/NNB+에/JKB
면역이	면역/NNG+이/JKS
약해지면	약하/VA+아/EC+지/VX+면/EC
발병도	발병/NNG+도/JX
쉽고	쉽/VA+고/EC
치료도	치료/NNG+도/JX
어려워진다.	어렵/VA+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.106.6.4
"결핵은 우선 진단이 중요합니다.

"결핵은	"/SS+결핵/NNG+은/JX
우선	우선/MAG
진단이	진단/NNG+이/JKS
중요합니다.	중요/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000038.106.6.5
그리고 전염병을 관리할 보건 행정이 뒤따라야 하고, 결핵약 보급을 통해 치료 시스템을 갖춰야 합니다."

그리고	그리고/MAJ
전염병을	전염병/NNG+을/JKO
관리할	관리/NNG+하/XSV+ㄹ/ETM
보건	보건/NNG
행정이	행정/NNG+이/JKS
뒤따라야	뒤따르/VV+아야/EC
하고,	하/VX+고/EC+,/SP
결핵약	결핵/NNG+약/NNG
보급을	보급/NNG+을/JKO
통해	통하/VV+아/EC
치료	치료/NNG
시스템을	시스템/NNG+을/JKO
갖춰야	갖추/VV+어야/EC
합니다."	하/VX+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.106.7.1
잉글랜드 교수가 이끄는 스탠퍼드대 의료팀 10여명은 북한 결핵 검사소에서 북한 의료진 18명에게 결핵 진단과 간호, 치료 기술 등을 교육했다.

잉글랜드	잉글랜드/NNP
교수가	교수/NNG+가/JKS
이끄는	이끌/VV+는/ETM
스탠퍼드대	스탠퍼드대/NNP
의료팀	의료/NNG+팀/NNG
10여명은	10/SN+여/XSN+명/NNB+은/JX
북한	북한/NNP
결핵	결핵/NNG
검사소에서	검사소/NNG+에서/JKB
의료진	의료진/NNG
18명에게	18/SN+명/NNB+에게/JKB
진단과	진단/NNG+과/JC
간호,	간호/NNG+,/SP
치료	치료/NNG
기술	기술/NNG
등을	등/NNB+을/JKO
교육했다.	교육/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.106.7.2
개성결핵병원 등 북한 내 29개 보건 시설을 지원하고 있는 미국의 비정부기구 'CFK(조선의 그리스도인 벗들)' 하이디 린튼 대표도 동행했다.

개성결핵병원	개성결핵병원/NNP
등	등/NNB
북한	북한/NNP
내	내/NNB
29개	29/SN+개/NNB
보건	보건/NNG
시설을	시설/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
미국의	미국/NNP+의/JKG
비정부기구	비/XPN+정부/NNG+기구/NNG
'CFK(조선의	'/SS+CFK/SL+(/SS+조선/NNP+의/JKG
그리스도인	그리스도인/NNG
벗들)'	벗/NNG+들/XSN+)/SS+'/SS
하이디	하이디/NNP
린튼	린튼/NNP
대표도	대표/NNG+도/JX
동행했다.	동행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.106.8.1
그는 "북한이 자생적인 결핵 관리 시스템을 갖추려면 WHO가 인증할 수 있는 수준의 국가 결핵 검사실을 갖추는 것이 시급하다"고 했다.

그는	그/NP+는/JX
"북한이	"/SS+북한/NNP+이/JKS
자생적인	자생/NNG+적/XSN+이/VCP+ㄴ/ETM
결핵	결핵/NNG
관리	관리/NNG
시스템을	시스템/NNG+을/JKO
갖추려면	갖추/VV+려면/EC
WHO가	WHO/SL+가/JKS
인증할	인증/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수준의	수준/NNG+의/JKG
국가	국가/NNG
검사실을	검사실/NNG+을/JKO
갖추는	갖추/VV+는/ETM
것이	것/NNB+이/JKS
시급하다"고	시급하/VA+다/EC+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.106.8.2
스탠퍼드대는 올봄 북한 의료진을 대상으로 두 차례 연수를 실시한 데 이어, 오는 가을에도 추가로 교육할 예정이다.

스탠퍼드대는	스탠퍼드대/NNP+는/JX
올봄	올봄/NNG
북한	북한/NNP
의료진을	의료진/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
두	두/MMN
차례	차례/NNG
연수를	연수/NNG+를/JKO
실시한	실시/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
오는	오/VV+는/ETM
가을에도	가을/NNG+에/JKB+도/JX
추가로	추가/NNG+로/JKB
교육할	교육/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.106.8.3
2014년까지 교육연수를 실시해 WHO 인증 검사기관으로 역할을 수행할 수 있도록 한다는 목표다.

2014년까지	2014/SN+년/NNB+까지/JX
교육연수를	교육/NNG+연수/NNG+를/JKO
실시해	실시/NNG+하/XSV+아/EC
WHO	WHO/SL
인증	인증/NNG
검사기관으로	검사/NNG+기관/NNG+으로/JKB
역할을	역할/NNG+을/JKO
수행할	수행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한다는	하/VX+ㄴ다는/ETM
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.106.8.4
스탠퍼드대가 검사소 건립 자금 확보에 어려움을 겪자 세계결핵제로운동본부(총재 손인웅 목사)가 나섰다.

스탠퍼드대가	스탠퍼드대/NNP+가/JKS
검사소	검사소/NNG
건립	건립/NNG
자금	자금/NNG
확보에	확보/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪자	겪/VV+자/EC
세계결핵제로운동본부(총재	세계결핵제로운동본부/NNP+(/SS+총재/NNG
손인웅	손인웅/NNP
목사)가	목사/NNG+)/SS+가/JKS
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.106.8.5
결핵제로운동본부는 지난해 1차로 5000여만원을 지원했고, 올해 5억원 상당의 지원을 추진하고 있다.

결핵제로운동본부는	결핵/NNG+제로/NNG+운동/NNG+본부/NNG+는/JX
지난해	지난해/NNG
1차로	1/SN+차/NNB+로/JKB
5000여만원을	5000/SN+여/XSN+만/NR+원/NNB+을/JKO
지원했고,	지원/NNG+하/XSV+았/EP+고/EC+,/SP
올해	올해/NNG
5억원	5/SN+억/NR+원/NNB
상당의	상당/NNG+의/JKG
지원을	지원/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.106.9.1
잉글랜드 교수는 "불과 몇년 전까지 북한 결핵 환자들이 자신의 병을 숨기는 경우도 많았다"고 안타까워했다.

잉글랜드	잉글랜드/NNP
교수는	교수/NNG+는/JX
"불과	"/SS+불과/MAG
몇년	몇/NR+년/NNB
전까지	전/NNG+까지/JX
북한	북한/NNP
결핵	결핵/NNG
환자들이	환자/NNG+들/XSN+이/JKS
자신의	자신/NNG+의/JKG
병을	병/NNG+을/JKO
숨기는	숨기/VV+는/ETM
경우도	경우/NNG+도/JX
많았다"고	많/VA+았/EP+다/EF+"/SS+고/JKQ
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.106.9.2
치료도 기대할 수 없는 상황에서 발병 사실이 주변에 알려지면 사회적 차별을 받을까 우려한 탓이다.

치료도	치료/NNG+도/JX
기대할	기대/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황에서	상황/NNG+에서/JKB
발병	발병/NNG
사실이	사실/NNG+이/JKS
주변에	주변/NNG+에/JKB
알려지면	알려지/VV+면/EC
사회적	사회/NNG+적/XSN
차별을	차별/NNG+을/JKO
받을까	받/VV+을까/EF
우려한	우려/NNG+하/XSV+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.106.9.3
그는 "외국 시민단체와 의료진의 지속적인 지원으로 결핵에 대한 북한 주민들의 의식이 차츰 변하고 있다"고 말했다.

그는	그/NP+는/JX
"외국	"/SS+외국/NNG
시민단체와	시민/NNG+단체/NNG+와/JC
의료진의	의료진/NNG+의/JKG
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
지원으로	지원/NNG+으로/JKB
결핵에	결핵/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
북한	북한/NNP
주민들의	주민/NNG+들/XSN+의/JKG
의식이	의식/NNG+이/JKS
차츰	차츰/MAG
변하고	변하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.106.9.4
"북한 의료진도 결핵 진료에 대해 배우려는 의지가 강합니다.

"북한	"/SS+북한/NNP
의료진도	의료진/NNG+도/JX
결핵	결핵/NNG
진료에	진료/NNG+에/JKB
대해	대하/VV+아/EC
배우려는	배우/VV+려는/ETM
의지가	의지/NNG+가/JKS
강합니다.	강하/VA+ㅂ니다/EF+./SF


# id : NWRW1800000038.106.9.5
도움의 손길이 끊이지 않는 한 저도 북한 결핵 퇴치 활동에 끝까지 함께할 것입니다."

도움의	도움/NNG+의/JKG
손길이	손길/NNG+이/JKS
끊이지	끊이/VV+지/EC
않는	않/VX+는/ETM
한	한/NNG
저도	저/NP+도/JX
북한	북한/NNP
결핵	결핵/NNG
퇴치	퇴치/NNG
활동에	활동/NNG+에/JKB
끝까지	끝/NNG+까지/JX
함께할	함께/MAG+하/XSV+ㄹ/ETM
것입니다."	것/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


