# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.182
metadata : {}


# id : NWRW1800000054.182.1.1
"안아키(약 안쓰고 아이 키우기) 한의사 최소 12명 더 있다"

"안아키(약	"/SS+안아키/NNG+(/SS+약/NNG
시민모임은	시민/NNG+모임/NNG+은/JX
최근	최근/MAG
안아키	안아키/NNG
카페	카페/NNG
운영자인	운영자/NNG+이/VCP+ㄴ/ETM
대구	대구/NNP
살림한의원	살림한의원/NNP
김효진	김효진/NNP
한의사를	한의사/NNG+를/JKO
아동	아동/NNG
학대	학대/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
경찰에	경찰/NNG+에/JKB
고발한	고발/NNG+하/XSV+ㄴ/ETM
단체다.	단체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.182.4.1
시민모임에 따르면, 자칭 '살림닥터'라는 이 한의사들은 김씨와 함께 '살림한의학연구소'라는 기관에서 활동하며 현대 의학을 부정하는 치료법이나 의약품을 개발하고, 이런 치료법을 소개하는 책을 공동 출간한 것으로 알려졌다.

시민모임에	시민/NNG+모임/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
자칭	자칭/NNG
'살림닥터'라는	'/SS+살림/NNG+닥터/NNG+'/SS+이/VCP+라는/ETM
이	이/MMD
한의사들은	한의사/NNG+들/XSN+은/JX
김씨와	김/NNP+씨/NNB+와/JKB
함께	함께/MAG
'살림한의학연구소'라는	'/SS+살림한의학연구소/NNP+'/SS+이/VCP+라는/ETM
기관에서	기관/NNG+에서/JKB
활동하며	활동/NNG+하/XSV+며/EC
현대	현대/NNG
의학을	의학/NNG+을/JKO
부정하는	부정/NNG+하/XSV+는/ETM
치료법이나	치료법/NNG+이나/JC
의약품을	의약품/NNG+을/JKO
개발하고,	개발/NNG+하/XSV+고/EC+,/SP
이런	이런/MMD
치료법을	치료법/NNG+을/JKO
소개하는	소개/NNG+하/XSV+는/ETM
책을	책/NNG+을/JKO
공동	공동/NNG
출간한	출간/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.182.4.2
이들은 김효진 한의사에 대한 검찰 수사가 시작된 뒤에도 아이들에게 '해독 생기 요법'이라는 시술을 하거나 '능소화'라는 자체 개발 소화제를 처방하고 있다.

이들은	이/NP+들/XSN+은/JX
김효진	김효진/NNP
한의사에	한의사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검찰	검찰/NNG
수사가	수사/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
아이들에게	아이/NNG+들/XSN+에게/JKB
'해독	'/SS+해독/NNG
생기	생기/NNG
요법'이라는	요법/NNG+'/SS+이/VCP+라는/ETM
시술을	시술/NNG+을/JKO
하거나	하/VV+거나/EC
'능소화'라는	'/SS+능소화/NNG+'/SS+이/VCP+라는/ETM
자체	자체/NNG
개발	개발/NNG
소화제를	소화제/NNG+를/JKO
처방하고	처방/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.182.4.3
해독 생기 요법은 '백신이나 항생제 등이 일으키는 독소를 제거해야 한다'며 아이 항문으로 관장약을 넣는 시술이다.

해독	해독/NNG
생기	생기/NNG
요법은	요법/NNG+은/JX
'백신이나	'/SS+백신/NNG+이나/JC
항생제	항생제/NNG
등이	등/NNB+이/JKS
일으키는	일으키/VV+는/ETM
독소를	독소/NNG+를/JKO
제거해야	제거/NNG+하/XSV+아야/EC
한다'며	하/VX+ㄴ다/EF+'/SS+며/EC
아이	아이/NNG
항문으로	항문/NNG+으로/JKB
관장약을	관장약/NNG+을/JKO
넣는	넣/VV+는/ETM
시술이다.	시술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.182.4.4
안아키는 "보건복지부가 안전성을 검증해준 시술"이라고 주장하지만, 복지부는 "치료법 허가를 내준 적이 없다"고 밝혔다.

안아키는	안아키/NNG+는/JX
"보건복지부가	"/SS+보건/NNG+복지부/NNG+가/JKS
안전성을	안전/NNG+성/XSN+을/JKO
검증해준	검증/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
시술"이라고	시술/NNG+"/SS+이라고/JKQ
주장하지만,	주장/NNG+하/XSV+지만/EC+,/SP
복지부는	복지부/NNG+는/JX
"치료법	"/SS+치료법/NNG
허가를	허가/NNG+를/JKO
내준	내주/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.182.4.5
능소화는 지속적으로 복용하면 소화불량, 호흡곤란 등 부작용을 일으키는 것으로 알려졌다.

능소화는	능소화/NNG+는/JX
지속적으로	지속/NNG+적/XSN+으로/JKB
복용하면	복용/NNG+하/XSV+면/EC
소화불량,	소화/NNG+불량/NNG+,/SP
호흡곤란	호흡/NNG+곤란/NNG
등	등/NNB
부작용을	부작용/NNG+을/JKO
일으키는	일으키/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.182.5.1
이들의 존재는 익명의 한의학계 종사자가 "이들의 진료 활동이 상식에 어긋나 그냥 있을 수 없었다"면서 시민모임에 명단을 제보하면서 알려졌다.

이들의	이/NP+들/XSN+의/JKG
존재는	존재/NNG+는/JX
익명의	익명/NNG+의/JKG
한의학계	한의학/NNG+계/XSN
종사자가	종사자/NNG+가/JKS
"이들의	"/SS+이/NP+들/XSN+의/JKG
진료	진료/NNG
활동이	활동/NNG+이/JKS
상식에	상식/NNG+에/JKB
어긋나	어긋나/VV+아/EC
그냥	그냥/MAG
있을	있/VV+을/ETM
수	수/NNB
없었다"면서	없/VA+었/EP+다/EF+"/SS+면서/EC
시민모임에	시민/NNG+모임/NNG+에/JKB
명단을	명단/NNG+을/JKO
제보하면서	제보/NNG+하/XSV+면서/EC
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.182.5.2
공혜정 시민모임 대표는 "검증 안 된 진료를 하는 한의사가 더 많을 수 있다"고 말했다.

공혜정	공혜정/NNP
시민모임	시민/NNG+모임/NNG
대표는	대표/NNG+는/JX
"검증	"/SS+검증/NNG
안	안/MAG
된	되/VV+ㄴ/ETM
진료를	진료/NNG+를/JKO
하는	하/VV+는/ETM
한의사가	한의사/NNG+가/JKS
더	더/MAG
많을	많/VA+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


