# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.375
metadata : {}


# id : NWRW1800000024.375.1.1
(21) 엘지디스플레이 /“외모보다 긍정적 의지·균형된 시각 보여달라”

(21)	(/SS+21/SN+)/SS
“사실 서류전형에서 ‘묻지마 지원’을 구분하는 것은 쉽지 않다.

“사실	“/SS+사실/MAG
서류전형에서	서류/NNG+전형/NNG+에서/JKB
‘묻지마	‘/SS+묻/VV+지/EC+말/VX+아/EF
지원’을	지원/NNG+’/SS+을/JKO
구분하는	구분/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000024.375.5.2
대기업이다 보니 많은 사람이 지원한다.

대기업이다	대/XPN+기업/NNG+이/VCP+다/EC
보니	보/VX+니/EC
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.5.3
서류전형에서는 체크리스트를 가지고 구분한다.

서류전형에서는	서류/NNG+전형/NNG+에서/JKB+는/JX
체크리스트를	체크리스트/NNG+를/JKO
가지고	가지/VV+고/EC
구분한다.	구분/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.5.4
이 과정에서 ‘묻지마’ 지원자가 서류전형에서 통과할 수도 있다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
‘묻지마’	‘/SS+묻/VV+지/EC+말/VX+아/EF+’/SS
지원자가	지원자/NNG+가/JKS
서류전형에서	서류/NNG+전형/NNG+에서/JKB
통과할	통과/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.5.5
하지만 면접 과정에서 자기소개서를 바탕으로 한 질문을 통해 걸러지게 된다.”

하지만	하지만/MAJ
면접	면접/NNG
과정에서	과정/NNG+에서/JKB
자기소개서를	자기소개서/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
한	하/VV+ㄴ/ETM
질문을	질문/NNG+을/JKO
통해	통하/VV+아/EC
걸러지게	거르/VV+어/EC+지/VX+게/EC
된다.”	되/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000024.375.6.1
-과거 떨어졌던 사람이 다시 지원할 경우 어떻게 평가되나?

-과거	-/SO+과거/NNG
떨어졌던	떨어지/VV+었/EP+던/ETM
사람이	사람/NNG+이/JKS
다시	다시/MAG
지원할	지원/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
어떻게	어떻/VA+게/EC
평가되나?	평가/NNG+되/XSV+나/EF+?/SF


# id : NWRW1800000024.375.7.1
“한 번 떨어졌다고 지원을 막지 않는다.

“한	“/SS+한/MMN
번	번/NNB
떨어졌다고	떨어지/VV+었/EP+다고/EC
지원을	지원/NNG+을/JKO
막지	막/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000024.375.7.2
긍정적인 부분은 ‘또 지원했구나.

긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
부분은	부분/NNG+은/JX
‘또	‘/SS+또/MAG
지원했구나.	지원/NNG+하/XSV+았/EP+구나/EF+./SF


# id : NWRW1800000024.375.7.3
소신 지원이네’라는 생각을 갖게 한다.

소신	소신/NNG
지원이네’라는	지원/NNG+이/VCP+네/EF+’/SS+이/VCP+라는/ETM
생각을	생각/NNG+을/JKO
갖게	갖/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.375.7.4
하지만 긍정적인 측면보다 불이익이 더 크다.

하지만	하지만/MAJ
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
측면보다	측면/NNG+보다/JKB
불이익이	불/XPN+이익/NNG+이/JKS
더	더/MAG
크다.	크/VA+다/EF+./SF


# id : NWRW1800000024.375.7.5
다시 지원한 경우에는 자신감과 준비된 모습을 보여주면 좋은 평가를 받을 수 있다.”

다시	다시/MAG
지원한	지원/NNG+하/XSV+ㄴ/ETM
경우에는	경우/NNG+에/JKB+는/JX
자신감과	자신감/NNG+과/JC
준비된	준비/NNG+되/XSV+ㄴ/ETM
모습을	모습/NNG+을/JKO
보여주면	보이/VV+어/EC+주/VX+면/EC
좋은	좋/VA+은/ETM
평가를	평가/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.”	있/VA+다/EF+./SF+”/SS


# id : NWRW1800000024.375.8.1
-자기소개서가 서류전형에 별 영향이 없다.

-자기소개서가	-/SO+자기소개서/NNG+가/JKS
서류전형에	서류/NNG+전형/NNG+에/JKB
별	별/MMA
영향이	영향/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.375.9.1
“이번(하반기 공채)에도 1만3000여명이 지원했다.

“이번(하반기	“/SS+이번/NNG+(/SS+하반기/NNG
공채)에도	공채/NNG+)/SS+에/JKB+도/JX
1만3000여명이	1/SN+만/NR+3000/SN+여/XSN+명/NNB+이/JKS
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.375.9.2
솔직히 서류전형에서 자기소개서를 다 읽어볼 수 없다.

솔직히	솔직히/MAG
서류전형에서	서류/NNG+전형/NNG+에서/JKB
자기소개서를	자기소개서/NNG+를/JKO
다	다/MAG
읽어볼	읽/VV+어/EC+보/VX+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.375.9.3
대신 기본적인 체크리스트를 가지고 서류전형을 진행한다.

대신	대신/NNG
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
체크리스트를	체크리스트/NNG+를/JKO
가지고	가지/VV+고/EC
서류전형을	서류/NNG+전형/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.9.4
학교와 전공, 성적, 어학 능력 등을 보고 자기소개서는 어느 정도 성의가 있는지 점검하는 수준이다.

학교와	학교/NNG+와/JC
전공,	전공/NNG+,/SP
성적,	성적/NNG+,/SP
어학	어학/NNG
능력	능력/NNG
등을	등/NNB+을/JKO
보고	보/VV+고/EC
자기소개서는	자기소개서/NNG+는/JX
어느	어느/MMD
정도	정도/NNG
성의가	성의/NNG+가/JKS
있는지	있/VA+는지/EC
점검하는	점검/NNG+하/XSV+는/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.375.9.5
자기소개서는 내용을 다 살펴볼 수 없어 작성량(바이트 수)을 가지고 판단한다.

자기소개서는	자기소개서/NNG+는/JX
내용을	내용/NNG+을/JKO
다	다/MAG
살펴볼	살펴보/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
작성량(바이트	작성량/NNG+(/SS+바이트/NNG
수)을	수/NNG+)/SS+을/JKO
가지고	가지/VV+고/EC
판단한다.	판단/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.9.6
일부는 작성량을 맞추느라 애국가, 교가 등을 적는 경우도 있다.

일부는	일부/NNG+는/JX
작성량을	작성량/NNG+을/JKO
맞추느라	맞추/VV+느라/EC
애국가,	애국가/NNG+,/SP
교가	교가/NNG
등을	등/NNB+을/JKO
적는	적/VV+는/ETM
경우도	경우/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.9.7
하지만 면접에서 자기소개서를 바탕으로 질문이 이뤄져 결과적으로 아주 중요한 영향이 있다.”

하지만	하지만/MAJ
면접에서	면접/NNG+에서/JKB
자기소개서를	자기소개서/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
질문이	질문/NNG+이/JKS
이뤄져	이뤄지/VV+어/EC
결과적으로	결과/NNG+적/XSN+으로/JKB
아주	아주/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
영향이	영향/NNG+이/JKS
있다.”	있/VA+다/EF+./SF+”/SS


# id : NWRW1800000024.375.10.1
-졸업예정자와 기졸업자를 구분해서 뽑고 있다.

-졸업예정자와	-/SO+졸업/NNG+예정자/NNG+와/JC
기졸업자를	기졸업자/NNG+를/JKO
구분해서	구분/NNG+하/XSV+아서/EC
뽑고	뽑/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.375.11.1
“졸업예정자는 좀더 학교를 다녀야 하니까 당장 현장에 투입할 수 없다.

“졸업예정자는	“/SS+졸업/NNG+예정자/NNG+는/JX
좀더	좀/MAG+더/MAG
학교를	학교/NNG+를/JKO
다녀야	다니/VV+어야/EC
하니까	하/VX+니까/EC
당장	당장/NNG
현장에	현장/NNG+에/JKB
투입할	투입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.375.11.2
계속 사람이 필요해 당장 현장에 투입할 수 있는 인력을 구분할 필요가 있다.

계속	계속/MAG
사람이	사람/NNG+이/JKS
필요해	필요/NNG+하/XSA+아/EC
당장	당장/NNG
현장에	현장/NNG+에/JKB
투입할	투입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인력을	인력/NNG+을/JKO
구분할	구분/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.11.3
하지만 인재상에 맞는지를 따지기 때문에 기졸업자와 졸업예정자의 차이는 없다.”

하지만	하지만/MAJ
인재상에	인재상/NNG+에/JKB
맞는지를	맞/VV+는지/EF+를/JKO
따지기	따지/VV+기/ETN
때문에	때문/NNB+에/JKB
기졸업자와	기졸업자/NNG+와/JC
졸업예정자의	졸업/NNG+예정자/NNG+의/JKG
차이는	차이/NNG+는/JX
없다.”	없/VA+다/EF+./SF+”/SS


# id : NWRW1800000024.375.12.1
-얼마 전 채용설명회에서 파주와 구미 지원자들을 구분해서 면접을 진행한다고 들었다.

-얼마	-/SO+얼마/NNG
전	전/NNG
채용설명회에서	채용/NNG+설명회/NNG+에서/JKB
파주와	파주/NNP+와/JC
구미	구미/NNP
지원자들을	지원자/NNG+들/XSN+을/JKO
구분해서	구분/NNG+하/XSV+아서/EC
면접을	면접/NNG+을/JKO
진행한다고	진행/NNG+하/XSV+ㄴ다고/EC
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.375.13.1
“지원자는 자신의 연고지에 따른 근무지 선호도가 있다.

“지원자는	“/SS+지원자/NNG+는/JX
자신의	자신/NNG+의/JKG
연고지에	연고지/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
근무지	근무지/NNG
선호도가	선호도/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.13.2
수도권 출신의 경우 구미 쪽으로 가고자 하는 경우가 많지 않다.

수도권	수도/NNG+권/XSN
출신의	출신/NNG+의/JKG
경우	경우/NNG
구미	구미/NNP
쪽으로	쪽/NNB+으로/JKB
가고자	가/VV+고자/EC
하는	하/VX+는/ETM
경우가	경우/NNG+가/JKS
많지	많/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000024.375.13.3
이 때문에 전략적으로 택한 것이 지역으로 나눠 뽑는 것이다.

이	이/NP
때문에	때문/NNB+에/JKB
전략적으로	전략/NNG+적/XSN+으로/JKB
택한	택하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
지역으로	지역/NNG+으로/JKB
나눠	나누/VV+어/EC
뽑는	뽑/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.375.13.4
지역별로 채용기준은 조금 다르다.”

지역별로	지역/NNG+별/XSN+로/JKB
채용기준은	채용/NNG+기준/NNG+은/JX
조금	조금/MAG
다르다.”	다르/VA+다/EF+./SF+”/SS


# id : NWRW1800000024.375.14.1
-다른 기업과 달리 40분가량 면접관 4~5명이 지원자 4~5명을 면접하는 것밖에 없다.

-다른	-/SO+다른/MMD
기업과	기업/NNG+과/JKB
달리	달리/MAG
40분가량	40/SN+분/NNB+가량/XSN
면접관	면접관/NNG
4~5명이	4/SN+~/SO+5/SN+명/NNB+이/JKS
지원자	지원자/NNG
4~5명을	4/SN+~/SO+5/SN+명/NNB+을/JKO
면접하는	면접/NNG+하/XSV+는/ETM
것밖에	것/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.375.15.1
“한 번밖에 없지만 면접관들에게 지원자에 대한 정보를 사전에 줘서 많이 알고 들어가게 한다.

“한	“/SS+한/MMN
번밖에	번/NNB+밖에/JX
없지만	없/VA+지만/EC
면접관들에게	면접관/NNG+들/XSN+에게/JKB
지원자에	지원자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
사전에	사전/NNG+에/JKB
줘서	주/VV+어서/EC
많이	많이/MAG
알고	알/VV+고/EC
들어가게	들어가/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.375.15.2
면접에서는 인성과 전문성을 점검한다.

면접에서는	면접/NNG+에서/JKB+는/JX
인성과	인성/NNG+과/JC
전문성을	전문/NNG+성/XSN+을/JKO
점검한다.	점검/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.15.3
지원자들의 경우 어학 실력만 내세우는 경향이 있는데 전공에 따른 전문성도 중요하다.

지원자들의	지원자/NNG+들/XSN+의/JKG
경우	경우/NNG
어학	어학/NNG
실력만	실력/NNG+만/JX
내세우는	내세우/VV+는/ETM
경향이	경향/NNG+이/JKS
있는데	있/VA+는데/EC
전공에	전공/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
전문성도	전문/NNG+성/XSN+도/JX
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000024.375.15.4
면접에서 전문성에 대한 질문을 통해 대답방식, 표현방식 등을 통해 인성까지도 점검한다.

면접에서	면접/NNG+에서/JKB
전문성에	전문/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
질문을	질문/NNG+을/JKO
통해	통하/VV+아/EC
대답방식,	대답/NNG+방식/NNG+,/SP
표현방식	표현/NNG+방식/NNG
등을	등/NNB+을/JKO
인성까지도	인성/NNG+까지/JX+도/JX
점검한다.	점검/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.15.5
지원자들이 인성에 관한 질문이나 전문성에 관한 질문만을 받았다는 얘기도 하지만 전체적인 형평성이나 일관성에는 큰 차이가 없다.

지원자들이	지원자/NNG+들/XSN+이/JKS
인성에	인성/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
질문이나	질문/NNG+이나/JC
전문성에	전문/NNG+성/XSN+에/JKB
질문만을	질문/NNG+만/JX+을/JKO
받았다는	받/VV+았/EP+다는/ETM
얘기도	얘기/NNG+도/JX
하지만	하/VV+지만/EC
전체적인	전체/NNG+적/XSN+이/VCP+ㄴ/ETM
형평성이나	형평/NNG+성/XSN+이나/JC
일관성에는	일관/NNG+성/XSN+에/JKB+는/JX
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.375.15.6
지원자들은 군대식으로 부자연스럽게 하는 경우가 많은데 자연스럽게 하는 것이 더 좋다.

지원자들은	지원자/NNG+들/XSN+은/JX
군대식으로	군대식/NNG+으로/JKB
부자연스럽게	부자연스럽/VA+게/EC
하는	하/VX+는/ETM
경우가	경우/NNG+가/JKS
많은데	많/VA+은데/EC
자연스럽게	자연/NNG+스럽/XSA+게/EC
것이	것/NNB+이/JKS
더	더/MAG
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000024.375.15.7
또 눈을 잘 마주치는 것도 좋은 영향을 준다.”

또	또/MAG
눈을	눈/NNG+을/JKO
잘	잘/MAG
마주치는	마주치/VV+는/ETM
것도	것/NNB+도/JX
좋은	좋/VA+은/ETM
영향을	영향/NNG+을/JKO
준다.”	주/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000024.375.16.1
-면접에서 첫인상이 미치는 영향은?

-면접에서	-/SO+면접/NNG+에서/JKB
첫인상이	첫인상/NNG+이/JKS
미치는	미치/VV+는/ETM
영향은?	영향/NNG+은/JX+?/SF


# id : NWRW1800000024.375.17.1
“밝은 인상이 좋다.

“밝은	“/SS+밝/VA+은/ETM
인상이	인상/NNG+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000024.375.17.2
미남, 미녀를 따지는 것이 아니라 긍정적인 태도와 성격을 말하는 것이다.

미남,	미남/NNG+,/SP
미녀를	미녀/NNG+를/JKO
따지는	따지/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
태도와	태도/NNG+와/JC
성격을	성격/NNG+을/JKO
말하는	말/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.375.17.3
몇 마디만 해보면 자기가 하고자 하는 일에 대한 의지를 알 수 있다.

몇	몇/NR
마디만	마디/NNG+만/JX
해보면	하/VV+아/EC+보/VX+면/EC
자기가	자기/NNG+가/JKS
하고자	하/VV+고자/EC
하는	하/VX+는/ETM
일에	일/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의지를	의지/NNG+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.17.4
바깥에 드러나는 것에 신경 쓰는 것보다 긍정적인 의지를 피력해야 한다.

바깥에	바깥/NNG+에/JKB
드러나는	드러나/VV+는/ETM
것에	것/NNB+에/JKB
신경	신경/NNG
쓰는	쓰/VV+는/ETM
것보다	것/NNB+보다/JKB
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
의지를	의지/NNG+를/JKO
피력해야	피력/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.375.17.5
또 세상에 대한 균형된 시각을 가진 사람은 인상에도 나타난다.

또	또/MAG
세상에	세상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
균형된	균형/NNG+되/XSV+ㄴ/ETM
시각을	시각/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
인상에도	인상/NNG+에/JKB+도/JX
나타난다.	나타나/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.17.6
외모 대신 하고자 하는 일이나 환경에 대해 균형된 관점을 가지고 있는지를 점검하는게 좋다.”

외모	외모/NNG
대신	대신/NNG
하고자	하/VV+고자/EC
하는	하/VX+는/ETM
일이나	일/NNG+이나/JC
환경에	환경/NNG+에/JKB
대해	대하/VV+아/EC
균형된	균형/NNG+되/XSV+ㄴ/ETM
관점을	관점/NNG+을/JKO
가지고	가지/VV+고/EC
있는지를	있/VX+는지/EF+를/JKO
점검하는게	점검/NNG+하/XSV+는/ETM+거/NNB+이/JKS
좋다.”	좋/VA+다/EF+./SF+”/SS


# id : NWRW1800000024.375.18.1
-면접을 하다보면 아무리 노력해도 긴장을 하지 않을 수 없다.

-면접을	-/SO+면접/NNG+을/JKO
하다보면	하/VV+다/EC+보/VX+면/EC
아무리	아무리/MAG
노력해도	노력/NNG+하/XSV+아도/EC
긴장을	긴장/NNG+을/JKO
하지	하/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.375.19.1
“면접에 들어오면 ‘의자에 등을 기대고 편하게 앉으라’고 한다.

“면접에	“/SS+면접/NNG+에/JKB
들어오면	들어오/VV+면/EC
‘의자에	‘/SS+의자/NNG+에/JKB
등을	등/NNG+을/JKO
기대고	기대/VV+고/EC
편하게	편하/VA+게/EC
앉으라’고	앉/VV+으라/EF+’/SS+고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.19.2
그만큼 긴장하지 말라고 하는데도 긴장하지 않을 수 없는 것 같더라.

그만큼	그만큼/MAG
긴장하지	긴장/NNG+하/XSV+지/EC
말라고	말/VX+라고/EC
하는데도	하/VV+는데/EC+도/JX
않을	않/VX+을/ETM
수	수/NNB
없는	없/VA+는/ETM
것	것/NNB
같더라.	같/VA+더라/EF+./SF


# id : NWRW1800000024.375.19.3
스스로 훈련하면서 긴장하더라도 잘 대답할 수 있도록 준비해야 한다.

스스로	스스로/MAG
