# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.181
metadata : {}


# id : NWRW1800000032.181.1.1
“MB 정부의 지배방식은 전쟁정치”

“MB	“/SS+MB/SL
# id : NWRW1800000032.181.8.1
김 교수는 이명박 정권이 그동안의 민주화 성과를 인정하면서 노무현 정부가 일부 억제해왔던 신자유주의 정책을 민주적이고 점진적인 방식으로 수행할 가능성도 있었다고 봤지만 이후 미국과의 쇠고기 협상 건으로 촉발된 촛불집회를 정권 존립의 문제로 받아들였고, 이에 따라 지배 세력의 이해를 공고히 하기 위해 강박적으로 전쟁정치에 나서게 됐다고 밝혔다.

김	김/NNP
교수는	교수/NNG+는/JX
이명박	이명박/NNP
정권이	정권/NNG+이/JKS
그동안의	그동안/NNG+의/JKG
민주화	민주/NNG+화/XSN
성과를	성과/NNG+를/JKO
인정하면서	인정/NNG+하/XSV+면서/EC
노무현	노무현/NNP
정부가	정부/NNG+가/JKS
일부	일부/NNG
억제해왔던	억제/NNG+하/XSV+아/EC+오/VX+았/EP+던/ETM
신자유주의	신/XPN+자유주의/NNG
정책을	정책/NNG+을/JKO
민주적이고	민주/NNG+적/XSN+이/VCP+고/EC
점진적인	점진/NNG+적/XSN+이/VCP+ㄴ/ETM
방식으로	방식/NNG+으로/JKB
수행할	수행/NNG+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있었다고	있/VA+었/EP+다고/EC
봤지만	보/VV+았/EP+지만/EC
이후	이후/NNG
미국과의	미국/NNP+과/JKB+의/JKG
쇠고기	쇠고기/NNG
협상	협상/NNG
건으로	건/NNG+으로/JKB
촉발된	촉발/NNG+되/XSV+ㄴ/ETM
촛불집회를	촛불/NNG+집회/NNG+를/JKO
정권	정권/NNG
존립의	존립/NNG+의/JKG
문제로	문제/NNG+로/JKB
받아들였고,	받아들이/VV+었/EP+고/EC+,/SP
이에	이/NP+에/JKB
따라	따르/VV+아/EC
지배	지배/NNG
세력의	세력/NNG+의/JKG
이해를	이해/NNG+를/JKO
공고히	공고히/MAG
하기	하/VV+기/ETN
위해	위하/VV+아/EC
강박적으로	강박/NNG+적/XSN+으로/JKB
전쟁정치에	전쟁/NNG+정치/NNG+에/JKB
나서게	나서/VV+게/EC
됐다고	되/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.181.8.2
국가정보원, 국군 기무사령부, 검찰·경찰 공안부서 등 ‘그림자 정부’의 위상이 다시 강화되고 민주화운동 세력을 청산하려는 시도는 이런 전쟁정치의 지배 방식이 표면화된 단적인 사례라고 본다.

국가정보원,	국가/NNG+정보원/NNG+,/SP
국군	국군/NNG
기무사령부,	기무/NNG+사령부/NNG+,/SP
검찰·경찰	검찰/NNG+·/SP+경찰/NNG
공안부서	공안/NNG+부서/NNG
등	등/NNB
‘그림자	‘/SS+그림자/NNG
정부’의	정부/NNG+’/SS+의/JKG
위상이	위상/NNG+이/JKS
다시	다시/MAG
강화되고	강화/NNG+되/XSV+고/EC
민주화운동	민주/NNG+화/XSN+운동/NNG
세력을	세력/NNG+을/JKO
청산하려는	청산/NNG+하/XSV+려는/ETM
시도는	시도/NNG+는/JX
이런	이런/MMD
전쟁정치의	전쟁/NNG+정치/NNG+의/JKG
지배	지배/NNG
방식이	방식/NNG+이/JKS
표면화된	표면/NNG+화/XSN+되/XSV+ㄴ/ETM
단적인	단적/NNG+이/VCP+ㄴ/ETM
사례라고	사례/NNG+이/VCP+라고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.181.9.1
사실상 전쟁정치는 민주정부 10년을 제외하고 한국의 역대 정부들이 예외 없이 수행해왔던 지배 방식이라 할 수 있다.

사실상	사실/NNG+상/XSN
전쟁정치는	전쟁/NNG+정치/NNG+는/JX
민주정부	민주/NNG+정부/NNG
10년을	10/SN+년/NNB+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
한국의	한국/NNP+의/JKG
역대	역대/NNG
정부들이	정부/NNG+들/XSN+이/JKS
예외	예외/NNG
없이	없이/MAG
수행해왔던	수행/NNG+하/XSV+아/EC+오/VX+았/EP+던/ETM
지배	지배/NNG
방식이라	방식/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.181.9.2
그러나 ‘민주화’ 뒤에 등장한 이명박 정부는 과거 권위주의 정부와는 다른 방식을 취하고 있다고 김 교수는 지적한다.

그러나	그러나/MAJ
‘민주화’	‘/SS+민주/NNG+화/XSN+’/SS
뒤에	뒤/NNG+에/JKB
등장한	등장/NNG+하/XSV+ㄴ/ETM
이명박	이명박/NNP
정부는	정부/NNG+는/JX
과거	과거/NNG
권위주의	권위주의/NNG
정부와는	정부/NNG+와/JKB+는/JX
다른	다르/VA+ㄴ/ETM
방식을	방식/NNG+을/JKO
취하고	취하/VV+고/EC
있다고	있/VX+다고/EC
김	김/NNP
교수는	교수/NNG+는/JX
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.181.9.3
특히 두드러지는 것은 검찰과 언론의 구실이다.

특히	특히/MAG
두드러지는	두드러지/VV+는/ETM
것은	것/NNB+은/JX
검찰과	검찰/NNG+과/JC
언론의	언론/NNG+의/JKG
구실이다.	구실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.181.9.4
‘자기편’에는 봐주기 수사를 하지만 반대 세력을 잡기 위해서는 무리한 기소도 서슴지 않는 검찰, 정부 사업에 대해 홍보성 기사를 쏟아내는 언론을 “억압과 정당화의 두 기둥으로 활용하고 있다”는 것이다.

‘자기편’에는	‘/SS+자기편/NNG+’/SS+에/JKB+는/JX
봐주기	봐주/VV+기/ETN
수사를	수사/NNG+를/JKO
하지만	하/VV+지만/EC
반대	반대/NNG
세력을	세력/NNG+을/JKO
잡기	잡/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
무리한	무리/NNG+하/XSV+ㄴ/ETM
기소도	기소/NNG+도/JX
서슴지	서슴/VV+지/EC
않는	않/VX+는/ETM
검찰,	검찰/NNG+,/SP
정부	정부/NNG
사업에	사업/NNG+에/JKB
대해	대하/VV+아/EC
홍보성	홍보/NNG+성/XSN
기사를	기사/NNG+를/JKO
쏟아내는	쏟/VV+아/EC+내/VX+는/ETM
언론을	언론/NNG+을/JKO
“억압과	“/SS+억압/NNG+과/JC
정당화의	정당화/NNG+의/JKG
두	두/MMN
기둥으로	기둥/NNG+으로/JKB
활용하고	활용/NNG+하/XSV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.181.10.1
김 교수는 “이 정부를 신자유주의 정권이라거나 권위주의 정권 등으로 파악하는 것은 적절하지 않다”며 “이 정부는 아무런 가치나 방향, 이념으로 뒷받침되지 않는 경제 제일주의, 시장주의의 허구성, 그리고 한국 보수주의의 퇴행적 성격을 가장 노골적으로 드러냈다”고 비판했다.

김	김/NNP
교수는	교수/NNG+는/JX
“이	“/SS+이/MMD
정부를	정부/NNG+를/JKO
신자유주의	신/XPN+자유주의/NNG
정권이라거나	정권/NNG+이/VCP+라거나/EC
권위주의	권위주의/NNG
정권	정권/NNG
등으로	등/NNB+으로/JKB
파악하는	파악/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
적절하지	적절하/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
정부는	정부/NNG+는/JX
아무런	아무런/MMD
가치나	가치/NNG+나/JC
방향,	방향/NNG+,/SP
이념으로	이념/NNG+으로/JKB
뒷받침되지	뒷받침/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
경제	경제/NNG
제일주의,	제일주의/NNG+,/SP
시장주의의	시장주의/NNG+의/JKG
허구성,	허구/NNG+성/XSN+,/SP
그리고	그리고/MAJ
한국	한국/NNP
보수주의의	보수주의/NNG+의/JKG
퇴행적	퇴행/NNG+적/XSN
성격을	성격/NNG+을/JKO
가장	가장/MAG
노골적으로	노골/NNG+적/XSN+으로/JKB
드러냈다”고	드러내/VV+었/EP+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.181.11.1
이런 전쟁정치가 일관된 계획이나 지휘 아래 진행됐다고도 보기 어려우며, 차라리 지배 세력이 지난 10년 동안 약간 상실했던 이익을 찾기 위해 수단과 방법, 체면과 염치를 가리지 않았다고 보는 것이 더 적절하다는 설명했다.

이런	이런/MMD
전쟁정치가	전쟁/NNG+정치/NNG+가/JKS
일관된	일관/NNG+되/XSV+ㄴ/ETM
계획이나	계획/NNG+이나/JC
지휘	지휘/NNG
아래	아래/NNG
진행됐다고도	진행/NNG+되/XSV+었/EP+다고/EC+도/JX
보기	보/VV+기/ETN
어려우며,	어렵/VA+으며/EC+,/SP
차라리	차라리/MAG
지배	지배/NNG
세력이	세력/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
10년	10/SN+년/NNB
동안	동안/NNG
약간	약간/MAG
상실했던	상실/NNG+하/XSV+았/EP+던/ETM
이익을	이익/NNG+을/JKO
찾기	찾/VV+기/ETN
위해	위하/VV+아/EC
수단과	수단/NNG+과/JC
방법,	방법/NNG+,/SP
체면과	체면/NNG+과/JC
염치를	염치/NNG+를/JKO
가리지	가리/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
보는	보/VV+는/ETM
것이	것/NNB+이/JKS
더	더/MAG
적절하다는	적절하/VA+다는/ETM
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.181.12.1
이런 이명박 정부의 성격을 한국 사회의 전체 흐름 속에서 파악한다면?

이런	이런/MMD
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
성격을	성격/NNG+을/JKO
한국	한국/NNP
사회의	사회/NNG+의/JKG
전체	전체/NNG
흐름	흐름/NNG
속에서	속/NNG+에서/JKB
파악한다면?	파악/NNG+하/XSV+ㄴ다면/EC+?/SF


# id : NWRW1800000032.181.12.2
김 교수는 기본적으로 한국은 ‘자본주의적 민주주의 국가’로서의 성격을 계속 유지해오고 있으며, 1987년 민주화에도 그 지배 세력은 크게 변하지 않았다고 지적한다.

김	김/NNP
교수는	교수/NNG+는/JX
기본적으로	기본/NNG+적/XSN+으로/JKB
한국은	한국/NNP+은/JX
‘자본주의적	‘/SS+자본주의/NNG+적/XSN
민주주의	민주주의/NNG
국가’로서의	국가/NNG+’/SS+로서/JKB+의/JKG
성격을	성격/NNG+을/JKO
계속	계속/MAG
유지해오고	유지/NNG+하/XSV+아/EC+오/VX+고/EC
있으며,	있/VX+으며/EC+,/SP
1987년	1987/SN+년/NNB
민주화에도	민주/NNG+화/XSN+에/JKB+도/JX
그	그/MMD
지배	지배/NNG
세력은	세력/NNG+은/JX
크게	크/VA+게/EC
변하지	변하/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.181.12.3
그런데 1997년 외환위기 뒤로 한국 자본주의의 신자유주의적 재편이 일어나면서 정치적 민주주의와 경제적 자유주의 사이에 심각한 충돌이 발생했고, 지배 세력과 집권 세력(민주정부) 사이의 갈등이 노골화됐다는 것이다.

그런데	그런데/MAJ
1997년	1997/SN+년/NNB
외환위기	외환/NNG+위기/NNG
뒤로	뒤/NNG+로/JKB
한국	한국/NNP
자본주의의	자본주의/NNG+의/JKG
신자유주의적	신/XPN+자유주의/NNG+적/XSN
재편이	재편/NNG+이/JKS
일어나면서	일어나/VV+면서/EC
정치적	정치/NNG+적/XSN
민주주의와	민주주의/NNG+와/JC
경제적	경제/NNG+적/XSN
자유주의	자유주의/NNG
사이에	사이/NNG+에/JKB
심각한	심각하/VA+ㄴ/ETM
충돌이	충돌/NNG+이/JKS
발생했고,	발생/NNG+하/XSV+았/EP+고/EC+,/SP
지배	지배/NNG
세력과	세력/NNG+과/JC
집권	집권/NNG
세력(민주정부)	세력/NNG+(/SS+민주/NNG+정부/NNG+)/SS
사이의	사이/NNG+의/JKG
갈등이	갈등/NNG+이/JKS
노골화됐다는	노골/NNG+화/XSN+되/XSV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.181.13.1
이런 상황 속에서 ‘반공주의·개발독재 세력의 재집권’이라는 성격을 띤 이명박 정부는 민주정부 이전처럼 지배 세력과 집권 세력을 다시 일치시킬 수 있는 조건을 만들었고, 이에 따라 경제적 신자유주의 추진과 정치적 민주주의의 역진이라는 흐름을 결합할 수 있었다고 한다.

이런	이런/MMD
상황	상황/NNG
속에서	속/NNG+에서/JKB
‘반공주의·개발독재	‘/SS+반공주의/NNG+·/SP+개발/NNG+독재/NNG
세력의	세력/NNG+의/JKG
재집권’이라는	재/XPN+집권/NNG+’/SS+이/VCP+라는/ETM
성격을	성격/NNG+을/JKO
띤	띠/VV+ㄴ/ETM
이명박	이명박/NNP
정부는	정부/NNG+는/JX
민주정부	민주/NNG+정부/NNG
이전처럼	이전/NNG+처럼/JKB
지배	지배/NNG
세력과	세력/NNG+과/JC
집권	집권/NNG
세력을	세력/NNG+을/JKO
다시	다시/MAG
일치시킬	일치/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
조건을	조건/NNG+을/JKO
만들었고,	만들/VV+었/EP+고/EC+,/SP
이에	이/NP+에/JKB
따라	따르/VV+아/EC
경제적	경제/NNG+적/XSN
신자유주의	신/XPN+자유주의/NNG
추진과	추진/NNG+과/JC
정치적	정치/NNG+적/XSN
민주주의의	민주주의/NNG+의/JKG
역진이라는	역진/NNG+이/VCP+라는/ETM
흐름을	흐름/NNG+을/JKO
결합할	결합/NNG+하/XSV+ㄹ/ETM
있었다고	있/VA+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.181.13.2
단적으로 말해, “개발독재의 방식으로 신자유주의를 추진하는” 성격을 갖는다는 풀이다.

단적으로	단적/NNG+으로/JKB
말해,	말/NNG+하/XSV+아/EC+,/SP
“개발독재의	“/SS+개발/NNG+독재/NNG+의/JKG
방식으로	방식/NNG+으로/JKB
신자유주의를	신/XPN+자유주의/NNG+를/JKO
추진하는”	추진/NNG+하/XSV+는/ETM+”/SS
성격을	성격/NNG+을/JKO
갖는다는	갖/VV+는다는/ETM
풀이다.	풀이/NNG+이/VCP+다/EF+./SF


