# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.57
metadata : {}


# id : NWRW1800000024.57.1.1
한은, 기준금리 0.5%p 또 인하

한은,	한은/NNP+,/SP
있다”며	있/VA+다/EF+”/SS+며/EC
속도조절에	속도/NNG+조절/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.57.4.3
비앤피(BNP)파리바·제이피(JP)모건 등 주요 글로벌 투자은행들은 올해 한은이 기준금리를 연 1.5~2%까지 내릴 것으로 전망하고 있다.

비앤피(BNP)파리바·제이피(JP)모건	비앤피/NNP+(/SS+BNP/SL+)/SS+파리바/NNP+·/SP+제이피/NNP+(/SS+JP/SL+)/SS+모건/NNP
등	등/NNB
주요	주요/NNG
글로벌	글로벌/NNG
투자은행들은	투자/NNG+은행/NNG+들/XSN+은/JX
올해	올해/NNG
한은이	한은/NNP+이/JKS
기준금리를	기준/NNG+금리/NNG+를/JKO
연	연/NNG
1.5~2%까지	1/SN+./SP+5/SN+~/SO+2/SN+%/SW+까지/JX
내릴	내리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망하고	전망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.57.5.1
이 총재는 또 정부가 추가경정예산을 편성할 경우 국채 인수 여부를 묻자 “지금은 정부의 적극적인 역할이 필요하고, 금융 쪽에서 중앙은행이 어떤 역할을 해야 한다면 하는 게 당연하다”고 수용할 뜻을 밝혔다.

이	이/NNP
총재는	총재/NNG+는/JX
또	또/MAG
정부가	정부/NNG+가/JKS
추가경정예산을	추가/NNG+경정/NNG+예산/NNG+을/JKO
편성할	편성/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
국채	국채/NNG
인수	인수/NNG
여부를	여부/NNG+를/JKO
묻자	묻/VV+자/EC
“지금은	“/SS+지금/NNG+은/JX
정부의	정부/NNG+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
역할이	역할/NNG+이/JKS
필요하고,	필요/NNG+하/XSA+고/EC+,/SP
금융	금융/NNG
쪽에서	쪽/NNB+에서/JKB
중앙은행이	중앙은행/NNG+이/JKS
어떤	어떤/MMD
역할을	역할/NNG+을/JKO
해야	하/VV+아야/EC
한다면	하/VX+ㄴ다면/EC
하는	하/VV+는/ETM
게	거/NNB+이/JKS
당연하다”고	당연/NNG+하/XSA+다/EF+”/SS+고/JKQ
수용할	수용/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.57.5.2
금리를 내려도 소비와 투자가 살아나지 않는 ‘유동성 함정’ 가능성에 대해서는 “아직 유동성 함정을 걱정할 상황은 아니다”란 의견을 밝혔다.

금리를	금리/NNG+를/JKO
내려도	내리/VV+어도/EC
소비와	소비/NNG+와/JC
투자가	투자/NNG+가/JKS
살아나지	살아나/VV+지/EC
않는	않/VX+는/ETM
‘유동성	‘/SS+유동/NNG+성/XSN
함정’	함정/NNG+’/SS
가능성에	가능/NNG+성/XSN+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“아직	“/SS+아직/MAG
유동성	유동/NNG+성/XSN
함정을	함정/NNG+을/JKO
걱정할	걱정/NNG+하/XSV+ㄹ/ETM
상황은	상황/NNG+은/JX
아니다”란	아니/VCN+다/EF+”/SS+이/VCP+란/ETM
의견을	의견/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


