# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.350
metadata : {}


# id : NWRW1800000037.350.1.1
한류홍보… 투자설명회… 국정목표 맞춤형 행보

한류홍보…	한류/NNG+홍보/NNG+…/SE
합동연설에서	합동/NNG+연설/NNG+에서/JKB
‘전문직	‘/SS+전문직/NNG
비자쿼터	비자/NNG+쿼터/NNG
1만5000개	1/SN+만/NR+5000/SN+개/NNB
확대’를	확대/NNG+’/SS+를/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
해당	해당/NNG
사안이	사안/NNG+이/JKS
당사자들에게	당사자/NNG+들/XSN+에게/JKB
‘실질적인	‘/SS+실질/NNG+적/XSN+이/VCP+ㄴ/ETM
도움’이	도움/NNG+’/SS+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
판단에	판단/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.350.6.2
정상회담에서 올해 10월 끝나는 한미 대학생 연수취업(WEST) 프로그램을 5년간 연장하기로 한 것도 마찬가지다.

정상회담에서	정상/NNG+회담/NNG+에서/JKB
올해	올해/NNG
10월	10/SN+월/NNB
끝나는	끝나/VV+는/ETM
한미	한미/NNP
대학생	대학/NNG+생/XSN
연수취업(WEST)	연수/NNG+취업/NNG+(/SS+WEST/SL+)/SS
프로그램을	프로그램/NNG+을/JKO
5년간	5/SN+년/NNB+간/XSN
연장하기로	연장/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것도	것/NNB+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.350.7.1
또 박 대통령은 방미 기간 내내 한국문화 홍보대사를 자임하며 ‘한국문화의 힘’을 알리기 위해 다각도로 노력하는 모습이었다.

또	또/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
방미	방미/NNG
기간	기간/NNG
내내	내내/MAG
한국문화	한국/NNP+문화/NNG
홍보대사를	홍보/NNG+대사/NNG+를/JKO
자임하며	자임/NNG+하/XSV+며/EC
‘한국문화의	‘/SS+한국/NNP+문화/NNG+의/JKG
힘’을	힘/NNG+’/SS+을/JKO
알리기	알리/VV+기/ETN
위해	위하/VV+아/EC
다각도로	다각도/NNG+로/JKB
노력하는	노력/NNG+하/XSV+는/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.350.8.1
세 차례나 한복을 입고 전통문화의 아름다움을 알렸으며 버락 오바마 대통령에게는 전통 칠기 반상기를 선물했다.

세	세/MMN
차례나	차례/NNG+나/JX
한복을	한복/NNG+을/JKO
입고	입/VV+고/EC
전통문화의	전통문화/NNG+의/JKG
아름다움을	아름다움/NNG+을/JKO
알렸으며	알리/VV+었/EP+으며/EC
버락	버락/NNP
오바마	오바마/NNP
대통령에게는	대통령/NNG+에게/JKB+는/JX
전통	전통/NNG
칠기	칠기/NNG
반상기를	반상기/NNG+를/JKO
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.350.8.2
박 대통령의 관심은 전통문화에만 머물지 않았다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
관심은	관심/NNG+은/JX
전통문화에만	전통문화/NNG+에/JKB+만/JX
머물지	머물/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.350.8.3
7일(현지 시간) 미국 워싱턴 스미스소니언미술관에서 열린 60주년 동맹 만찬에서 신진 예술가들의 전시와 공연을 직접 소개했고, 의회 연설과 동포간담회 등에서 케이팝에 대해 언급했다.

7일(현지	7/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
미국	미국/NNP
워싱턴	워싱턴/NNP
스미스소니언미술관에서	스미스소니언미술관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
60주년	60/SN+주년/NNB
동맹	동맹/NNG
만찬에서	만찬/NNG+에서/JKB
신진	신진/NNG
예술가들의	예술가/NNG+들/XSN+의/JKG
전시와	전시/NNG+와/JC
공연을	공연/NNG+을/JKO
직접	직접/MAG
소개했고,	소개/NNG+하/XSV+았/EP+고/EC+,/SP
의회	의회/NNG
연설과	연설/NNG+과/JC
동포간담회	동포/NNG+간담회/NNG
등에서	등/NNB+에서/JKB
케이팝에	케이팝/NNG+에/JKB
대해	대하/VV+아/EC
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.350.9.1
국정기조 중 가장 많은 관심을 기울인 것은 당면 현안인 ‘한반도 평화통일 기반 구축’이었다.

국정기조	국정/NNG+기조/NNG
중	중/NNB
가장	가장/MAG
많은	많/VA+은/ETM
관심을	관심/NNG+을/JKO
기울인	기울이/VV+ㄴ/ETM
것은	것/NNB+은/JX
당면	당면/NNG
현안인	현안/NNG+이/VCP+ㄴ/ETM
‘한반도	‘/SS+한반도/NNP
평화통일	평화/NNG+통일/NNG
기반	기반/NNG
구축’이었다.	구축/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.350.9.2
박 대통령은 오바마 대통령에게 한반도 신뢰 프로세스를 직접 설명했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
오바마	오바마/NNP
대통령에게	대통령/NNG+에게/JKB
한반도	한반도/NNP
신뢰	신뢰/NNG
프로세스를	프로세스/NNG+를/JKO
직접	직접/MAG
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.350.9.3
오바마 대통령은 공동 기자회견에서 “나의 접근 방식과 매우 유사하다”며 적극적인 지지를 약속했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
공동	공동/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“나의	“/SS+나/NP+의/JKG
접근	접근/NNG
방식과	방식/NNG+과/JKB
매우	매우/MAG
유사하다”며	유사/NNG+하/XSA+다/EF+”/SS+며/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
지지를	지지/NNG+를/JKO
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.350.9.4
의회 연설에선 비무장지대(DMZ) 세계평화공원 건립 구상을 밝히기도 했다.

의회	의회/NNG
연설에선	연설/NNG+에서/JKB+ㄴ/JX
비무장지대(DMZ)	비/XPN+무장/NNG+지대/NNG+(/SS+DMZ/SL+)/SS
세계평화공원	세계평화공원/NNP
건립	건립/NNG
구상을	구상/NNG+을/JKO
밝히기도	밝히/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


