# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.116
metadata : {}


# id : NWRW1800000036.116.1.1
시대와 호흡하는 다큐의 실험! 진보! 대화!

시대와	시대/NNG+와/JKB
# id : NWRW1800000036.116.6.3
오정훈 다큐2012 집행위원장(독립다큐멘터리 감독)은 16일 “우리 사회가 비판적 목소리를 필요로 할 때 가장 앞자리에서 현장의 날 선 목소리를 전한 것이 다큐멘터리였다”며 “제작 및 소비 채널이 다양해지는 것과 달리 다큐를 제대로 보고 평가하는 관객 수는 많이 늘지 않은 것이 현실인데, 이번 행사를 통해 관객이 다큐에서 드러나는 우리 사회의 자화상을 함께 발견하기를 기대한다”고 밝혔다.

오정훈	오정훈/NNP
다큐2012	다큐/NNG+2012/SN
집행위원장(독립다큐멘터리	집행/NNG+위원장/NNG+(/SS+독립/NNG+다큐멘터리/NNG
감독)은	감독/NNG+)/SS+은/JX
16일	16/SN+일/NNB
“우리	“/SS+우리/NP
사회가	사회/NNG+가/JKS
비판적	비판/NNG+적/XSN
목소리를	목소리/NNG+를/JKO
필요로	필요/NNG+로/JKB
할	하/VV+ㄹ/ETM
때	때/NNG
가장	가장/MAG
앞자리에서	앞자리/NNG+에서/JKB
현장의	현장/NNG+의/JKG
날	날/NNG
선	서/VV+ㄴ/ETM
전한	전하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
다큐멘터리였다”며	다큐멘터리/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
“제작	“/SS+제작/NNG
및	및/MAG
소비	소비/NNG
채널이	채널/NNG+이/JKS
다양해지는	다양/NNG+하/XSA+아/EC+지/VX+는/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
다큐를	다큐/NNG+를/JKO
제대로	제대로/MAG
보고	보/VV+고/EC
평가하는	평가/NNG+하/XSV+는/ETM
관객	관객/NNG
수는	수/NNG+는/JX
많이	많이/MAG
늘지	늘/VV+지/EC
않은	않/VX+은/ETM
현실인데,	현실/NNG+이/VCP+ㄴ데/EC+,/SP
이번	이번/NNG
행사를	행사/NNG+를/JKO
통해	통하/VV+아/EC
관객이	관객/NNG+이/JKS
다큐에서	다큐/NNG+에서/JKB
드러나는	드러나/VV+는/ETM
우리	우리/NP
사회의	사회/NNG+의/JKG
자화상을	자화상/NNG+을/JKO
함께	함께/MAG
발견하기를	발견/NNG+하/XSV+기/ETN+를/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.116.7.1
‘시대와 호흡하는 다큐멘터리 축제’를 부제로 한 이번 다큐2012는 지난해 국내에서 새롭게 제작된 27편의 신작 다큐를 소개하는 ‘올해의 발견’ 섹션과 6편의 초청작품으로 이뤄진 ‘올해의 초점’ 섹션, 2009년 1월 터진 용산참사와 관련한 작품 6편으로 꾸려지는 ‘용산 특별전’ 등으로 나뉜다.

‘시대와	‘/SS+시대/NNG+와/JKB
호흡하는	호흡/NNG+하/XSV+는/ETM
다큐멘터리	다큐멘터리/NNG
축제’를	축제/NNG+’/SS+를/JKO
부제로	부제/NNG+로/JKB
한	하/VV+ㄴ/ETM
이번	이번/NNG
다큐2012는	다큐/NNG+2012/SN+는/JX
지난해	지난해/NNG
국내에서	국내/NNG+에서/JKB
새롭게	새롭/VA+게/EC
제작된	제작/NNG+되/XSV+ㄴ/ETM
27편의	27/SN+편/NNB+의/JKG
신작	신작/NNG
다큐를	다큐/NNG+를/JKO
소개하는	소개/NNG+하/XSV+는/ETM
‘올해의	‘/SS+올해/NNG+의/JKG
발견’	발견/NNG+’/SS
섹션과	섹션/NNG+과/JC
6편의	6/SN+편/NNB+의/JKG
초청작품으로	초청/NNG+작품/NNG+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
초점’	초점/NNG+’/SS
섹션,	섹션/NNG+,/SP
2009년	2009/SN+년/NNB
1월	1/SN+월/NNB
터진	터지/VV+ㄴ/ETM
용산참사와	용산/NNP+참사/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
작품	작품/NNG
6편으로	6/SN+편/NNB+으로/JKB
꾸려지는	꾸리/VV+어/EC+지/VX+는/ETM
‘용산	‘/SS+용산/NNP
특별전’	특별전/NNG+’/SS
등으로	등/NNB+으로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.116.7.2
이 가운데 다큐2012 쪽에서 특별히 추천하는 작품은 <아무도 꾸지 않은 꿈>과 <나의 교실>, <장보러 가는 날>, <두 개의 문> 등 모두 8편이다.

이	이/MMD
가운데	가운데/NNG
다큐2012	다큐/NNG+2012/SN
쪽에서	쪽/NNB+에서/JKB
특별히	특별히/MAG
추천하는	추천/NNG+하/XSV+는/ETM
작품은	작품/NNG+은/JX
<아무도	</SS+아무/NP+도/JX
꾸지	꾸/VV+지/EC
않은	않/VX+은/ETM
꿈>과	꿈/NNG+>/SS+과/JC
<나의	</SS+나/NP+의/JKG
교실>,	교실/NNG+>/SS+,/SP
<장보러	</SS+장/NNG+보/VV+러/EC
가는	가/VV+는/ETM
날>,	날/NNG+>/SS+,/SP
<두	</SS+두/MMN
개의	개/NNB+의/JKG
문>	문/NNG+>/SS
등	등/NNB
모두	모두/MAG
8편이다.	8/SN+편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.116.8.1
개막작 <아무도 꾸지 않은 꿈>(홍효은 감독)은 감독이 1년간 공장에서 일하며 만난 여성 노동자 15명의 인터뷰로 이뤄져 있다.

개막작	개막작/NNG
<아무도	</SS+아무/NP+도/JX
꾸지	꾸/VV+지/EC
않은	않/VX+은/ETM
꿈>(홍효은	꿈/NNG+>/SS+(/SS+홍효은/NNP
감독)은	감독/NNG+)/SS+은/JX
감독이	감독/NNG+이/JKS
1년간	1/SN+년/NNB+간/XSN
공장에서	공장/NNG+에서/JKB
일하며	일/NNG+하/XSV+며/EC
만난	만나/VV+ㄴ/ETM
여성	여성/NNG
노동자	노동자/NNG
15명의	15/SN+명/NNB+의/JKG
인터뷰로	인터뷰/NNG+로/JKB
이뤄져	이뤄지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.116.8.2
흔히 ‘공순이’라 부르는 이들 여성 노동자는 “여기가 아닌 다른 곳으로 가고 싶다”고 외치면서도 “한번 공순이는 영원한 공순이”일 수밖에 없었던 기억, 혹은 현실을 들려준다.

흔히	흔히/MAG
‘공순이’라	‘/SS+공순이/NNG+’/SS+라/JKQ
부르는	부르/VV+는/ETM
이들	이/NP+들/XSN
여성	여성/NNG
노동자는	노동자/NNG+는/JX
“여기가	“/SS+여기/NP+가/JKC
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
곳으로	곳/NNG+으로/JKB
가고	가/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
외치면서도	외치/VV+면서/EC+도/JX
“한번	“/SS+한번/MAG
공순이는	공순이/NNG+는/JX
영원한	영원/NNG+하/XSA+ㄴ/ETM
공순이”일	공순이/NNG+”/SS+이/VCP+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었던	없/VA+었/EP+던/ETM
기억,	기억/NNG+,/SP
혹은	혹은/MAG
현실을	현실/NNG+을/JKO
들려준다.	들려주/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.116.9.1
<장보러 가는 길>은 서울과 경기도 광주시 퇴촌면을 반복해서 오가는 여행을 그린 작품이다.

<장보러	</SS+장/NNG+보/VV+러/EC
가는	가/VV+는/ETM
길>은	길/NNG+>/SS+은/JX
서울과	서울/NNP+과/JKB
경기도	경기도/NNP
광주시	광주시/NNP
퇴촌면을	퇴촌면/NNP+을/JKO
반복해서	반복/NNG+하/XSV+아서/EC
오가는	오가/VV+는/ETM
여행을	여행/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.116.9.2
느린 동네 풍경을 비추며 시작한 감독의 카메라는 변하는 것과 변하지 않는 것, 변함없어야 하는 것을 담담하게 보여준다.

느린	느리/VA+ㄴ/ETM
동네	동네/NNG
풍경을	풍경/NNG+을/JKO
비추며	비추/VV+며/EC
시작한	시작/NNG+하/XSV+ㄴ/ETM
감독의	감독/NNG+의/JKG
카메라는	카메라/NNG+는/JX
변하는	변하/VV+는/ETM
것과	것/NNB+과/JC
변하지	변하/VV+지/EC
않는	않/VX+는/ETM
것,	것/NNB+,/SP
변함없어야	변함없/VA+어야/EC
하는	하/VX+는/ETM
것을	것/NNB+을/JKO
담담하게	담담하/VA+게/EC
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.116.10.1
용산 특별전 작품으로 소개되는 <두 개의 문>은 김일란, 홍지유 감독의 작품으로 이들 두 감독은 용산참사 관련 자료 영상을 꿰맞추며 비극을 낳을 수밖에 없었던 상황을 다시 구성했다.

용산	용산/NNP
특별전	특별전/NNG
작품으로	작품/NNG+으로/JKB
소개되는	소개/NNG+되/XSV+는/ETM
<두	</SS+두/MMN
개의	개/NNB+의/JKG
문>은	문/NNG+>/SS+은/JX
김일란,	김일란/NNP+,/SP
홍지유	홍지유/NNP
감독의	감독/NNG+의/JKG
이들	이/NP+들/XSN
두	두/MMN
감독은	감독/NNG+은/JX
용산참사	용산/NNP+참사/NNG
관련	관련/NNG
자료	자료/NNG
영상을	영상/NNG+을/JKO
꿰맞추며	꿰맞추/VV+며/EC
비극을	비극/NNG+을/JKO
낳을	낳/VV+을/ETM
수밖에	수/NNB+밖에/JX
없었던	없/VA+었/EP+던/ETM
상황을	상황/NNG+을/JKO
다시	다시/MAG
구성했다.	구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.116.10.2
작품에는 경찰 쪽 증언과 ‘용산 철거민 사망사건 진상조사단’ 관계자, ‘용산참사 변호인단’, 현장을 취재한 언론사 기자들의 인터뷰가 포함돼 있다.

작품에는	작품/NNG+에/JKB+는/JX
경찰	경찰/NNG
쪽	쪽/NNB
증언과	증언/NNG+과/JC
‘용산	‘/SS+용산/NNP
철거민	철거민/NNG
사망사건	사망/NNG+사건/NNG
진상조사단’	진상/NNG+조사단/NNG+’/SS
관계자,	관계자/NNG+,/SP
‘용산참사	‘/SS+용산/NNP+참사/NNG
변호인단’,	변호인단/NNG+’/SS+,/SP
현장을	현장/NNG+을/JKO
취재한	취재/NNG+하/XSV+ㄴ/ETM
언론사	언론사/NNG
기자들의	기자/NNG+들/XSN+의/JKG
인터뷰가	인터뷰/NNG+가/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.116.10.3
역시 용산 특별전 작품인 <떠나지 못하는 사람들>은 참사가 일어난 2009년 1월20일부터 사망자 다섯명의 장례가 치러진 이듬해 1월9일까지 355일간의 투쟁 기록을 담고 있다.

역시	역시/MAG
용산	용산/NNP
특별전	특별전/NNG
작품인	작품/NNG+이/VCP+ㄴ/ETM
<떠나지	</SS+떠나/VV+지/EC
못하는	못하/VX+는/ETM
사람들>은	사람/NNG+들/XSN+>/SS+은/JX
참사가	참사/NNG+가/JKS
일어난	일어나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
1월20일부터	1/SN+월/NNB+20/SN+일/NNB+부터/JX
사망자	사망자/NNG
다섯명의	다섯/NR+명/NNB+의/JKG
장례가	장례/NNG+가/JKS
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
이듬해	이듬해/NNG
1월9일까지	1/SN+월/NNB+9/SN+일/NNB+까지/JX
355일간의	355/SN+일/NNB+간/XSN+의/JKG
투쟁	투쟁/NNG
기록을	기록/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.116.11.1
이번 다큐2012의 또다른 특징은 상영작 45편 가운데 최고의 작품을 가리는 ‘올해의 다큐멘터리’ 상이 마련됐다는 사실이다.

이번	이번/NNG
다큐2012의	다큐/NNG+2012/SN+의/JKG
또다른	또/MAG+다른/MMD
특징은	특징/NNG+은/JX
상영작	상영작/NNG
45편	45/SN+편/NNB
가운데	가운데/NNG
최고의	최고/NNG+의/JKG
작품을	작품/NNG+을/JKO
가리는	가리/VV+는/ETM
‘올해의	‘/SS+올해/NNG+의/JKG
다큐멘터리’	다큐멘터리/NNG+’/SS
상이	상/NNG+이/JKS
마련됐다는	마련/NNG+되/XSV+었/EP+다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.116.11.2
오정훈 집행위원장은 “비록 상금은 없지만 한국 다큐에 대한 대중적 관심을 좀더 끌어올리기 위해 처음으로 올해의 다큐멘터리 시상식을 마련했다”고 말했다.

오정훈	오정훈/NNP
집행위원장은	집행/NNG+위원장/NNG+은/JX
“비록	“/SS+비록/MAG
상금은	상금/NNG+은/JX
없지만	없/VA+지만/EC
한국	한국/NNP
다큐에	다큐/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대중적	대중/NNG+적/XSN
관심을	관심/NNG+을/JKO
좀더	좀/MAG+더/MAG
끌어올리기	끌어올리/VV+기/ETN
위해	위하/VV+아/EC
처음으로	처음/NNG+으로/JKB
올해의	올해/NNG+의/JKG
다큐멘터리	다큐멘터리/NNG
시상식을	시상식/NNG+을/JKO
마련했다”고	마련/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.116.11.3
다큐2012의 관람요금은 개·폐막 작품(각 1만원)을 뺀 나머지 상영작의 경우 편당 5000원이다.

다큐2012의	다큐/NNG+2012/SN+의/JKG
관람요금은	관람/NNG+요금/NNG+은/JX
개·폐막	개·폐막/NNG
작품(각	작품/NNG+(/SS+각/MMD
1만원)을	1/SN+만/NR+원/NNB+)/SS+을/JKO
뺀	빼/VV+ㄴ/ETM
나머지	나머지/NNG
상영작의	상영작/NNG+의/JKG
경우	경우/NNG
편당	편/NNG+당/XSN
5000원이다.	5000/SN+원/NNB+이/VCP+다/EF+./SF


