# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.356
metadata : {}


# id : NWRW1800000052.356.1.1
박지원, 박 대통령에게 “두 1당보다 2당 잘 생각하시라”

박지원,	박지원/NNP+,/SP
대표와	대표/NNG+와/JC
우상호	우상호/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
자리에서	자리/NNG+에서/JKB
일어섰지만	일어서/VV+었/EP+지만/EC
박수는	박수/NNG+는/JX
치지	치/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.356.8.1
27분간 연설에서 모두 21차례 박수가 나왔다.

27분간	27/SN+분/NNB+간/XSN
연설에서	연설/NNG+에서/JKB
모두	모두/MAG
21차례	21/SN+차례/NNG
박수가	박수/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.356.8.2
주로 새누리당 이완영 의원 등 몇몇이 박수를 주도했고, 야당 의원들은 가끔씩 박수에 동참했다.

주로	주로/MAG
새누리당	새누리당/NNP
이완영	이완영/NNP
의원	의원/NNG
등	등/NNB
몇몇이	몇몇/NR+이/JKS
박수를	박수/NNG+를/JKO
주도했고,	주도/NNG+하/XSV+았/EP+고/EC+,/SP
야당	야당/NNG
의원들은	의원/NNG+들/XSN+은/JX
가끔씩	가끔/MAG+씩/XSN
박수에	박수/NNG+에/JKB
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.356.8.3
박 대통령은 퇴장할 때 서청원 의원 뒤에 서있던 김무성 전 대표에게 먼저 악수를 건넸다.

박	박/NNP
대통령은	대통령/NNG+은/JX
퇴장할	퇴장/NNG+하/XSV+ㄹ/ETM
때	때/NNG
서청원	서청원/NNP
의원	의원/NNG
뒤에	뒤/NNG+에/JKB
서있던	서/VV+어/EC+있/VX+던/ETM
김무성	김무성/NNP
전	전/MMD
대표에게	대표/NNG+에게/JKB
먼저	먼저/MAG
악수를	악수/NNG+를/JKO
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.356.8.4
김 전 대표는 최근 사석에서 “당 대표 시절 박 대통령과 제대로 얘기 한번 못했다”라고 토로한 바 있다.

김	김/NNP
전	전/MMD
대표는	대표/NNG+는/JX
최근	최근/MAG
사석에서	사석/NNG+에서/JKB
“당	“/SS+당/NNG
대표	대표/NNG
시절	시절/NNG
박	박/NNP
대통령과	대통령/NNG+과/JKB
제대로	제대로/MAG
얘기	얘기/NNG
한번	한번/NNG
못했다”라고	못/MAG+하/VV+았/EP+다/EF+”/SS+라고/JKQ
토로한	토로/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.356.9.1
박 대통령은 개원 연설을 마친 뒤 국회의장 접견실을 찾아, 정세균 국회의장 및 심재철·박주선 부의장, 여야 3당 지도부, 양승태 대법원장·박한철 헌법재판소장 등 5부 요인과 환담했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
개원	개원/NNG
연설을	연설/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
국회의장	국회/NNG+의장/NNG
접견실을	접견실/NNG+을/JKO
찾아,	찾/VV+아/EC+,/SP
정세균	정세균/NNP
및	및/MAG
심재철·박주선	심재철/NNP+·/SP+박주선/NNP
부의장,	부의장/NNG+,/SP
여야	여야/NNG
3당	3/SN+당/NNG
지도부,	지도부/NNG+,/SP
양승태	양승태/NNP
대법원장·박한철	대법원장/NNG+·/SP+박한철/NNP
헌법재판소장	헌법재판소장/NNG
등	등/NNB
5부	5/SN+부/NNB
요인과	요인/NNG+과/JKB
환담했다.	환담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.356.9.2
박 대통령은 정 의장에게 “중요한 시기에 중책을 맡으신 것을 축하드리고 국민 기대에 부합하는 국회를 만들어주시길 부탁드린다”고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
정	정/NNP
의장에게	의장/NNG+에게/JKB
“중요한	“/SS+중요/NNG+하/XSA+ㄴ/ETM
시기에	시기/NNG+에/JKB
중책을	중책/NNG+을/JKO
맡으신	맡/VV+으시/EP+ㄴ/ETM
것을	것/NNB+을/JKO
축하드리고	축하/NNG+드리/VV+고/EC
국민	국민/NNG
기대에	기대/NNG+에/JKB
부합하는	부합/NNG+하/XSV+는/ETM
국회를	국회/NNG+를/JKO
만들어주시길	만들/VV+어/EC+주/VX+시/EP+기/ETN+ㄹ/JKO
부탁드린다”고	부탁/NNG+드리/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.356.9.3
이어 “의장단 선출이나 원 구성도 원만하게 마무리된 것은 아마 헌정사에 좋은 선례로 남게 되지 않을까 생각한다”고 말했다.

이어	이어/MAG
“의장단	“/SS+의장단/NNG
선출이나	선출/NNG+이나/JC
원	원/NNG
구성도	구성/NNG+도/JX
원만하게	원만하/VA+게/EC
마무리된	마무리/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
아마	아마/MAG
헌정사에	헌정사/NNG+에/JKB
좋은	좋/VA+은/ETM
선례로	선례/NNG+로/JKB
남게	남/VV+게/EC
되지	되/VV+지/EC
않을까	않/VX+을까/EF
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.356.9.4
이에 정 의장은 "해외 순방을 통해 많은 성과를 거둔 것으로 저희가 접하고 있어 감사하고 그런 성과가 우리 경제에 활력을 주고 국민에게 도움을 줄 수 있도록 국회가 함께 할 일이 있으면 적극 도와드리도록 하겠다"고 말했다.

이에	이/NP+에/JKB
정	정/NNP
의장은	의장/NNG+은/JX
"해외	"/SS+해외/NNG
순방을	순방/NNG+을/JKO
통해	통하/VV+아/EC
많은	많/VA+은/ETM
성과를	성과/NNG+를/JKO
거둔	거두/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
저희가	저희/NP+가/JKS
접하고	접하/VV+고/EC
있어	있/VX+어/EC
감사하고	감사/NNG+하/XSV+고/EC
그런	그런/MMD
성과가	성과/NNG+가/JKS
우리	우리/NP
경제에	경제/NNG+에/JKB
활력을	활력/NNG+을/JKO
주고	주/VV+고/EC
국민에게	국민/NNG+에게/JKB
도움을	도움/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
국회가	국회/NNG+가/JKS
함께	함께/MAG
할	하/VV+ㄹ/ETM
일이	일/NNG+이/JKS
있으면	있/VA+으면/EC
적극	적극/NNG
도와드리도록	도와드리/VV+도록/EC
하겠다"고	하/VX+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.356.9.5
정 의장은 박 대통령이 5번째 국회연설을 한 것을 두고 “박 대통령님이 국회를 제일 많이 찾아주셨다”면서 국회와의 협력을 기대한다는 뜻을 밝혔다.

정	정/NNP
의장은	의장/NNG+은/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
5번째	5/SN+번/NNB+째/XSN
국회연설을	국회/NNG+연설/NNG+을/JKO
한	하/VV+ㄴ/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
“박	“/SS+박/NNP
대통령님이	대통령/NNG+님/XSN+이/JKS
국회를	국회/NNG+를/JKO
제일	제일/MAG
많이	많이/MAG
찾아주셨다”면서	찾/VV+아/EC+주/VX+시/EP+었/EP+다/EF+”/SS+면서/EC
국회와의	국회/NNG+와/JKB+의/JKG
협력을	협력/NNG+을/JKO
기대한다는	기대/NNG+하/XSV+ㄴ다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.356.10.1
비공개로 이어진 대화에서도 원 구성에 대한 얘기가 오간 것으로 전해졌다.

비공개로	비/XPN+공개/NNG+로/JKB
이어진	이어지/VV+ㄴ/ETM
대화에서도	대화/NNG+에서/JKB+도/JX
원	원/NNG
구성에	구성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
얘기가	얘기/NNG+가/JKS
오간	오가/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.356.10.2
김종인 더민주 대표가 “우상호 (더민주) 원내대표가 너무 많은 양보를 했다”고 하자 우 원내대표가 “그건 저를 곤란하게 만드는 것”이라고 말하기도 했다고 한다.

김종인	김종인/NNP
더민주	더민주/NNP
대표가	대표/NNG+가/JKS
“우상호	“/SS+우상호/NNP
(더민주)	(/SS+더민주/NNP+)/SS
원내대표가	원내/NNG+대표/NNG+가/JKS
너무	너무/MAG
많은	많/VA+은/ETM
양보를	양보/NNG+를/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
하자	하/VV+자/EC
우	우/NNP
“그건	“/SS+그거/NP+ㄴ/JX
저를	저/NP+를/JKO
곤란하게	곤란/NNG+하/XSA+게/EC
만드는	만들/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다고	하/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.356.10.3
김 대표는 또 “정치권이 총선 민심을 잘 따르면 큰 갈등이 없을 것”이라고 말했다고 한다.

김	김/NNP
대표는	대표/NNG+는/JX
또	또/MAG
“정치권이	“/SS+정치/NNG+권/XSN+이/JKS
총선	총선/NNG
민심을	민심/NNG+을/JKO
잘	잘/MAG
따르면	따르/VV+면/EC
큰	크/VA+ㄴ/ETM
갈등이	갈등/NNG+이/JKS
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.356.10.4
박 대통령이 농담조로 “더민주와 새누리당이 (공동) 1당이 됐다”고 하자, 박지원 국민의당 원내대표가 박 대통령에게 “제일 중요한 2당인 국민의당이 어떻게 하느냐에 달려있으니까 2당을 잘 생각하시라”고 말해 참석자들이 웃었다고 한다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
농담조로	농담조/NNG+로/JKB
“더민주와	“/SS+더민주/NNP+와/JC
새누리당이	새누리당/NNP+이/JKS
(공동)	(/SS+공동/NNG+)/SS
1당이	1/SN+당/NNG+이/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
박지원	박지원/NNP
국민의당	국민의당/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
대통령에게	대통령/NNG+에게/JKB
“제일	“/SS+제일/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
2당인	2/SN+당/NNG+이/VCP+ㄴ/ETM
국민의당이	국민의당/NNP+이/JKS
어떻게	어떻/VA+게/EC
하느냐에	하/VV+느냐/EF+에/JKB
달려있으니까	달리/VV+어/EC+있/VX+으니까/EC
2당을	2/SN+당/NNG+을/JKO
잘	잘/MAG
생각하시라”고	생각/NNG+하/XSV+시/EP+라/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
참석자들이	참석자/NNG+들/XSN+이/JKS
웃었다고	웃/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


