# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.199
metadata : {}


# id : NWRW1800000044.199.1.1
검찰, 유병언 전 회장 계열사 돈 빼돌린 정황 포착

검찰,	검찰/NNG+,/SP
아들이	아들/NNG+이/JKS
대주주로	대/XPN+주주/NNG+로/JKB
있는	있/VX+는/ETM
지주회사	지주/NNG+회사/NNG
아이원아이홀딩스를	아이원아이홀딩스/NNP+를/JKO
정점으로	정점/NNG+으로/JKB
지분관계가	지분/NNG+관계/NNG+가/JKS
거미줄처럼	거미줄/NNG+처럼/JKB
얽혀	얽히/VV+어/EC
계열사들이	계열사/NNG+들/XSN+이/JKS
회계상	회계/NNG+상/XSN
각종	각종/NNG
명목으로	명목/NNG+으로/JKB
거래를	거래/NNG+를/JKO
하며	하/VV+며/EC
실제보다	실제/NNG+보다/JKB
금액을	금액/NNG+을/JKO
축소해	축소/NNG+하/XSV+아/EC
기재하는	기재/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
방법으로	방법/NNG+으로/JKB
돈을	돈/NNG+을/JKO
빼돌린	빼돌리/VV+ㄴ/ETM
정황을	정황/NNG+을/JKO
파악한	파악/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.199.6.2
검찰은 이 돈이 복잡하게 세탁돼 유 전 회장 측근들한테 흘러간 것으로 의심하고 유 전 회장 주변에 대한 광범위한 자금추적을 벌이고 있다.

검찰은	검찰/NNG+은/JX
이	이/MMD
돈이	돈/NNG+이/JKS
복잡하게	복잡하/VA+게/EC
세탁돼	세탁/NNG+되/XSV+어/EC
유	유/NNP
전	전/MMD
회장	회장/NNG
측근들한테	측근/NNG+들/XSN+한테/JKB
흘러간	흘러가/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
의심하고	의심/NNG+하/XSV+고/EC
주변에	주변/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
자금추적을	자금/NNG+추적/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.199.7.1
검찰은 유 전 회장의 직간접 개입 여부를 입증하는 데 수사력을 모으고 있다.

검찰은	검찰/NNG+은/JX
유	유/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
직간접	직간접/NNG
개입	개입/NNG
여부를	여부/NNG+를/JKO
입증하는	입증/NNG+하/XSV+는/ETM
데	데/NNB
수사력을	수사력/NNG+을/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.199.7.2
검찰은 지난 25일 유 전 회장의 핵심 측근인 고아무개(67) 세모 대표를 불러 유 전 회장이 부당한 내부거래나 비자금 조성을 지시했는지 등을 조사했다.

검찰은	검찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
25일	25/SN+일/NNB
유	유/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
핵심	핵심/NNG
측근인	측근/NNG+이/VCP+ㄴ/ETM
고아무개(67)	고/NNP+아무개/NP+(/SS+67/SN+)/SS
세모	세모/NNP
대표를	대표/NNG+를/JKO
불러	부르/VV+어/EC
회장이	회장/NNG+이/JKS
부당한	부당/NNG+하/XSA+ㄴ/ETM
내부거래나	내부/NNG+거래/NNG+나/JC
비자금	비자금/NNG
조성을	조성/NNG+을/JKO
지시했는지	지시/NNG+하/XSV+았/EP+는지/EF
등을	등/NNB+을/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.199.7.3
고 대표는 “유 전 회장은 일절 관여한 바 없다”며 각종 혐의를 전면 부인한 것으로 전해졌다.

고	고/NNP
대표는	대표/NNG+는/JX
“유	“/SS+유/NNP
전	전/MMD
회장은	회장/NNG+은/JX
일절	일절/MAG
관여한	관여/NNG+하/XSV+ㄴ/ETM
바	바/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
각종	각종/NNG
혐의를	혐의/NNG+를/JKO
전면	전면/NNG
부인한	부인/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.199.8.1
검찰은 지난 26일 청해진해운과 관계사의 회계업무를 담당한 회계사 김씨의 서울 강남 사무실과 자택 등 6곳에 대한 압수수색에 나서 회계장부와 금전거래 내역 등을 확보했다.

검찰은	검찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
청해진해운과	청해진해운/NNP+과/JC
관계사의	관계사/NNG+의/JKG
회계업무를	회계/NNG+업무/NNG+를/JKO
담당한	담당/NNG+하/XSV+ㄴ/ETM
회계사	회계사/NNG
김씨의	김/NNP+씨/NNB+의/JKG
서울	서울/NNP
강남	강남/NNP
사무실과	사무실/NNG+과/JC
자택	자택/NNG
등	등/NNB
6곳에	6/SN+곳/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
압수수색에	압수/NNG+수색/NNG+에/JKB
나서	나서/VV+어/EC
회계장부와	회계/NNG+장부/NNG+와/JC
금전거래	금전/NNG+거래/NNG
내역	내역/NNG
등을	등/NNB+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.199.8.2
김씨는 10년 이상 청해진해운의 회계감사를 맡고 청해진해운의 최대주주인 천해지의 임원을 지내는 등 유 전 회장 일가의 재무관리를 맡아온 인물로 알려졌다.

김씨는	김/NNP+씨/NNB+는/JX
10년	10/SN+년/NNB
이상	이상/NNG
청해진해운의	청해진해운/NNP+의/JKG
회계감사를	회계/NNG+감사/NNG+를/JKO
맡고	맡/VV+고/EC
최대주주인	최대/NNG+주주/NNG+이/VCP+ㄴ/ETM
천해지의	천해지/NNP+의/JKG
임원을	임원/NNG+을/JKO
지내는	지내/VV+는/ETM
등	등/NNB
유	유/NNP
전	전/MMD
회장	회장/NNG
일가의	일가/NNG+의/JKG
재무관리를	재무/NNG+관리/NNG+를/JKO
맡아온	맡/VV+아/EC+오/VX+ㄴ/ETM
인물로	인물/NNG+로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.199.9.1
검찰 관계자는 “회사 실무진이나 내부 사정을 잘 아는 퇴직자 등을 상대로 조사를 진행하고 있는데, 일부 조사 대상자들은 보복 우려 등을 이유로 가명 조사를 원하거나 조사 사실을 비밀로 해달라고 요청하고 있는 상황”이라며 “조사 대상자 등에 대한 보복이나 위해가 있을 경우 공권력에 대한 정면도전으로 간주하고 끝까지 추적해 엄벌하겠다”고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“회사	“/SS+회사/NNG
실무진이나	실무진/NNG+이나/JC
내부	내부/NNG
사정을	사정/NNG+을/JKO
잘	잘/MAG
아는	알/VV+는/ETM
퇴직자	퇴직자/NNG
등을	등/NNB+을/JKO
상대로	상대/NNG+로/JKB
조사를	조사/NNG+를/JKO
진행하고	진행/NNG+하/XSV+고/EC
있는데,	있/VX+는데/EC+,/SP
일부	일부/NNG
조사	조사/NNG
대상자들은	대상자/NNG+들/XSN+은/JX
보복	보복/NNG
우려	우려/NNG
이유로	이유/NNG+로/JKB
가명	가명/NNG
원하거나	원/NNG+하/XSV+거나/EC
사실을	사실/NNG+을/JKO
비밀로	비밀/NNG+로/JKB
해달라고	하/VV+아/EC+달/VX+라고/EC
요청하고	요청/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
“조사	“/SS+조사/NNG
대상자	대상자/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
보복이나	보복/NNG+이나/JC
위해가	위해/NNG+가/JKS
있을	있/VA+을/ETM
경우	경우/NNG
공권력에	공권력/NNG+에/JKB
정면도전으로	정면/NNG+도전/NNG+으로/JKB
간주하고	간주/NNG+하/XSV+고/EC
끝까지	끝/NNG+까지/JX
추적해	추적/NNG+하/XSV+아/EC
엄벌하겠다”고	엄벌/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.199.10.1
검찰은 이번주부터 국외에 머물고 있는 주요 계열사 대표와 유 전 회장 자녀 등을 불러 조사할 방침이다.

검찰은	검찰/NNG+은/JX
이번주부터	이번/NNG+주/NNG+부터/JX
국외에	국외/NNG+에/JKB
머물고	머물/VV+고/EC
있는	있/VX+는/ETM
주요	주요/NNG
계열사	계열사/NNG
대표와	대표/NNG+와/JC
유	유/NNP
전	전/MMD
회장	회장/NNG
자녀	자녀/NNG
등을	등/NNB+을/JKO
불러	부르/VV+어/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


