# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.309
metadata : {}


# id : NWRW1800000024.309.1.1
“개성공단 경쟁력 회복 발판” 업체 반색

“개성공단	“/SS+개성공단/NNP
“자율통행을	“/SS+자율/NNG+통행/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
물류	물류/NNG
경쟁력	경쟁력/NNG
확보와	확보/NNG+와/JKB
함께	함께/MAG
향후	향후/NNG
가장	가장/MAG
시급한	시급하/VA+ㄴ/ETM
과제로	과제/NNG+로/JKB
대두할	대두/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


