# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.95
metadata : {}


# id : NWRW1800000038.95.1.1
삼겹살 미친듯이 먹는 장면, 연기 아닌 식탐이었죠

삼겹살	삼겹살/NNG
"아,	"/SS+아/IC+,/SP
귀여워"를	귀엽/VA+어/EC+"/SS+를/JKO
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.95.3.2
체육고등학교 수영부의 두 소년을 주인공을 내세운 '노브레싱'은 목표가 확실한 영화다.

체육고등학교	체육/NNG+고등학교/NNG
수영부의	수영부/NNG+의/JKG
두	두/MMN
소년을	소년/NNG+을/JKO
주인공을	주인공/NNG+을/JKO
내세운	내세우/VV+ㄴ/ETM
'노브레싱'은	'/SS+노브레싱/NNP+'/SS+은/JX
목표가	목표/NNG+가/JKS
확실한	확실하/VA+ㄴ/ETM
영화다.	영화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.95.3.3
10대 후반에서 20대 초반까지의 여성 관객들을 끌어들이겠다는 것.

10대	10/SN+대/NNB
후반에서	후반/NNG+에서/JKB
20대	20/SN+대/NNB
초반까지의	초반/NNG+까지/JX+의/JKG
여성	여성/NNG
관객들을	관객/NNG+들/XSN+을/JKO
끌어들이겠다는	끌어들이/VV+겠/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000038.95.3.4
하지만 90년대 초반 청소년 드라마에나 등장했을 것 같은 상투성과 단조로운 이야기로 118분을 빡빡하게 채운 '노브레싱'은 청춘 영화라고 하기에도, 스포츠 영화라고 하기에도 자격 미달이다.

하지만	하지만/MAJ
90년대	90/SN+년대/NNB
초반	초반/NNG
청소년	청소년/NNG
드라마에나	드라마/NNG+에/JKB+나/JX
등장했을	등장/NNG+하/XSV+았/EP+을/ETM
것	것/NNB
같은	같/VA+은/ETM
상투성과	상투/NNG+성/XSN+과/JC
단조로운	단조/NNG+롭/XSA+ㄴ/ETM
이야기로	이야기/NNG+로/JKB
118분을	118/SN+분/NNB+을/JKO
빡빡하게	빡빡하/VA+게/EC
채운	채우/VV+ㄴ/ETM
'노브레싱'은	'/SS+노브레싱/NNP+'/SS+은/JX
청춘	청춘/NNG
영화라고	영화/NNG+이/VCP+라고/EC
하기에도,	하/VV+기에/EC+도/JX+,/SP
스포츠	스포츠/NNG
하기에도	하/VV+기에/EC+도/JX
자격	자격/NNG
미달이다.	미달/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.95.4.1
'노브레싱'은 '호흡을 멈추고 물살을 가르는 영법(泳法)'이란 뜻.

'노브레싱'은	'/SS+노브레싱/NNP+'/SS+은/JX
'호흡을	'/SS+호흡/NNG+을/JKO
멈추고	멈추/VV+고/EC
물살을	물살/NNG+을/JKO
가르는	가르/VV+는/ETM
영법(泳法)'이란	영법/NNG+(/SS+泳法/SH+)/SS+'/SS+이/VCP+란/ETM
뜻.	뜻/NNG+./SF


# id : NWRW1800000038.95.4.2
이 영화에서 유일하게 숨통을 틔워주는 게 있다면 그건 서인국(26)이란 배우의 발견이다.

이	이/MMD
영화에서	영화/NNG+에서/JKB
유일하게	유일/NNG+하/XSA+게/EC
숨통을	숨통/NNG+을/JKO
틔워주는	틔우/VV+어/EC+주/VX+는/ETM
게	거/NNB+이/JKS
있다면	있/VA+다면/EC
그건	그거/NP+ㄴ/JX
서인국(26)이란	서인국/NNP+(/SS+26/SN+)/SS+이/VCP+란/ETM
배우의	배우/NNG+의/JKG
발견이다.	발견/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.95.4.3
이종석이나 권유리가 단선적인 캐릭터를 냉동 생선과 같은 연기를 보여줄 때 서인국은 바다에서 갓 잡아 올린 생물처럼 팔딱인다.

이종석이나	이종석/NNP+이나/JC
권유리가	권유리/NNP+가/JKS
단선적인	단선/NNG+적/XSN+이/VCP+ㄴ/ETM
캐릭터를	캐릭터/NNG+를/JKO
냉동	냉동/NNG
생선과	생선/NNG+과/JKB
같은	같/VA+은/ETM
연기를	연기/NNG+를/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
때	때/NNG
서인국은	서인국/NNP+은/JX
바다에서	바다/NNG+에서/JKB
갓	갓/MAG
잡아	잡/VV+아/EC
올린	올리/VV+ㄴ/ETM
생물처럼	생물/NNG+처럼/JKB
팔딱인다.	팔딱이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.95.4.4
단짝 친구에게 자신의 속마음을 들켜서 민망해하거나, 피자와 치킨 앞에서 모든 경계를 풀어버리는 모습은 딱 평범한 10대 남자아이.

단짝	단짝/NNG
친구에게	친구/NNG+에게/JKB
자신의	자신/NNG+의/JKG
속마음을	속마음/NNG+을/JKO
들켜서	들키/VV+어서/EC
민망해하거나,	민망하/VA+아/EC+하/VX+거나/EC+,/SP
피자와	피자/NNG+와/JC
치킨	치킨/NNG
앞에서	앞/NNG+에서/JKB
모든	모든/MMN
경계를	경계/NNG+를/JKO
풀어버리는	풀/VV+어/EC+버리/VX+는/ETM
모습은	모습/NNG+은/JX
딱	딱/MAG
평범한	평범하/VA+ㄴ/ETM
10대	10/SN+대/NNB
남자아이.	남자아이/NNG+./SF


# id : NWRW1800000038.95.4.5
뭔가를 더하지도 빼지도 않고 배우가 원래 제 모습을 보여준 양 자연스럽다.

뭔가를	뭐/NP+이/VCP+ㄴ가/EF+를/JKO
더하지도	더/MAG+하/XSV+지/EC+도/JX
빼지도	빼/VV+지/EC+도/JX
않고	않/VX+고/EC
배우가	배우/NNG+가/JKS
원래	원래/NNG
제	저/NP+의/JKG
모습을	모습/NNG+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
양	양/NNB
자연스럽다.	자연/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000038.95.4.6
하지만 서인국은 "나의 가장 흥분한 모습이 원일의 평소 모습과 비슷할 것이다. 발랄하기보다는 무뚝뚝한 편이다"라고 했다.

하지만	하지만/MAJ
서인국은	서인국/NNP+은/JX
"나의	"/SS+나/NP+의/JKG
가장	가장/MAG
흥분한	흥분/NNG+하/XSV+ㄴ/ETM
모습이	모습/NNG+이/JKS
원일의	원일/NNP+의/JKG
평소	평소/NNG
모습과	모습/NNG+과/JKB
비슷할	비슷하/VA+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF
발랄하기보다는	발랄하/VA+기/ETN+보다/JKB+는/JX
무뚝뚝한	무뚝뚝/NNG+하/XSA+ㄴ/ETM
편이다"라고	편/NNB+이/VCP+다/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.95.4.7
"저랑 많이 달라서 오히려 도전이었어요.

"저랑	"/SS+저/NP+랑/JKB
많이	많이/MAG
달라서	다르/VA+아서/EC
오히려	오히려/MAG
도전이었어요.	도전/NNG+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000038.95.4.8
대본을 많이 본 편은 아니지만 캐릭터에 대한 의견을 자주 냈고, 애드립을 많이 한 편이에요."

대본을	대본/NNG+을/JKO
많이	많이/MAG
본	보/VV+ㄴ/ETM
편은	편/NNB+은/JX
아니지만	아니/VCN+지만/EC
캐릭터에	캐릭터/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
자주	자주/MAG
냈고,	내/VV+었/EP+고/EC+,/SP
애드립을	애드립/NNG+을/JKO
한	하/VV+ㄴ/ETM
편이에요."	편/NNB+이/VCP+에요/EF+./SF+"/SS


# id : NWRW1800000038.95.5.1
영화 속 그의 라이벌은 드라마 '너의 목소리가 들려'로 인기를 끌고 있는 이종석이다.

영화	영화/NNG
속	속/NNG
그의	그/NP+의/JKG
라이벌은	라이벌/NNG+은/JX
드라마	드라마/NNG
'너의	'/SS+너/NP+의/JKG
목소리가	목소리/NNG+가/JKS
들려'로	들리/VV+어/EC+'/SS+로/JKB
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있는	있/VX+는/ETM
이종석이다.	이종석/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000038.95.5.2
서인국은 "영화 속 원일이처럼 다른 사람들을 신경 쓰지 않게 되더라. 그런데 몸은 좀 신경 쓰였다. 어렸을 때 친구들이랑 헬스장에만 가도 서로 몸을 의식하니까, 남자들에게 그건 어쩔 수 없는 것 같다"고 했다.

서인국은	서인국/NNP+은/JX
"영화	"/SS+영화/NNG
속	속/NNG
원일이처럼	원일이/NNP+처럼/JKB
다른	다른/MMD
사람들을	사람/NNG+들/XSN+을/JKO
신경	신경/NNG
쓰지	쓰/VV+지/EC
않게	않/VX+게/EC
되더라.	되/VV+더라/EF+./SF
그런데	그런데/MAJ
몸은	몸/NNG+은/JX
좀	좀/MAG
쓰였다.	쓰이/VV+었/EP+다/EF+./SF
어렸을	어리/VA+었/EP+을/ETM
때	때/NNG
친구들이랑	친구/NNG+들/XSN+이랑/JKB
헬스장에만	헬스장/NNG+에/JKB+만/JX
가도	가/VV+아도/EC
서로	서로/MAG
몸을	몸/NNG+을/JKO
의식하니까,	의식/NNG+하/XSV+니까/EC+,/SP
남자들에게	남자/NNG+들/XSN+에게/JKB
그건	그거/NP+ㄴ/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.95.5.3
그가 촬영 중 가장 힘들다고 꼽은 것도 수영 연습이나 연기가 아닌 식단 조절이었다.

그가	그/NP+가/JKS
촬영	촬영/NNG
중	중/NNB
가장	가장/MAG
힘들다고	힘들/VA+다고/EC
꼽은	꼽/VV+은/ETM
것도	것/NNB+도/JX
수영	수영/NNG
연습이나	연습/NNG+이나/JC
연기가	연기/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
식단	식단/NNG
조절이었다.	조절/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.95.5.4
6개월 동안 아침에는 사과 한 조각과 셰이크, 점심에는 닭가슴살 샐러드, 저녁에는 두부랑 오이를 먹었고, 가끔씩 고구마와 바나나를 번갈아가며 먹었다.

6개월	6/SN+개월/NNB
동안	동안/NNG
아침에는	아침/NNG+에/JKB+는/JX
사과	사과/NNG
한	한/MMN
조각과	조각/NNG+과/JC
셰이크,	셰이크/NNG+,/SP
점심에는	점심/NNG+에/JKB+는/JX
닭가슴살	닭/NNG+가슴살/NNG
샐러드,	샐러드/NNG+,/SP
저녁에는	저녁/NNG+에/JKB+는/JX
두부랑	두부/NNG+랑/JC
오이를	오이/NNG+를/JKO
먹었고,	먹/VV+었/EP+고/EC+,/SP
가끔씩	가끔/MAG+씩/XSN
고구마와	고구마/NNG+와/JC
바나나를	바나나/NNG+를/JKO
번갈아가며	번갈/VV+아/EC+가/VX+며/EC
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.95.5.5
그는 "원래 먹는 것을 좋아하는 편이라 식단 조절이 더 힘들게 느껴졌다. 첫 촬영이 삼겹살을 미친듯이 먹는 장면이었는데, 그건 연기가 아니었다. 6개월 만에 입에 닿은 고기맛이란…"이라며 인터뷰 중 처음으로 이를 드러내며 웃었다.

그는	그/NP+는/JX
"원래	"/SS+원래/MAG
먹는	먹/VV+는/ETM
것을	것/NNB+을/JKO
좋아하는	좋아하/VV+는/ETM
편이라	편/NNB+이/VCP+라/EC
식단	식단/NNG
조절이	조절/NNG+이/JKS
더	더/MAG
힘들게	힘들/VA+게/EC
느껴졌다.	느끼/VV+어/EC+지/VX+었/EP+다/EF+./SF
첫	첫/MMN
촬영이	촬영/NNG+이/JKS
삼겹살을	삼겹살/NNG+을/JKO
미친듯이	미치/VV+ㄴ/ETM+듯이/NNB
장면이었는데,	장면/NNG+이/VCP+었/EP+는데/EC+,/SP
그건	그거/NP+ㄴ/JX
연기가	연기/NNG+가/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF
6개월	6/SN+개월/NNB
만에	만/NNB+에/JKB
입에	입/NNG+에/JKB
닿은	닿/VV+은/ETM
고기맛이란…"이라며	고기/NNG+맛/NNG+이란/JX+…/SE+"/SS+이/VCP+라며/EC
인터뷰	인터뷰/NNG
중	중/NNB
처음으로	처음/NNG+으로/JKB
이를	이/NNG+를/JKO
드러내며	드러내/VV+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.95.5.6
대신 오랜만에 먹은 기름진 음식 때문에 그는 "그날 밤 화장실을 여러 차례 드나들어야" 했고, "촬영 3개월 동안 그 맛을 잊지 못해 괴로워해야" 했다.

대신	대신/NNG
오랜만에	오랜만/NNG+에/JKB
먹은	먹/VV+은/ETM
기름진	기름지/VA+ㄴ/ETM
음식	음식/NNG
때문에	때문/NNB+에/JKB
그는	그/NP+는/JX
"그날	"/SS+그날/NNG
밤	밤/NNG
화장실을	화장실/NNG+을/JKO
여러	여러/MMN
차례	차례/NNG
드나들어야"	드나들/VV+어야/EC+"/SS
했고,	하/VV+았/EP+고/EC+,/SP
"촬영	"/SS+촬영/NNG
3개월	3/SN+개월/NNB
동안	동안/NNG
그	그/MMD
맛을	맛/NNG+을/JKO
잊지	잊/VV+지/EC
못해	못하/VX+아/EC
괴로워해야"	괴로워하/VV+아야/EC+"/SS
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.95.6.1
서인국은 가수 오디션 프로그램 '슈퍼스타K'(2009)의 첫 우승자다.

서인국은	서인국/NNP+은/JX
가수	가수/NNG
오디션	오디션/NNG
프로그램	프로그램/NNG
'슈퍼스타K'(2009)의	'/SS+슈퍼스타/NNG+K/SL+'/SS+(/SS+2009/SN+)/SS+의/JKG
첫	첫/MMN
우승자다.	우승자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.95.6.2
하지만 지난해부터 조연배우로 TV 드라마에 나오기 시작하더니 1년도 채 되지 않아 드라마('응답하라 1997')와 영화('노브레싱')의 주연을 맡았다.

하지만	하지만/MAJ
지난해부터	지난해/NNG+부터/JX
조연배우로	조연/NNG+배우/NNG+로/JKB
TV	TV/SL
드라마에	드라마/NNG+에/JKB
나오기	나오/VV+기/ETN
시작하더니	시작/NNG+하/XSV+더니/EC
1년도	1/SN+년/NNB+도/JX
채	채/MAG
되지	되/VV+지/EC
않아	않/VX+아/EC
드라마('응답하라	드라마/NNG+(/SS+'/SS+응답/NNG+하/XSV+라/EC
1997')와	1997/SN+'/SS+)/SS+와/JC
영화('노브레싱')의	영화/NNG+(/SS+'/SS+노브레싱/NNP+'/SS+)/SS+의/JKG
주연을	주연/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.95.6.3
치열한 과정을 거쳐 가수가 된 의미가 있을까.

치열한	치열/NNG+하/XSA+ㄴ/ETM
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
가수가	가수/NNG+가/JKC
된	되/VV+ㄴ/ETM
의미가	의미/NNG+가/JKS
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000038.95.6.4
그는 "가수는 내가 평생 꿈꿔온 직업이고, 생각 없이 시작한 첫 연기도 미치도록 재밌었다. 지금은 둘 다 소중한 일이다"라고만 대답했다.

그는	그/NP+는/JX
"가수는	"/SS+가수/NNG+는/JX
내가	내/NP+가/JKS
평생	평생/NNG
꿈꿔온	꿈꾸/VV+어/EC+오/VX+ㄴ/ETM
직업이고,	직업/NNG+이/VCP+고/EC+,/SP
생각	생각/NNG
없이	없이/MAG
시작한	시작/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
연기도	연기/NNG+도/JX
미치도록	미치/VV+도록/EC
재밌었다.	재밌/VA+었/EP+다/EF+./SF
지금은	지금/NNG+은/JX
둘	둘/NR
다	다/MAG
소중한	소중하/VA+ㄴ/ETM
일이다"라고만	일/NNG+이/VCP+다/EF+"/SS+라고/JKQ+만/JX
대답했다.	대답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.95.6.5
"연기를 하면서 노래를 할 때도 많이 섬세해졌어요.

"연기를	"/SS+연기/NNG+를/JKO
하면서	하/VV+면서/EC
노래를	노래/NNG+를/JKO
할	하/VV+ㄹ/ETM
때도	때/NNG+도/JX
많이	많이/MAG
섬세해졌어요.	섬세하/VA+아/EC+지/VX+었/EP+어요/EF+./SF


# id : NWRW1800000038.95.6.6
마찬가지로 노래를 부르는 것도 연기에 영향을 미쳐요.

마찬가지로	마찬가지/NNG+로/JKB
노래를	노래/NNG+를/JKO
부르는	부르/VV+는/ETM
것도	것/NNB+도/JX
연기에	연기/NNG+에/JKB
영향을	영향/NNG+을/JKO
미쳐요.	미치/VV+어요/EF+./SF


# id : NWRW1800000038.95.6.7
많은 사람이 지켜보는 무대 위에서 3~4분 동안 자기 모습과 노래의 콘셉트를 보여주는 가수 활동 덕분에 처음 하는 연기에 자신감을 가질 수 있었거든요."

많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
지켜보는	지켜보/VV+는/ETM
무대	무대/NNG
위에서	위/NNG+에서/JKB
3~4분	3/SN+~/SO+4/SN+분/NNB
동안	동안/NNG
자기	자기/NNG
모습과	모습/NNG+과/JC
노래의	노래/NNG+의/JKG
콘셉트를	콘셉트/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
가수	가수/NNG
활동	활동/NNG
덕분에	덕분/NNG+에/JKB
처음	처음/NNG
하는	하/VV+는/ETM
연기에	연기/NNG+에/JKB
자신감을	자신감/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있었거든요."	있/VA+었/EP+거든/EF+요/JX+./SF+"/SS


