# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.79
metadata : {}


# id : NWRW1800000032.79.1.1
뒤늦은 한파에 내복시장 ‘후끈’

뒤늦은	뒤늦/VA+은/ETM
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000032.79.5.4
박원식(56) 신안상사 대표는 “솜 누빔 내복, 두터운 덧댐내복 같은 인기상품은 물량이 부족해 소매상들이 서로 가져가려고 난리”라며 “물량을 더 확보하기 위해 인맥을 동원하고, 갖가지 수완이 발휘되는 현상까지 벌어지고 있다”고 말했다.

박원식(56)	박원식/NNP+(/SS+56/SN+)/SS
신안상사	신안상사/NNP
대표는	대표/NNG+는/JX
“솜	“/SS+솜/NNG
누빔	누빔/NNG
내복,	내복/NNG+,/SP
두터운	두텁/VA+ㄴ/ETM
덧댐내복	덧대/VV+ㅁ/ETN+내복/NNG
같은	같/VA+은/ETM
인기상품은	인기/NNG+상품/NNG+은/JX
물량이	물량/NNG+이/JKS
부족해	부족/NNG+하/XSA+아/EC
소매상들이	소매상/NNG+들/XSN+이/JKS
서로	서로/MAG
가져가려고	가져가/VV+려고/EC
난리”라며	난리/NNG+”/SS+이/VCP+라며/EC
“물량을	“/SS+물량/NNG+을/JKO
더	더/MAG
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
인맥을	인맥/NNG+을/JKO
동원하고,	동원/NNG+하/XSV+고/EC+,/SP
갖가지	갖가지/NNG
수완이	수완/NNG+이/JKS
발휘되는	발휘/NNG+되/XSV+는/ETM
현상까지	현상/NNG+까지/JX
벌어지고	벌어지/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.79.6.1
뒤늦게 갑자기 찾아온 한파와 절전 분위기에 내복 업체들이 ‘즐거운 비명’을 지르고 있다.

뒤늦게	뒤늦/VA+게/EC
갑자기	갑자기/MAG
찾아온	찾아오/VV+ㄴ/ETM
한파와	한파/NNG+와/JC
절전	절전/NNG
분위기에	분위기/NNG+에/JKB
내복	내복/NNG
업체들이	업체/NNG+들/XSN+이/JKS
‘즐거운	‘/SS+즐겁/VA+ㄴ/ETM
비명’을	비명/NNG+’/SS+을/JKO
지르고	지르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.79.6.2
내복 주문이 늘면서, 내복 제조업체들은 생산을 재개하고, 내복가게 주인들은 ‘철 장사’를 놓치지 않기 위해 물량 확보에 나서는 모습이다.

내복	내복/NNG
주문이	주문/NNG+이/JKS
늘면서,	늘/VV+면서/EC+,/SP
제조업체들은	제조업체/NNG+들/XSN+은/JX
생산을	생산/NNG+을/JKO
재개하고,	재개/NNG+하/XSV+고/EC+,/SP
내복가게	내복/NNG+가게/NNG
주인들은	주인/NNG+들/XSN+은/JX
‘철	‘/SS+철/NNG
장사’를	장사/NNG+’/SS+를/JKO
놓치지	놓치/VV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
물량	물량/NNG
확보에	확보/NNG+에/JKB
나서는	나서/VV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.79.6.3
서울에서 10년째 속옷 도매상을 정아무개(38)씨는 “추위가 늦게 오면 사람들이 조금만 더 버티자는 심리로 내복을 안사는 경향이 있어 며칠 전까지만 해도 이미 확보한 물량이 재고로 남지 않을까 걱정했으나 이젠 물량을 더 확보하지 못할까 하는 걱정이 더 크다”고 말했다.

서울에서	서울/NNP+에서/JKB
10년째	10/SN+년/NNB+째/XSN
속옷	속옷/NNG
도매상을	도매상/NNG+을/JKO
정아무개(38)씨는	정/NNP+아무개/NP+(/SS+38/SN+)/SS+씨/NNB+는/JX
“추위가	“/SS+추위/NNG+가/JKS
늦게	늦/VA+게/EC
오면	오/VV+면/EC
사람들이	사람/NNG+들/XSN+이/JKS
조금만	조금/NNG+만/JX
더	더/MAG
버티자는	버티/VV+자는/ETM
심리로	심리/NNG+로/JKB
내복을	내복/NNG+을/JKO
안사는	안/MAG+사/VV+는/ETM
경향이	경향/NNG+이/JKS
있어	있/VA+어/EC
며칠	며칠/NNG
전까지만	전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
이미	이미/MAG
확보한	확보/NNG+하/XSV+ㄴ/ETM
물량이	물량/NNG+이/JKS
재고로	재고/NNG+로/JKB
남지	남/VV+지/EC
않을까	않/VX+을까/EF
걱정했으나	걱정/NNG+하/XSV+았/EP+으나/EC
이젠	이제/NNG+ㄴ/JX
물량을	물량/NNG+을/JKO
확보하지	확보/NNG+하/XSV+지/EC
못할까	못하/VX+ㄹ까/EF
하는	하/VV+는/ETM
걱정이	걱정/NNG+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.79.7.1
이런 현상은 뒤늦게 찾아온 동장군의 기세가 만만찮은데다 정부가 강력한 에너지 절감 정책을 내놓은 게 겹쳐져 발생하고 있다.

이런	이런/MMD
현상은	현상/NNG+은/JX
뒤늦게	뒤늦/VA+게/EC
찾아온	찾아오/VV+ㄴ/ETM
동장군의	동장군/NNG+의/JKG
기세가	기세/NNG+가/JKS
만만찮은데다	만만찮/VA+은/ETM+데/NNB+다/JX
정부가	정부/NNG+가/JKS
강력한	강력/NNG+하/XSA+ㄴ/ETM
에너지	에너지/NNG
절감	절감/NNG
정책을	정책/NNG+을/JKO
내놓은	내놓/VV+은/ETM
게	거/NNB+이/JKS
겹쳐져	겹쳐지/VV+어/EC
발생하고	발생/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.79.7.2
날씨가 매서운데다 정부 정책으로 실내 온도까지 낮아지자 예전에는 내복을 입지 않던 사무실 근무자들까지 내복을 챙기고 있다.

날씨가	날씨/NNG+가/JKS
매서운데다	매섭/VA+ㄴ/ETM+데/NNB+다/JX
정부	정부/NNG
정책으로	정책/NNG+으로/JKB
실내	실내/NNG
온도까지	온도/NNG+까지/JX
낮아지자	낮/VA+아/EC+지/VX+자/EC
예전에는	예전/NNG+에/JKB+는/JX
내복을	내복/NNG+을/JKO
입지	입/VV+지/EC
않던	않/VX+던/ETM
사무실	사무실/NNG
근무자들까지	근무자/NNG+들/XSN+까지/JX
챙기고	챙기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.79.7.3
정부의 에너지절약 정책과 맞물린 ‘내복 입기 운동’도 내복 수요를 늘리고 있다.

정부의	정부/NNG+의/JKG
에너지절약	에너지/NNG+절약/NNG
정책과	정책/NNG+과/JKB
맞물린	맞물리/VV+ㄴ/ETM
‘내복	‘/SS+내복/NNG
입기	입/VV+기/ETN
운동’도	운동/NNG+’/SS+도/JX
내복	내복/NNG
수요를	수요/NNG+를/JKO
늘리고	늘리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.79.7.4
㈜쌍방울은 정부기관 등의 구매로 올해만 약 30억원의 매출을 달성했다.

㈜쌍방울은	㈜/SW+쌍방울/NNP+은/JX
정부기관	정부/NNG+기관/NNG
등의	등/NNB+의/JKG
구매로	구매/NNG+로/JKB
올해만	올해/NNG+만/JX
약	약/MMA
30억원의	30/SN+억/NR+원/NNB+의/JKG
매출을	매출/NNG+을/JKO
달성했다.	달성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.79.7.5
㈜비와이씨(BYC)도 올해 서울의 한 구청과 직접 단체구매 계약을 했다.

㈜비와이씨(BYC)도	㈜/SW+비와이씨/NNP+(/SS+BYC/SL+)/SS+도/JX
올해	올해/NNG
서울의	서울/NNP+의/JKG
한	한/MMN
구청과	구청/NNG+과/JKB
직접	직접/MAG
단체구매	단체/NNG+구매/NNG
계약을	계약/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.79.7.6
김주열 쌍방울 홍보팀 팀장은 “지난해까지만 해도 정부기관에서 불우이웃돕기 목적으로 내복을 대량구매했는데, 올해는 직원 단체구매를 요청하는 사례가 늘었다”고 말했다.

김주열	김주열/NNP
쌍방울	쌍방울/NNP
홍보팀	홍보/NNG+팀/NNG
팀장은	팀장/NNG+은/JX
“지난해까지만	“/SS+지난해/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
정부기관에서	정부/NNG+기관/NNG+에서/JKB
불우이웃돕기	불우/NNG+이웃/NNG+돕/VV+기/ETN
목적으로	목적/NNG+으로/JKB
내복을	내복/NNG+을/JKO
대량구매했는데,	대량/NNG+구매/NNG+하/XSV+았/EP+는데/EC+,/SP
올해는	올해/NNG+는/JX
직원	직원/NNG
단체구매를	단체/NNG+구매/NNG+를/JKO
요청하는	요청/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
늘었다”고	늘/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.79.8.1
기업에서도 낮아진 실내온도 탓에 직원들이 알아서 내복을 차려입는 모습이다.

기업에서도	기업/NNG+에서/JKB+도/JX
낮아진	낮/VA+아/EC+지/VX+ㄴ/ETM
실내온도	실내/NNG+온도/NNG
탓에	탓/NNG+에/JKB
직원들이	직원/NNG+들/XSN+이/JKS
알아서	알/VV+아서/EC
내복을	내복/NNG+을/JKO
차려입는	차려입/VV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.79.8.2
한국전력은 지난 5일부터 9일까지 ‘내복입기 캠페인’을 벌여 전체 직원 2만명 중 7000여명이 자발적으로 내복을 구입했다.

한국전력은	한국전력/NNP+은/JX
지난	지나/VV+ㄴ/ETM
5일부터	5/SN+일/NNB+부터/JX
9일까지	9/SN+일/NNB+까지/JX
‘내복입기	‘/SS+내복/NNG+입/VV+기/ETN
캠페인’을	캠페인/NNG+’/SS+을/JKO
벌여	벌이/VV+어/EC
전체	전체/NNG
직원	직원/NNG
2만명	2/SN+만/NR+명/NNB
중	중/NNB
7000여명이	7000/SN+여/XSN+명/NNB+이/JKS
자발적으로	자발/NNG+적/XSN+으로/JKB
내복을	내복/NNG+을/JKO
구입했다.	구입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.79.8.3
삼성그룹과 전국경제인연합회는 송년회 참석자 선물로 내복을 준비했다.

삼성그룹과	삼성그룹/NNP+과/JKB
전국경제인연합회는	전국경제인연합회/NNP+는/JX
송년회	송년회/NNG
참석자	참석자/NNG
선물로	선물/NNG+로/JKB
내복을	내복/NNG+을/JKO
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.79.8.4
두산그룹 계열사에서 일하는 김아무개(33)씨는 “전에도 내복 하의를 가끔 입기는 했지만 올해는 사무실 온도가 낮아서 상하의를 반드시 다 챙겨입고 다닌다”며 “내복 선물이 반갑기는 올해가 처음”이라고 말했다.

두산그룹	두산그룹/NNP
계열사에서	계열사/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
김아무개(33)씨는	김/NNP+아무개/NP+(/SS+33/SN+)/SS+씨/NNB+는/JX
“전에도	“/SS+전/NNG+에/JKB+도/JX
내복	내복/NNG
하의를	하의/NNG+를/JKO
가끔	가끔/MAG
입기는	입/VV+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
올해는	올해/NNG+는/JX
사무실	사무실/NNG
온도가	온도/NNG+가/JKS
낮아서	낮/VA+아서/EC
상하의를	상하의/NNG+를/JKO
반드시	반드시/MAG
다	다/MAG
챙겨입고	챙기/VV+어/EC+입/VV+고/EC
다닌다”며	다니/VV+ㄴ다/EF+”/SS+며/EC
“내복	“/SS+내복/NNG
선물이	선물/NNG+이/JKS
반갑기는	반갑/VA+기/ETN+는/JX
올해가	올해/NNG+가/JKS
처음”이라고	처음/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.79.9.1
대형마트와 백화점에서도 내복 판매가 늘고 있다.

대형마트와	대형/NNG+마트/NNG+와/JC
백화점에서도	백화점/NNG+에서/JKB+도/JX
내복	내복/NNG
판매가	판매/NNG+가/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.79.9.2
롯데마트, 이마트, 홈플러스는 12월 1~15일 내복 매출이 지난해 같은 기간보다 각각 22.5%, 14.6%, 13.5% 늘었다고 밝혔다.

롯데마트,	롯데마트/NNP+,/SP
이마트,	이마트/NNP+,/SP
홈플러스는	홈플러스/NNP+는/JX
12월	12/SN+월/NNB
1~15일	1/SN+~/SO+15/SN+일/NNB
내복	내복/NNG
매출이	매출/NNG+이/JKS
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
각각	각각/MAG
22.5%,	22/SN+./SP+5/SN+%/SW+,/SP
14.6%,	14/SN+./SP+6/SN+%/SW+,/SP
13.5%	13/SN+./SP+5/SN+%/SW
늘었다고	늘/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.79.9.3
롯데백화점 같은 기간에 여성 속옷 전문업체 비비안 매장의 매출 가운데 절반이 내복이라고 밝혔다.

롯데백화점	롯데백화점/NNP
같은	같/VA+은/ETM
기간에	기간/NNG+에/JKB
여성	여성/NNG
속옷	속옷/NNG
전문업체	전문/NNG+업체/NNG
비비안	비비안/NNP
매장의	매장/NNG+의/JKG
매출	매출/NNG
가운데	가운데/NNG
절반이	절반/NNG+이/JKS
내복이라고	내복/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.79.9.4
영플라자의 의류업체 유니클로 매장에서도 발열내의 히트텍(HEATTECH) 매출 비중이 30%에 이르는 것으로 집계됐다.

영플라자의	영플라자/NNP+의/JKG
의류업체	의류업체/NNG
유니클로	유니클로/NNP
매장에서도	매장/NNG+에서/JKB+도/JX
발열내의	발열/NNG+내의/NNG
히트텍(HEATTECH)	히트텍/NNP+(/SS+HEATTECH/SL+)/SS
매출	매출/NNG
비중이	비중/NNG+이/JKS
30%에	30/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.79.9.5
롯데마트 측은 “한파가 예고되면서 내복 매출이 급증 추세를 보이고 있다”며 “특히 17일부터는 공급이 부족할 정도”라고 설명했다.

롯데마트	롯데마트/NNP
측은	측/NNB+은/JX
“한파가	“/SS+한파/NNG+가/JKS
예고되면서	예고/NNG+되/XSV+면서/EC
내복	내복/NNG
매출이	매출/NNG+이/JKS
급증	급증/NNG
추세를	추세/NNG+를/JKO
보이고	보이/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
17일부터는	17/SN+일/NNB+부터/JX+는/JX
공급이	공급/NNG+이/JKS
부족할	부족/NNG+하/XSA+ㄹ/ETM
정도”라고	정도/NNG+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.79.10.1
내복 업체들의 출하량도 급증 추세를 보이고 있다.

내복	내복/NNG
업체들의	업체/NNG+들/XSN+의/JKG
출하량도	출하량/NNG+도/JX
급증	급증/NNG
추세를	추세/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.79.10.2
㈜쌍방울은 올해 생산량을 지난해보다 11% 늘렸다.

㈜쌍방울은	㈜/SW+쌍방울/NNP+은/JX
올해	올해/NNG
생산량을	생산량/NNG+을/JKO
지난해보다	지난해/NNG+보다/JKB
11%	11/SN+%/SW
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.79.10.3
특히 발열내의는 지난해 갑작스런 추위와 발열내의 유행으로 다섯 차례나 품절과 공장재가동을 반복했던 경험을 교훈삼아 올해는 생산량을 50% 늘렸다.

특히	특히/MAG
발열내의는	발열/NNG+내의/NNG+는/JX
지난해	지난해/NNG
갑작스런	갑작스럽/VA+ㄴ/ETM
추위와	추위/NNG+와/JC
발열내의	발열/NNG+내의/NNG
유행으로	유행/NNG+으로/JKB
다섯	다섯/NR
차례나	차례/NNG+나/JX
품절과	품절/NNG+과/JC
공장재가동을	공장/NNG+재/XPN+가동/NNG+을/JKO
반복했던	반복/NNG+하/XSV+았/EP+던/ETM
경험을	경험/NNG+을/JKO
교훈삼아	교훈/NNG+삼/VV+아/EC
올해는	올해/NNG+는/JX
생산량을	생산량/NNG+을/JKO
50%	50/SN+%/SW
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.79.10.4
㈜비와이씨와 ㈜좋은사람들도 올해 내복 생산량을 각각 20%, 50% 늘렸다.

㈜비와이씨와	㈜/SW+비와이씨/NNP+와/JC
㈜좋은사람들도	㈜/SW+좋은사람들/NNP+도/JX
올해	올해/NNG
내복	내복/NNG
생산량을	생산량/NNG+을/JKO
각각	각각/MAG
20%,	20/SN+%/SW+,/SP
50%	50/SN+%/SW
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.79.10.5
모두 겨울이 시작되기 전에 이미 생산을 끝냈다.

모두	모두/MAG
겨울이	겨울/NNG+이/JKS
시작되기	시작/NNG+되/XSV+기/ETN
전에	전/NNG+에/JKB
이미	이미/MAG
생산을	생산/NNG+을/JKO
끝냈다.	끝내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.79.10.6
하지만 주문 폭주로 물량이 달리자 공장 재가동에 나설 채비까지 하고 있다.

하지만	하지만/MAJ
주문	주문/NNG
폭주로	폭주/NNG+로/JKB
물량이	물량/NNG+이/JKS
달리자	달리/VV+자/EC
공장	공장/NNG
재가동에	재/XPN+가동/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
채비까지	채비/NNG+까지/JX
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


