# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.270
metadata : {}


# id : NWRW1800000054.270.1.1
[평창올림픽 D-203] 썰매 金 따려… '헐크'가 된 선수들

[평창올림픽	[/SS+평창/NNP+올림픽/NNG
한국 썰매는 2015~16시즌 세계 랭킹 1위에 오르는 기적을 일궈냈지만, 이어진 2016~17시즌엔 심리적 부담·부상 후유증 등이 겹치며 5위까지 밀려 어려운 시기를 보냈다.

한국	한국/NNP
썰매는	썰매/NNG+는/JX
2015~16시즌	2015/SN+~/SO+16/SN+시즌/NNG
세계	세계/NNG
랭킹	랭킹/NNG
1위에	1/SN+위/NNB+에/JKB
오르는	오르/VV+는/ETM
기적을	기적/NNG+을/JKO
일궈냈지만,	일구/VV+어/EC+내/VX+었/EP+지만/EC+,/SP
이어진	이어지/VV+ㄴ/ETM
2016~17시즌엔	2016/SN+~/SO+17/SN+시즌/NNG+에/JKB+ㄴ/JX
심리적	심리/NNG+적/XSN
부담·부상	부담/NNG+·/SP+부상/NNG
후유증	후유증/NNG
등이	등/NNB+이/JKS
겹치며	겹치/VV+며/EC
5위까지	5/SN+위/NNB+까지/JX
밀려	밀리/VV+어/EC
어려운	어렵/VA+ㄴ/ETM
시기를	시기/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.270.4.2
대표팀은 내년 올림픽 메달을 목표로 100㎏대 체중에 근육으로 뒤덮인 몸을 만들고자 땀을 흘리고 있다.

대표팀은	대표/NNG+팀/NNG+은/JX
내년	내년/NNG
올림픽	올림픽/NNG
메달을	메달/NNG+을/JKO
목표로	목표/NNG+로/JKB
100㎏대	100/SN+㎏/SW+대/XSN
체중에	체중/NNG+에/JKB
근육으로	근육/NNG+으로/JKB
뒤덮인	뒤덮이/VV+ㄴ/ETM
몸을	몸/NNG+을/JKO
만들고자	만들/VV+고자/EC
땀을	땀/NNG+을/JKO
흘리고	흘리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.270.4.3
봅슬레이 종목에서 높은 성적을 내려면 이런 '헐크' 몸매가 필수적이다.

봅슬레이	봅슬레이/NNG
종목에서	종목/NNG+에서/JKB
높은	높/VA+은/ETM
성적을	성적/NNG+을/JKO
내려면	내/VV+려면/EC
이런	이런/MMD
'헐크'	'/SS+헐크/NNP+'/SS
몸매가	몸매/NNG+가/JKS
필수적이다.	필수/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.270.5.1
스포츠계에는 '스피드가 힘을 제압한다'는 말이 있다.

스포츠계에는	스포츠/NNG+계/XSN+에/JKB+는/JX
'스피드가	'/SS+스피드/NNG+가/JKS
힘을	힘/NNG+을/JKO
제압한다'는	제압/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
말이	말/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.270.5.2
봅슬레이도 100분의 1초를 다투는 대표적 '스피드 종목'이다.

봅슬레이도	봅슬레이/NNG+도/JX
100분의	100/SN+분/XSN+의/JKG
1초를	1/SN+초/NNB+를/JKO
다투는	다투/VV+는/ETM
대표적	대표/NNG+적/XSN
'스피드	'/SS+스피드/NNG
종목'이다.	종목/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.270.5.3
그러나 봅슬레이 선수 중에는 체중 100㎏을 훌쩍 넘기는 '거구'가 즐비하다.

그러나	그러나/MAJ
봅슬레이	봅슬레이/NNG
선수	선수/NNG
중에는	중/NNB+에/JKB+는/JX
체중	체중/NNG
100㎏을	100/SN+㎏/SW+을/JKO
훌쩍	훌쩍/MAG
넘기는	넘기/VV+는/ETM
'거구'가	'/SS+거구/NNG+'/SS+가/JKS
즐비하다.	즐비하/VA+다/EF+./SF


# id : NWRW1800000054.270.5.4
현재 대표팀 에이스 파일럿인 원윤종이 109㎏, 그의 파트너 서영우가 102㎏ 정도다.

현재	현재/MAG
대표팀	대표/NNG+팀/NNG
에이스	에이스/NNG
파일럿인	파일럿/NNG+이/VCP+ㄴ/ETM
원윤종이	원윤종/NNP+이/JKS
109㎏,	109/SN+㎏/SW+,/SP
그의	그/NP+의/JKG
파트너	파트너/NNG
서영우가	서영우/NNP+가/JKS
102㎏	102/SN+㎏/SW
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.270.6.1
이는 봅슬레이 종목의 특성 때문이다.

이는	이/NP+는/JX
봅슬레이	봅슬레이/NNG
종목의	종목/NNG+의/JKG
특성	특성/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.270.6.2
썰매를 타고 얼음 트랙을 따라 산꼭대기에서 내려오는 이 종목은 일단 무게가 나가야 중력 가속도를 충분히 받을 수 있다.

썰매를	썰매/NNG+를/JKO
타고	타/VV+고/EC
얼음	얼음/NNG
트랙을	트랙/NNG+을/JKO
따라	따르/VV+아/EC
산꼭대기에서	산꼭대기/NNG+에서/JKB
내려오는	내려오/VV+는/ETM
이	이/MMD
종목은	종목/NNG+은/JX
일단	일단/MAG
무게가	무게/NNG+가/JKS
나가야	나가/VV+아야/EC
중력	중력/NNG
가속도를	가속도/NNG+를/JKO
충분히	충분히/MAG
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.270.6.3
같은 썰매 종목인 루지·스켈레톤은 선수 몸집이 크면 공기 저항도 커지기 때문에 통상 80㎏대를 유지하지만, 봅슬레이는 썰매 안에 쏙 들어갈 수 있어서 몸집이 큰 게 단점이 아니다.

같은	같/VA+은/ETM
썰매	썰매/NNG
종목인	종목/NNG+이/VCP+ㄴ/ETM
루지·스켈레톤은	루지/NNG+·/SP+스켈레톤/NNG+은/JX
선수	선수/NNG
몸집이	몸집/NNG+이/JKS
크면	크/VA+면/EC
공기	공기/NNG
저항도	저항/NNG+도/JX
커지기	커지/VV+기/ETN
때문에	때문/NNB+에/JKB
통상	통상/NNG
80㎏대를	80/SN+㎏/SW+대/XSN+를/JKO
유지하지만,	유지/NNG+하/XSV+지만/EC+,/SP
봅슬레이는	봅슬레이/NNG+는/JX
안에	안/NNG+에/JKB
쏙	쏙/MAG
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있어서	있/VA+어서/EC
큰	크/VA+ㄴ/ETM
게	거/NNB+이/JKS
단점이	단점/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000054.270.7.1
봅슬레이는 썰매와 선수 몸무게를 더해 2인승은 390㎏, 4인승은 630㎏까지 무게를 제한한다.

봅슬레이는	봅슬레이/NNG+는/JX
썰매와	썰매/NNG+와/JC
선수	선수/NNG
몸무게를	몸무게/NNG+를/JKO
더해	더/MAG+하/XSV+아/EC
2인승은	2인승/NNG+은/JX
390㎏,	390/SN+㎏/SW+,/SP
4인승은	4인승/NNG+은/JX
630㎏까지	630/SN+㎏/SW+까지/JX
무게를	무게/NNG+를/JKO
제한한다.	제한/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.270.7.2
한계 무게에 맞춰야 가장 큰 가속도가 난다.

한계	한계/NNG
무게에	무게/NNG+에/JKB
맞춰야	맞추/VV+어야/EC
가장	가장/MAG
큰	크/VA+ㄴ/ETM
가속도가	가속도/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.270.7.3
그렇다고 썰매 무게를 늘려서 한계 무게를 맞추는 건 곤란하다.

그렇다고	그렇/VA+다고/EC
썰매	썰매/NNG
무게를	무게/NNG+를/JKO
늘려서	늘리/VV+어서/EC
한계	한계/NNG
맞추는	맞추/VV+는/ETM
건	거/NNB+ㄴ/JX
곤란하다.	곤란/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.270.7.4
선수들 체중이 적으면 무거운 썰매를 밀기 힘들어 초반 스타트 구간(약 50m) 기록이 떨어지기 때문이다.

선수들	선수/NNG+들/XSN
체중이	체중/NNG+이/JKS
적으면	적/VA+으면/EC
무거운	무겁/VA+ㄴ/ETM
썰매를	썰매/NNG+를/JKO
밀기	밀/VV+기/ETN
힘들어	힘들/VA+어/EC
초반	초반/NNG
스타트	스타트/NNG
구간(약	구간/NNG+(/SS+약/MMA
50m)	50/SN+m/SW+)/SS
기록이	기록/NNG+이/JKS
떨어지기	떨어지/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.270.7.5
이용 대표팀 총감독은 "적당한 순발력을 유지하면서 힘도 충분히 낼 수 있는 신체 조건이 대략 100㎏ 안팎"이라고 했다.

이용	이용/NNP
대표팀	대표/NNG+팀/NNG
총감독은	총감독/NNG+은/JX
"적당한	"/SS+적당하/VA+ㄴ/ETM
순발력을	순발력/NNG+을/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
힘도	힘/NNG+도/JX
충분히	충분히/MAG
낼	내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
신체	신체/NNG
조건이	조건/NNG+이/JKS
대략	대략/MAG
100㎏	100/SN+㎏/SW
안팎"이라고	안팎/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.270.8.1
작년 말 봅슬레이 선수로 변신한 왕년의 단거리 에이스 여호수아(30)도 100㎏ 체중을 맞추기 위해 살 찌우기 훈련에 들어갔다.

작년	작년/NNG
말	말/NNB
봅슬레이	봅슬레이/NNG
선수로	선수/NNG+로/JKB
변신한	변신/NNG+하/XSV+ㄴ/ETM
왕년의	왕년/NNG+의/JKG
단거리	단거리/NNG
에이스	에이스/NNG
여호수아(30)도	여호수아/NNP+(/SS+30/SN+)/SS+도/JX
100㎏	100/SN+㎏/SW
체중을	체중/NNG+을/JKO
맞추기	맞추/VV+기/ETN
위해	위하/VV+아/EC
살	살/NNG
찌우기	찌우/VV+기/ETN
훈련에	훈련/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.270.8.2
여호수아는 2014 인천아시안게임 육상 200m 동메달리스트이다.

여호수아는	여호수아/NNP+는/JX
2014	2014/SN
인천아시안게임	인천/NNP+아시안/NNP+게임/NNG
육상	육상/NNG
200m	200/SN+m/SW
동메달리스트이다.	동메달리스트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.270.8.3
대표팀은 여호수아가 짧은 스타트 구간을 치고 달리는 데 탁월하다고 보고 영입했다.

대표팀은	대표/NNG+팀/NNG+은/JX
여호수아가	여호수아/NNP+가/JKS
짧은	짧/VA+은/ETM
스타트	스타트/NNG
구간을	구간/NNG+을/JKO
치고	치/VV+고/EC
달리는	달리/VV+는/ETM
데	데/NNB
탁월하다고	탁월하/VA+다고/EC
보고	보/VV+고/EC
영입했다.	영입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.270.9.1
다만 한창때 호리호리했던 몸매(74㎏)가 문제였다.

다만	다만/MAG
한창때	한창때/NNG
호리호리했던	호리호리/MAG+하/XSA+았/EP+던/ETM
몸매(74㎏)가	몸매/NNG+(/SS+74/SN+㎏/SW+)/SS+가/JKS
문제였다.	문제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.270.9.2
대표팀은 그의 '체중 불리기'를 위해 전담 영양 관리사까지 붙여 체중 증가를 돕고 있다.

대표팀은	대표/NNG+팀/NNG+은/JX
그의	그/NP+의/JKG
'체중	'/SS+체중/NNG
불리기'를	불리/VV+기/ETN+'/SS+를/JKO
위해	위하/VV+아/EC
전담	전담/NNG
영양	영양/NNG
관리사까지	관리사/NNG+까지/JX
붙여	붙이/VV+어/EC
체중	체중/NNG
증가를	증가/NNG+를/JKO
돕고	돕/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.270.9.3
아침·점심·저녁에 보충제와 야식까지 하루 5~6끼를 먹는다.

아침·점심·저녁에	아침/NNG+·/SP+점심/NNG+·/SP+저녁/NNG+에/JKB
보충제와	보충제/NNG+와/JC
야식까지	야식/NNG+까지/JX
하루	하루/NNG
5~6끼를	5/SN+~/SO+6/SN+끼/NNG+를/JKO
먹는다.	먹/VV+는다/EF+./SF


# id : NWRW1800000054.270.9.4
한 번에 먹는 식사량은 일반인의 2배 수준이다.

한	한/MMN
번에	번/NNB+에/JKB
먹는	먹/VV+는/ETM
식사량은	식사량/NNG+은/JX
일반인의	일반인/NNG+의/JKG
2배	2/SN+배/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.270.9.5
여호수아는 "육상 선수 시절 종일 먹었던 양을 지금은 한 끼에 먹는다. 입안에 꾸역꾸역 밥을 밀어 넣다 보면 정말 토할 것 같다"고 했다.

여호수아는	여호수아/NNP+는/JX
"육상	"/SS+육상/NNG
선수	선수/NNG
시절	시절/NNG
종일	종일/MAG
먹었던	먹/VV+었/EP+던/ETM
양을	양/NNG+을/JKO
지금은	지금/NNG+은/JX
한	한/MMN
끼에	끼/NNG+에/JKB
먹는다.	먹/VV+는다/EF+./SF
입안에	입/NNG+안/NNG+에/JKB
꾸역꾸역	꾸역꾸역/MAG
밥을	밥/NNG+을/JKO
밀어	밀/VV+어/EC
넣다	넣/VV+다/EC
보면	보/VX+면/EC
정말	정말/MAG
토할	토하/VV+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.270.10.1
여기에 근육 증가를 위한 훈련도 함께한다.

여기에	여기/NP+에/JKB
근육	근육/NNG
증가를	증가/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
훈련도	훈련/NNG+도/JX
함께한다.	함께/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.270.10.2
상·하체 근육을 키우는 웨이트 트레이닝을 하루 6시간씩 하고, 순발력을 기르기 위한 30~100m 단거리 전력 질주도 한다.

상·하체	상·하체/NNG
근육을	근육/NNG+을/JKO
키우는	키우/VV+는/ETM
웨이트	웨이트/NNG
트레이닝을	트레이닝/NNG+을/JKO
하루	하루/NNG
6시간씩	6/SN+시간/NNB+씩/XSN
하고,	하/VV+고/EC+,/SP
순발력을	순발력/NNG+을/JKO
기르기	기르/VV+기/ETN
위한	위하/VV+ㄴ/ETM
30~100m	30/SN+~/SO+100/SN+m/SW
단거리	단거리/NNG
전력	전력/NNG
질주도	질주/NNG+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.270.10.3
지난 반년간 하루도 빠짐없이 '먹고 운동한' 여호수아는 요즘 체중이 94㎏까지 올라왔다.

지난	지나/VV+ㄴ/ETM
반년간	반년/NNG+간/XSN
하루도	하루/NNG+도/JX
빠짐없이	빠짐없이/MAG
'먹고	'/SS+먹/VV+고/EC
운동한'	운동/NNG+하/XSV+ㄴ/ETM+'/SS
여호수아는	여호수아/NNP+는/JX
요즘	요즘/NNG
체중이	체중/NNG+이/JKS
94㎏까지	94/SN+㎏/SW+까지/JX
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.270.10.4
여호수아는 올림픽 전까지 체중 100㎏대를 맞추는 것이 목표다.

여호수아는	여호수아/NNP+는/JX
올림픽	올림픽/NNG
전까지	전/NNG+까지/JX
체중	체중/NNG
100㎏대를	100/SN+㎏/SW+대/XSN+를/JKO
맞추는	맞추/VV+는/ETM
것이	것/NNB+이/JKS
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.270.10.5
현대진 대표팀 영양 관리사는 "훈련이 고된 만큼 꾸준히 먹지 않으면 애써 찐 살이 도로 빠진다"고 했다.

현대진	현대진/NNP
대표팀	대표/NNG+팀/NNG
영양	영양/NNG
관리사는	관리사/NNG+는/JX
"훈련이	"/SS+훈련/NNG+이/JKS
고된	고되/VA+ㄴ/ETM
만큼	만큼/NNB
꾸준히	꾸준히/MAG
먹지	먹/VV+지/EC
않으면	않/VX+으면/EC
애써	애쓰/VV+어/EC
찐	찌/VV+ㄴ/ETM
살이	살/NNG+이/JKS
도로	도로/MAG
빠진다"고	빠지/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.270.10.6
특히 탄수화물 섭취를 늘릴 예정이다.

특히	특히/MAG
탄수화물	탄수화물/NNG
섭취를	섭취/NNG+를/JKO
늘릴	늘리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.270.10.7
봅슬레이는 초반 치고 달리는 스피드가 중요한데, 순식간에 힘을 끌어내는 '무산소 운동'에선 탄수화물이 가장 중요한 영양소다.

봅슬레이는	봅슬레이/NNG+는/JX
초반	초반/NNG
치고	치/VV+고/EC
달리는	달리/VV+는/ETM
스피드가	스피드/NNG+가/JKS
중요한데,	중요/NNG+하/XSA+ㄴ데/EC+,/SP
순식간에	순식/NNG+간/XSN+에/JKB
힘을	힘/NNG+을/JKO
끌어내는	끌어내/VV+는/ETM
'무산소	'/SS+무/XPN+산소/NNG
운동'에선	운동/NNG+'/SS+에서/JKB+ㄴ/JX
탄수화물이	탄수화물/NNG+이/JKS
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
영양소다.	영양소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.270.11.1
현재 캐나다 캘거리에서 전지훈련 중인 대표팀은 오는 28일 귀국한 뒤 2인승, 4인승 등 세부 종목별 대표 선수를 발표할 계획이다.

현재	현재/MAG
캐나다	캐나다/NNP
캘거리에서	캘거리/NNP+에서/JKB
전지훈련	전지훈련/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
대표팀은	대표/NNG+팀/NNG+은/JX
오는	오/VV+는/ETM
28일	28/SN+일/NNB
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
2인승,	2인승/NNG+,/SP
4인승	4인승/NNG
등	등/NNB
세부	세부/NNG
종목별	종목/NNG+별/XSN
대표	대표/NNG
선수를	선수/NNG+를/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.270.11.2
여호수아의 첫 목표는 4인승 대표팀 합류다.

여호수아의	여호수아/NNP+의/JKG
첫	첫/MMN
목표는	목표/NNG+는/JX
4인승	4인승/NNG
대표팀	대표/NNG+팀/NNG
합류다.	합류/NNG+이/VCP+다/EF+./SF


