# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.167
metadata : {}


# id : NWRW1800000046.167.1.1
防産비리 86건 1조원 규모 적발… 장성 10명 포함 63명 재판에

防産비리	防産/SH+비리/NNG
운영하겠다고	운영/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.167.3.3
이에 따라 국방부와 국세청 등에서 파견된 인원들은 당초 예정됐던 6월 말에서 연말까지 수사팀에서 활동한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
국방부와	국방부/NNG+와/JC
국세청	국세청/NNG
등에서	등/NNB+에서/JKB
파견된	파견/NNG+되/XSV+ㄴ/ETM
인원들은	인원/NNG+들/XSN+은/JX
당초	당초/NNG
예정됐던	예정/NNG+되/XSV+었/EP+던/ETM
6월	6/SN+월/NNB
말에서	말/NNB+에서/JKB
연말까지	연말/NNG+까지/JX
수사팀에서	수사/NNG+팀/NNG+에서/JKB
활동한다.	활동/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.167.4.1
합수단 수사에 따르면, '북한 AK-74에 뚫리는 불량 방탄복' '1970년대식 음파 탐지기를 장착한 최신형 군함' '전투기 정비 대금 240억원 횡령' '금품 수수 대가로 무기 중개업체에 군사 기밀 유출' 등 방산 비리는 육·해·공군과 관련 민간 업체 모두에 퍼져 있었다.

합수단	합수단/NNG
수사에	수사/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
'북한	'/SS+북한/NNP
AK-74에	AK/SL+-/SO+74/SN+에/JKB
뚫리는	뚫리/VV+는/ETM
불량	불량/NNG
방탄복'	방탄복/NNG+'/SS
'1970년대식	'/SS+1970/SN+년대/NNB+식/NNB
음파	음파/NNG
탐지기를	탐지기/NNG+를/JKO
장착한	장착/NNG+하/XSV+ㄴ/ETM
최신형	최신/NNG+형/XSN
군함'	군함/NNG+'/SS
'전투기	'/SS+전투기/NNG
정비	정비/NNG
대금	대금/NNG
240억원	240/SN+억/NR+원/NNB
횡령'	횡령/NNG+'/SS
'금품	'/SS+금품/NNG
수수	수수/NNG
대가로	대가/NNG+로/JKB
무기	무기/NNG
중개업체에	중개업체/NNG+에/JKB
군사	군사/NNG
기밀	기밀/NNG
유출'	유출/NNG+'/SS
등	등/NNB
방산	방산/NNG
비리는	비리/NNG+는/JX
육·해·공군과	육·해·공군/NNG+과/JKB
관련	관련/NNG
민간	민간/NNG
업체	업체/NNG
모두에	모두/NNG+에/JKB
퍼져	퍼지/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.167.4.2
건별로는 총 86건 중 문서 위·변조가 25건으로 가장 많았고, 뇌물 수수·공여가 21건, 군사 기밀 관련 범죄 7건 등이었다.

건별로는	건별/NNG+로/JKB+는/JX
총	총/MMA
86건	86/SN+건/NNB
중	중/NNB
문서	문서/NNG
위·변조가	위·변조/NNG+가/JKS
25건으로	25/SN+건/NNB+으로/JKB
가장	가장/MAG
많았고,	많/VA+았/EP+고/EC+,/SP
뇌물	뇌물/NNG
수수·공여가	수수/NNG+·/SP+공여/NNG+가/JKS
21건,	21/SN+건/NNB+,/SP
군사	군사/NNG
기밀	기밀/NNG
관련	관련/NNG
범죄	범죄/NNG
7건	7/SN+건/NNB
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.167.4.3
합수단은 전·현직 군인이 유착하기 쉬운 조건에서 방위사업청의 허술한 관리·감독이 방산 비리를 고착화시켰다고 지적했다.

합수단은	합수단/NNG+은/JX
전·현직	전·현직/NNG
군인이	군인/NNG+이/JKS
유착하기	유착/NNG+하/XSV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
조건에서	조건/NNG+에서/JKB
방위사업청의	방위/NNG+사업청/NNG+의/JKG
허술한	허술하/VA+ㄴ/ETM
관리·감독이	관리/NNG+·/SP+감독/NNG+이/JKS
방산	방산/NNG
비리를	비리/NNG+를/JKO
고착화시켰다고	고착/NNG+화/XSN+시키/XSV+었/EP+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.167.5.1
합수단이 그동안 재판에 넘긴 63명 중 전·현직 군인이 38명이다.

합수단이	합수단/NNG+이/JKS
그동안	그동안/NNG
재판에	재판/NNG+에/JKB
넘긴	넘기/VV+ㄴ/ETM
63명	63/SN+명/NNB
중	중/NNB
전·현직	전·현직/NNG
군인이	군인/NNG+이/JKS
38명이다.	38/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.167.5.2
정옥근(63)·황기철(58) 전 해군참모총장 등 장성급 장교가 10명, 영관급 장교는 27명이다.

정옥근(63)·황기철(58)	정옥근/NNP+(/SS+63/SN+)/SS+·/SP+황기철/NNP+(/SS+58/SN+)/SS
전	전/MMD
해군참모총장	해군/NNG+참모/NNG+총장/NNG
등	등/NNB
장성급	장성급/NNG
장교가	장교/NNG+가/JKS
10명,	10/SN+명/NNB+,/SP
영관급	영관급/NNG
장교는	장교/NNG+는/JX
27명이다.	27/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.167.5.3
해군이 28명으로 육군과 공군을 합친 10명의 3배에 달했고, 비리 사업 규모도 총 9809억원 중 해군이 8402억원으로 대부분을 차지했다.

해군이	해군/NNG+이/JKS
28명으로	28/SN+명/NNB+으로/JKB
육군과	육군/NNG+과/JC
공군을	공군/NNG+을/JKO
합친	합치/VV+ㄴ/ETM
10명의	10/SN+명/NNB+의/JKG
3배에	3/SN+배/NNG+에/JKB
달했고,	달하/VV+았/EP+고/EC+,/SP
비리	비리/NNG
사업	사업/NNG
규모도	규모/NNG+도/JX
총	총/MMA
9809억원	9809/SN+억/NR+원/NNB
중	중/NNB
8402억원으로	8402/SN+억/NR+원/NNB+으로/JKB
대부분을	대/XPN+부분/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.167.5.4
방산 비리가 해군에 집중된 이유로 합수단 관계자는 "해군 함정에 수백~수천개 장비가 들어가는데 각각 납품 계약이 이뤄져 부정이 개입할 여지가 많았다"며 "같은 함정에 탑승하면서 생긴 끈끈한 선후배 문화가 방산 비리라는 부작용으로 이어진 측면도 있다"고 설명했다.

방산	방산/NNG
비리가	비리/NNG+가/JKS
해군에	해군/NNG+에/JKB
집중된	집중/NNG+되/XSV+ㄴ/ETM
이유로	이유/NNG+로/JKB
합수단	합수단/NNG
관계자는	관계자/NNG+는/JX
"해군	"/SS+해군/NNG
함정에	함정/NNG+에/JKB
수백~수천개	수백/NR+~/SO+수천/NR+개/NNB
장비가	장비/NNG+가/JKS
들어가는데	들어가/VV+는데/EC
각각	각각/MAG
납품	납품/NNG
계약이	계약/NNG+이/JKS
이뤄져	이뤄지/VV+어/EC
부정이	부정/NNG+이/JKS
개입할	개입/NNG+하/XSV+ㄹ/ETM
여지가	여지/NNB+가/JKS
많았다"며	많/VA+았/EP+다/EF+"/SS+며/EC
"같은	"/SS+같/VA+은/ETM
탑승하면서	탑승/NNG+하/XSV+면서/EC
생긴	생기/VV+ㄴ/ETM
끈끈한	끈끈하/VA+ㄴ/ETM
선후배	선후배/NNG
문화가	문화/NNG+가/JKS
비리라는	비리/NNG+이/VCP+라는/ETM
부작용으로	부작용/NNG+으로/JKB
이어진	이어지/VV+ㄴ/ETM
측면도	측면/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.167.6.1
민간인 중 김양(62) 전 국가보훈처장은 이탈리아·영국 합작 방산업체 아구스타웨스트랜드(AW)로부터 로비 대가로 14억원을 받은 혐의로 이날 구속기소됐다.

민간인	민간인/NNG
중	중/NNB
김양(62)	김/NNP+양/NNB+(/SS+62/SN+)/SS
전	전/MMD
국가보훈처장은	국가/NNG+보훈처장/NNG+은/JX
이탈리아·영국	이탈리아/NNP+·/SP+영국/NNP
합작	합작/NNG
방산업체	방산업체/NNG
아구스타웨스트랜드(AW)로부터	아구스타웨스트랜드/NNP+(/SS+AW/SL+)/SS+로부터/JKB
로비	로비/NNG
대가로	대가/NNG+로/JKB
14억원을	14/SN+억/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
이날	이날/NNG
구속기소됐다.	구속/NNG+기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.167.6.2
김 전 처장은 해군의 해상작전헬기 도입 모델로 AW의 와일드캣이 선정되도록 돕는 대가로 2011년 11월부터 고문료 명목으로 65억원을 약속받고, 이 중 14억원을 받은 것으로 조사됐다.

김	김/NNP
전	전/MMD
처장은	처장/NNG+은/JX
해군의	해군/NNG+의/JKG
해상작전헬기	해상/NNG+작전/NNG+헬기/NNG
도입	도입/NNG
모델로	모델/NNG+로/JKB
AW의	AW/SL+의/JKG
와일드캣이	와일드캣/NNP+이/JKS
선정되도록	선정/NNG+되/XSV+도록/EC
돕는	돕/VV+는/ETM
대가로	대가/NNG+로/JKB
2011년	2011/SN+년/NNB
11월부터	11/SN+월/NNB+부터/JX
고문료	고문료/NNG
명목으로	명목/NNG+으로/JKB
65억원을	65/SN+억/NR+원/NNB+을/JKO
약속받고,	약속/NNG+받/XSV+고/EC+,/SP
이	이/MMD
중	중/NNB
14억원을	14/SN+억/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


