# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.322
metadata : {}


# id : NWRW1800000033.322.1.1
김정은, ‘제1비서’ 이어 노동당 3권 모두 장악

김정은,	김정은/NNP+,/SP
중앙군사위는	중앙군사위/NNP+는/JX
국방위와	국방위/NNG+와/JKB
더불어	더불/VV+어/EC
군사	군사/NNG
분야와	분야/NNG+와/JC
국방사업	국방/NNG+사업/NNG
전반을	전반/NNG+을/JKO
지도하는	지도/NNG+하/XSV+는/ETM
조직이다.	조직/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.322.7.1
당 조직뿐만 아니라 군·보안 조직도 김정은의 측근들로 채워졌다.

당	당/NNG
조직뿐만	조직/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
군·보안	군/NNG+·/SP+보안/NNG
조직도	조직/NNG+도/JX
김정은의	김정은/NNP+의/JKG
측근들로	측근/NNG+들/XSN+로/JKB
채워졌다.	채우/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.322.7.2
조선중앙통신은 “최룡해 정치국 상무위원(62)이 군 총정치국장으로, 김정각 정치국 위원(71)이 인민무력부장으로 2012년 4월부터 사업하고 있다”고 밝혔다.

조선중앙통신은	조선중앙통신/NNP+은/JX
“최룡해	“/SS+최룡해/NNP
정치국	정치국/NNG
상무위원(62)이	상무위원/NNG+(/SS+62/SN+)/SS+이/JKS
군	군/NNG
총정치국장으로,	총정치국장/NNG+으로/JKB+,/SP
김정각	김정각/NNP
위원(71)이	위원/NNG+(/SS+71/SN+)/SS+이/JKS
인민무력부장으로	인민무력부장/NNG+으로/JKB
2012년	2012/SN+년/NNB
4월부터	4/SN+월/NNB+부터/JX
사업하고	사업/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.322.7.3
최룡해는 빨치산 출신 최현의 아들로 김정은의 부상과 함께 떠오른 인물이다.

최룡해는	최룡해/NNP+는/JX
빨치산	빨치산/NNG
출신	출신/NNG
최현의	최현/NNP+의/JKG
아들로	아들/NNG+로/JKB
김정은의	김정은/NNP+의/JKG
부상과	부상/NNG+과/JKB
함께	함께/MAG
떠오른	떠오르/VV+ㄴ/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.322.7.4
이에 따라 최측근 이영호가 총참모장을 맡은 것을 비롯해 총정치국장, 인민무력부장 등 군 지도체계의 3대 축이 모두 김정은의 손에 들어갔다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
최측근	최/XPN+측근/NNG
이영호가	이영호/NNP+가/JKS
총참모장을	총참모장/NNG+을/JKO
맡은	맡/VV+은/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
총정치국장,	총정치국장/NNG+,/SP
인민무력부장	인민무력부장/NNG
등	등/NNB
군	군/NNG
지도체계의	지도/NNG+체계/NNG+의/JKG
3대	3/SN+대/NNG
축이	축/NNG+이/JKS
모두	모두/MAG
김정은의	김정은/NNP+의/JKG
손에	손/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.322.8.1
최근 최룡해와 함께 차수로 승진한 현철해 국방위 국장(78)이 인민무력부 제1부부장 겸 후방총국장으로, 김원홍 총정치국 조직부국장(67)이 한국의 국가정보원장에 해당하는 국가안전보위부장에 임명된 사실도 이날 공개됐다.

최근	최근/NNG
최룡해와	최룡해/NNP+와/JKB
함께	함께/MAG
차수로	차수/NNG+로/JKB
승진한	승진/NNG+하/XSV+ㄴ/ETM
현철해	현철해/NNP
국방위	국방위/NNG
국장(78)이	국장/NNG+(/SS+78/SN+)/SS+이/JKS
인민무력부	인민/NNG+무력부/NNG
제1부부장	제/XPN+1/SN+부부장/NNG
겸	겸/NNB
후방총국장으로,	후방/NNG+총국장/NNG+으로/JKB+,/SP
김원홍	김원홍/NNP
총정치국	총정치국/NNG
조직부국장(67)이	조직/NNG+부국장/NNG+(/SS+67/SN+)/SS+이/JKS
한국의	한국/NNP+의/JKG
국가정보원장에	국가/NNG+정보원장/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
국가안전보위부장에	국가안전보위부장/NNG+에/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
사실도	사실/NNG+도/JX
이날	이날/NNG
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.322.8.2
당초 김정일 장례차를 호위했던 ‘파워 7인’ 중 한 명이었던 우동측 국가안전보위부 제1부부장(73)이 부장으로 승진할 것이라는 전망은 빗나갔다.

당초	당초/NNG
김정일	김정일/NNP
장례차를	장례차/NNG+를/JKO
호위했던	호위/NNG+하/XSV+았/EP+던/ETM
‘파워	‘/SS+파워/NNG
7인’	7/SN+인/NNG+’/SS
중	중/NNB
한	한/MMN
명이었던	명/NNB+이/VCP+었/EP+던/ETM
우동측	우동측/NNP
국가안전보위부	국가/NNG+안전/NNG+보위부/NNG
제1부부장(73)이	제/XPN+1/SN+부부장/NNG+(/SS+73/SN+)/SS+이/JKS
부장으로	부장/NNG+으로/JKB
승진할	승진/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망은	전망/NNG+은/JX
빗나갔다.	빗나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.322.8.3
경찰청장 격인 이명수 인민보안부장(78)은 당 중앙군사위원으로 발탁됐다.

경찰청장	경찰청장/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
이명수	이명수/NNP
인민보안부장(78)은	인민보안부장/NNG+(/SS+78/SN+)/SS+은/JX
당	당/NNG
중앙군사위원으로	중앙/NNG+군사/NNG+위원/NNG+으로/JKB
발탁됐다.	발탁/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.322.9.1
‘함남의 불길’이라는 캐치프레이즈로 생산력 증대 모델이 된 곽범기 전 함경남도 책임비서(73)는 정치국 후보위원, 중앙위 비서, 중앙위 부장을 한꺼번에 부여받았다.

‘함남의	‘/SS+함남/NNP+의/JKG
불길’이라는	불길/NNG+’/SS+이/VCP+라는/ETM
캐치프레이즈로	캐치프레이즈/NNG+로/JKB
생산력	생산력/NNG
증대	증대/NNG
모델이	모델/NNG+이/JKC
된	되/VV+ㄴ/ETM
곽범기	곽범기/NNP
전	전/MMD
함경남도	함경남도/NNP
책임비서(73)는	책임비서/NNG+(/SS+73/SN+)/SS+는/JX
정치국	정치국/NNG
후보위원,	후보/NNG+위원/NNG+,/SP
중앙위	중앙위/NNG
비서,	비서/NNG+,/SP
부장을	부장/NNG+을/JKO
한꺼번에	한꺼번에/MAG
부여받았다.	부여/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.322.9.2
2007년 총리에서 해임돼 비날론공장 책임자로 쫓겨 갔던 박봉주(72)와 김정각에게 인민무력부장 자리를 내준 김영춘(78)도 당 중앙위 부장으로 되살아났다.

2007년	2007/SN+년/NNB
총리에서	총리/NNG+에서/JKB
해임돼	해임/NNG+되/XSV+어/EC
비날론공장	비날론/NNG+공장/NNG
책임자로	책임자/NNG+로/JKB
쫓겨	쫓기/VV+어/EC
갔던	가/VV+았/EP+던/ETM
박봉주(72)와	박봉주/NNP+(/SS+72/SN+)/SS+와/JC
김정각에게	김정각/NNP+에게/JKB
인민무력부장	인민무력부장/NNG
자리를	자리/NNG+를/JKO
내준	내주/VV+ㄴ/ETM
김영춘(78)도	김영춘/NNP+(/SS+78/SN+)/SS+도/JX
당	당/NNG
중앙위	중앙위/NNG
부장으로	부장/NNG+으로/JKB
되살아났다.	되살아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.322.10.1
이날 공개된 노동당 규약 서문 개정판은 ‘조선노동당은 위대한 김일성 동지와 김정일 동지의 당이며 김일성-김정일주의를 유일한 지도사상으로 한다’고 규정했다.

이날	이날/NNG
공개된	공개/NNG+되/XSV+ㄴ/ETM
노동당	노동당/NNP
규약	규약/NNG
서문	서문/NNG
개정판은	개정판/NNG+은/JX
‘조선노동당은	‘/SS+조선노동당/NNP+은/JX
위대한	위대하/VA+ㄴ/ETM
김일성	김일성/NNP
동지와	동지/NNG+와/JC
김정일	김정일/NNP
동지의	동지/NNG+의/JKG
당이며	당/NNG+이/VCP+며/EC
김일성-김정일주의를	김일성/NNP+-/SO+김정일/NNP+주의/NNG+를/JKO
유일한	유일/NNG+하/XSA+ㄴ/ETM
지도사상으로	지도사상/NNG+으로/JKB
한다’고	하/VV+ㄴ다/EF+’/SS+고/JKQ
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.322.10.2
기존에는 ‘김일성의 당’ ‘김일성주의’라고 돼 있었다.

기존에는	기존/NNG+에/JKB+는/JX
‘김일성의	‘/SS+김일성/NNP+의/JKG
당’	당/NNG+’/SS
‘김일성주의’라고	‘/SS+김일성/NNP+주의/NNG+’/SS+이/VCP+라고/EC
돼	되/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.322.10.3
또 김정은이 맡은 제1비서의 위상을 “당의 수반으로서 당을 대표하고 전당을 영도한다”고 못 박아 ‘김정은 영도체제’를 분명히 했다.

또	또/MAG
김정은이	김정은/NNP+이/JKS
맡은	맡/VV+은/ETM
제1비서의	제/XPN+1/SN+비서/NNG+의/JKG
위상을	위상/NNG+을/JKO
“당의	“/SS+당/NNG+의/JKG
수반으로서	수반/NNG+으로서/JKB
당을	당/NNG+을/JKO
대표하고	대표/NNG+하/XSV+고/EC
전당을	전당/NNG+을/JKO
영도한다”고	영도/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
못	못/NNG
박아	박/VV+아/EC
‘김정은	‘/SS+김정은/NNP
영도체제’를	영도/NNG+체제/NNG+’/SS+를/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.322.11.1
북한은 13일 최고인민회의를 열어 국방위원회 등 국가기구에 대한 인선을 통해 당·군·정 전체에 대한 김정은 체제 구축을 마무리한다.

북한은	북한/NNP+은/JX
13일	13/SN+일/NNB
최고인민회의를	최고인민회의/NNG+를/JKO
열어	열/VV+어/EC
국방위원회	국방/NNG+위원회/NNG
등	등/NNB
국가기구에	국가/NNG+기구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인선을	인선/NNG+을/JKO
통해	통하/VV+아/EC
당·군·정	당/NNG+·/SP+군/NNG+·/SP+정/NNG
전체에	전체/NNG+에/JKB
김정은	김정은/NNP
체제	체제/NNG
구축을	구축/NNG+을/JKO
마무리한다.	마무리/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.322.11.2
이번 회의에서 김정은이 국방위원장 자리를 승계할 것인지 주목된다.

이번	이번/NNG
회의에서	회의/NNG+에서/JKB
김정은이	김정은/NNP+이/JKS
국방위원장	국방/NNG+위원장/NNG
자리를	자리/NNG+를/JKO
승계할	승계/NNG+하/XSV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.322.11.3
전문가들은 북한이 김정일 생전에 후계체제 구축 차원에서 국방위의 권한을 강화해온 점을 들어 김정은이 국방위원장직에 추대될 것으로 예상하고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
북한이	북한/NNP+이/JKS
김정일	김정일/NNP
생전에	생전/NNG+에/JKB
후계체제	후계/NNG+체제/NNG
구축	구축/NNG
차원에서	차원/NNG+에서/JKB
국방위의	국방위/NNG+의/JKG
권한을	권한/NNG+을/JKO
강화해온	강화/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
점을	점/NNG+을/JKO
들어	들/VV+어/EC
김정은이	김정은/NNP+이/JKS
국방위원장직에	국방/NNG+위원장직/NNG+에/JKB
추대될	추대/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


