# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.16
metadata : {}


# id : NWRW1800000025.16.1.1
[건강]오른쪽이 더 예쁜 내 얼굴, 왜?

[건강]오른쪽이	[/SS+건강/NNG+]/SS+오른쪽/NNG+이/JKS
턱은	턱/NNG+은/JX
갸름한	갸름하/VA+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
왼쪽	왼쪽/NNG
각이	각/NNG+이/JKS
심하게	심하/VA+게/EC
져	지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.16.4.2
그래서 오른쪽 얼굴은 여성스러운 느낌을 주지만 왼쪽 얼굴은 화난 듯한 인상을 풍긴다.

그래서	그래서/MAJ
오른쪽	오른쪽/NNG
얼굴은	얼굴/NNG+은/JX
여성스러운	여성/NNG+스럽/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
주지만	주/VV+지만/EC
왼쪽	왼쪽/NNG
화난	화나/VV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
인상을	인상/NNG+을/JKO
풍긴다.	풍기/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.16.4.3
그러다 보니 박 씨는 얼굴에 대한 콤플렉스가 생겼다.

그러다	그러/VV+다/EC
보니	보/VX+니/EC
박	박/NNP
씨는	씨/NNB+는/JX
얼굴에	얼굴/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
콤플렉스가	콤플렉스/NNG+가/JKS
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.16.5.1
성형을 고려하던 박 씨는 병원을 찾았다가 자신이 ‘안면비대칭’이라는 사실을 알게 됐다.

성형을	성형/NNG+을/JKO
고려하던	고려/NNG+하/XSV+던/ETM
박	박/NNP
씨는	씨/NNB+는/JX
병원을	병원/NNG+을/JKO
찾았다가	찾/VV+았/EP+다가/EC
자신이	자신/NNG+이/JKS
‘안면비대칭’이라는	‘/SS+안면/NNG+비/XPN+대칭/NNG+’/SS+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.16.5.2
‘두 얼굴 같다’는 평가도 안면비대칭 때문이라는 것.

‘두	‘/SS+두/MMN
얼굴	얼굴/NNG
같다’는	같/VA+다/EF+’/SS+는/ETM
평가도	평가/NNG+도/JX
안면비대칭	안면/NNG+비/XPN+대칭/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.16.6.1
사람의 얼굴은 대부분 좌우가 서로 똑같지 않다.

사람의	사람/NNG+의/JKG
얼굴은	얼굴/NNG+은/JX
대부분	대/XPN+부분/NNG
좌우가	좌우/NNG+가/JKS
서로	서로/MAG
똑같지	똑같/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.16.6.2
눈과 귀의 생김새가 조금씩 차이가 있는 것과 같은 이치다.

눈과	눈/NNG+과/JC
귀의	귀/NNG+의/JKG
생김새가	생김새/NNG+가/JKS
조금씩	조금/NNG+씩/XSN
차이가	차이/NNG+가/JKS
있는	있/VA+는/ETM
것과	것/NNB+과/JKB
같은	같/VA+은/ETM
이치다.	이치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.16.6.3
하지만 대개 외관상으로는 크게 드러나지 않는다.

하지만	하지만/MAJ
대개	대개/MAG
외관상으로는	외관/NNG+상/XSN+으로/JKB+는/JX
크게	크/VA+게/EC
드러나지	드러나/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000025.16.6.4
문제는 좌우 비대칭이 심하게 드러나는 경우.

문제는	문제/NNG+는/JX
좌우	좌우/NNG
비대칭이	비/XPN+대칭/NNG+이/JKS
심하게	심하/VA+게/EC
드러나는	드러나/VV+는/ETM
경우.	경우/NNG+./SF


# id : NWRW1800000025.16.7.1
드림성형외과 본원 김영준 원장은 “안면비대칭은 양쪽 얼굴이 심하게 다른 증상”이라면서 “선천적 또는 후천적으로 턱의 성장에 이상이 있거나 부정교합, 외상 등이 원인”이라고 말했다.

드림성형외과	드림성형외과/NNP
본원	본원/NNG
김영준	김영준/NNP
원장은	원장/NNG+은/JX
“안면비대칭은	“/SS+안면/NNG+비/XPN+대칭/NNG+은/JX
양쪽	양쪽/NNG
얼굴이	얼굴/NNG+이/JKS
심하게	심하/VA+게/EC
다른	다르/VA+ㄴ/ETM
증상”이라면서	증상/NNG+”/SS+이/VCP+라면서/EC
“선천적	“/SS+선천/NNG+적/XSN
또는	또는/MAG
후천적으로	후천/NNG+적/XSN+으로/JKB
턱의	턱/NNG+의/JKG
성장에	성장/NNG+에/JKB
이상이	이상/NNG+이/JKS
있거나	있/VA+거나/EC
부정교합,	부정/NNG+교합/NNG+,/SP
외상	외상/NNG
등이	등/NNB+이/JKS
원인”이라고	원인/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.16.8.1
안면비대칭은 턱이 한쪽만 돌출되거나 휜 경우가 가장 흔하다.

안면비대칭은	안면/NNG+비/XPN+대칭/NNG+은/JX
턱이	턱/NNG+이/JKS
한쪽만	한쪽/NNG+만/JX
돌출되거나	돌출/NNG+되/XSV+거나/EC
휜	휘/VV+ㄴ/ETM
경우가	경우/NNG+가/JKS
가장	가장/MAG
흔하다.	흔하/VA+다/EF+./SF


# id : NWRW1800000025.16.8.2
외모 콤플렉스에 시달리는 큰 이유 중 하나도 안면비대칭이다.

외모	외모/NNG
콤플렉스에	콤플렉스/NNG+에/JKB
시달리는	시달리/VV+는/ETM
큰	크/VA+ㄴ/ETM
이유	이유/NNG
중	중/NNB
하나도	하나/NR+도/JX
안면비대칭이다.	안면/NNG+비/XPN+대칭/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.16.8.3
안면비대칭은 턱관절 이상을 유발하기도 한다.

안면비대칭은	안면/NNG+비/XPN+대칭/NNG+은/JX
턱관절	턱관절/NNG
이상을	이상/NNG+을/JKO
유발하기도	유발/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.16.8.4
턱관절 이상이 나타나면 턱 주위에 통증이 생기거나 두통, 만성피로, 어깨 결림 증상이 수반된다.

턱관절	턱관절/NNG
이상이	이상/NNG+이/JKS
나타나면	나타나/VV+면/EC
턱	턱/NNG
주위에	주위/NNG+에/JKB
통증이	통증/NNG+이/JKS
생기거나	생기/VV+거나/EC
두통,	두통/NNG+,/SP
만성피로,	만성/NNG+피로/NNG+,/SP
어깨	어깨/NNG
결림	결림/NNG
증상이	증상/NNG+이/JKS
수반된다.	수반/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.16.9.1
김 원장은 “이럴 때는 안면비대칭 교정시술을 고려해보는 것이 좋다”면서 “‘소프트 라인(soft line) 성형’이 최근 주목받고 있다”고 말했다.

김	김/NNP
원장은	원장/NNG+은/JX
“이럴	“/SS+이렇/VA+ㄹ/ETM
때는	때/NNG+는/JX
안면비대칭	안면/NNG+비/XPN+대칭/NNG
교정시술을	교정/NNG+시술/NNG+을/JKO
고려해보는	고려/NNG+하/XSV+아/EC+보/VX+는/ETM
것이	것/NNB+이/JKS
좋다”면서	좋/VA+다/EF+”/SS+면서/EC
“‘소프트	“/SS+‘/SS+소프트/NNG
라인(soft	라인/NNG+(/SS+soft/SL
line)	line/SL+)/SS
성형’이	성형/NNG+’/SS+이/JKS
최근	최근/NNG
주목받고	주목/NNG+받/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.16.10.1
소프트 라인 성형은 위아래 턱의 위치를 바로잡고 과도하게 돌출된 부분을 다듬어 균형 있는 얼굴을 만드는 시술법.

소프트	소프트/NNG
라인	라인/NNG
성형은	성형/NNG+은/JX
위아래	위아래/NNG
턱의	턱/NNG+의/JKG
위치를	위치/NNG+를/JKO
바로잡고	바로잡/VV+고/EC
과도하게	과도/NNG+하/XSA+게/EC
돌출된	돌출/NNG+되/XSV+ㄴ/ETM
부분을	부분/NNG+을/JKO
다듬어	다듬/VV+어/EC
균형	균형/NNG
있는	있/VA+는/ETM
얼굴을	얼굴/NNG+을/JKO
만드는	만들/VV+는/ETM
시술법.	시술법/NNG+./SF


# id : NWRW1800000025.16.10.2
턱을 전체적으로 움직여 수정하기 때문에 갸름하고 볼륨 있는 얼굴로 바뀌는 효과를 볼 수 있다.

턱을	턱/NNG+을/JKO
전체적으로	전체/NNG+적/XSN+으로/JKB
움직여	움직이/VV+어/EC
수정하기	수정/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
갸름하고	갸름하/VA+고/EC
볼륨	볼륨/NNG
있는	있/VA+는/ETM
얼굴로	얼굴/NNG+로/JKB
바뀌는	바뀌/VV+는/ETM
효과를	효과/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.16.11.1
김 원장은 “소프트 라인 성형은 1회 시술로 안면비대칭은 물론 사각 턱, 주걱턱, 광대뼈 돌출, 돌출 입 등을 교정할 수 있다”면서 “입 안을 최소로 절개하기 때문에 흉터가 남지 않고 회복기간이 다른 수술에 비해 상대적으로 짧은 편”이라고 설명했다.

김	김/NNP
원장은	원장/NNG+은/JX
“소프트	“/SS+소프트/NNG
라인	라인/NNG
성형은	성형/NNG+은/JX
1회	1/SN+회/NNB
시술로	시술/NNG+로/JKB
안면비대칭은	안면/NNG+비/XPN+대칭/NNG+은/JX
물론	물론/MAG
사각	사각/NNG
턱,	턱/NNG+,/SP
주걱턱,	주걱턱/NNG+,/SP
광대뼈	광대뼈/NNG
돌출,	돌출/NNG+,/SP
돌출	돌출/NNG
입	입/NNG
등을	등/NNB+을/JKO
교정할	교정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”면서	있/VA+다/EF+”/SS+면서/EC
“입	“/SS+입/NNG
안을	안/NNG+을/JKO
최소로	최소/NNG+로/JKB
절개하기	절개/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
흉터가	흉터/NNG+가/JKS
남지	남/VV+지/EC
않고	않/VX+고/EC
회복기간이	회복/NNG+기간/NNG+이/JKS
다른	다른/MMD
수술에	수술/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
짧은	짧/VA+은/ETM
편”이라고	편/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


