# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.200
metadata : {}


# id : NWRW1800000022.200.1.1
[도서] 동아시아 구법승과 인도의 불교 유적

[도서]	[/SS+도서/NNG+]/SS
'구법(求法)',	'/SS+구법/NNG+(/SS+求法/SH+)/SS+'/SS+,/SP
즉	즉/MAG
부처님의	부처/NNP+님/XSN+의/JKG
말씀이	말씀/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
경전을	경전/NNG+을/JKO
얻기	얻/VV+기/ETN
위해	위하/VV+아/EC
인도의	인도/NNP+의/JKG
부처님	부처/NNP+님/XSN
유적지를	유적지/NNG+를/JKO
순례한	순례/NNG+하/XSV+ㄴ/ETM
중국·한국·일본의	중국/NNP+·/SP+한국/NNP+·/SP+일본/NNP+의/JKG
스님들이다.	스님/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.200.5.1
이들이 인도 순례를 떠난 것은 대부분 불교 교리에 대한 학구열 때문이었다.

이들이	이/NP+들/XSN+이/JKS
인도	인도/NNP
순례를	순례/NNG+를/JKO
떠난	떠나/VV+ㄴ/ETM
것은	것/NNB+은/JX
대부분	대/XPN+부분/NNG
불교	불교/NNG
교리에	교리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
학구열	학구열/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.200.5.2
대표적인 구법승(求法僧)인 현장(602~664) 스님은 경전이 제대로 번역되지 않아 의미가 모호한 것을 못 참고 인도로 떠났다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
구법승(求法僧)인	구법승/NNG+(/SS+求法僧/SH+)/SS+이/VCP+ㄴ/ETM
현장(602~664)	현장/NNP+(/SS+602/SN+~/SO+664/SN+)/SS
스님은	스님/NNG+은/JX
경전이	경전/NNG+이/JKS
제대로	제대로/MAG
번역되지	번역/NNG+되/XSV+지/EC
않아	않/VX+아/EC
의미가	의미/NNG+가/JKS
모호한	모호하/VA+ㄴ/ETM
것을	것/NNB+을/JKO
못	못/MAG
참고	참/VV+고/EC
인도로	인도/NNP+로/JKB
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.200.5.3
그러나 그런 구법행(行)은 생명과 평생을 걸어야 하는 위험한 일이었다.

그러나	그러나/MAJ
그런	그런/MMD
구법행(行)은	구법/NNG+행/NNG+(/SS+行/SH+)/SS+은/JX
생명과	생명/NNG+과/JC
평생을	평생/NNG+을/JKO
걸어야	걸/VV+어야/EC
하는	하/VX+는/ETM
위험한	위험/NNG+하/XSA+ㄴ/ETM
일이었다.	일/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.200.5.4
타클라마칸 사막과 텐산 산맥을 넘어 아프가니스탄·파키스탄·네팔을 거치는 육로나 해로(海路)를 이용해 인도로 갔던 구법승 가운데 10% 정도만이 살아서 귀국했다는 기록이 있을 정도이다.

타클라마칸	타클라마칸/NNP
사막과	사막/NNG+과/JC
텐산	텐산/NNP
산맥을	산맥/NNG+을/JKO
넘어	넘/VV+어/EC
아프가니스탄·파키스탄·네팔을	아프가니스탄/NNP+·/SP+파키스탄/NNP+·/SP+네팔/NNP+을/JKO
거치는	거치/VV+는/ETM
육로나	육로/NNG+나/JC
해로(海路)를	해로/NNG+(/SS+海路/SH+)/SS+를/JKO
이용해	이용/NNG+하/XSV+아/EC
인도로	인도/NNP+로/JKB
갔던	가/VV+았/EP+던/ETM
구법승	구법승/NNG
가운데	가운데/NNG
10%	10/SN+%/SW
정도만이	정도/NNG+만/JX+이/JKS
살아서	살/VV+아서/EC
귀국했다는	귀국/NNG+하/XSV+았/EP+다는/ETM
기록이	기록/NNG+이/JKS
있을	있/VA+을/ETM
정도이다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.200.5.5
현장 스님의 경우 17년간(629~645) 인도에 머물렀고, 그보다 앞선 법현 스님도 11년간(399~410) 체류했다.

현장	현장/NNP
스님의	스님/NNG+의/JKG
경우	경우/NNG
17년간(629~645)	17/SN+년/NNB+간/XSN+(/SS+629/SN+~/SO+645/SN+)/SS
인도에	인도/NNP+에/JKB
머물렀고,	머무르/VV+었/EP+고/EC+,/SP
그보다	그/NP+보다/JKB
앞선	앞서/VV+ㄴ/ETM
법현	법현/NNP
스님도	스님/NNG+도/JX
11년간(399~410)	11/SN+년/NNB+간/XSN+(/SS+399/SN+~/SO+410/SN+)/SS
체류했다.	체류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.200.5.6
신라의 혜초 스님도 4년간 인도에 머물렀다.

신라의	신라/NNP+의/JKG
혜초	혜초/NNP
스님도	스님/NNG+도/JX
4년간	4/SN+년/NNB+간/XSN
인도에	인도/NNP+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.200.6.1
이들의 인도 방문은 경전 확보와 불상 수입 등 가시적 성과 외에도 당시 인도와 인도 불교의 상황을 파악하는데 결정적 단서를 제공한다.

이들의	이/NP+들/XSN+의/JKG
인도	인도/NNP
방문은	방문/NNG+은/JX
경전	경전/NNG
확보와	확보/NNG+와/JC
불상	불상/NNG
수입	수입/NNG
등	등/NNB
가시적	가시/NNG+적/XSN
성과	성과/NNG
외에도	외/NNB+에/JKB+도/JX
당시	당시/NNG
인도와	인도/NNP+와/JC
불교의	불교/NNG+의/JKG
상황을	상황/NNG+을/JKO
파악하는데	파악/NNG+하/XSV+는/ETM+데/NNB
결정적	결정/NNG+적/XSN
단서를	단서/NNG+를/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.200.6.2
현장 스님이 당 태종의 명으로 작성한 《대당서역기(大唐西域記)》가 대표적인 예이다.

현장	현장/NNP
스님이	스님/NNG+이/JKS
당	당/NNP
태종의	태종/NNP+의/JKG
명으로	명/NNG+으로/JKB
작성한	작성/NNG+하/XSV+ㄴ/ETM
《대당서역기(大唐西域記)》가	《/SS+대당서역기/NNP+(/SS+大唐西域記/SH+)/SS+》/SS+가/JKS
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
예이다.	예/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.200.6.3
이런 기록은 훗날 인도에서 불교가 거의 소멸되다시피 한 상황에서 당시를 이해하는 데 없어서는 안 될 귀중한 자료가 되고 있다.

이런	이런/MMD
기록은	기록/NNG+은/JX
훗날	훗날/NNG
인도에서	인도/NNP+에서/JKB
불교가	불교/NNG+가/JKS
거의	거의/MAG
소멸되다시피	소멸/NNG+되/XSV+다시피/EC
한	하/VX+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
당시를	당시/NNG+를/JKO
이해하는	이해/NNG+하/XSV+는/ETM
데	데/NNB
없어서는	없/VA+어서/EC+는/JX
안	안/MAG
될	되/VV+ㄹ/ETM
귀중한	귀중하/VA+ㄴ/ETM
자료가	자료/NNG+가/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.200.7.1
이주형 서울대 교수를 비롯한 8명의 불교학·불교미술사 전공자들은 구법승들의 자취를 오늘의 시각과 현장감각으로 되짚어 방대한 역작을 완성했다.

이주형	이주형/NNP
서울대	서울대/NNP
교수를	교수/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
8명의	8/SN+명/NNB+의/JKG
불교학·불교미술사	불교학/NNG+·/SP+불교/NNG+미술사/NNG
전공자들은	전공자/NNG+들/XSN+은/JX
구법승들의	구법승/NNG+들/XSN+의/JKG
자취를	자취/NNG+를/JKO
오늘의	오늘/NNG+의/JKG
시각과	시각/NNG+과/JC
현장감각으로	현장/NNG+감각/NNG+으로/JKB
되짚어	되짚/VV+어/EC
방대한	방대하/VA+ㄴ/ETM
역작을	역작/NNG+을/JKO
완성했다.	완성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.200.7.2
이들은 한국학술진흥재단의 지원을 받아 3년에 걸쳐 인도를 직접 답사함으로써 문헌과 실제 유적·유물을 종합적으로 조사했다.

이들은	이/NP+들/XSN+은/JX
한국학술진흥재단의	한국/NNP+학술/NNG+진흥/NNG+재단/NNG+의/JKG
지원을	지원/NNG+을/JKO
받아	받/VV+아/EC
3년에	3/SN+년/NNB+에/JKB
걸쳐	걸치/VV+어/EC
인도를	인도/NNP+를/JKO
직접	직접/MAG
답사함으로써	답사/NNG+하/XSV+ㅁ/ETN+으로써/JKB
문헌과	문헌/NNG+과/JC
실제	실제/NNG
유적·유물을	유적/NNG+·/SP+유물/NNG+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.200.8.1
그 결과 전체 3부로 나뉜 이 책의 1부는 법현의 《법현전》, 현장의 《대당서역기》, 의정의 《대당서역구법고승전》, 혜초의 《왕오천축국전》등의 문헌을 분석·정리해 보여준다.

그	그/MMD
결과	결과/NNG
전체	전체/NNG
3부로	3/SN+부/NNB+로/JKB
나뉜	나뉘/VV+ㄴ/ETM
이	이/MMD
책의	책/NNG+의/JKG
1부는	1/SN+부/NNB+는/JX
법현의	법현/NNP+의/JKG
《법현전》,	《/SS+법현전/NNP+》/SS+,/SP
현장의	현장/NNP+의/JKG
《대당서역기》,	《/SS+대당서역기/NNP+》/SS+,/SP
의정의	의정/NNP+의/JKG
《대당서역구법고승전》,	《/SS+대당서역구법고승전/NNP+》/SS+,/SP
혜초의	혜초/NNP+의/JKG
《왕오천축국전》등의	《/SS+왕오천축국전/NNP+》/SS+등/NNB+의/JKG
문헌을	문헌/NNG+을/JKO
분석·정리해	분석/NNG+·/SP+정리/NNG+하/XSV+아/EC
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.200.8.2
2부는 위의 자료들에서 언급된 마투라, 사르나트, 보드가야, 날란다 등의 불교유적과 유물을 직접 답사한 결과를 낱낱이 수록했다.

2부는	2/SN+부/NNB+는/JX
위의	위/NNG+의/JKG
자료들에서	자료/NNG+들/XSN+에서/JKB
언급된	언급/NNG+되/XSV+ㄴ/ETM
마투라,	마투라/NNP+,/SP
사르나트,	사르나트/NNP+,/SP
보드가야,	보드가야/NNP+,/SP
날란다	날란다/NNP
등의	등/NNB+의/JKG
불교유적과	불교/NNG+유적/NNG+과/JC
유물을	유물/NNG+을/JKO
직접	직접/MAG
답사한	답사/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
낱낱이	낱낱이/MAG
수록했다.	수록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.200.8.3
인도 불교미술의 발전 과정과 구법승의 왕래를 통해 영향을 주고받은 아시아 불교미술의 관계를 보여준다.

인도	인도/NNP
불교미술의	불교/NNG+미술/NNG+의/JKG
발전	발전/NNG
과정과	과정/NNG+과/JC
구법승의	구법승/NNG+의/JKG
왕래를	왕래/NNG+를/JKO
통해	통하/VV+아/EC
영향을	영향/NNG+을/JKO
주고받은	주고받/VV+은/ETM
아시아	아시아/NNP
관계를	관계/NNG+를/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.200.8.4
200여장의 사진·도면·도판 등 시각자료를 통해 인도 불교미술 자료집의 역할을 하고 있다.

200여장의	200/SN+여/XSN+장/NNB+의/JKG
사진·도면·도판	사진/NNG+·/SP+도면/NNG+·/SP+도판/NNG
등	등/NNB
시각자료를	시각/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
인도	인도/NNP
불교미술	불교/NNG+미술/NNG
자료집의	자료집/NNG+의/JKG
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.200.8.5
마지막 3부는 구법승과 인도 불교미술에 대한 기초 데이터베이스라 할 수 있다.

마지막	마지막/NNG
3부는	3/SN+부/NNB+는/JX
구법승과	구법승/NNG+과/JC
인도	인도/NNP
불교미술에	불교/NNG+미술/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기초	기초/NNG
데이터베이스라	데이터베이스/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.200.8.6
구법행과 관련된 자료와 인명 등의 표를 수록했다.

구법행과	구법/NNG+행/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
자료와	자료/NNG+와/JC
인명	인명/NNG
등의	등/NNB+의/JKG
표를	표/NNG+를/JKO
수록했다.	수록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.200.9.1
4~11세기 수백 명의 구법승이 인도를 오가며 뿌려놓은 작은 점들을 이어 하나의 거대한 그림을 완성한 셈이다.

4~11세기	4/SN+~/SO+11/SN+세기/NNG
수백	수백/NR
명의	명/NNB+의/JKG
구법승이	구법승/NNG+이/JKS
인도를	인도/NNP+를/JKO
오가며	오가/VV+며/EC
뿌려놓은	뿌리/VV+어/EC+놓/VX+은/ETM
작은	작/VA+은/ETM
점들을	점/NNG+들/XSN+을/JKO
이어	잇/VV+어/EC
하나의	하나/NR+의/JKG
거대한	거대/NNG+하/XSA+ㄴ/ETM
그림을	그림/NNG+을/JKO
완성한	완성/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


