# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.384
metadata : {}


# id : NWRW1800000028.384.1.1
10월 끝자락…가을축제로 초대합니다

10월	10/SN+월/NNB
2시부터는	2/SN+시/NNB+부터/JX+는/JX
동두천	동두천/NNP
시내에서	시내/NNG+에서/JKB
26사단	26/SN+사단/NNG
국악대와	국악대/NNG+와/JC
취타대,	취타대/NNG+,/SP
시립	시립/NNG
풍물단	풍물단/NNG
등	등/NNB
300여명이	300/SN+여/XSN+명/NNB+이/JKS
참여해	참여/NNG+하/XSV+아/EC
조선	조선/NNP
초기	초기/NNG
북벌장수였던	북벌/NNG+장수/NNG+이/VCP+었/EP+던/ETM
어유소	어유소/NNP
장군의	장군/NNG+의/JKG
행차	행차/NNG
행렬을	행렬/NNG+을/JKO
재현하는	재현/NNG+하/XSV+는/ETM
행사가	행사/NNG+가/JKS
열려	열리/VV+어/EC
관람객의	관람객/NNG+의/JKG
흥을	흥/NNG+을/JKO
돋울	돋우/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


