# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.264
metadata : {}


# id : NWRW1800000032.264.1.1
“이태진 국편위원장 발언은 면피성교과서 집필기준 고쳐 재고시해야”

“이태진	“/SS+이태진/NNP
한다고	하/VX+ㄴ다고/EC
해놓고,	하/VV+아/EC+놓/VX+고/EC+,/SP
민주화	민주/NNG+화/XSN
운동에	운동/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
뒤늦게	뒤늦/VA+게/EC
문제가	문제/NNG+가/JKC
되니까	되/VV+니까/EC
‘대강화(요약)	‘/SS+대강/MAG+화/XSN+(/SS+요약/NNG+)/SS
원칙’이라고	원칙/NNG+’/SS+이라고/JKQ
핑계를	핑계/NNG+를/JKO
대고	대/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“꼭	“/SS+꼭/MAG
들어가야	들어가/VV+아야/EC
하는	하/VX+는/ETM
내용은	내용/NNG+은/JX
국편	국편/NNG
위원장이	위원장/NNG+이/JKS
구두로	구두/NNG+로/JKB
할	하/VV+ㄹ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
집필기준에	집필/NNG+기준/NNG+에/JKB
명시돼야	명시/NNG+되/XSV+어야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
재고시가	재/XPN+고시/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.264.7.1
중학교 역사교과서 집필자의 한 명인 서울의 한 고교 교사는 “집필기준에 맥락과 함께 제시되지 않으면 용어만 달랑 쓰고 역사적 의미를 제대로 전달하지 않을 수도 있다”며 “대강화 원칙에 따라 집필기준이 이전보다 보수화했기 때문에 갈등을 피하고자 하는 출판사들은 위원장이 구두로 제시한 것에 크게 개의치 않을 것 같다”고 말했다.

중학교	중학교/NNG
역사교과서	역사/NNG+교과서/NNG
집필자의	집필자/NNG+의/JKG
한	한/MMN
명인	명/NNB+이/VCP+ㄴ/ETM
서울의	서울/NNP+의/JKG
고교	고교/NNG
교사는	교사/NNG+는/JX
“집필기준에	“/SS+집필/NNG+기준/NNG+에/JKB
맥락과	맥락/NNG+과/JKB
함께	함께/MAG
제시되지	제시/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
용어만	용어/NNG+만/JX
달랑	달랑/MAG
쓰고	쓰/VV+고/EC
역사적	역사/NNG+적/XSN
의미를	의미/NNG+를/JKO
제대로	제대로/MAG
전달하지	전달/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
수도	수/NNB+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“대강화	“/SS+대강/MAG+화/XSN
원칙에	원칙/NNG+에/JKB
따라	따르/VV+아/EC
집필기준이	집필/NNG+기준/NNG+이/JKS
이전보다	이전/NNG+보다/JKB
보수화했기	보수/NNG+화/XSN+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
갈등을	갈등/NNG+을/JKO
피하고자	피하/VV+고자/EC
하는	하/VX+는/ETM
출판사들은	출판사/NNG+들/XSN+은/JX
위원장이	위원장/NNG+이/JKS
구두로	구두/NNG+로/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
크게	크/VA+게/EC
개의치	개의/NNG+하/XSV+지/EC
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.264.8.1
한편 이 위원장은 이날 기자간담회에서 이번 집필기준에 포함된 ‘독재화’라는 용어와 관련해 “박정희 정권도 처음부터 독재를 한 게 아니고 민주주의를 하려다가 장기 집권을 통해 점차 독재를 하게 된 것”이라고 설명해 논란을 낳았다.

한편	한편/MAG
이	이/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
이번	이번/NNG
집필기준에	집필/NNG+기준/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
‘독재화’라는	‘/SS+독재/NNG+화/XSN+’/SS+이/VCP+라는/ETM
용어와	용어/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“박정희	“/SS+박정희/NNP
정권도	정권/NNG+도/JX
처음부터	처음/NNG+부터/JX
독재를	독재/NNG+를/JKO
한	하/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니고	아니/VCN+고/EC
민주주의를	민주주의/NNG+를/JKO
하려다가	하/VV+려다가/EC
장기	장기/NNG
집권을	집권/NNG+을/JKO
통해	통하/VV+아/EC
점차	점차/MAG
하게	하/VV+게/EC
된	되/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명해	설명/NNG+하/XSV+아/EC
논란을	논란/NNG+을/JKO
낳았다.	낳/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.264.8.2
주진오 교수는 “박정희의 목표가 민주주의를 하려는 것이었다는 뜻인데, 이는 독재를 미화하려는 역사관”이라며 “교과부와 국편은 독재 미화를 위해 독재 관련 내용을 축소한 것일 뿐, 집필진의 자율을 위해 ‘대강화 원칙’을 적용한 게 아닌 것으로 보인다”고 말했다.

주진오	주진오/NNP
교수는	교수/NNG+는/JX
“박정희의	“/SS+박정희/NNP+의/JKG
목표가	목표/NNG+가/JKS
민주주의를	민주주의/NNG+를/JKO
하려는	하/VV+려는/ETM
것이었다는	것/NNB+이/VCP+었/EP+다는/ETM
뜻인데,	뜻/NNG+이/VCP+ㄴ데/EC+,/SP
이는	이/NP+는/JX
독재를	독재/NNG+를/JKO
미화하려는	미화/NNG+하/XSV+려는/ETM
역사관”이라며	역사관/NNG+”/SS+이/VCP+라며/EC
“교과부와	“/SS+교과부/NNG+와/JC
국편은	국편/NNG+은/JX
독재	독재/NNG
미화를	미화/NNG+를/JKO
위해	위하/VV+아/EC
관련	관련/NNG
내용을	내용/NNG+을/JKO
축소한	축소/NNG+하/XSV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐,	뿐/NNB+,/SP
집필진의	집필진/NNG+의/JKG
자율을	자율/NNG+을/JKO
‘대강화	‘/SS+대강/MAG+화/XSN
원칙’을	원칙/NNG+’/SS+을/JKO
적용한	적용/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKC
아닌	아니/VCN+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


