# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.376
metadata : {}


# id : NWRW1800000046.376.1.1
롯데 분쟁, 父子(신격호· 신동빈) 정면충돌

롯데	롯데/NNP
신 총괄회장은 이 녹음에서 일본어로 "쓰쿠다(일본 롯데홀딩스 사장)는 그만두게 했으니까 강제로 그만두게 해야지. 신동빈도 그만두게 했잖아"라고 말했다.

신	신/NNP
총괄회장은	총괄/NNG+회장/NNG+은/JX
이	이/MMD
녹음에서	녹음/NNG+에서/JKB
일본어로	일본어/NNP+로/JKB
"쓰쿠다(일본	"/SS+쓰쿠다/NNP+(/SS+일본/NNP
롯데홀딩스	롯데홀딩스/NNP
사장)는	사장/NNG+)/SS+는/JX
그만두게	그만두/VV+게/EC
했으니까	하/VX+았/EP+으니까/EC
강제로	강제/NNG+로/JKB
해야지.	하/VX+아야지/EC+./SF
신동빈도	신동빈/NNP+도/JX
했잖아"라고	하/VX+았/EP+잖아/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.376.5.3
또 "동빈이가 아버지를 대표이사에서 내려오게 했다"는 신 전 부회장의 말을 듣고는 "동빈이가? 그래도 가만히 있을 거냐"며 역정을 냈다.

또	또/MAG
"동빈이가	"/SS+동빈이/NNP+가/JKS
아버지를	아버지/NNG+를/JKO
대표이사에서	대표/NNG+이사/NNG+에서/JKB
내려오게	내려오/VV+게/EC
했다"는	하/VX+았/EP+다/EF+"/SS+는/ETM
신	신/NNP
전	전/MMD
부회장의	부회장/NNG+의/JKG
말을	말/NNG+을/JKO
듣고는	듣/VV+고/EC+는/JX
"동빈이가?	"/SS+동빈이/NNP+가/JKS+?/SF
그래도	그러/VV+어도/EC
가만히	가만히/MAG
있을	있/VV+을/ETM
거냐"며	거/NNB+이/VCP+냐/EF+"/SS+며/EC
역정을	역정/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.376.6.1
신동주 전 부회장 측은 또 "신 총괄회장이 지난달 17일 신 전 부회장을 한국 롯데그룹의 회장으로 임명했다"고 주장하면서 관련 서류를 공개했다.

신동주	신동주/NNP
전	전/MMD
부회장	부회장/NNG
측은	측/NNB+은/JX
또	또/MAG
"신	"/SS+신/NNP
총괄회장이	총괄/NNG+회장/NNG+이/JKS
지난달	지난달/NNG
17일	17/SN+일/NNB
신	신/NNP
부회장을	부회장/NNG+을/JKO
한국	한국/NNP
롯데그룹의	롯데그룹/NNP+의/JKG
회장으로	회장/NNG+으로/JKB
임명했다"고	임명/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
주장하면서	주장/NNG+하/XSV+면서/EC
관련	관련/NNG
서류를	서류/NNG+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.376.6.2
손으로 쓰인 이 문서에는 '차남인 신동빈 롯데그룹 회장을 후계자로 승인한 사실이 없다'는 내용도 들어 있다.

손으로	손/NNG+으로/JKB
쓰인	쓰이/VV+ㄴ/ETM
이	이/MMD
문서에는	문서/NNG+에/JKB+는/JX
'차남인	'/SS+차남/NNG+이/VCP+ㄴ/ETM
신동빈	신동빈/NNP
롯데그룹	롯데그룹/NNP
회장을	회장/NNG+을/JKO
후계자로	후계자/NNG+로/JKB
승인한	승인/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
없다'는	없/VA+다/EF+'/SS+는/ETM
내용도	내용/NNG+도/JX
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.376.6.3
신 전 부회장 측은 "글씨는 신 총괄회장이 직접 쓰지 않았지만 서명과 직인은 신 총괄회장의 것"이라고 밝혔다고 KBS는 전했다.

신	신/NNP
전	전/MMD
부회장	부회장/NNG
측은	측/NNB+은/JX
"글씨는	"/SS+글씨/NNG+는/JX
총괄회장이	총괄/NNG+회장/NNG+이/JKS
직접	직접/MAG
쓰지	쓰/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
서명과	서명/NNG+과/JC
직인은	직인/NNG+은/JX
총괄회장의	총괄/NNG+회장/NNG+의/JKG
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다고	밝히/VV+었/EP+다고/EC
KBS는	KBS/SL+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.376.7.1
롯데그룹 측은 이에 대해 "경영과 전혀 관련 없는 분들에 의해 차단된 가운데 만들어진 녹취와 지시서로 의도가 의심스럽다"면서 "총괄회장의 의중이 경영 전반에 매우 중요한 부분이라도 상법상 원칙을 벗어나 법적 효력이 없는 의사 결정까지 인정할 수는 없다"고 말했다.

롯데그룹	롯데그룹/NNP
측은	측/NNB+은/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
"경영과	"/SS+경영/NNG+과/JKB
전혀	전혀/MAG
관련	관련/NNG
없는	없/VA+는/ETM
분들에	분/NNB+들/XSN+에/JKB
의해	의하/VV+아/EC
차단된	차단/NNG+되/XSV+ㄴ/ETM
가운데	가운데/NNG
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
녹취와	녹취/NNG+와/JC
지시서로	지시서/NNG+로/JKB
의도가	의도/NNG+가/JKS
의심스럽다"면서	의심/NNG+스럽/XSA+다/EF+"/SS+면서/EC
"총괄회장의	"/SS+총괄/NNG+회장/NNG+의/JKG
의중이	의중/NNG+이/JKS
경영	경영/NNG
전반에	전반/NNG+에/JKB
매우	매우/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
부분이라도	부분/NNG+이/VCP+라도/EC
상법상	상법/NNG+상/XSN
원칙을	원칙/NNG+을/JKO
벗어나	벗어나/VV+아/EC
법적	법/NNG+적/XSN
효력이	효력/NNG+이/JKS
의사	의사/NNG
결정까지	결정/NNG+까지/JX
인정할	인정/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


