# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.364
metadata : {}


# id : NWRW1800000041.364.1.1
“격앙된 정윤회 씨, 법적 대응 통해 역사에 남기겠다고 말해”

“격앙된	“/SS+격앙/NNG+되/XSV+ㄴ/ETM
정 씨 측의 한 인사는 이날 본보 기자와 만나 “세계일보가 문제의 보고서를 보도한 지난달 28일 오전 정 씨에게서 연락이 와 ‘이게 말이 되는 얘기냐’며 강력하게 법적 대응을 하겠다고 했다”면서 “(정 씨가) 굉장히 격앙된 상태였다”고 전했다.

정	정/NNP
씨	씨/NNB
측의	측/NNB+의/JKG
한	한/MMN
인사는	인사/NNG+는/JX
이날	이날/NNG
본보	본보/NNG
기자와	기자/NNG+와/JKB
만나	만나/VV+아/EC
“세계일보가	“/SS+세계일보/NNP+가/JKS
문제의	문제/NNG+의/JKG
보고서를	보고서/NNG+를/JKO
보도한	보도/NNG+하/XSV+ㄴ/ETM
지난달	지난달/NNG
28일	28/SN+일/NNB
오전	오전/NNG
씨에게서	씨/NNB+에게서/JKB
연락이	연락/NNG+이/JKS
와	오/VV+아/EC
‘이게	‘/SS+이거/NP+이/JKS
말이	말/NNG+이/JKC
되는	되/VV+는/ETM
얘기냐’며	얘기/NNG+이/VCP+냐/EF+’/SS+며/EC
강력하게	강력/NNG+하/XSA+게/EC
법적	법/NNG+적/XSN
대응을	대응/NNG+을/JKO
하겠다고	하/VV+겠/EP+다고/EC
했다”면서	하/VV+았/EP+다/EF+”/SS+면서/EC
“(정	“/SS+(/SS+정/NNP
씨가)	씨/NNB+가/JKS+)/SS
굉장히	굉장히/MAG
격앙된	격앙/NNG+되/XSV+ㄴ/ETM
상태였다”고	상태/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.364.4.2
정 씨는 이미 변호사를 선임했으며, 이번 주 중에 형사고소와 민사소송을 제기할 예정이다.

정	정/NNP
씨는	씨/NNB+는/JX
이미	이미/MAG
변호사를	변호사/NNG+를/JKO
선임했으며,	선임/NNG+하/XSV+았/EP+으며/EC+,/SP
이번	이번/NNG
주	주/NNG
중에	중/NNB+에/JKB
형사고소와	형사/NNG+고소/NNG+와/JC
민사소송을	민사/NNG+소송/NNG+을/JKO
제기할	제기/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.364.5.1
이 인사는 정 씨에게 “언론 보도에 대응할 때는 신중해야 한다.

이	이/MMD
인사는	인사/NNG+는/JX
정	정/NNP
씨에게	씨/NNB+에게/JKB
“언론	“/SS+언론/NNG
보도에	보도/NNG+에/JKB
대응할	대응/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
신중해야	신중/NNG+하/XSA+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.364.5.2
확정판결이 날 때까지 실익이 없을 수도 있다.

확정판결이	확정/NNG+판결/NNG+이/JKS
날	나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
실익이	실익/NNG+이/JKS
없을	없/VA+을/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.364.5.3
소송에서 이긴다고 해서 명예가 바로 회복되거나 진실로 받아들여질지 회의적이다.

소송에서	소송/NNG+에서/JKB
이긴다고	이기/VV+ㄴ다고/EC
해서	하/VV+아서/EC
명예가	명예/NNG+가/JKS
바로	바로/MAG
회복되거나	회복/NNG+되/XSV+거나/EC
진실로	진실로/MAG
받아들여질지	받아들이/VV+어/EC+지/VX+ㄹ지/EF
회의적이다.	회의/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.364.5.4
오히려 끝없이 당신을 공격할 것이고 그러면 당신이 입는 타격이 어마어마하니 이런 점을 각오해야 한다”고 조언했다고 밝혔다.

오히려	오히려/MAG
끝없이	끝없이/MAG
당신을	당신/NP+을/JKO
공격할	공격/NNG+하/XSV+ㄹ/ETM
것이고	것/NNB+이/VCP+고/EC
그러면	그러면/MAJ
당신이	당신/NP+이/JKS
입는	입/VV+는/ETM
타격이	타격/NNG+이/JKS
어마어마하니	어마어마하/VA+니/EC
이런	이런/MMD
점을	점/NNG+을/JKO
각오해야	각오/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
조언했다고	조언/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.364.5.5
그럼에도 정 씨는 “더이상 두고 볼 수 없다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
정	정/NNP
씨는	씨/NNB+는/JX
“더이상	“/SS+더/MAG+이상/NNG
두고	두/VV+고/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.364.5.6
이걸 기록으로 밝혀놔야 한다”며 뜻을 굽히지 않았다는 것.

이걸	이거/NP+ㄹ/JKO
기록으로	기록/NNG+으로/JKB
밝혀놔야	밝히/VV+어/EC+놓/VX+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
뜻을	뜻/NNG+을/JKO
굽히지	굽히/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.364.5.7
정 씨는 “역사의 기록으로, 공적인 문서로 사실이 무엇인지 남겨놔야 한다.

정	정/NNP
씨는	씨/NNB+는/JX
“역사의	“/SS+역사/NNG+의/JKG
기록으로,	기록/NNG+으로/JKB+,/SP
공적인	공/NNG+적/XSN+이/VCP+ㄴ/ETM
문서로	문서/NNG+로/JKB
사실이	사실/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC
남겨놔야	남기/VV+어/EC+놓/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.364.5.8
내가 대응을 하지 않으면 역사에는 내가 (국정에 개입한 비선 실세라는) 그런 사람으로 남지 않겠느냐.

내가	내/NP+가/JKS
대응을	대응/NNG+을/JKO
하지	하/VV+지/EC
않으면	않/VX+으면/EC
역사에는	역사/NNG+에/JKB+는/JX
(국정에	(/SS+국정/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
비선	비선/NNG
실세라는)	실세/NNG+이/VCP+라는/ETM+)/SS
그런	그런/MMD
사람으로	사람/NNG+으로/JKB
남지	남/VV+지/EC
않겠느냐.	않/VX+겠/EP+느냐/EF+./SF


# id : NWRW1800000041.364.5.9
나는 뭐가 되느냐”며 강경한 어조로 말했다고 한다.

나는	나/NP+는/JX
뭐가	뭐/NP+가/JKS
되느냐”며	되/VV+느냐/EF+”/SS+며/EC
강경한	강경/NNG+하/XSA+ㄴ/ETM
어조로	어조/NNG+로/JKB
말했다고	말/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.364.6.1
정 씨 측은 청와대 동향보고서 내용이 전혀 사실무근이며 소설과 다름없는 얘기라는 입장을 거듭 강조했다.

정	정/NNP
씨	씨/NNB
측은	측/NNB+은/JX
청와대	청와대/NNP
동향보고서	동향/NNG+보고서/NNG
내용이	내용/NNG+이/JKS
전혀	전혀/MAG
사실무근이며	사실무근/NNG+이/VCP+며/EC
소설과	소설/NNG+과/JKB
다름없는	다름없/VA+는/ETM
얘기라는	얘기/NNG+이/VCP+라는/ETM
입장을	입장/NNG+을/JKO
거듭	거듭/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.364.6.2
정 씨 측 인사는 “청와대 내부에서 그런 문건이 보고서로 만들어져 유출됐다고 하는데, 우리는 그런 보고서가 있는지도 모르고 관여할 일도 아니다”라면서 “우리로서는 근거가 없는 얘기들을 그대로 보도한 데 따른 책임을 묻겠다는 것”이라고 밝혔다.

정	정/NNP
씨	씨/NNB
측	측/NNB
인사는	인사/NNG+는/JX
“청와대	“/SS+청와대/NNP
내부에서	내부/NNG+에서/JKB
그런	그런/MMD
문건이	문건/NNG+이/JKS
보고서로	보고서/NNG+로/JKB
만들어져	만들/VV+어/EC+지/VX+어/EC
유출됐다고	유출/NNG+되/XSV+었/EP+다고/EC
하는데,	하/VV+는데/EC+,/SP
우리는	우리/NP+는/JX
보고서가	보고서/NNG+가/JKS
있는지도	있/VA+는지/EF+도/JX
모르고	모르/VV+고/EC
관여할	관여/NNG+하/XSV+ㄹ/ETM
일도	일/NNG+도/JX
아니다”라면서	아니/VCN+다/EF+”/SS+라면서/EC
“우리로서는	“/SS+우리/NP+로서/JKB+는/JX
근거가	근거/NNG+가/JKS
없는	없/VA+는/ETM
얘기들을	얘기/NNG+들/XSN+을/JKO
그대로	그대로/MAG
보도한	보도/NNG+하/XSV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
책임을	책임/NNG+을/JKO
묻겠다는	묻/VV+겠/EP+다는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.364.6.3
그는 이어 “대한민국이 왕정국가도 아니고 민주주의 절차에 의해서 움직이는 나라인데, 예전에 (박근혜 대통령의) 비서실장을 했다는 이유만으로 지금은 별개의 삶을 살아가는 사람에게 국정 개입을 했다는 것은 정 씨를 완전히 죽이는 일이다.

그는	그/NP+는/JX
이어	이어/MAG
“대한민국이	“/SS+대한민국/NNP+이/JKS
왕정국가도	왕정/NNG+국가/NNG+도/JX
아니고	아니/VCN+고/EC
민주주의	민주주의/NNG
절차에	절차/NNG+에/JKB
의해서	의하/VV+아서/EC
움직이는	움직이/VV+는/ETM
나라인데,	나라/NNG+이/VCP+ㄴ데/EC+,/SP
예전에	예전/NNG+에/JKB
(박근혜	(/SS+박근혜/NNP
대통령의)	대통령/NNG+의/JKG+)/SS
비서실장을	비서실장/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
이유만으로	이유/NNG+만/JX+으로/JKB
지금은	지금/NNG+은/JX
별개의	별개/NNG+의/JKG
삶을	삶/NNG+을/JKO
살아가는	살아가/VV+는/ETM
사람에게	사람/NNG+에게/JKB
국정	국정/NNG
개입을	개입/NNG+을/JKO
것은	것/NNB+은/JX
정	정/NNP
씨를	씨/NNB+를/JKO
완전히	완전히/MAG
죽이는	죽이/VV+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.364.6.4
일부 언론 때문에 정 씨가 트라우마에 걸려 있을 정도다”라고 말했다.

일부	일부/NNG
언론	언론/NNG
때문에	때문/NNB+에/JKB
정	정/NNP
씨가	씨/NNB+가/JKS
트라우마에	트라우마/NNG+에/JKB
걸려	걸리/VV+어/EC
있을	있/VX+을/ETM
정도다”라고	정도/NNG+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.364.7.1
정 씨가 해외로 출국했다는 일각의 소문에 대해 이 인사는 “낭설이다.

정	정/NNP
씨가	씨/NNB+가/JKS
해외로	해외/NNG+로/JKB
출국했다는	출국/NNG+하/XSV+았/EP+다는/ETM
일각의	일각/NNG+의/JKG
소문에	소문/NNG+에/JKB
대해	대하/VV+아/EC
이	이/MMD
인사는	인사/NNG+는/JX
“낭설이다.	“/SS+낭설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.364.7.2
그런 말까지 지어내는 사람들은 도대체 누구냐.

그런	그런/MMD
말까지	말/NNG+까지/JX
지어내는	지어내/VV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
도대체	도대체/MAG
누구냐.	누구/NP+이/VCP+냐/EF+./SF


# id : NWRW1800000041.364.7.3
그 사람들 입맛대로 하면 지금쯤 (정 씨가) 외국 나가서 잠적해 버려야 미스터리가 되고 재미있겠지만 정 씨는 (국내에서) 조용히 살고 있다”고 전했다.

그	그/MMD
사람들	사람/NNG+들/XSN
입맛대로	입맛/NNG+대로/JX
하면	하/VV+면/EC
지금쯤	지금/NNG+쯤/XSN
(정	(/SS+정/NNP
씨가)	씨/NNB+가/JKS+)/SS
외국	외국/NNG
나가서	나가/VV+아서/EC
잠적해	잠적/NNG+하/XSV+아/EC
버려야	버리/VX+어야/EC
미스터리가	미스터리/NNG+가/JKC
되고	되/VV+고/EC
재미있겠지만	재미있/VA+겠/EP+지만/EC
정	정/NNP
씨는	씨/NNB+는/JX
(국내에서)	(/SS+국내/NNG+에서/JKB+)/SS
조용히	조용히/MAG
살고	살/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.364.8.1
또 정 씨가 박 대통령의 동생 지만 씨를 미행했다는 의혹이 올해 3월 시사저널에 보도된 직후 정 씨가 박지만 씨를 찾아가 무릎을 꿇고 빌었다는 청와대 문건 작성자 박모 경정의 인터뷰 내용에 대해서도 그는 “말이 안 되는 소리다.

또	또/MAG
정	정/NNP
씨가	씨/NNB+가/JKS
박	박/NNP
대통령의	대통령/NNG+의/JKG
동생	동생/NNG
지만	지만/NNP
씨를	씨/NNB+를/JKO
미행했다는	미행/NNG+하/XSV+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
올해	올해/NNG
3월	3/SN+월/NNB
시사저널에	시사저널/NNP+에/JKB
보도된	보도/NNG+되/XSV+ㄴ/ETM
직후	직후/NNG
박지만	박지만/NNP
찾아가	찾아가/VV+아/EC
무릎을	무릎/NNG+을/JKO
꿇고	꿇/VV+고/EC
빌었다는	빌/VV+었/EP+다는/ETM
청와대	청와대/NNP
문건	문건/NNG
작성자	작성자/NNG
박모	박/NNP+모/NP
경정의	경정/NNG+의/JKG
인터뷰	인터뷰/NNG
내용에	내용/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
그는	그/NP+는/JX
“말이	“/SS+말/NNG+이/JKS
안	안/MAG
되는	되/VV+는/ETM
소리다.	소리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.364.8.2
그걸 읽는 사람은 재미있어 하겠지만 소설 같은 얘기일 뿐이다”라고 일축했다.

그걸	그거/NP+ㄹ/JKO
읽는	읽/VV+는/ETM
사람은	사람/NNG+은/JX
재미있어	재미있/VA+어/EC
하겠지만	하/VX+겠/EP+지만/EC
소설	소설/NNG
같은	같/VA+은/ETM
얘기일	얘기/NNG+이/VCP+ㄹ/ETM
뿐이다”라고	뿐/NNB+이/VCP+다/EF+”/SS+라고/JKQ
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


