# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.182
metadata : {}


# id : NWRW1800000028.182.1.1
‘하토야마 개혁’ 미완의 꿈으로

‘하토야마	‘/SS+하토야마/NNP
끝나지	끝나/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.182.7.1
그는 또 자신의 별명이 “‘우주인’인 이유는 내가 지금 일본의 모습이 아니라 5년, 10년 뒤 일본의 모습을 줄곧 이야기해왔기 때문이라고 생각한다”며 “5년, 10년 뒤에는 국민 여러분이 하토야마가 이야기하는 말의 뜻을 알아줄 때가 온다고 확신한다”고 말했다.

그는	그/NP+는/JX
또	또/MAG
자신의	자신/NNG+의/JKG
별명이	별명/NNG+이/JKS
“‘우주인’인	“/SS+‘/SS+우주인/NNG+’/SS+이/VCP+ㄴ/ETM
이유는	이유/NNG+는/JX
내가	내/NP+가/JKS
지금	지금/MAG
일본의	일본/NNP+의/JKG
모습이	모습/NNG+이/JKC
아니라	아니/VCN+라/EC
5년,	5/SN+년/NNB+,/SP
10년	10/SN+년/NNB
뒤	뒤/NNG
모습을	모습/NNG+을/JKO
줄곧	줄곧/MAG
이야기해왔기	이야기/NNG+하/XSV+아/EC+오/VX+았/EP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“5년,	“/SS+5/SN+년/NNB+,/SP
뒤에는	뒤/NNG+에/JKB+는/JX
국민	국민/NNG
여러분이	여러분/NP+이/JKS
하토야마가	하토야마/NNP+가/JKS
이야기하는	이야기/NNG+하/XSV+는/ETM
말의	말/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
알아줄	알아주/VV+ㄹ/ETM
때가	때/NNG+가/JKS
온다고	오/VV+ㄴ다고/EC
확신한다”고	확신/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.182.8.1
어린이수당, 고교교육 무상화 등 하토야마 정권은 짧은 기간에 기존 자민당 정권에선 상상할 수 없었던 일들을 실현했다.

어린이수당,	어린이/NNG+수당/NNG+,/SP
고교교육	고교/NNG+교육/NNG
무상화	무상/NNG+화/XSN
등	등/NNB
하토야마	하토야마/NNP
정권은	정권/NNG+은/JX
짧은	짧/VA+은/ETM
기간에	기간/NNG+에/JKB
기존	기존/NNG
자민당	자민당/NNP
정권에선	정권/NNG+에서/JKB+ㄴ/JX
상상할	상상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
일들을	일/NNG+들/XSN+을/JKO
실현했다.	실현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.182.8.2
하지만 그 역시 보수파의 벽 앞에서 전통적인 미국 위주의 대외관계 틀을 벗어나지 못했다.

하지만	하지만/MAJ
그	그/NP
역시	역시/MAG
보수파의	보수파/NNG+의/JKG
벽	벽/NNG
앞에서	앞/NNG+에서/JKB
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
미국	미국/NNP
위주의	위주/NNG+의/JKG
대외관계	대외/NNG+관계/NNG
틀을	틀/NNG+을/JKO
벗어나지	벗어나/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.182.8.3
‘동북아 우애론’도 추상적 선언에 그쳤을 뿐 구체적인 내용을 내놓지 못했다.

‘동북아	‘/SS+동북아/NNP
우애론’도	우애/NNG+론/XSN+’/SS+도/JX
추상적	추상/NNG+적/XSN
선언에	선언/NNG+에/JKB
그쳤을	그치/VV+었/EP+을/ETM
뿐	뿐/NNB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용을	내용/NNG+을/JKO
내놓지	내놓/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.182.8.4
하토야마 총리는 정치자금과 파벌로 얽힌 자민당 정치를 비판했지만, 자신도 정치자금 문제에 얽혔다.

하토야마	하토야마/NNP
총리는	총리/NNG+는/JX
정치자금과	정치/NNG+자금/NNG+과/JC
파벌로	파벌/NNG+로/JKB
얽힌	얽히/VV+ㄴ/ETM
자민당	자민당/NNP
정치를	정치/NNG+를/JKO
비판했지만,	비판/NNG+하/XSV+았/EP+지만/EC+,/SP
자신도	자신/NNG+도/JX
정치자금	정치/NNG+자금/NNG
문제에	문제/NNG+에/JKB
얽혔다.	얽히/VV+었/EP+다/EF+./SF


