# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.42
metadata : {}


# id : NWRW1800000048.42.1.1
거꾸로 가는 환경정책

거꾸로	거꾸로/MAG
이렇듯 시장이 움직이게 하려면 참여 동기, 즉 당근과 채찍을 활용한 시장의 인센티브가 필요하다.

이렇듯	이렇/VA+듯/EC
시장이	시장/NNG+이/JKS
움직이게	움직이/VV+게/EC
하려면	하/VX+려면/EC
참여	참여/NNG
동기,	동기/NNG+,/SP
즉	즉/MAG
당근과	당근/NNG+과/JC
채찍을	채찍/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
시장의	시장/NNG+의/JKG
인센티브가	인센티브/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000048.42.5.4
쓰레기 종량제를 시행한 1990년대 후반에는 정부의 채찍(종량제 과태료)만으로도 충분했을지 모르지만, 오늘날처럼 다원화된 사회에서는 당근과 채찍의 현명한 활용이 필요해 보인다.

쓰레기	쓰레기/NNG
종량제를	종량제/NNG+를/JKO
시행한	시행/NNG+하/XSV+ㄴ/ETM
1990년대	1990/SN+년대/NNB
후반에는	후반/NNG+에/JKB+는/JX
정부의	정부/NNG+의/JKG
채찍(종량제	채찍/NNG+(/SS+종량제/NNG
과태료)만으로도	과태료/NNG+)/SS+만/JX+으로/JKB+도/JX
충분했을지	충분하/VA+았/EP+을지/EF
모르지만,	모르/VV+지만/EC+,/SP
오늘날처럼	오늘날/NNG+처럼/JKB
다원화된	다원/NNG+화/XSN+되/XSV+ㄴ/ETM
사회에서는	사회/NNG+에서/JKB+는/JX
당근과	당근/NNG+과/JC
채찍의	채찍/NNG+의/JKG
현명한	현명/NNG+하/XSA+ㄴ/ETM
활용이	활용/NNG+이/JKS
필요해	필요/NNG+하/XSA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.42.5.5
물론 환경 문제에 대한 올바른 인식과 철학을 갖춘 정치와 행정이 뒷받침되어야 한다는 전제하에서 가능한 논리다.

물론	물론/MAG
환경	환경/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
올바른	올바르/VA+ㄴ/ETM
인식과	인식/NNG+과/JC
철학을	철학/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
정치와	정치/NNG+와/JC
행정이	행정/NNG+이/JKS
뒷받침되어야	뒷받침/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
전제하에서	전제/NNG+하/XSN+에서/JKB
가능한	가능/NNG+하/XSA+ㄴ/ETM
논리다.	논리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.42.6.1
우리 정부가 온실가스 감축 목표치를 발표한 같은 날, 중국 리커창 총리는 2030년까지 국내총생산(GDP) 단위당 이산화탄소 배출량을 60~65%까지 줄이겠다고 밝혔다.

우리	우리/NP
정부가	정부/NNG+가/JKS
온실가스	온실가스/NNG
감축	감축/NNG
목표치를	목표/NNG+치/XSN+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
같은	같/VA+은/ETM
날,	날/NNG+,/SP
중국	중국/NNP
리커창	리커창/NNP
총리는	총리/NNG+는/JX
2030년까지	2030/SN+년/NNB+까지/JX
국내총생산(GDP)	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS
단위당	단위/NNG+당/XSN
이산화탄소	이산화/NNG+탄소/NNG
배출량을	배출량/NNG+을/JKO
60~65%까지	60/SN+~/SO+65/SN+%/SW+까지/JX
줄이겠다고	줄이/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.42.6.2
절대 감축량을 제시하지 않은 한계는 있지만, 국제사회에 책임있는 모습을 보이고 있다.

절대	절대/MAG
감축량을	감축량/NNG+을/JKO
제시하지	제시/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
한계는	한계/NNG+는/JX
있지만,	있/VA+지만/EC+,/SP
국제사회에	국제/NNG+사회/NNG+에/JKB
책임있는	책임/NNG+있/VA+는/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.42.6.3
이미 중국 정부는 우리보다 앞서 2013년부터 7개 지역에서 온실가스 배출권 거래제를 시범 시행했고, 2012년 기준 신재생 에너지 투자 규모는 세계 1위국이다.

이미	이미/MAG
중국	중국/NNP
정부는	정부/NNG+는/JX
우리보다	우리/NP+보다/JKB
앞서	앞서/MAG
2013년부터	2013/SN+년/NNB+부터/JX
7개	7/SN+개/NNB
지역에서	지역/NNG+에서/JKB
온실가스	온실가스/NNG
배출권	배출/NNG+권/XSN
거래제를	거래/NNG+제/XSN+를/JKO
시범	시범/NNG
시행했고,	시행/NNG+하/XSV+았/EP+고/EC+,/SP
2012년	2012/SN+년/NNB
기준	기준/NNG
신재생	신/XPN+재생/NNG
에너지	에너지/NNG
투자	투자/NNG
규모는	규모/NNG+는/JX
세계	세계/NNG
1위국이다.	1/SN+위국/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.42.6.4
기후변화에 대응해 화석 연료에서 친환경 에너지로의 전환을 체계적으로 준비하고 있는 것이다.

기후변화에	기후/NNG+변화/NNG+에/JKB
대응해	대응/NNG+하/XSV+아/EC
화석	화석/NNG
연료에서	연료/NNG+에서/JKB
친환경	친/XPN+환경/NNG
에너지로의	에너지/NNG+로/JKB+의/JKG
전환을	전환/NNG+을/JKO
체계적으로	체계/NNG+적/XSN+으로/JKB
준비하고	준비/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


