# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.285
metadata : {}


# id : NWRW1800000046.285.1.1
[기자의 시각] '빈 껍데기 수사' 반복되면

[기자의	[/SS+기자/NNG+의/JKG
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.285.5.3
포스코는 무리한 '몸집 불리기'로 영업이익이 2008년 7조1000억원에서 2012년 3조6000억원으로 반 토막이 났고, 같은 기간 부채는 20조원 가까이 늘었다.

포스코는	포스코/NNP+는/JX
무리한	무리/NNG+하/XSV+ㄴ/ETM
'몸집	'/SS+몸집/NNG
불리기'로	불리/VV+기/ETN+'/SS+로/JKB
영업이익이	영업/NNG+이익/NNG+이/JKS
2008년	2008/SN+년/NNB
7조1000억원에서	7/SN+조/NR+1000/SN+억/NR+원/NNB+에서/JKB
2012년	2012/SN+년/NNB
3조6000억원으로	3/SN+조/NR+6000/SN+억/NR+원/NNB+으로/JKB
반	반/NNG
토막이	토막/NNG+이/JKS
났고,	나/VV+았/EP+고/EC+,/SP
같은	같/VA+은/ETM
기간	기간/NNG
부채는	부채/NNG+는/JX
20조원	20/SN+조/NR+원/NNB
가까이	가까이/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.285.6.1
검찰은 포스코 수사에는 서울중앙지검 특수2부를 투입했다.

검찰은	검찰/NNG+은/JX
포스코	포스코/NNP
수사에는	수사/NNG+에/JKB+는/JX
서울중앙지검	서울중앙지검/NNP
특수2부를	특수/NNG+2/SN+부/NNG+를/JKO
투입했다.	투입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.285.6.2
수사 초기 검찰은 "포스코의 적폐(積弊)를 찾아내겠다"고 공언했다.

수사	수사/NNG
초기	초기/NNG
검찰은	검찰/NNG+은/JX
"포스코의	"/SS+포스코/NNP+의/JKG
적폐(積弊)를	적폐/NNG+(/SS+積弊/SH+)/SS+를/JKO
찾아내겠다"고	찾아내/VV+겠/EP+다/EF+"/SS+고/JKQ
공언했다.	공언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.285.6.3
하지만 3월에 시작된 수사는 여전히 '진행 중'이다.

하지만	하지만/MAJ
3월에	3/SN+월/NNB+에/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
수사는	수사/NNG+는/JX
여전히	여전히/MAG
'진행	'/SS+진행/NNG
중'이다.	중/NNB+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.285.6.4
중간 고리이던 정동화 전 포스코건설 부회장에 대한 구속영장이 법원에서 두 차례 연속 기각되면서 위기를 맞은 검찰은 최근엔 협력 업체 선정·운영 비리로 방향을 틀어 전 정권 실세들을 겨냥하며 6개월을 넘기고 있다.

중간	중간/NNG
고리이던	고리/NNG+이/VCP+던/ETM
정동화	정동화/NNP
전	전/MMD
포스코건설	포스코건설/NNP
부회장에	부회장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구속영장이	구속/NNG+영장/NNG+이/JKS
법원에서	법원/NNG+에서/JKB
두	두/MMN
차례	차례/NNG
연속	연속/NNG
기각되면서	기각/NNG+되/XSV+면서/EC
위기를	위기/NNG+를/JKO
맞은	맞/VV+은/ETM
검찰은	검찰/NNG+은/JX
최근엔	최근/NNG+에/JKB+ㄴ/JX
협력	협력/NNG
업체	업체/NNG
선정·운영	선정/NNG+·/SP+운영/NNG
비리로	비리/NNG+로/JKB
방향을	방향/NNG+을/JKO
틀어	틀/VV+어/EC
정권	정권/NNG
실세들을	실세/NNG+들/XSN+을/JKO
겨냥하며	겨냥/NNG+하/XSV+며/EC
6개월을	6/SN+개월/NNB+을/JKO
넘기고	넘기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.285.7.1
검찰을 향한 외부의 비판에 검찰 내부에서는 볼멘소리가 나온다.

검찰을	검찰/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
외부의	외부/NNG+의/JKG
비판에	비판/NNG+에/JKB
검찰	검찰/NNG
내부에서는	내부/NNG+에서/JKB+는/JX
볼멘소리가	볼멘소리/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.285.7.2
한 검사장은 사석에서 "'큰집(청와대)' 하명 수사라는 것을 뻔히 알지 않느냐"며 "검찰은 억울하다"고 했다.

한	한/MMN
검사장은	검사장/NNG+은/JX
사석에서	사석/NNG+에서/JKB
"'큰집(청와대)'	"/SS+'/SS+큰집/NNG+(/SS+청와대/NNP+)/SS+'/SS
하명	하명/NNG
수사라는	수사/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
뻔히	뻔히/MAG
알지	알/VV+지/EC
않느냐"며	않/VX+느냐/EF+"/SS+며/EC
"검찰은	"/SS+검찰/NNG+은/JX
억울하다"고	억울/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.285.7.3
한 부장검사는 "우리(검찰)라고 수사를 하고 싶어서 하느냐. 준비 없이 시작하다 보니 직원들만 죽어난다"고도 했다.

한	한/MMN
부장검사는	부장/NNG+검사/NNG+는/JX
"우리(검찰)라고	"/SS+우리/NP+(/SS+검찰/NNG+)/SS+라고/JX
수사를	수사/NNG+를/JKO
하고	하/VV+고/EC
싶어서	싶/VX+어서/EC
하느냐.	하/VV+느냐/EF+./SF
준비	준비/NNG
없이	없이/MAG
시작하다	시작/NNG+하/XSV+다/EC
보니	보/VX+니/EC
직원들만	직원/NNG+들/XSN+만/JX
죽어난다"고도	죽어나/VV+ㄴ다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.285.8.1
설사 청와대 지시가 있었다고 해도 '물건'이 되지 않으면 당당하게 거부할 수 있는 배짱을 검찰에 기대하는 것은 무리일까.

설사	설사/MAG
청와대	청와대/NNP
지시가	지시/NNG+가/JKS
있었다고	있/VA+었/EP+다고/EC
해도	하/VV+아도/EC
'물건'이	'/SS+물건/NNG+'/SS+이/JKC
되지	되/VV+지/EC
않으면	않/VX+으면/EC
당당하게	당당/MAG+하/XSA+게/EC
거부할	거부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
배짱을	배짱/NNG+을/JKO
검찰에	검찰/NNG+에/JKB
기대하는	기대/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
무리일까.	무리/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000046.285.8.2
국민이 원하는 것은 검찰의 변명이 아니라 성과다.

국민이	국민/NNG+이/JKS
원하는	원/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
검찰의	검찰/NNG+의/JKG
변명이	변명/NNG+이/JKC
아니라	아니/VCN+라/EC
성과다.	성과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.285.8.3
성과 없이 뒤늦은 핑계만 남는 수사가 반복되면 결국 검찰에 대한 신뢰는 떨어질 수밖에 없다.

성과	성과/NNG
없이	없이/MAG
뒤늦은	뒤늦/VA+은/ETM
핑계만	핑계/NNG+만/JX
남는	남/VV+는/ETM
수사가	수사/NNG+가/JKS
반복되면	반복/NNG+되/XSV+면/EC
결국	결국/MAG
검찰에	검찰/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰는	신뢰/NNG+는/JX
떨어질	떨어지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.285.9.1
검찰 스스로 해외 자원 개발 비리 수사 결과 자료에 넣은 '피해가 고스란히 국민에게 전가됐다'는 표현을 곱씹어보길 바란다.

검찰	검찰/NNG
스스로	스스로/MAG
해외	해외/NNG
자원	자원/NNG
개발	개발/NNG
비리	비리/NNG
수사	수사/NNG
결과	결과/NNG
자료에	자료/NNG+에/JKB
넣은	넣/VV+은/ETM
'피해가	'/SS+피해/NNG+가/JKS
고스란히	고스란히/MAG
국민에게	국민/NNG+에게/JKB
전가됐다'는	전가/NNG+되/XSV+었/EP+다/EF+'/SS+는/ETM
표현을	표현/NNG+을/JKO
곱씹어보길	곱씹/VV+어/EC+보/VX+기/ETN+ㄹ/JKO
바란다.	바라/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.285.9.2
검찰이 지금처럼 중심을 못 잡아 위기에 빠질 경우 그 피해는 고스란히 국민에게 전가된다.

검찰이	검찰/NNG+이/JKS
지금처럼	지금/NNG+처럼/JKB
중심을	중심/NNG+을/JKO
못	못/MAG
잡아	잡/VV+아/EC
위기에	위기/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
경우	경우/NNG
그	그/MMD
피해는	피해/NNG+는/JX
고스란히	고스란히/MAG
국민에게	국민/NNG+에게/JKB
전가된다.	전가/NNG+되/XSV+ㄴ다/EF+./SF


