# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.384
metadata : {}


# id : NWRW1800000041.384.1.1
[수도권]박홍섭 서울 마포구청장… “마포, 교육문화 중심지로 거듭나게 할것”

[수도권]박홍섭	[/SS+수도/NNG+권/XSN+]/SS+박홍섭/NNP
발길마다	발길/NNG+마다/JX
신뢰를	신뢰/NNG+를/JKO
심어왔기	심/VV+어/EC+오/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
다시	다시/MAG
일할	일/NNG+하/XSV+ㄹ/ETM
기회를	기회/NNG+를/JKO
얻은	얻/VV+은/ETM
것	것/NNB
같아요.	같/VA+아요/EF+./SF


# id : NWRW1800000041.384.4.3
민선 6기에는 마포구가 교육문화도시로 거듭나도록 하겠습니다.”

민선	민선/NNG
6기에는	6/SN+기/NNG+에/JKB+는/JX
마포구가	마포구/NNP+가/JKS
교육문화도시로	교육/NNG+문화/NNG+도시/NNG+로/JKB
거듭나도록	거듭나/VV+도록/EC
하겠습니다.”	하/VX+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000041.384.5.1
2017년에는 숙원사업이었던 마포중앙도서관 겸 청소년교육센터를 준공한다.

2017년에는	2017/SN+년/NNB+에/JKB+는/JX
숙원사업이었던	숙원/NNG+사업/NNG+이/VCP+었/EP+던/ETM
마포중앙도서관	마포중앙도서관/NNP
겸	겸/NNB
청소년교육센터를	청소년/NNG+교육/NNG+센터/NNG+를/JKO
준공한다.	준공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.384.5.2
성산1동 옛 마포구청 터에 발전소 지원금 130억 원을 포함해 총 사업비 403억 원을 들여 건립한다.

성산1동	성산/NNP+1/SN+동/NNG
옛	옛/MMA
마포구청	마포구청/NNP
터에	터/NNG+에/JKB
발전소	발전소/NNG
지원금	지원금/NNG
130억	130/SN+억/NR
원을	원/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
총	총/MMA
사업비	사업비/NNG
403억	403/SN+억/NR
들여	들이/VV+어/EC
건립한다.	건립/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.384.5.3
20만 권이 채워질 마포중앙도서관과 함께 특기적성과 진로 체험, 자기주도학습, 영어교육 등을 지원하는 청소년 교육센터가 지하 2층, 지상 6층, 연면적 1만7414m² 규모로 들어선다.

20만	20/SN+만/NR
권이	권/NNB+이/JKS
채워질	채우/VV+어/EC+지/VX+ㄹ/ETM
마포중앙도서관과	마포중앙도서관/NNP+과/JKB
함께	함께/MAG
특기적성과	특기/NNG+적성/NNG+과/JC
진로	진로/NNG
체험,	체험/NNG+,/SP
자기주도학습,	자기/NNG+주도/NNG+학습/NNG+,/SP
영어교육	영어/NNP+교육/NNG
등을	등/NNB+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
청소년	청소년/NNG
교육센터가	교육/NNG+센터/NNG+가/JKS
지하	지하/NNG
2층,	2/SN+층/NNG+,/SP
지상	지상/NNG
6층,	6/SN+층/NNG+,/SP
연면적	연면적/NNG
1만7414m²	1/SN+만/NR+7414/SN+m²/SW
규모로	규모/NNG+로/JKB
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.384.6.1
박 구청장은 “교육이 중요하다고 하지만 실제 청소년을 위해 투자하지 않는다.

박	박/NNP
구청장은	구청장/NNG+은/JX
“교육이	“/SS+교육/NNG+이/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
하지만	하/VV+지만/EC
실제	실제/NNG
청소년을	청소년/NNG+을/JKO
위해	위하/VV+아/EC
투자하지	투자/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000041.384.6.2
청소년들이 부모의 경제력에 따라 차별받지 않고 공정하게 경쟁할 수 있는 기반을 마련하고 싶다”고 말했다.

청소년들이	청소년/NNG+들/XSN+이/JKS
부모의	부모/NNG+의/JKG
경제력에	경제력/NNG+에/JKB
따라	따르/VV+아/EC
차별받지	차별/NNG+받/XSV+지/EC
않고	않/VX+고/EC
공정하게	공정/NNG+하/XSA+게/EC
경쟁할	경쟁/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기반을	기반/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.384.7.1
안전에도 관심을 쏟고 있다.

안전에도	안전/NNG+에/JKB+도/JX
관심을	관심/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.384.7.2
마포구가 지역안전도 진단에서 전국 1위를 하고, 재난대응 안전한국 훈련 우수 자치단체에 선정되는 등 ‘안전한 도시’로 거듭난 배경이다.

마포구가	마포구/NNP+가/JKS
지역안전도	지역/NNG+안전도/NNG
진단에서	진단/NNG+에서/JKB
전국	전국/NNG
1위를	1/SN+위/NNB+를/JKO
하고,	하/VV+고/EC+,/SP
재난대응	재난/NNG+대응/NNG
안전한국	안전/NNG+한국/NNP
훈련	훈련/NNG
우수	우수/NNG
자치단체에	자치/NNG+단체/NNG+에/JKB
선정되는	선정/NNG+되/XSV+는/ETM
등	등/NNB
‘안전한	‘/SS+안전/NNG+하/XSA+ㄴ/ETM
도시’로	도시/NNG+’/SS+로/JKB
거듭난	거듭나/VV+ㄴ/ETM
배경이다.	배경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.384.8.1
“1970년대에 노동운동을 하면서 안타까운 산업재해를 많이 봤어요.

“1970년대에	“/SS+1970/SN+년대/NNB+에/JKB
노동운동을	노동/NNG+운동/NNG+을/JKO
하면서	하/VV+면서/EC
안타까운	안타깝/VA+ㄴ/ETM
산업재해를	산업/NNG+재해/NNG+를/JKO
많이	많이/MAG
봤어요.	보/VV+았/EP+어요/EF+./SF


# id : NWRW1800000041.384.8.2
사람보다 물질만 좇는 발전의 폐해라고 봐요.

사람보다	사람/NNG+보다/JKB
물질만	물질/NNG+만/JX
좇는	좇/VV+는/ETM
발전의	발전/NNG+의/JKG
폐해라고	폐해/NNG+이/VCP+라고/EC
봐요.	보/VV+아요/EF+./SF


# id : NWRW1800000041.384.8.3
사고는 막을 수 없어도 피해는 충분히 줄일 수 있어요.”

사고는	사고/NNG+는/JX
막을	막/VV+을/ETM
수	수/NNB
없어도	없/VA+어도/EC
피해는	피해/NNG+는/JX
충분히	충분히/MAG
줄일	줄이/VV+ㄹ/ETM
있어요.”	있/VA+어요/EF+./SF+”/SS


# id : NWRW1800000041.384.9.1
박 구청장은 지난 임기 동안 망원, 연남, 성산동 저지대 침수 예방사업을 위해 지하에 대형 통수로를 설치하고 아현, 망원 지역의 하수관로도 손봤다.

박	박/NNP
구청장은	구청장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
임기	임기/NNG
동안	동안/NNG
망원,	망원/NNP+,/SP
연남,	연남/NNP+,/SP
성산동	성산동/NNP
저지대	저/XPN+지대/NNG
침수	침수/NNG
예방사업을	예방/NNG+사업/NNG+을/JKO
위해	위하/VV+아/EC
지하에	지하/NNG+에/JKB
대형	대형/NNG
통수로를	통수로/NNG+를/JKO
설치하고	설치/NNG+하/XSV+고/EC
아현,	아현/NNP+,/SP
망원	망원/NNP
지역의	지역/NNG+의/JKG
하수관로도	하수관로/NNG+도/JX
손봤다.	손보/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.384.9.2
상습 침수 지역이었던 이곳들은 이제 집중호우에도 끄떡없다.

상습	상습/NNG
침수	침수/NNG
지역이었던	지역/NNG+이/VCP+었/EP+던/ETM
이곳들은	이곳/NP+들/XSN+은/JX
이제	이제/MAG
집중호우에도	집중/NNG+호우/NNG+에/JKB+도/JX
끄떡없다.	끄떡없/VA+다/EF+./SF


# id : NWRW1800000041.384.9.3
그는 “민선 6기에는 재난안전대응 민관협력 체제를 강화하고 주민안전 종합대책도 추진하는 등 체계적인 재난안전 시스템을 구축하겠다”고 말했다.

그는	그/NP+는/JX
“민선	“/SS+민선/NNG
6기에는	6/SN+기/NNG+에/JKB+는/JX
재난안전대응	재난/NNG+안전/NNG+대응/NNG
민관협력	민관/NNG+협력/NNG
체제를	체제/NNG+를/JKO
강화하고	강화/NNG+하/XSV+고/EC
주민안전	주민/NNG+안전/NNG
종합대책도	종합/NNG+대책/NNG+도/JX
추진하는	추진/NNG+하/XSV+는/ETM
등	등/NNB
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
재난안전	재난/NNG+안전/NNG
시스템을	시스템/NNG+을/JKO
구축하겠다”고	구축/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.384.10.1
어린이와 장애인 등 사회적 약자를 위한 안전대책도 마련한다.

어린이와	어린이/NNG+와/JC
장애인	장애인/NNG
등	등/NNB
사회적	사회/NNG+적/XSN
약자를	약자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
안전대책도	안전/NNG+대책/NNG+도/JX
마련한다.	마련/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.384.10.2
자녀안심등하교 서비스를 시작하고 노후한 학교시설을 개선하기로 했다.

자녀안심등하교	자녀/NNG+안심/NNG+등하교/NNG
서비스를	서비스/NNG+를/JKO
시작하고	시작/NNG+하/XSV+고/EC
노후한	노후/NNG+하/XSA+ㄴ/ETM
학교시설을	학교/NNG+시설/NNG+을/JKO
개선하기로	개선/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.384.10.3
공공시설 문턱을 제거해 장애인과 노약자들이 안전하게 이동할 수 있게 돕는 계획도 추진한다.

공공시설	공공시설/NNG
문턱을	문턱/NNG+을/JKO
제거해	제거/NNG+하/XSV+아/EC
장애인과	장애인/NNG+과/JC
노약자들이	노약자/NNG+들/XSN+이/JKS
안전하게	안전/NNG+하/XSA+게/EC
이동할	이동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돕는	돕/VV+는/ETM
계획도	계획/NNG+도/JX
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


