# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.206
metadata : {}


# id : NWRW1800000021.206.1.1
“한국식 거리응원 도입, 남아공 화합 축제로”

“한국식	“/SS+한국식/NNG
# id : NWRW1800000021.206.3.1
―1년 남았는데 월드컵 준비는 잘되고 있는가.

―1년	―/SS+1/SN+년/NNB
남았는데	남/VV+았/EP+는데/EC
월드컵	월드컵/NNG
준비는	준비/NNG+는/JX
잘되고	잘/MAG+되/XSV+고/EC
있는가.	있/VX+는가/EF+./SF


# id : NWRW1800000021.206.4.1
“한국의 본선 진출을 축하한다.

“한국의	“/SS+한국/NNP+의/JKG
본선	본선/NNG
진출을	진출/NNG+을/JKO
축하한다.	축하/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.206.4.2
아직도 2002년 한일 월드컵 기억이 생생하다.

아직도	아직/MAG+도/JX
2002년	2002/SN+년/NNB
한일	한일/NNP
월드컵	월드컵/NNG
기억이	기억/NNG+이/JKS
생생하다.	생생하/VA+다/EF+./SF


# id : NWRW1800000021.206.4.3
정말 환상적이었다.

정말	정말/MAG
환상적이었다.	환상/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.206.4.4
수백만 한국 팬들이 붉은색 옷을 입고 경기장 밖 광장에 모여 응원한 것은 우리도 본받고 싶다.

수백만	수백만/NR
한국	한국/NNP
팬들이	팬/NNG+들/XSN+이/JKS
붉은색	붉은색/NNG
옷을	옷/NNG+을/JKO
입고	입/VV+고/EC
경기장	경기장/NNG
밖	밖/NNG
광장에	광장/NNG+에/JKB
모여	모이/VV+어/EC
응원한	응원/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
우리도	우리/NP+도/JX
본받고	본받/VV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000021.206.4.5
내년 남아공에서도 2002년 한국의 응원 방식을 도입해 국민들을 하나로 뭉치게 할 것이다.

내년	내년/NNG
남아공에서도	남아공/NNP+에서/JKB+도/JX
2002년	2002/SN+년/NNB
한국의	한국/NNP+의/JKG
응원	응원/NNG
방식을	방식/NNG+을/JKO
도입해	도입/NNG+하/XSV+아/EC
국민들을	국민/NNG+들/XSN+을/JKO
하나로	하나/NR+로/JKB
뭉치게	뭉치/VV+게/EC
할	하/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.4.6
이번 2009 컨페더레이션스컵 때 16경기를 치렀는데 전혀 문제가 없었다.

이번	이번/NNG
2009	2009/SN
컨페더레이션스컵	컨페더레이션스컵/NNG
때	때/NNG
16경기를	16/SN+경기/NNG+를/JKO
치렀는데	치르/VV+었/EP+는데/EC
전혀	전혀/MAG
문제가	문제/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.206.4.7
현재 경기장은 제대로 건설되고 있다.

현재	현재/MAG
경기장은	경기장/NNG+은/JX
제대로	제대로/MAG
건설되고	건설/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.206.4.8
5개는 이미 완성됐다.

5개는	5/SN+개/NNB+는/JX
이미	이미/MAG
완성됐다.	완성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.206.4.9
내년 초까진 10개 모두 완성될 것이다.”

내년	내년/NNG
초까진	초/NNB+까지/JX+ㄴ/JX
10개	10/SN+개/NNB
모두	모두/MAG
완성될	완성/NNG+되/XSV+ㄹ/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000021.206.5.1
―남아공이 월드컵 개최를 통해 얻는 효과는 무엇인가.

―남아공이	―/SS+남아공/NNP+이/JKS
월드컵	월드컵/NNG
개최를	개최/NNG+를/JKO
통해	통하/VV+아/EC
얻는	얻/VV+는/ETM
효과는	효과/NNG+는/JX
무엇인가.	무엇/NP+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000021.206.6.1
“먼저 각종 인프라 구축이 남아공을 발전시킬 것이다.

“먼저	“/SS+먼저/MAG
각종	각종/NNG
인프라	인프라/NNG
구축이	구축/NNG+이/JKS
남아공을	남아공/NNP+을/JKO
발전시킬	발전/NNG+시키/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.6.2
공항을 증개축하고 길을 넓히고 25개 고급 호텔을 새로 짓고 있다.

공항을	공항/NNG+을/JKO
증개축하고	증개축/NNG+하/XSV+고/EC
길을	길/NNG+을/JKO
넓히고	넓히/VV+고/EC
25개	25/SN+개/NNB
고급	고급/NNG
호텔을	호텔/NNG+을/JKO
새로	새로/MAG
짓고	짓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.206.6.3
둘째는 관광객 유치다.

둘째는	둘째/NR+는/JX
관광객	관광객/NNG
유치다.	유치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.6.4
현재 950만 명이 매년 남아공을 찾고 있다.

현재	현재/MAG
950만	950/SN+만/NR
명이	명/NNB+이/JKS
매년	매년/MAG
남아공을	남아공/NNP+을/JKO
찾고	찾/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.206.6.5
내년엔 1050만 명 이상의 관광객 유치가 목표다.

내년엔	내년/NNG+에/JKB+ㄴ/JX
1050만	1050/SN+만/NR
명	명/NNB
이상의	이상/NNG+의/JKG
관광객	관광객/NNG
유치가	유치/NNG+가/JKS
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.6.6
셋째는 국가 이미지 제고다.

셋째는	셋째/NR+는/JX
국가	국가/NNG
이미지	이미지/NNG
제고다.	제고/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.6.7
월드컵을 통해 지구촌 사람들이 남아공을 다시 보게 될 것이다.

월드컵을	월드컵/NNG+을/JKO
통해	통하/VV+아/EC
지구촌	지구촌/NNG
사람들이	사람/NNG+들/XSN+이/JKS
남아공을	남아공/NNP+을/JKO
다시	다시/MAG
보게	보/VV+게/EC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.6.8
넷째는 흑과 백이 둘이 아니라는 것을 지구촌에 보여줄 것이다.

넷째는	넷째/NR+는/JX
흑과	흑/NNG+과/JC
백이	백/NNG+이/JKS
둘이	둘/NR+이/JKC
아니라는	아니/VCN+라는/ETM
것을	것/NNB+을/JKO
지구촌에	지구촌/NNG+에/JKB
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.6.9
이번 컨페드컵 때 경기장에는 흑인과 백인이 모두 스탠드를 채우고 ‘바파나 바파나(Bafana Bafana·줄루어로 소년들, 남아공 축구 대표팀을 의미)’를 응원했다.”

이번	이번/NNG
컨페드컵	컨페드컵/NNG
때	때/NNG
경기장에는	경기장/NNG+에/JKB+는/JX
흑인과	흑인/NNG+과/JC
백인이	백인/NNG+이/JKS
모두	모두/MAG
스탠드를	스탠드/NNG+를/JKO
채우고	채우/VV+고/EC
‘바파나	‘/SS+바파나/NNG
바파나(Bafana	바파나/NNG+(/SS+Bafana/SL
Bafana·줄루어로	Bafana/SL+·/SP+줄루어/NNP+로/JKB
소년들,	소년/NNG+들/XSN+,/SP
남아공	남아공/NNP
축구	축구/NNG
대표팀을	대표/NNG+팀/NNG+을/JKO
의미)’를	의미/NNG+)/SS+’/SS+를/JKO
응원했다.”	응원/NNG+하/XSV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000021.206.7.1
―남북한이 본선에 동반 진출했다.

―남북한이	―/SS+남북한/NNP+이/JKS
본선에	본선/NNG+에/JKB
동반	동반/NNG
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.206.8.1
“정말 대단하다.

“정말	“/SS+정말/MAG
대단하다.	대단하/VA+다/EF+./SF


# id : NWRW1800000021.206.8.2
남한과 북한은 월드컵 본선 무대에서 처음 만나게 됐다.

남한과	남한/NNP+과/JC
북한은	북한/NNP+은/JX
월드컵	월드컵/NNG
본선	본선/NNG
무대에서	무대/NNG+에서/JKB
처음	처음/NNG
만나게	만나/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.206.8.3
그 역사가 남아공 월드컵에서 이뤄진 것이 너무 기쁘다.”

그	그/MMD
역사가	역사/NNG+가/JKS
남아공	남아공/NNP
월드컵에서	월드컵/NNG+에서/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
것이	것/NNB+이/JKS
너무	너무/MAG
기쁘다.”	기쁘/VA+다/EF+./SF+”/SS


# id : NWRW1800000021.206.9.1
―현지에 와보니 교통 시스템이 미흡하고 숙박 시설도 부족하다는 느낌이다.

―현지에	―/SS+현지/NNG+에/JKB
와보니	오/VV+아/EC+보/VX+니/EC
교통	교통/NNG
시스템이	시스템/NNG+이/JKS
미흡하고	미흡/NNG+하/XSA+고/EC
숙박	숙박/NNG
시설도	시설/NNG+도/JX
부족하다는	부족/NNG+하/XSA+다는/ETM
느낌이다.	느낌/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.10.1
“이번 컨페드컵 때 파크 앤드 라이드 교통 시스템(주차난 해소를 위해 전철역까지 자가용을 타고 간 뒤 대중교통을 이용하는 방식)을 시범 도입했다.

“이번	“/SS+이번/NNG
컨페드컵	컨페드컵/NNG
때	때/NNG
파크	파크/NNG
앤드	앤드/NNG
라이드	라이드/NNG
교통	교통/NNG
시스템(주차난	시스템/NNG+(/SS+주차난/NNG
해소를	해소/NNG+를/JKO
위해	위하/VV+아/EC
전철역까지	전철역/NNG+까지/JX
자가용을	자가/NNG+용/XSN+을/JKO
타고	타/VV+고/EC
간	가/VV+ㄴ/ETM
뒤	뒤/NNG
대중교통을	대중교통/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
방식)을	방식/NNG+)/SS+을/JKO
시범	시범/NNG
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.206.10.2
첫날 약간의 문제가 있었지만 전반적으로 성공적이란 평가다.

첫날	첫날/NNG
약간의	약간/NNG+의/JKG
문제가	문제/NNG+가/JKS
있었지만	있/VA+었/EP+지만/EC
전반적으로	전반/NNG+적/XSN+으로/JKB
성공적이란	성공/NNG+적/XSN+이/VCP+란/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.10.3
아직 숙박시설이 미흡한 것은 사실이다.

아직	아직/MAG
숙박시설이	숙박/NNG+시설/NNG+이/JKS
미흡한	미흡/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.10.4
하지만 호텔을 짓고 있고 게스트하우스 등 다양한 숙박시설을 마련하고 있어 큰 문제는 없을 것이다.”

하지만	하지만/MAJ
호텔을	호텔/NNG+을/JKO
짓고	짓/VV+고/EC
있고	있/VX+고/EC
게스트하우스	게스트하우스/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
숙박시설을	숙박/NNG+시설/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
있어	있/VX+어/EC
큰	크/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
없을	없/VA+을/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000021.206.11.1
―일부에서는 안전 문제를 계속 거론한다.

―일부에서는	―/SS+일부/NNG+에서/JKB+는/JX
안전	안전/NNG
문제를	문제/NNG+를/JKO
계속	계속/MAG
거론한다.	거론/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.206.12.1
“남아공이 안전하다는 것은 이번 컨페드컵이 증명했다.

“남아공이	“/SS+남아공/NNP+이/JKS
안전하다는	안전/NNG+하/XSA+다는/ETM
것은	것/NNB+은/JX
이번	이번/NNG
컨페드컵이	컨페드컵/NNG+이/JKS
증명했다.	증명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.206.12.2
대회 기간에 전혀 사고가 나지 않았다.

대회	대회/NNG
기간에	기간/NNG+에/JKB
전혀	전혀/MAG
사고가	사고/NNG+가/JKS
나지	나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.206.12.3
팬들은 노래를 부르며 춤을 췄고 환호성을 지르며 경기를 봤다.

팬들은	팬/NNG+들/XSN+은/JX
노래를	노래/NNG+를/JKO
부르며	부르/VV+며/EC
춤을	춤/NNG+을/JKO
췄고	추/VV+었/EP+고/EC
환호성을	환호성/NNG+을/JKO
지르며	지르/VV+며/EC
경기를	경기/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.206.12.4
축구팬들이 안전에 신경 쓰지 않고 축구를 즐겼다는 것을 증명한다.”

축구팬들이	축구/NNG+팬/NNG+들/XSN+이/JKS
안전에	안전/NNG+에/JKB
신경	신경/NNG
쓰지	쓰/VV+지/EC
않고	않/VX+고/EC
축구를	축구/NNG+를/JKO
즐겼다는	즐기/VV+었/EP+다는/ETM
것을	것/NNB+을/JKO
증명한다.”	증명/NNG+하/XSV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000021.206.13.1
―남아공 국민들의 월드컵에 대한 열기는 어떤가.

―남아공	―/SS+남아공/NNP
국민들의	국민/NNG+들/XSN+의/JKG
월드컵에	월드컵/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
열기는	열기/NNG+는/JX
어떤가.	어떻/VA+ㄴ가/EF+./SF


# id : NWRW1800000021.206.14.1
“한마디로 광적이다.

“한마디로	“/SS+한마디/NNG+로/JKB
광적이다.	광/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.14.2
팬들의 열성적인 응원에 힘입어 남아공이 이번 컨페드컵에서 4위를 했다.

팬들의	팬/NNG+들/XSN+의/JKG
열성적인	열성/NNG+적/XSN+이/VCP+ㄴ/ETM
응원에	응원/NNG+에/JKB
힘입어	힘입/VV+어/EC
남아공이	남아공/NNP+이/JKS
이번	이번/NNG
컨페드컵에서	컨페드컵/NNG+에서/JKB
4위를	4/SN+위/NNB+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.206.14.3
이번 경기를 통해 국민들은 2010년에도 잘할 수 있을 것이란 희망을 갖게 됐다.”

이번	이번/NNG
경기를	경기/NNG+를/JKO
통해	통하/VV+아/EC
국민들은	국민/NNG+들/XSN+은/JX
2010년에도	2010/SN+년/NNB+에/JKB+도/JX
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이란	것/NNB+이/VCP+란/ETM
희망을	희망/NNG+을/JKO
갖게	갖/VV+게/EC
됐다.”	되/VV+었/EP+다/EF+./SF+”/SS


