# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.342
metadata : {}


# id : NWRW1800000046.342.1.1
朴대통령, '成 리스트' 침묵… 이틀째 외교일정만

朴대통령,	朴/SH+대통령/NNG+,/SP
'성완종	'/SS+성완종/NNP
리스트'와	리스트/NNG+'/SS+와/JKB
관련해	관련/NNG+하/XSV+아/EC
"검찰의	"/SS+검찰/NNG+의/JKG
성역	성역/NNG
없는	없/VA+는/ETM
엄정	엄정/NNG
대처"를	대처/NNG+"/SS+를/JKO
언급한	언급/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
침묵을	침묵/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.342.5.2
비서진에선 박 대통령이 출국 전에 추가 입장을 내놓을 필요가 있다는 건의도 있는 것으로 알려졌다.

비서진에선	비서진/NNG+에서/JKB+ㄴ/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
출국	출국/NNG
전에	전/NNG+에/JKB
추가	추가/NNG
입장을	입장/NNG+을/JKO
내놓을	내놓/VV+을/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
건의도	건의/NNG+도/JX
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.342.5.3
그러나 입장 발표 여부에 대해 박 대통령은 확답을 하지 않고 있다고 관계자들은 전했다.

그러나	그러나/MAJ
입장	입장/NNG
발표	발표/NNG
여부에	여부/NNG+에/JKB
대해	대하/VV+아/EC
박	박/NNP
대통령은	대통령/NNG+은/JX
확답을	확답/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
있다고	있/VX+다고/EC
관계자들은	관계자/NNG+들/XSN+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.6.1
대신 이번 사안에 대해 '정면 돌파' 방침은 "박 대통령이 매우 강하게 갖고 있다"고 청와대 관계자들은 전했다.

대신	대신/NNG
이번	이번/NNG
사안에	사안/NNG+에/JKB
대해	대하/VV+아/EC
'정면	'/SS+정면/NNG
돌파'	돌파/NNG+'/SS
방침은	방침/NNG+은/JX
"박	"/SS+박/NNP
대통령이	대통령/NNG+이/JKS
매우	매우/MAG
강하게	강하/VA+게/EC
갖고	갖/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
청와대	청와대/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.6.2
한 참모는 "과거 여의도 시절에도 그랬지만, 위기를 맞았을 때 대통령의 무서운 면모가 드러나곤 했다"고 했다.

한	한/MMN
참모는	참모/NNG+는/JX
"과거	"/SS+과거/NNG
여의도	여의도/NNP
시절에도	시절/NNG+에/JKB+도/JX
그랬지만,	그렇/VA+었/EP+지만/EC+,/SP
위기를	위기/NNG+를/JKO
맞았을	맞/VV+았/EP+을/ETM
때	때/NNG
대통령의	대통령/NNG+의/JKG
무서운	무섭/VA+ㄴ/ETM
면모가	면모/NNG+가/JKS
드러나곤	드러나/VV+곤/EC
했다"고	하/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.6.3
또 다른 참모는 "수사 결과에 따라 여야(與野), 지위 고하, 대통령과의 친소(親疎) 관계에 상관없이 엄정하게 처리될 것"이라며 "이번에 나온 '성완종 리스트'는 빙산의 일각일 텐데 그 모든 것을 밝혀보자는 것이 대통령의 생각"이라고 했다.

또	또/MAG
다른	다른/MMD
참모는	참모/NNG+는/JX
"수사	"/SS+수사/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
여야(與野),	여야/NNG+(/SS+與野/SH+)/SS+,/SP
지위	지위/NNG
고하,	고하/NNG+,/SP
대통령과의	대통령/NNG+과/JKB+의/JKG
친소(親疎)	친소/NNG+(/SS+親疎/SH+)/SS
관계에	관계/NNG+에/JKB
상관없이	상관없이/MAG
엄정하게	엄정/NNG+하/XSA+게/EC
처리될	처리/NNG+되/XSV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"이번에	"/SS+이번/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
'성완종	'/SS+성완종/NNP
리스트'는	리스트/NNG+'/SS+는/JX
빙산의	빙산/NNG+의/JKG
일각일	일각/NNG+이/VCP+ㄹ/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
그	그/MMD
모든	모든/MMN
것을	것/NNB+을/JKO
밝혀보자는	밝히/VV+어/EC+보/VX+자는/ETM
것이	것/NNB+이/JKS
대통령의	대통령/NNG+의/JKG
생각"이라고	생각/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.6.4
청와대는 이번 파문이 오늘내일 끝날 사안이 아니라고 보고 '장기전'에도 대비하는 분위기다.

청와대는	청와대/NNP+는/JX
이번	이번/NNG
파문이	파문/NNG+이/JKS
오늘내일	오늘내일/NNG
끝날	끝나/VV+ㄹ/ETM
사안이	사안/NNG+이/JKC
아니라고	아니/VCN+라고/EC
보고	보/VV+고/EC
'장기전'에도	'/SS+장기전/NNG+'/SS+에/JKB+도/JX
대비하는	대비/NNG+하/XSV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.342.7.1
박 대통령 의중을 가장 잘 안다는 새누리당 이정현 의원도 이날 대정부 질의에서 비슷한 얘기를 했다.

박	박/NNP
대통령	대통령/NNG
의중을	의중/NNG+을/JKO
가장	가장/MAG
잘	잘/MAG
안다는	알/VV+ㄴ다는/ETM
새누리당	새누리당/NNP
이정현	이정현/NNP
의원도	의원/NNG+도/JX
이날	이날/NNG
대정부	대정부/NNG
질의에서	질의/NNG+에서/JKB
비슷한	비슷하/VA+ㄴ/ETM
얘기를	얘기/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.7.2
이 의원은 "하늘이 준 기회라고 생각한다"며 "부패의 뿌리를 뽑기 위해서라도 국민이 지금 상황을 납득할 때까지 끝까지 가야 한다"고 했다.

이	이/NNP
의원은	의원/NNG+은/JX
"하늘이	"/SS+하늘/NNG+이/JKS
준	주/VV+ㄴ/ETM
기회라고	기회/NNG+이/VCP+라고/EC
생각한다"며	생각/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"부패의	"/SS+부패/NNG+의/JKG
뿌리를	뿌리/NNG+를/JKO
뽑기	뽑/VV+기/ETN
위해서라도	위하/VV+아서/EC+라도/JX
국민이	국민/NNG+이/JKS
지금	지금/MAG
상황을	상황/NNG+을/JKO
납득할	납득/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
끝까지	끝/NNG+까지/JX
가야	가/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.7.3
또 "그것이 특검이 됐든 또 다른 게 됐든 어떤 상황을 가정하더라도 끝까지 가야 한다"고 했다.

또	또/MAG
"그것이	"/SS+그것/NP+이/JKS
특검이	특검/NNG+이/JKC
됐든	되/VV+었/EP+든/EC
다른	다른/MMD
게	거/NNB+이/JKC
어떤	어떤/MMD
상황을	상황/NNG+을/JKO
가정하더라도	가정/NNG+하/XSV+더라도/EC
끝까지	끝/NNG+까지/JX
가야	가/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.7.4
이는 청와대 핵심부의 기류가 반영된 것으로 보인다.

이는	이/NP+는/JX
청와대	청와대/NNP
핵심부의	핵심부/NNG+의/JKG
기류가	기류/NNG+가/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.342.8.1
이번 사건이 터진 직후 일부 청와대 인사들은 김기춘 전 비서실장과 우병우 민정수석을 겨냥해 "애당초 감당이 안 되는 일을 벌여 놓고 수습을 못한다"는 불만을 제기했다.

이번	이번/NNG
사건이	사건/NNG+이/JKS
터진	터지/VV+ㄴ/ETM
직후	직후/NNG
일부	일부/NNG
청와대	청와대/NNP
인사들은	인사/NNG+들/XSN+은/JX
김기춘	김기춘/NNP
전	전/MMD
비서실장과	비서실장/NNG+과/JC
우병우	우병우/NNP
민정수석을	민정/NNG+수석/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
"애당초	"/SS+애당초/NNG
감당이	감당/NNG+이/JKC
안	안/MAG
되는	되/VV+는/ETM
일을	일/NNG+을/JKO
벌여	벌이/VV+어/EC
놓고	놓/VX+고/EC
수습을	수습/NNG+을/JKO
못한다"는	못/MAG+하/XSV+ㄴ다/EF+"/SS+는/ETM
불만을	불만/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.8.2
하지만 지금은 이런 얘기들이 쏙 들어갔다.

하지만	하지만/MAJ
지금은	지금/NNG+은/JX
이런	이런/MMD
얘기들이	얘기/NNG+들/XSN+이/JKS
쏙	쏙/MAG
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.8.3
대통령의 핵심 참모들은 '기획 사정설'에 대해서도 "그러면 부정부패를 그냥 내버려두라는 말이냐"고 반박하기 시작했다.

대통령의	대통령/NNG+의/JKG
핵심	핵심/NNG
참모들은	참모/NNG+들/XSN+은/JX
'기획	'/SS+기획/NNG
사정설'에	사정설/NNG+'/SS+에/JKB
대해서도	대하/VV+아서/EC+도/JX
"그러면	"/SS+그러면/MAJ
부정부패를	부정부패/NNG+를/JKO
그냥	그냥/MAG
내버려두라는	내버리/VV+어/EC+두/VX+라는/ETM
말이냐"고	말/NNG+이/VCP+냐/EF+"/SS+고/JKQ
반박하기	반박/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.9.1
공개적으로 말은 못하지만 청와대는 성 전 회장에 대해서도 '부패한 기업인'으로 보고 있다.

공개적으로	공개/NNG+적/XSN+으로/JKB
말은	말/NNG+은/JX
못하지만	못/MAG+하/VV+지만/EC
청와대는	청와대/NNP+는/JX
성	성/NNP
전	전/MMD
회장에	회장/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
'부패한	'/SS+부패/NNG+하/XSV+ㄴ/ETM
기업인'으로	기업인/NNG+'/SS+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.342.9.2
"'부패한 기업인의 구명 로비 실패'가 이번 사건의 본질 중 하나"(청와대 관계자)라는 것이다.

"'부패한	"/SS+'/SS+부패/NNG+하/XSV+ㄴ/ETM
기업인의	기업인/NNG+의/JKG
구명	구명/NNG
로비	로비/NNG
실패'가	실패/NNG+'/SS+가/JKS
이번	이번/NNG
사건의	사건/NNG+의/JKG
본질	본질/NNG
중	중/NNB
하나"(청와대	하나/NR+"/SS+(/SS+청와대/NNP
관계자)라는	관계자/NNG+)/SS+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.342.9.3
"성 전 회장이 과거 어떤 식으로 두 번의 사면(赦免)을 받았고 경남기업이 두 번의 워크아웃 특혜를 받았는지를 하나하나 규명해야 한다"는 말도 나온다.

"성	"/SS+성/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
과거	과거/NNG
어떤	어떤/MMD
식으로	식/NNB+으로/JKB
두	두/MMN
번의	번/NNB+의/JKG
사면(赦免)을	사면/NNG+(/SS+赦免/SH+)/SS+을/JKO
받았고	받/VV+았/EP+고/EC
경남기업이	경남기업/NNP+이/JKS
워크아웃	워크아웃/NNG
특혜를	특혜/NNG+를/JKO
받았는지를	받/VV+았/EP+는지/EF+를/JKO
하나하나	하나하나/MAG
규명해야	규명/NNG+하/XSV+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
말도	말/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.342.9.4
자원 개발 및 기업 비리와 관련해 검찰이 진행해 온 다른 수사 역시 '부패 척결' 차원에서 계속 이어질 것으로 전망된다.

자원	자원/NNG
개발	개발/NNG
및	및/MAG
기업	기업/NNG
비리와	비리/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
검찰이	검찰/NNG+이/JKS
진행해	진행/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
다른	다른/MMD
수사	수사/NNG
역시	역시/MAG
'부패	'/SS+부패/NNG
척결'	척결/NNG+'/SS
차원에서	차원/NNG+에서/JKB
계속	계속/MAG
이어질	이어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.342.10.1
이날 새정치민주연합 유은혜 대변인은 브리핑을 통해 "전대미문의 권력 비리 게이트가 터졌는데 대통령이 남의 집 불구경하듯 해외 순방 가는 것은 납득하기 어렵다. 순방 일정 연기를 촉구한다"고 했다.

이날	이날/NNG
새정치민주연합	새정치민주연합/NNP
유은혜	유은혜/NNP
대변인은	대변인/NNG+은/JX
브리핑을	브리핑/NNG+을/JKO
통해	통하/VV+아/EC
"전대미문의	"/SS+전대미문/NNG+의/JKG
권력	권력/NNG
비리	비리/NNG
게이트가	게이트/NNG+가/JKS
터졌는데	터지/VV+었/EP+는데/EC
대통령이	대통령/NNG+이/JKS
남의	남/NNG+의/JKG
집	집/NNG
불구경하듯	불구경/NNG+하/XSV+듯/EC
해외	해외/NNG
순방	순방/NNG
가는	가/VV+는/ETM
것은	것/NNB+은/JX
납득하기	납득/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF
일정	일정/NNG
연기를	연기/NNG+를/JKO
촉구한다"고	촉구/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.10.2
그러나 청와대 주철기 외교안보수석은 "우리 정부가 대외적으로 약속한 일이고 국가적 사업"이라며 "일은 해야 한다"고 했다.

그러나	그러나/MAJ
청와대	청와대/NNP
주철기	주철기/NNP
외교안보수석은	외교/NNG+안보/NNG+수석/NNG+은/JX
"우리	"/SS+우리/NP
정부가	정부/NNG+가/JKS
대외적으로	대외/NNG+적/XSN+으로/JKB
약속한	약속/NNG+하/XSV+ㄴ/ETM
일이고	일/NNG+이/VCP+고/EC
국가적	국가/NNG+적/XSN
사업"이라며	사업/NNG+"/SS+이/VCP+라며/EC
"일은	"/SS+일/NNG+은/JX
해야	하/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.10.3
이번 남미 순방단에는 역대 최대 규모인 125개 회사 관계자들이 참여한다.

이번	이번/NNG
남미	남미/NNP
순방단에는	순방단/NNG+에/JKB+는/JX
역대	역대/NNG
최대	최대/NNG
규모인	규모/NNG+이/VCP+ㄴ/ETM
125개	125/SN+개/NNB
회사	회사/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


