# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.266
metadata : {}


# id : NWRW1800000021.266.1.1
北 개성관광만 빼고 ‘12·1조치’ 모두 철회

北	北/SH
통일부는 20일 “북측이 오늘 오후 2건의 통지문을 잇달아 보내 이같은 조치를 알려왔다”고 밝혔다.

통일부는	통일부/NNG+는/JX
20일	20/SN+일/NNB
“북측이	“/SS+북측/NNG+이/JKS
오늘	오늘/NNG
오후	오후/NNG
2건의	2/SN+건/NNB+의/JKG
통지문을	통지문/NNG+을/JKO
잇달아	잇달/VV+아/EC
보내	보내/VV+어/EC
이같은	이/NP+같/VA+은/ETM
조치를	조치/NNG+를/JKO
알려왔다”고	알리/VV+어/EC+오/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.266.3.2
이번 조치로 개성공단과 금강산을 오가는 인력 및 물자의 이동과 경협 사무를 위한 당국 간 의사소통 채널이 지난해 12월 1일 이전으로 대부분 원상회복될 것으로 보인다.

이번	이번/NNG
조치로	조치/NNG+로/JKB
개성공단과	개성공단/NNP+과/JC
금강산을	금강산/NNP+을/JKO
오가는	오가/VV+는/ETM
인력	인력/NNG
및	및/MAG
물자의	물자/NNG+의/JKG
이동과	이동/NNG+과/JC
경협	경협/NNG
사무를	사무/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
당국	당국/NNG
간	간/NNB
의사소통	의사소통/NNG
채널이	채널/NNG+이/JKS
지난해	지난해/NNG
12월	12/SN+월/NNB
1일	1/SN+일/NNB
이전으로	이전/NNG+으로/JKB
대부분	대/XPN+부분/NNG
원상회복될	원상회복/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.266.4.1
북한이 중앙특구개발지도총국 명의의 통지문을 통해 밝힌 4개 항은 △개성공단관리위원회 관계자들의 출입 체류 정상화 △개성공단 기업 및 단체 관계자들의 출입 체류 정상화 △판문역과 파주역 사이의 화물열차 운행 재개 △남북경제협력협의사무소 재개 등이다.

북한이	북한/NNP+이/JKS
중앙특구개발지도총국	중앙/NNG+특구/NNG+개발/NNG+지도/NNG+총국/NNG
명의의	명의/NNG+의/JKG
통지문을	통지문/NNG+을/JKO
통해	통하/VV+아/EC
밝힌	밝히/VV+ㄴ/ETM
4개	4/SN+개/NNB
항은	항/NNG+은/JX
△개성공단관리위원회	△/SW+개성공단관리위원회/NNP
관계자들의	관계자/NNG+들/XSN+의/JKG
출입	출입/NNG
체류	체류/NNG
정상화	정상/NNG+화/XSN
△개성공단	△/SW+개성공단/NNP
기업	기업/NNG
및	및/MAG
단체	단체/NNG
△판문역과	△/SW+판문역/NNP+과/JC
파주역	파주역/NNP
사이의	사이/NNG+의/JKG
화물열차	화물/NNG+열차/NNG
운행	운행/NNG
재개	재개/NNG
△남북경제협력협의사무소	△/SW+남북경제협력협의사무소/NNP
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.266.5.1
이에 앞서 김정일 국방위원장과 현정은 현대그룹 회장은 16일 북한 묘향산에서 ‘12·1조치’의 해제 등 남북 교류협력 5개 항에 합의했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
김정일	김정일/NNP
국방위원장과	국방/NNG+위원장/NNG+과/JC
현정은	현정은/NNP
현대그룹	현대그룹/NNP
회장은	회장/NNG+은/JX
16일	16/SN+일/NNB
북한	북한/NNP
묘향산에서	묘향산/NNP+에서/JKB
‘12·1조치’의	‘/SS+12/SN+·/SP+1/SN+조치/NNG+’/SS+의/JKG
해제	해제/NNG
등	등/NNB
남북	남북/NNP
교류협력	교류/NNG+협력/NNG
5개	5/SN+개/NNB
항에	항/NNG+에/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.266.6.1
북한은 또 김대중 전 대통령의 서거에 조의를 표하기 위해 조문단 6명을 1박 2일 일정으로 서울에 보내기로 했다.

북한은	북한/NNP+은/JX
또	또/MAG
김대중	김대중/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
서거에	서거/NNG+에/JKB
조의를	조의/NNG+를/JKO
표하기	표/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
조문단	조문단/NNG
6명을	6/SN+명/NNB+을/JKO
1박	1/SN+박/NNB
2일	2/SN+일/NNB
일정으로	일정/NNG+으로/JKB
서울에	서울/NNP+에/JKB
보내기로	보내/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.266.6.2
북한의 대남기구인 조선아시아태평양평화위원회(아태평화위)는 20일 김대중평화센터 측에 김기남 노동당 중앙위원회 비서(83)와 김양건 노동당 통일전선부장 겸 아태평화위 위원장(71) 등 조문단 6명의 명단을 통보해 왔다.

북한의	북한/NNP+의/JKG
대남기구인	대남/NNG+기구/NNG+이/VCP+ㄴ/ETM
조선아시아태평양평화위원회(아태평화위)는	조선아시아태평양평화위원회/NNP+(/SS+아태평화위/NNP+)/SS+는/JX
20일	20/SN+일/NNB
김대중평화센터	김대중평화센터/NNP
측에	측/NNB+에/JKB
김기남	김기남/NNP
노동당	노동당/NNP
중앙위원회	중앙/NNG+위원회/NNG
비서(83)와	비서/NNG+(/SS+83/SN+)/SS+와/JC
김양건	김양건/NNP
통일전선부장	통일/NNG+전선부장/NNG
겸	겸/NNB
아태평화위	아태평화위/NNP
위원장(71)	위원장/NNG+(/SS+71/SN+)/SS
등	등/NNB
조문단	조문단/NNG
6명의	6/SN+명/NNB+의/JKG
명단을	명단/NNG+을/JKO
통보해	통보/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.266.7.1
조문단은 북한 특별기편으로 서해 직항로를 이용해 21일 오후 3시 10분 김포공항에 도착한 뒤 곧바로 김 전 대통령 빈소로 이동해 오후 3시 50분경 조문할 예정이다.

조문단은	조문단/NNG+은/JX
북한	북한/NNP
특별기편으로	특별기/NNG+편/NNB+으로/JKB
서해	서해/NNP
직항로를	직항로/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
21일	21/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
10분	10/SN+분/NNB
김포공항에	김포공항/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
곧바로	곧바로/MAG
김	김/NNP
전	전/MMD
대통령	대통령/NNG
빈소로	빈소/NNG+로/JKB
이동해	이동/NNG+하/XSV+아/EC
50분경	50/SN+분/NNB+경/XSN
조문할	조문/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.266.7.2
이후 서울 시내 숙소로 이동해 하루를 묵은 뒤 22일 오후 2시 김포공항을 통해 돌아간다.

이후	이후/NNG
서울	서울/NNP
시내	시내/NNG
숙소로	숙소/NNG+로/JKB
이동해	이동/NNG+하/XSV+아/EC
하루를	하루/NNG+를/JKO
묵은	묵/VV+은/ETM
뒤	뒤/NNG
22일	22/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
김포공항을	김포공항/NNP+을/JKO
통해	통하/VV+아/EC
돌아간다.	돌아가/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.266.8.1
조문단은 특히 김정일 위원장의 메시지를 들고 와 남측 당국자와의 접촉을 시도할 가능성이 있는 것으로 보인다.

조문단은	조문단/NNG+은/JX
특히	특히/MAG
김정일	김정일/NNP
위원장의	위원장/NNG+의/JKG
메시지를	메시지/NNG+를/JKO
들고	들/VV+고/EC
와	오/VV+아/EC
남측	남측/NNG
당국자와의	당국자/NNG+와/JKB+의/JKG
접촉을	접촉/NNG+을/JKO
시도할	시도/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.266.8.2
한편 조문단 파견과 관련해 북한의 일방적 단절 조치로 끊겨 있던 판문점 남북 적십자 연락사무소 간 직통전화 중 1개 회선이 21일 오전 9시 개설돼 적십자 채널의 전면 복원으로 이어질지 주목된다.

한편	한편/MAG
조문단	조문단/NNG
파견과	파견/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
북한의	북한/NNP+의/JKG
일방적	일방/NNG+적/XSN
단절	단절/NNG
조치로	조치/NNG+로/JKB
끊겨	끊기/VV+어/EC
있던	있/VX+던/ETM
판문점	판문점/NNP
남북	남북/NNP
적십자	적십자/NNP
연락사무소	연락/NNG+사무소/NNG
간	간/NNB
직통전화	직통/NNG+전화/NNG
중	중/NNB
1개	1/SN+개/NNB
회선이	회선/NNG+이/JKS
21일	21/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
개설돼	개설/NNG+되/XSV+어/EC
채널의	채널/NNG+의/JKG
전면	전면/NNG
복원으로	복원/NNG+으로/JKB
이어질지	이어지/VV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


