# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.332
metadata : {}


# id : NWRW1800000030.332.1.1
김정일이 北 전쟁영웅 남일 죽였다

김정일이	김정일/NNP+이/JKS
놓고	놓/VV+고/EC
경쟁이	경쟁/NNG+이/JKS
치열한	치열/NNG+하/XSA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
김정일은	김정일/NNP+은/JX
이복동생	이복동생/NNG
평일을	평일/NNP+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
남일을	남일/NNP+을/JKO
눈엣가시로	눈엣가시/NNG+로/JKB
여겼다"며	여기/VV+었/EP+다/EF+"/SS+며/EC
"자신의	"/SS+자신/NNG+의/JKG
수족인	수족/NNG+이/VCP+ㄴ/ETM
호위2국을	호위/NNG+2/SN+국/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
살해한	살해/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.332.7.1
남일은 소련군 장교로 2차대전에 참전해 전공을 세우고 광복 후 북한에 들어갔다.

남일은	남일/NNP+은/JX
소련군	소련군/NNG
장교로	장교/NNG+로/JKB
2차대전에	2/SN+차/NNB+대전/NNG+에/JKB
참전해	참전/NNG+하/XSV+아/EC
전공을	전공/NNG+을/JKO
세우고	세우/VV+고/EC
광복	광복/NNG
후	후/NNG
북한에	북한/NNP+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.332.7.2
6·25 전쟁에서 총참모장(합참의장)으로 인민군을 이끌었으며 정전협정 체결 당시 공산측 대표로 서명했다.

6·25	6/SN+·/SP+25/SN
전쟁에서	전쟁/NNG+에서/JKB
총참모장(합참의장)으로	총참모장/NNG+(/SS+합참/NNG+의장/NNG+)/SS+으로/JKB
인민군을	인민군/NNG+을/JKO
이끌었으며	이끌/VV+었/EP+으며/EC
정전협정	정전/NNG+협정/NNG
체결	체결/NNG
당시	당시/NNG
공산측	공산/NNG+측/NNB
대표로	대표/NNG+로/JKB
서명했다.	서명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.332.7.3
외상, 국가건설위원장, 부총리 등을 지내며 승승장구하던 그는 1976년 의문의 교통사고로 숨진 것으로 알려져 왔다.

외상,	외상/NNG+,/SP
국가건설위원장,	국가/NNG+건설/NNG+위원장/NNG+,/SP
부총리	부총리/NNG
등을	등/NNB+을/JKO
지내며	지내/VV+며/EC
승승장구하던	승승장구/NNG+하/XSV+던/ETM
그는	그/NP+는/JX
1976년	1976/SN+년/NNB
의문의	의문/NNG+의/JKG
교통사고로	교통사고/NNG+로/JKB
숨진	숨지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


