# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.104
metadata : {}


# id : NWRW1800000026.104.1.1
"교황 또 '사제 性추문' 은폐 의혹";당시 美신부의 아동 성추행 추기경때 아무 조치 안취해

"교황	"/SS+교황/NNG
머피가	머피/NNP+가/JKS
장관에게	장관/NNG+에게/JKB
직접	직접/MAG
탄원서를	탄원서/NNG+를/JKO
썼기	쓰/VV+었/EP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.104.3.4
머피는 라칭어 장관에게 "난 이미 신께 사죄하고 벌을 받았다. 늙고 병들었으니 성직자로서 여생을 품위있게 보내고 싶다"고 호소한 것으로 알려졌다.

머피는	머피/NNP+는/JX
라칭어	라칭어/NNP
장관에게	장관/NNG+에게/JKB
"난	"/SS+나/NP+ㄴ/JX
이미	이미/MAG
신께	신/NNG+께/JKB
사죄하고	사죄/NNG+하/XSV+고/EC
벌을	벌/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF
늙고	늙/VV+고/EC
병들었으니	병들/VV+었/EP+으니/EC
성직자로서	성직자/NNG+로서/JKB
여생을	여생/NNG+을/JKO
품위있게	품위/NNG+있/VA+게/EC
보내고	보내/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
호소한	호소/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.104.3.5
그는 교회법은 물론 형법상의 아무런 처벌도 받지 않은 채 2년 후 성직자 신분으로 사망했다.

그는	그/NP+는/JX
교회법은	교회법/NNG+은/JX
물론	물론/MAG
형법상의	형법/NNG+상/XSN+의/JKG
아무런	아무런/MMD
처벌도	처벌/NNG+도/JX
받지	받/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
2년	2/SN+년/NNB
후	후/NNG
성직자	성직자/NNG
신분으로	신분/NNG+으로/JKB
사망했다.	사망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.104.3.6
교황청 대변인 페데리코 롬바르디 신부는 NYT에 "머피가 고령이었고 혐의가 대부분 20년도 더 전에 일어난 일들이라 딱히 처벌하지 않은 것으로 알고 있다"고 설명했다.

교황청	교황청/NNG
대변인	대변인/NNG
페데리코	페데리코/NNP
롬바르디	롬바르디/NNP
신부는	신부/NNG+는/JX
NYT에	NYT/SL+에/JKB
"머피가	"/SS+머피/NNP+가/JKS
고령이었고	고령/NNG+이/VCP+었/EP+고/EC
혐의가	혐의/NNG+가/JKS
대부분	대/XPN+부분/NNG
20년도	20/SN+년/NNB+도/JX
더	더/MAG
전에	전/NNG+에/JKB
일어난	일어나/VV+ㄴ/ETM
일들이라	일/NNG+들/XSN+이/VCP+라/EC
딱히	딱히/MAG
처벌하지	처벌/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.104.4.1
한편 아일랜드의 존 매기(Magee) 주교는 자신의 교구에서 일어난 성추문 사건에 책임을 지고 24일 사임했다.

한편	한편/MAG
아일랜드의	아일랜드/NNP+의/JKG
존	존/NNP
매기(Magee)	매기/NNP+(/SS+Magee/SL+)/SS
주교는	주교/NNG+는/JX
자신의	자신/NNG+의/JKG
교구에서	교구/NNG+에서/JKB
일어난	일어나/VV+ㄴ/ETM
성추문	성/NNG+추문/NNG
사건에	사건/NNG+에/JKB
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
24일	24/SN+일/NNB
사임했다.	사임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.104.4.2
매기 주교는 2008년 예하 성직자들의 성추문 사실을 인지하고도 이를 제대로 조사하지 않았다는 비판을 받아왔다.

매기	매기/NNP
주교는	주교/NNG+는/JX
2008년	2008/SN+년/NNB
예하	예하/NNG
성직자들의	성직자/NNG+들/XSN+의/JKG
성추문	성/NNG+추문/NNG
사실을	사실/NNG+을/JKO
인지하고도	인지/NNG+하/XSV+고도/EC
이를	이/NP+를/JKO
제대로	제대로/MAG
조사하지	조사/NNG+하/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
비판을	비판/NNG+을/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.104.5.1
가톨릭 성추문과 관련, 독일정부는 자국 가톨릭 교회에서 수십 건의 아동 성추행 문제가 발생했다는 주장이 제기됨에 따라 이를 조사하기 위한 원탁회의를 발족시켰다.

가톨릭	가톨릭/NNG
성추문과	성/NNG+추문/NNG+과/JKB
관련,	관련/NNG+,/SP
독일정부는	독일/NNP+정부/NNG+는/JX
자국	자국/NNG
교회에서	교회/NNG+에서/JKB
수십	수십/NR
건의	건/NNB+의/JKG
아동	아동/NNG
성추행	성추행/NNG
문제가	문제/NNG+가/JKS
발생했다는	발생/NNG+하/XSV+았/EP+다는/ETM
주장이	주장/NNG+이/JKS
제기됨에	제기/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
이를	이/NP+를/JKO
조사하기	조사/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
원탁회의를	원탁/NNG+회의/NNG+를/JKO
발족시켰다.	발족/NNG+시키/XSV+었/EP+다/EF+./SF


