# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.357
metadata : {}


# id : NWRW1800000037.357.1.1
[남북대화 급물살]출구 찾는 北, 현충일에 대화의 손 내밀다

[남북대화	[/SS+남북/NNP+대화/NNG
# id : NWRW1800000037.357.7.2
전문가들 사이에선 장거리 로켓 발사와 3차 핵실험 등 잇단 도발로 자신들이 혈맹(血盟)으로 여기는 중국으로부터 외면당할 정도로 국제적 고립에 처해 있는 북한이 일단 개성공단과 금강산 문제 등을 고리로 대화 국면으로 전환하려는 것 아니냐는 관측이 나온다.

전문가들	전문가/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
장거리	장거리/NNG
로켓	로켓/NNG
발사와	발사/NNG+와/JC
3차	3/SN+차/NNB
핵실험	핵/NNG+실험/NNG
등	등/NNB
잇단	잇달/VV+ㄴ/ETM
도발로	도발/NNG+로/JKB
자신들이	자신/NNG+들/XSN+이/JKS
혈맹(血盟)으로	혈맹/NNG+(/SS+血盟/SH+)/SS+으로/JKB
여기는	여기/VV+는/ETM
중국으로부터	중국/NNP+으로부터/JKB
외면당할	외면/NNG+당하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
국제적	국제/NNG+적/XSN
고립에	고립/NNG+에/JKB
처해	처하/VV+아/EC
있는	있/VX+는/ETM
북한이	북한/NNP+이/JKS
일단	일단/MAG
개성공단과	개성공단/NNP+과/JC
금강산	금강산/NNP
문제	문제/NNG
등을	등/NNB+을/JKO
고리로	고리/NNG+로/JKB
대화	대화/NNG
국면으로	국면/NNG+으로/JKB
전환하려는	전환/NNG+하/XSV+려는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.357.7.3
이에 따라 이산가족 상봉과 개성공단 금강산 문제와 같은 ‘민족 내부의 문제’에선 남북 장관급 회담을 통해 일정한 진전을 이룰 수 있을지 모른다는 전망도 나온다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이산가족	이산가족/NNG
상봉과	상봉/NNG+과/JC
개성공단	개성공단/NNP
금강산	금강산/NNP
문제와	문제/NNG+와/JKB
같은	같/VA+은/ETM
‘민족	‘/SS+민족/NNG
내부의	내부/NNG+의/JKG
문제’에선	문제/NNG+’/SS+에서/JKB+ㄴ/JX
남북	남북/NNP
장관급	장관급/NNG
회담을	회담/NNG+을/JKO
통해	통하/VV+아/EC
일정한	일정/NNG+하/XSA+ㄴ/ETM
진전을	진전/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
모른다는	모르/VV+ㄴ다는/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.357.7.4
하지만 북한과 국제사회의 궁극적인 현안인 북한 비핵화 문제가 최종적으로 북한의 변화를 가늠할 변수라는 것이 전문가들의 대체적 분석이다.

하지만	하지만/MAJ
북한과	북한/NNP+과/JC
국제사회의	국제/NNG+사회/NNG+의/JKG
궁극적인	궁극/NNG+적/XSN+이/VCP+ㄴ/ETM
현안인	현안/NNG+이/VCP+ㄴ/ETM
북한	북한/NNP
비핵화	비핵/NNG+화/XSN
문제가	문제/NNG+가/JKS
최종적으로	최종/NNG+적/XSN+으로/JKB
북한의	북한/NNP+의/JKG
변화를	변화/NNG+를/JKO
가늠할	가늠/NNG+하/XSV+ㄹ/ETM
변수라는	변수/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
전문가들의	전문가/NNG+들/XSN+의/JKG
대체적	대체/NNG+적/XSN
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.357.7.5
북한은 이날 ‘비핵화’ 문제를 일절 언급하지 않았다.

북한은	북한/NNP+은/JX
이날	이날/NNG
‘비핵화’	‘/SS+비핵/NNG+화/XSN+’/SS
문제를	문제/NNG+를/JKO
일절	일절/MAG
언급하지	언급/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.357.8.1
북한은 2011년 1월에도 미중 정상회담을 앞두고 전방위 남북 대화 공세를 펼친 바 있다.

북한은	북한/NNP+은/JX
2011년	2011/SN+년/NNB
1월에도	1/SN+월/NNB+에/JKB+도/JX
미중	미/NNP+중/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
앞두고	앞두/VV+고/EC
전방위	전방위/NNG
남북	남북/NNP
대화	대화/NNG
공세를	공세/NNG+를/JKO
펼친	펼치/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.357.8.2
결국 비핵화 문제에 대한 북한의 실질적 태도 변화 여부가 지속가능한 대화 국면으로의 진입이냐, 핵개발 시간 벌기를 위한 임기응변적인 남북 대화의 이용이냐를 가늠할 열쇠가 될 것으로 보인다.

결국	결국/MAG
비핵화	비핵/NNG+화/XSN
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
북한의	북한/NNP+의/JKG
실질적	실질/NNG+적/XSN
태도	태도/NNG
변화	변화/NNG
여부가	여부/NNG+가/JKS
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
대화	대화/NNG
국면으로의	국면/NNG+으로/JKB+의/JKG
진입이냐,	진입/NNG+이/VCP+냐/EF+,/SP
핵개발	핵/NNG+개발/NNG
시간	시간/NNG
벌기를	벌/VV+기/ETN+를/JKO
위한	위하/VV+ㄴ/ETM
임기응변적인	임기응변/NNG+적/XSN+이/VCP+ㄴ/ETM
남북	남북/NNP
대화의	대화/NNG+의/JKG
이용이냐를	이용/NNG+이/VCP+냐/EF+를/JKO
가늠할	가늠/NNG+하/XSV+ㄹ/ETM
열쇠가	열쇠/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


