# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.192
metadata : {}


# id : NWRW1800000045.192.1.1
실직 분풀이?… 방화 용의자는 협력업체 직원

실직	실직/NNG
직원으로	직원/NNG+으로/JKB
최근	최근/MAG
회사가	회사/NNG+가/JKS
도산하면서	도산/NNG+하/XSV+면서/EC
일자리를	일자리/NNG+를/JKO
잃은	잃/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.192.5.1
경찰이 확보한 물류센터 CCTV 영상에는 용의자가 25일 0시 25분경 부탄가스가 담긴 플라스틱 상자를 옮기는 장면이 담겨 있다.

경찰이	경찰/NNG+이/JKS
확보한	확보/NNG+하/XSV+ㄴ/ETM
물류센터	물류/NNG+센터/NNG
CCTV	CCTV/SL
영상에는	영상/NNG+에/JKB+는/JX
용의자가	용의자/NNG+가/JKS
25일	25/SN+일/NNB
0시	0/SN+시/NNB
25분경	25/SN+분/NNB+경/XSN
부탄가스가	부탄가스/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
플라스틱	플라스틱/NNG
상자를	상자/NNG+를/JKO
옮기는	옮기/VV+는/ETM
장면이	장면/NNG+이/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.192.5.2
또 24일 오후 11시경부터 2시간여에 걸쳐 자신의 트럭과 물류센터 여기저기를 돌아다니는 장면이 10여 차례에 걸쳐 포착됐다.

또	또/MAG
24일	24/SN+일/NNB
오후	오후/NNG
11시경부터	11/SN+시/NNB+경/XSN+부터/JX
2시간여에	2/SN+시간/NNB+여/XSN+에/JKB
걸쳐	걸치/VV+어/EC
자신의	자신/NNG+의/JKG
트럭과	트럭/NNG+과/JC
물류센터	물류/NNG+센터/NNG
여기저기를	여기저기/NNG+를/JKO
돌아다니는	돌아다니/VV+는/ETM
장면이	장면/NNG+이/JKS
10여	10/SN+여/XSN
차례에	차례/NNG+에/JKB
포착됐다.	포착/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.192.5.3
경찰 조사 결과 용의자가 물류센터 정문을 통과할 때는 별다른 제지를 받지 않은 것으로 확인됐다.

경찰	경찰/NNG
조사	조사/NNG
결과	결과/NNG
용의자가	용의자/NNG+가/JKS
물류센터	물류/NNG+센터/NNG
정문을	정문/NNG+을/JKO
통과할	통과/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
별다른	별다르/VA+ㄴ/ETM
제지를	제지/NNG+를/JKO
받지	받/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.192.5.4
제일모직 측은 “물류 이동이 낮은 물론이고 심야에도 많이 이뤄지고 있어 24시간 개방된 구조이고 평소 배송업체 직원이라 별다른 제지를 하지 않았던 것 같다”고 경찰에 설명한 것으로 알려졌다.

제일모직	제일모직/NNP
측은	측/NNB+은/JX
“물류	“/SS+물류/NNG
이동이	이동/NNG+이/JKS
낮은	낮/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
심야에도	심야/NNG+에/JKB+도/JX
많이	많이/MAG
이뤄지고	이뤄지/VV+고/EC
있어	있/VX+어/EC
24시간	24/SN+시간/NNB
개방된	개방/NNG+되/XSV+ㄴ/ETM
구조이고	구조/NNG+이/VCP+고/EC
평소	평소/NNG
배송업체	배송/NNG+업체/NNG
직원이라	직원/NNG+이/VCP+라/EC
별다른	별다르/VA+ㄴ/ETM
제지를	제지/NNG+를/JKO
하지	하/VV+지/EC
않았던	않/VX+았/EP+던/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
경찰에	경찰/NNG+에/JKB
설명한	설명/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.192.5.5
경찰은 “용의자가 일자리를 잃게 되자 평소에 내부 구조나 경비시스템 등을 잘 알고 있던 곳에서 범행한 것 같다”며 “하지만 자신의 회사도 아닌 이곳에 방화한 동기는 용의자를 체포해야 확인할 수 있을 것”이라고 말했다.

경찰은	경찰/NNG+은/JX
“용의자가	“/SS+용의자/NNG+가/JKS
일자리를	일자리/NNG+를/JKO
잃게	잃/VV+게/EC
되자	되/VV+자/EC
평소에	평소/NNG+에/JKB
내부	내부/NNG
구조나	구조/NNG+나/JC
경비시스템	경비/NNG+시스템/NNG
등을	등/NNB+을/JKO
잘	잘/MAG
알고	알/VV+고/EC
있던	있/VX+던/ETM
곳에서	곳/NNG+에서/JKB
범행한	범행/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
자신의	자신/NNG+의/JKG
회사도	회사/NNG+도/JX
아닌	아니/VCN+ㄴ/ETM
이곳에	이곳/NP+에/JKB
방화한	방화/NNG+하/XSV+ㄴ/ETM
동기는	동기/NNG+는/JX
용의자를	용의자/NNG+를/JKO
체포해야	체포/NNG+하/XSV+아야/EC
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.192.6.1
한편 경찰은 이날 물류센터 화재현장에서 국립과학수사연구원, 소방당국 등과 함께 합동현장감식을 진행했다.

한편	한편/MAG
경찰은	경찰/NNG+은/JX
이날	이날/NNG
물류센터	물류/NNG+센터/NNG
화재현장에서	화재/NNG+현장/NNG+에서/JKB
국립과학수사연구원,	국립과학수사연구원/NNP+,/SP
소방당국	소방/NNG+당국/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
합동현장감식을	합동/NNG+현장/NNG+감식/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.192.6.2
앞서 25일 오전 2시 16분경 이 물류창고에서 불이 나 경비업체 직원 윤모 씨(34)가 숨지고 물류창고 5∼7층 1만9000여 m²가 불에 탔다.

앞서	앞서/MAG
25일	25/SN+일/NNB
오전	오전/NNG
2시	2/SN+시/NNB
16분경	16/SN+분/NNB+경/XSN
이	이/MMD
물류창고에서	물류/NNG+창고/NNG+에서/JKB
불이	불/NNG+이/JKS
나	나/VV+아/EC
경비업체	경비업체/NNG
직원	직원/NNG
윤모	윤/NNP+모/NP
씨(34)가	씨/NNB+(/SS+34/SN+)/SS+가/JKS
숨지고	숨지/VV+고/EC
물류창고	물류/NNG+창고/NNG
5∼7층	5/SN+∼/SO+7/SN+층/NNG
1만9000여	1/SN+만/NR+9000/SN+여/XSN
m²가	m²/SW+가/JKS
불에	불/NNG+에/JKB
탔다.	타/VV+았/EP+다/EF+./SF


