# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.8
metadata : {}


# id : NWRW1800000054.8.1.1
파리바게뜨, '제빵기사 직접 고용' 시한 다가오자 처분 취소 소송

파리바게뜨,	파리바게뜨/NNP+,/SP
안	안/MAG
될	되/VV+ㄹ/ETM
경우를	경우/NNG+를/JKO
대비해	대비/NNG+하/XSV+아/EC
소송을	소송/NNG+을/JKO
냈다는	내/VV+었/EP+다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.8.5.1
지난 9월 고용부는 파리바게뜨 본사가 가맹점에서 일하는 제빵기사와 카페기사 등 5309명이 불법 파견 형태로 일하고 있다는 점을 확인했고, 이에 따라 11월 9일까지 이들을 직접 고용하라는 시정 명령을 내렸다.

지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
고용부는	고용부/NNG+는/JX
파리바게뜨	파리바게뜨/NNP
본사가	본사/NNG+가/JKS
가맹점에서	가맹점/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
제빵기사와	제빵/NNG+기사/NNG+와/JC
카페기사	카페/NNG+기사/NNG
등	등/NNB
5309명이	5309/SN+명/NNB+이/JKS
불법	불법/NNG
파견	파견/NNG
형태로	형태/NNG+로/JKB
일하고	일/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
점을	점/NNG+을/JKO
확인했고,	확인/NNG+하/XSV+았/EP+고/EC+,/SP
이에	이/NP+에/JKB
따라	따르/VV+아/EC
11월	11/SN+월/NNB
9일까지	9/SN+일/NNB+까지/JX
이들을	이/NP+들/XSN+을/JKO
직접	직접/MAG
고용하라는	고용/NNG+하/XSV+라는/ETM
시정	시정/NNG
명령을	명령/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.8.5.2
이를 따르지 않으면 파리바게뜨는 1명당 1000만원씩 530억원가량 과태료를 물어야 한다.

이를	이/NP+를/JKO
따르지	따르/VV+지/EC
않으면	않/VX+으면/EC
파리바게뜨는	파리바게뜨/NNP+는/JX
1명당	1/SN+명/NNB+당/XSN
1000만원씩	1000/SN+만/NR+원/NNB+씩/XSN
530억원가량	530/SN+억/NR+원/NNB+가량/XSN
과태료를	과태료/NNG+를/JKO
물어야	묻/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.8.5.3
본사 직원이 5200여 명인 파리바게뜨로서는 현 직원보다 많은 인원을 한꺼번에 고용하는 건 사실상 불가능하다는 주장이다.

본사	본사/NNG
직원이	직원/NNG+이/JKS
5200여	5200/SN+여/XSN
명인	명/NNB+이/VCP+ㄴ/ETM
파리바게뜨로서는	파리바게뜨/NNP+로서/JKB+는/JX
현	현/MMD
직원보다	직원/NNG+보다/JKB
많은	많/VA+은/ETM
인원을	인원/NNG+을/JKO
한꺼번에	한꺼번에/MAG
고용하는	고용/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
사실상	사실상/MAG
불가능하다는	불/XPN+가능/NNG+하/XSA+다는/ETM
주장이다.	주장/NNG+이/VCP+다/EF+./SF


